# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 13:41:22 2019
# diag: fluxspectra, run(s): act, time window: 0-3236.4724(637 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.7483E-01 MW
# G*dVdx =  -7.4140E-13 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -2.4898E-15  5.7229E-03
  9.4345E-03 -5.7523E-14  1.1376E-02
  1.8869E-02 -2.0460E-13  1.1421E-02
  2.8304E-02 -2.2334E-14  1.1473E-02
  3.7738E-02  1.7124E-13  1.1219E-02
  4.7173E-02  3.4215E-14  1.1091E-02
  5.6607E-02 -3.1206E-14  1.0959E-02
  6.6042E-02  5.8635E-14  1.0502E-02
  7.5476E-02 -2.3790E-13  1.0243E-02
  8.4911E-02  2.9400E-14  9.8477E-03
  9.4345E-02  8.4979E-14  9.6779E-03
  1.0378E-01 -6.5216E-15  9.5068E-03
  1.1321E-01 -4.3389E-14  9.0402E-03
  1.2265E-01 -1.0223E-13  8.6548E-03
  1.3208E-01 -1.3119E-13  8.2283E-03
  1.4152E-01  1.0488E-13  7.9115E-03
  1.5095E-01 -1.2600E-13  7.7248E-03
  1.6039E-01  4.5005E-14  7.1935E-03
  1.6982E-01  1.1581E-14  6.9322E-03
  1.7926E-01 -5.3956E-14  6.5268E-03
  1.8869E-01 -8.2625E-14  6.0949E-03
  1.9812E-01  1.0479E-13  5.9739E-03
  2.0756E-01  1.5497E-13  5.4680E-03
  2.1699E-01 -1.1208E-13  5.1618E-03
  2.2643E-01 -7.5167E-15  4.9772E-03
  2.3586E-01  5.0953E-14  4.6901E-03
  2.4530E-01  6.0670E-15  4.3279E-03
  2.5473E-01  3.7174E-14  4.0488E-03
  2.6417E-01  1.5942E-14  3.9048E-03
  2.7360E-01 -8.1965E-14  3.6462E-03
  2.8304E-01 -6.2129E-14  3.5050E-03
  2.9247E-01 -3.8936E-14  3.2183E-03
  3.0190E-01  9.2434E-17  3.0572E-03
  3.1134E-01  6.6552E-15  2.9027E-03
  3.2077E-01  3.6083E-15  2.6684E-03
  3.3021E-01  1.1906E-14  2.5458E-03
  3.3964E-01 -4.9667E-17  2.4042E-03
  3.4908E-01  5.4709E-14  2.2557E-03
  3.5851E-01 -3.4263E-14  2.1266E-03
  3.6795E-01 -2.5334E-14  2.0640E-03
  3.7738E-01 -2.4402E-14  1.9057E-03
  3.8681E-01 -4.3041E-14  1.8581E-03
  3.9625E-01  5.9636E-14  1.7393E-03
  4.0568E-01  3.4827E-15  1.6369E-03
  4.1512E-01  3.8984E-15  1.5301E-03
  4.2455E-01 -2.1339E-14  1.4599E-03
  4.3399E-01  5.6537E-14  1.3985E-03
  4.4342E-01  1.3101E-14  1.3556E-03
  4.5286E-01  1.9981E-14  1.2751E-03
  4.6229E-01  4.8570E-14  1.2074E-03
  4.7173E-01  1.7401E-14  1.1458E-03
  4.8116E-01  9.4065E-15  1.0992E-03
  4.9059E-01 -1.4949E-14  1.0573E-03
  5.0003E-01 -6.3167E-15  1.0009E-03
  5.0946E-01 -6.3119E-15  9.8037E-04
  5.1890E-01 -1.2026E-14  9.3830E-04
  5.2833E-01 -1.2352E-14  8.8054E-04
  5.3777E-01  5.4572E-15  8.6106E-04
  5.4720E-01  1.4319E-15  8.0607E-04
  5.5664E-01  6.6635E-16  7.7677E-04
  5.6607E-01 -2.3990E-14  7.5034E-04
  5.7551E-01  1.5284E-14  7.1983E-04
  5.8494E-01  5.5254E-17  6.8589E-04
  5.9437E-01  2.3799E-14  6.7470E-04
  6.0381E-01  1.3181E-15  6.3744E-04
  6.1324E-01  9.2397E-15  6.1948E-04
  6.2268E-01 -3.0461E-15  6.0184E-04
  6.3211E-01 -3.8864E-14  5.7915E-04
  6.4155E-01 -2.7977E-14  5.4935E-04
  6.5098E-01 -2.8467E-14  5.2298E-04
  6.6042E-01 -2.0526E-14  5.0547E-04
  6.6985E-01  1.2889E-14  4.9094E-04
  6.7928E-01  2.0424E-15  4.8032E-04
  6.8872E-01 -9.6262E-15  4.6585E-04
  6.9815E-01  5.4202E-15  4.4498E-04
  7.0759E-01 -9.6682E-16  4.2521E-04
  7.1702E-01 -1.8915E-14  4.1954E-04
  7.2646E-01  2.4973E-14  4.0563E-04
  7.3589E-01  8.0209E-15  3.8133E-04
  7.4533E-01 -5.9537E-15  3.7860E-04
  7.5476E-01 -1.9770E-15  3.6447E-04
