# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 13:20:57 2019
# diag: nrgsummary, run(s): act, time window: 0-3237.5594(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0592E-01  1.3132E-20  1.9623E-02 -5.0262E-06
  4.1184E-01  3.5013E-20  3.3954E-02 -6.6650E-05
  6.1776E-01  2.7741E-20  4.4341E-02 -1.3809E-04
  8.2368E-01 -3.2452E-20  5.2264E-02 -1.8036E-04
  1.0296E+00 -3.8289E-19  5.8537E-02 -1.7743E-04
  1.2355E+00  2.3440E-20  6.3686E-02 -1.3490E-04
  1.4414E+00 -1.5134E-19  6.8039E-02 -7.0588E-05
  1.6474E+00  3.0959E-19  7.1777E-02  1.5030E-05
  1.8533E+00  7.1095E-19  7.5013E-02  1.1203E-04
  2.0592E+00  1.0324E-18  7.7818E-02  2.0865E-04
  2.2651E+00 -8.4193E-19  8.0251E-02  2.9795E-04
  2.4710E+00  2.7957E-19  8.2377E-02  3.6529E-04
  2.6769E+00 -1.0191E-18  8.4264E-02  4.0604E-04
  2.8829E+00 -7.6853E-19  8.5966E-02  4.3715E-04
  3.0888E+00 -4.3698E-19  8.7507E-02  4.7573E-04
  3.2947E+00 -1.1447E-18  8.8887E-02  5.0972E-04
  3.4900E+00  4.4131E-19  9.0051E-02  5.2235E-04
  3.6853E+00 -4.8545E-20  9.1080E-02  5.1829E-04
  3.8807E+00 -9.0411E-19  9.1984E-02  5.0705E-04
  4.0700E+00  5.8568E-19  9.2745E-02  4.9085E-04
  4.2553E+00  2.1291E-19  9.3378E-02  4.6166E-04
  4.4406E+00 -9.4393E-19  9.3905E-02  4.1264E-04
  4.6259E+00 -3.1806E-20  9.4332E-02  3.3976E-04
  4.8113E+00 -1.7615E-19  9.4667E-02  2.4750E-04
  4.9966E+00 -6.8231E-19  9.4917E-02  1.3790E-04
  5.1819E+00 -1.1462E-20  9.5090E-02  2.3452E-05
  5.3642E+00  2.9144E-19  9.5194E-02 -7.6440E-05
  5.5395E+00  1.8546E-19  9.5221E-02 -1.7701E-04
  5.7148E+00  8.4121E-20  9.5191E-02 -2.4708E-04
  5.8901E+00 -6.5289E-19  9.5119E-02 -2.9917E-04
  6.0654E+00 -9.7245E-20  9.5020E-02 -3.1700E-04
  6.2407E+00  6.1514E-19  9.4960E-02 -2.8048E-04
  6.4072E+00  9.9636E-21  9.4757E-02 -2.6048E-04
  6.5736E+00 -1.9068E-19  9.4511E-02 -2.3540E-04
  6.7401E+00 -5.0058E-19  9.4297E-02 -1.8551E-04
  6.9066E+00 -2.6592E-19  9.4073E-02 -1.3570E-04
  7.0730E+00 -1.4159E-19  9.3777E-02 -9.7160E-05
  7.2395E+00 -4.3925E-19  9.3393E-02 -5.6658E-05
  7.4059E+00 -1.8864E-19  9.3077E-02 -6.3997E-06
  7.5724E+00  2.9364E-19  9.2845E-02  2.6321E-05
  7.7389E+00 -5.8806E-22  9.2425E-02  2.2387E-05
  7.9053E+00 -2.1278E-19  9.1812E-02 -4.3154E-05
  8.0718E+00  1.0447E-19  9.1310E-02 -1.1597E-04
  8.2382E+00 -1.2799E-19  9.0919E-02 -9.6371E-05
  8.4047E+00 -1.4446E-19  9.0417E-02 -6.0843E-05
  8.5712E+00 -3.0622E-19  8.9775E-02 -7.2110E-05
  8.7376E+00  2.2404E-19  8.9146E-02 -1.6741E-04
  8.9041E+00 -4.3954E-19  8.8632E-02 -2.4976E-04
  9.0705E+00 -3.2168E-19  8.8171E-02 -2.7079E-04
  9.2370E+00 -2.0404E-19  8.7611E-02 -3.3660E-04
  9.4035E+00  7.4251E-20  8.6973E-02 -4.6912E-04
  9.5699E+00  3.6399E-19  8.6391E-02 -6.8093E-04
  9.7364E+00 -2.7440E-19  8.5911E-02 -9.8365E-04
  9.9028E+00  1.1983E-19  8.5461E-02 -1.3290E-03
  1.0069E+01 -3.5431E-19  8.4957E-02 -1.6070E-03
  1.0236E+01 -3.0331E-19  8.4428E-02 -1.7837E-03
  1.0402E+01 -2.6229E-19  8.3919E-02 -1.9240E-03
  1.0569E+01 -2.5097E-19  8.3424E-02 -2.0955E-03
  1.0735E+01  1.1840E-19  8.2934E-02 -2.3755E-03
  1.0902E+01  2.3359E-19  8.2483E-02 -2.7925E-03
  1.1068E+01 -2.1500E-19  8.2053E-02 -3.1122E-03
  1.1235E+01 -2.3140E-19  8.1694E-02 -3.2282E-03
  1.1401E+01 -6.8397E-20  8.1530E-02 -3.2843E-03
  1.1567E+01  1.2128E-19  8.1373E-02 -3.3741E-03
  1.1734E+01 -3.0047E-20  8.0966E-02 -3.5555E-03
  1.1900E+01  2.0647E-19  8.0371E-02 -3.7778E-03
  1.2067E+01  1.0347E-19  7.9733E-02 -3.9623E-03
  1.2233E+01  2.0615E-19  7.9189E-02 -4.1194E-03
  1.2400E+01 -1.7617E-19  7.8749E-02 -4.3225E-03
  1.2566E+01  1.0854E-19  7.8349E-02 -4.6803E-03
  1.2733E+01  1.2358E-19  7.8066E-02 -5.0449E-03
  1.2899E+01  2.3340E-19  7.7875E-02 -5.2942E-03
  1.3066E+01 -1.2770E-20  7.7598E-02 -5.5043E-03
  1.3232E+01  7.1233E-20  7.7307E-02 -5.6795E-03
  1.3399E+01 -1.0026E-19  7.7203E-02 -5.7133E-03
  1.3565E+01 -2.7914E-19  7.7191E-02 -5.5744E-03
  1.3731E+01 -2.5717E-19  7.7032E-02 -5.4067E-03
  1.3902E+01  8.9510E-22  7.6630E-02 -5.3830E-03
  1.4077E+01  1.2543E-19  7.6055E-02 -5.5441E-03
  1.4252E+01 -6.2007E-20  7.5439E-02 -5.7533E-03
  1.4426E+01  4.2608E-20  7.4951E-02 -5.8907E-03
  1.4601E+01  1.1879E-20  7.4694E-02 -5.8992E-03
  1.4776E+01 -1.5379E-19  7.4570E-02 -5.7572E-03
  1.4951E+01 -1.0826E-19  7.4380E-02 -5.5177E-03
  1.5126E+01 -8.2021E-20  7.4037E-02 -5.2523E-03
  1.5300E+01  2.9389E-20  7.3605E-02 -5.0238E-03
  1.5475E+01 -1.1610E-19  7.3208E-02 -4.9471E-03
  1.5650E+01 -1.2872E-19  7.2930E-02 -5.0435E-03
  1.5825E+01 -2.1327E-20  7.2693E-02 -5.1638E-03
  1.5999E+01  1.2871E-19  7.2383E-02 -5.2364E-03
  1.6174E+01  2.5103E-19  7.1973E-02 -5.3160E-03
  1.6349E+01  1.0501E-19  7.1516E-02 -5.3921E-03
  1.6524E+01  3.2719E-19  7.1096E-02 -5.4317E-03
  1.6699E+01  2.2886E-19  7.0824E-02 -5.5057E-03
  1.6873E+01 -4.7887E-20  7.0705E-02 -5.6664E-03
  1.7048E+01 -1.6074E-20  7.0648E-02 -5.8475E-03
