# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 13:41:22 2019
# diag: spectra, run(s): act, time window: 0-3236.4724(637 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  3.5081E-04
  1.0000E-01  2.3966E-04
  1.5000E-01  2.6470E-04
  2.0000E-01  2.3969E-04
  2.5000E-01  3.1155E-04
  3.0000E-01  2.6589E-04
  3.5000E-01  2.2857E-04
  4.0000E-01  1.9048E-04
  4.5000E-01  1.8733E-04
  5.0000E-01  1.6805E-04
  5.5000E-01  1.7254E-04
  6.0000E-01  1.4643E-04
  6.5000E-01  1.8175E-04
  7.0000E-01  1.5366E-04
  7.5000E-01  1.1249E-04
  8.0000E-01  9.9086E-05
  8.5000E-01  8.6799E-05
  9.0000E-01  6.5524E-05
  9.5000E-01  5.3585E-05
  1.0000E+00  4.0904E-05
  1.0500E+00  3.8095E-05
  1.1000E+00  2.6201E-05
  1.1500E+00  2.2204E-05
  1.2000E+00  1.8872E-05
  1.2500E+00  1.4890E-05
  1.3000E+00  1.3388E-05
  1.3500E+00  1.1360E-05
  1.4000E+00  9.1378E-06
  1.4500E+00  8.0790E-06
  1.5000E+00  6.8218E-06
  1.5500E+00  6.4616E-06
  1.6000E+00  5.6300E-06
  1.6500E+00  5.2768E-06
  1.7000E+00  4.3449E-06
  1.7500E+00  3.7319E-06
  1.8000E+00  3.3845E-06
  1.8500E+00  3.1277E-06
  1.9000E+00  2.9445E-06
  1.9500E+00  2.5821E-06
  2.0000E+00  2.4018E-06
  2.0500E+00  2.1570E-06
  2.1000E+00  2.1008E-06
  2.1500E+00  1.8054E-06
  2.2000E+00  1.6634E-06
  2.2500E+00  1.6502E-06
  2.3000E+00  1.4779E-06
  2.3500E+00  1.2928E-06
  2.4000E+00  1.2105E-06
  2.4500E+00  1.0473E-06
  2.5000E+00  1.0056E-06
  2.5500E+00  9.4851E-07
  2.6000E+00  8.6948E-07
  2.6500E+00  8.4549E-07
  2.7000E+00  7.5910E-07
  2.7500E+00  7.3826E-07
  2.8000E+00  6.6176E-07
  2.8500E+00  6.0846E-07
  2.9000E+00  5.3159E-07
  2.9500E+00  5.0013E-07
  3.0000E+00  4.6521E-07
  3.0500E+00  4.5584E-07
  3.1000E+00  4.2244E-07
