# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 15:46:10 2019
# diag: fluxspectra, run(s): act, time window: 0-1905.4802(382 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1_P/
# normalization: L_ref=5.512m
#
# Q*dVdx =   1.5255E+01 MW
# G*dVdx =  -1.2657E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -5.0759E-14  5.2553E-03
  9.4345E-03  5.2100E-14  1.0321E-02
  1.8869E-02 -1.5132E-13  1.0476E-02
  2.8304E-02  8.9109E-14  1.0229E-02
  3.7738E-02  1.4690E-14  1.0426E-02
  4.7173E-02 -1.3453E-13  1.0310E-02
  5.6607E-02  2.9164E-14  9.8866E-03
  6.6042E-02  2.5096E-13  9.8461E-03
  7.5476E-02  2.8554E-13  9.6189E-03
  8.4911E-02 -2.0528E-13  9.2566E-03
  9.4345E-02  1.5199E-13  8.8451E-03
  1.0378E-01  1.6510E-13  8.5903E-03
  1.1321E-01  6.0624E-14  8.3343E-03
  1.2265E-01 -6.4931E-14  7.7510E-03
  1.3208E-01 -2.9115E-14  7.4997E-03
  1.4152E-01  7.0455E-14  7.0223E-03
  1.5095E-01 -1.3094E-13  6.7316E-03
  1.6039E-01  5.6721E-14  6.5916E-03
  1.6982E-01  2.0498E-14  6.0628E-03
  1.7926E-01 -1.0651E-13  5.9941E-03
  1.8869E-01 -6.5146E-14  5.5697E-03
  1.9812E-01  3.6437E-14  5.1391E-03
  2.0756E-01 -2.4808E-14  4.8911E-03
  2.1699E-01  2.4670E-14  4.7084E-03
  2.2643E-01  5.3390E-14  4.4838E-03
  2.3586E-01 -2.0345E-14  4.0822E-03
  2.4530E-01  6.6414E-14  3.9453E-03
  2.5473E-01 -1.2002E-13  3.6541E-03
  2.6417E-01  3.1692E-14  3.4592E-03
  2.7360E-01 -6.2082E-14  3.2958E-03
  2.8304E-01  5.7371E-14  2.9953E-03
  2.9247E-01 -1.9745E-14  2.8444E-03
  3.0190E-01  2.5924E-15  2.6547E-03
  3.1134E-01  4.0750E-14  2.5648E-03
  3.2077E-01 -5.3069E-14  2.4723E-03
  3.3021E-01 -5.8281E-14  2.3355E-03
  3.3964E-01  6.2853E-14  2.1915E-03
  3.4908E-01 -3.2984E-14  2.0728E-03
  3.5851E-01  3.8146E-14  1.9386E-03
  3.6795E-01 -2.4746E-14  1.8488E-03
  3.7738E-01  8.4098E-15  1.7369E-03
  3.8681E-01 -6.3450E-14  1.6341E-03
  3.9625E-01 -3.9994E-14  1.5837E-03
  4.0568E-01 -1.7626E-14  1.5195E-03
  4.1512E-01  1.7430E-15  1.4090E-03
  4.2455E-01 -1.4436E-14  1.3313E-03
  4.3399E-01 -3.1442E-15  1.3134E-03
  4.4342E-01  2.7711E-14  1.1938E-03
  4.5286E-01 -4.9419E-14  1.1512E-03
  4.6229E-01 -8.4327E-15  1.1131E-03
  4.7173E-01  3.3302E-14  1.0586E-03
  4.8116E-01 -3.1801E-14  9.8602E-04
  4.9059E-01 -2.8374E-14  9.3547E-04
  5.0003E-01 -8.0570E-15  9.1132E-04
  5.0946E-01 -5.0698E-14  8.7054E-04
  5.1890E-01  8.9434E-15  8.2870E-04
  5.2833E-01 -6.4825E-15  8.1846E-04
  5.3777E-01 -5.8200E-14  7.6850E-04
  5.4720E-01 -1.2318E-14  7.3805E-04
  5.5664E-01  7.2371E-15  7.0982E-04
  5.6607E-01 -1.0114E-14  6.8416E-04
  5.7551E-01  5.0538E-14  6.7857E-04
  5.8494E-01 -7.7231E-15  6.4747E-04
  5.9437E-01  1.7087E-14  6.1022E-04
  6.0381E-01 -1.2751E-14  5.8844E-04
  6.1324E-01 -1.4571E-14  5.6721E-04
  6.2268E-01  1.0154E-14  5.4600E-04
  6.3211E-01 -1.1973E-14  5.2408E-04
  6.4155E-01 -3.2081E-14  4.9775E-04
  6.5098E-01 -4.8921E-15  4.9598E-04
  6.6042E-01  1.0271E-14  4.7526E-04
  6.6985E-01 -1.0930E-15  4.6183E-04
  6.7928E-01 -9.7615E-15  4.3965E-04
  6.8872E-01 -1.4187E-14  4.3086E-04
  6.9815E-01 -2.6524E-14  4.1275E-04
  7.0759E-01  7.0510E-15  4.0228E-04
  7.1702E-01 -7.6231E-15  3.8549E-04
  7.2646E-01  6.7544E-15  3.6124E-04
  7.3589E-01 -6.2932E-17  3.5346E-04
  7.4533E-01  1.4248E-14  3.3726E-04
  7.5476E-01 -1.1337E-14  3.3862E-04
  7.6420E-01  1.4816E-14  3.1522E-04
  7.7363E-01 -1.4678E-14  3.0662E-04
  7.8306E-01 -1.4154E-14  2.9805E-04
  7.9250E-01  6.4431E-15  2.9628E-04
  8.0193E-01 -6.6407E-15  2.7709E-04
  8.1137E-01  2.9797E-14  2.7024E-04
  8.2080E-01  1.4453E-14  2.6479E-04
  8.3024E-01  1.0114E-14  2.5742E-04
  8.3967E-01 -5.8664E-15  2.4567E-04
  8.4911E-01 -2.0151E-14  2.3987E-04
  8.5854E-01  1.0339E-14  2.3232E-04
  8.6797E-01  6.2403E-15  2.1921E-04
  8.7741E-01 -1.7186E-14  2.1397E-04
  8.8684E-01 -3.3701E-15  2.0965E-04
  8.9628E-01  1.4834E-14  2.0388E-04
  9.0571E-01  6.7980E-15  1.9453E-04
  9.1515E-01 -3.8821E-15  1.8923E-04
  9.2458E-01  1.4751E-14  1.7884E-04
  9.3402E-01  5.6680E-16  1.7707E-04
  9.4345E-01  1.3037E-14  1.7053E-04
  9.5289E-01 -1.4708E-14  1.6486E-04
  9.6232E-01 -7.7682E-15  1.6359E-04
  9.7175E-01 -1.1869E-14  1.5898E-04
  9.8119E-01 -5.4754E-15  1.5169E-04
  9.9062E-01  7.9721E-15  1.4856E-04
  1.0001E+00  2.1360E-16  1.4408E-04
  1.0095E+00  5.7100E-15  1.3854E-04
  1.0189E+00 -1.9519E-15  1.3464E-04
  1.0284E+00 -4.8223E-15  1.3021E-04
  1.0378E+00 -5.5151E-15  1.2856E-04
  1.0472E+00 -2.0359E-15  1.2526E-04
  1.0567E+00 -3.0304E-15  1.1908E-04
  1.0661E+00  1.2991E-14  1.1312E-04
  1.0755E+00 -2.6644E-15  1.1311E-04
  1.0850E+00  5.6918E-15  1.0969E-04
  1.0944E+00  4.1244E-15  1.0579E-04
  1.1038E+00  4.7760E-15  1.0412E-04
  1.1133E+00 -9.8936E-15  1.0102E-04
  1.1227E+00 -1.5672E-14  9.6697E-05
  1.1321E+00  1.5002E-14  9.5243E-05
  1.1416E+00 -1.4575E-14  9.1537E-05
  1.1510E+00  7.2396E-16  9.0263E-05
  1.1604E+00 -9.6528E-15  8.7202E-05
  1.1699E+00 -3.4058E-15  8.5656E-05
  1.1793E+00 -1.5322E-15  8.2709E-05
  1.1887E+00 -1.6623E-15  8.1848E-05
  1.1982E+00 -3.1092E-15  7.8840E-05
  1.2076E+00 -4.0439E-16  7.7207E-05
  1.2171E+00  5.0292E-15  7.5625E-05
  1.2265E+00  4.6151E-15  7.4765E-05
  1.2359E+00 -4.7381E-15  7.0519E-05
  1.2454E+00 -6.6206E-15  7.1022E-05
  1.2548E+00 -4.0755E-15  6.8401E-05
  1.2642E+00 -4.5324E-15  6.7460E-05
  1.2737E+00 -4.7689E-15  6.3620E-05
