# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 15:46:11 2019
# diag: zonal, run(s): act, time window: 0-1905.4802(382 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhiotas05/ITGa_NL/omt1_P/
# normalization: L_ref=5.512m
#
# avg. values:
# shearing rate: 0.11141289
#  shear. ra
  3.0517E-01  3.0445E-01  2.9249E-01  2.7061E-01  2.6218E-01  2.4689E-01  2.3502E-01  2.2928E-01  2.2595E-01  2.2259E-01  2.2180E-01  2.2103E-01  2.2271E-01  2.2278E-01  2.2258E-01  2.2251E-01  2.2117E-01  2.1905E-01  2.1632E-01  2.1232E-01  2.0817E-01  2.0495E-01  2.0240E-01  1.9977E-01  1.9746E-01  1.9538E-01  1.9353E-01  1.9179E-01  1.8987E-01  1.8766E-01  1.8538E-01  1.8292E-01  1.8030E-01  1.7753E-01  1.7458E-01  1.7159E-01  1.6881E-01  1.6619E-01  1.6355E-01  1.6086E-01  1.5821E-01  1.5540E-01  1.5246E-01  1.4943E-01  1.4733E-01  1.4601E-01  1.4470E-01  1.4339E-01  1.4203E-01  1.4061E-01  1.3904E-01  1.3738E-01  1.3570E-01  1.3398E-01  1.3220E-01  1.3043E-01  1.2858E-01  1.2672E-01  1.2483E-01  1.2290E-01  1.2095E-01  1.1901E-01  1.1709E-01  1.1506E-01  1.1307E-01  1.1111E-01  1.0920E-01  1.0746E-01  1.0590E-01  1.0446E-01  1.0306E-01  1.0174E-01  1.0036E-01  9.8751E-02  9.7139E-02  9.5456E-02  9.3341E-02  9.0937E-02  8.8874E-02  8.7533E-02  8.6303E-02  8.4884E-02  8.3430E-02  8.2393E-02  8.1223E-02  7.9399E-02  7.7332E-02  7.5359E-02  7.3591E-02  7.2361E-02  7.1654E-02  7.0802E-02  6.9422E-02  6.8503E-02  6.7881E-02  6.7286E-02  6.7236E-02  6.6463E-02  6.5516E-02  6.3737E-02  6.3134E-02  6.3572E-02  6.5072E-02  6.6802E-02  6.8176E-02  7.0229E-02  7.2532E-02  7.3646E-02  7.3520E-02  7.2126E-02  7.2162E-02  7.4922E-02  7.7489E-02  8.0473E-02  8.3003E-02  8.5435E-02  8.7113E-02  8.9845E-02  9.3405E-02  9.6532E-02  9.7823E-02  1.0088E-01  1.0387E-01  1.0586E-01  1.0914E-01  1.1176E-01  1.0918E-01  1.1002E-01  1.1127E-01  1.1331E-01  1.1189E-01  1.1563E-01  1.1940E-01  1.1856E-01  1.1780E-01  1.1737E-01  1.1310E-01  1.0824E-01  1.0629E-01  1.0669E-01  1.0567E-01  1.0472E-01  1.0684E-01  1.1039E-01  1.1425E-01  1.1409E-01  1.1441E-01  1.1559E-01  1.1737E-01  1.1722E-01  1.2008E-01  1.2629E-01  1.2703E-01  1.2586E-01  1.2410E-01  1.2058E-01  1.1922E-01  1.1710E-01  1.1257E-01  1.1398E-01  1.1603E-01  1.1413E-01  1.1248E-01  1.1136E-01  1.1215E-01  1.1227E-01  1.1118E-01  1.1296E-01  1.1427E-01  1.1170E-01  1.0915E-01  1.0958E-01  1.0944E-01  1.0904E-01  1.1585E-01  1.1653E-01  1.1330E-01  1.1286E-01  1.1420E-01  1.1280E-01  1.1441E-01  1.1426E-01  1.1394E-01  1.1108E-01  1.0816E-01  1.0709E-01  1.0628E-01  1.0592E-01  1.0672E-01  1.1026E-01  1.1539E-01  1.1913E-01  1.2223E-01  1.2193E-01  1.2238E-01  1.1832E-01  1.1308E-01  1.0974E-01  1.0796E-01  1.0658E-01  1.0403E-01  1.0418E-01  1.0299E-01  1.0582E-01  1.0565E-01  1.0470E-01  1.0644E-01  1.1013E-01  1.0956E-01  1.0558E-01  1.0613E-01  1.0506E-01  1.0818E-01  1.1314E-01  1.1530E-01  1.1542E-01  1.1350E-01  1.1043E-01  1.0823E-01  1.0932E-01  1.0770E-01  1.0629E-01  1.0512E-01  1.0484E-01  1.0320E-01  1.0591E-01  1.1175E-01  1.1513E-01  1.1379E-01  1.1583E-01  1.1194E-01  1.0530E-01  1.0657E-01  1.1159E-01  1.1401E-01  1.1606E-01  1.1727E-01  1.1407E-01  1.0733E-01  1.0303E-01  1.0335E-01  1.0406E-01  1.0444E-01  1.0453E-01  1.0524E-01  1.0639E-01  1.0855E-01  1.0974E-01  1.1297E-01  1.1452E-01  1.1183E-01  1.0663E-01  1.0388E-01  1.0403E-01  1.0724E-01  1.0937E-01  1.1171E-01  1.1017E-01  1.1121E-01  1.1111E-01  1.0805E-01  1.0842E-01  1.0991E-01  1.0907E-01  1.0846E-01  1.1208E-01  1.1770E-01  1.2257E-01  1.2302E-01  1.2043E-01  1.1636E-01  1.1556E-01  1.0982E-01  1.0732E-01  1.1173E-01  1.1321E-01  1.1195E-01  1.1158E-01  1.0861E-01  1.0717E-01  1.1022E-01  1.0997E-01  1.0930E-01  1.0931E-01  1.0846E-01  1.0770E-01  1.0998E-01  1.0891E-01  1.0552E-01  1.0498E-01  1.0799E-01  1.1030E-01  1.0977E-01  1.0851E-01  1.1279E-01  1.1561E-01  1.1509E-01  1.1246E-01  1.1280E-01  1.1078E-01  1.1271E-01  1.1569E-01  1.1776E-01  1.1615E-01  1.1253E-01  1.0773E-01  1.0387E-01  1.0250E-01  1.0583E-01  1.0929E-01  1.0589E-01  1.0561E-01  1.0820E-01  1.0813E-01  1.0481E-01  1.0361E-01  1.0415E-01  1.0791E-01  1.1024E-01  1.0720E-01  1.0594E-01  1.1063E-01  1.1095E-01  1.0789E-01  1.0626E-01  1.0398E-01  1.0375E-01  1.0605E-01  1.0728E-01  1.1003E-01  1.0779E-01  1.0401E-01  1.0507E-01  1.0882E-01  1.0999E-01  1.0719E-01  1.0709E-01  1.0741E-01  1.0987E-01  1.1148E-01  1.1141E-01  1.1109E-01  1.1213E-01  1.1397E-01  1.1358E-01  1.1142E-01  1.1037E-01  1.1021E-01  1.0867E-01  1.0249E-01  9.8977E-02  9.6366E-02  9.7317E-02  9.9427E-02  1.0112E-01  1.0289E-01  1.0714E-01  1.1235E-01  1.1202E-01  1.1074E-01  1.1110E-01  1.1433E-01  1.1256E-01  1.0636E-01  1.0344E-01  1.0474E-01  1.0757E-01  1.0959E-01  1.0895E-01  1.0912E-01  1.0935E-01  1.1311E-01  1.1368E-01  1.1277E-01  1.1202E-01  1.1047E-01  1.0890E-01  1.1095E-01  1.1206E-01  1.1176E-01  1.1242E-01  1.1932E-01


# averaged over time
#  kx         shear. rat
  9.4345E-03  1.0075E-02
  1.8869E-02  7.3901E-03
  2.8304E-02  5.3357E-03
  3.7738E-02  4.3784E-03
  4.7173E-02  3.7919E-03
  5.6607E-02  3.5460E-03
  6.6042E-02  3.4768E-03
  7.5476E-02  3.4148E-03
  8.4911E-02  3.2637E-03
  9.4345E-02  3.5006E-03
  1.0378E-01  3.7418E-03
  1.1321E-01  3.8337E-03
  1.2265E-01  3.8163E-03
  1.3208E-01  4.7324E-03
  1.4152E-01  4.2240E-03
  1.5095E-01  4.6656E-03
  1.6039E-01  3.7865E-03
  1.6982E-01  3.6795E-03
  1.7926E-01  6.6346E-03
  1.8869E-01  4.6389E-03
  1.9812E-01  3.2536E-03
  2.0756E-01  3.7505E-03
  2.1699E-01  3.1259E-03
  2.2643E-01  5.7090E-03
  2.3586E-01  3.7470E-03
  2.4530E-01  3.5166E-03
  2.5473E-01  3.2349E-03
  2.6417E-01  3.2728E-03
  2.7360E-01  3.2632E-03
  2.8304E-01  3.1544E-03
  2.9247E-01  3.4637E-03
  3.0190E-01  3.4114E-03
  3.1134E-01  3.4580E-03
  3.2077E-01  3.5626E-03
  3.3021E-01  3.0098E-03
  3.3964E-01  3.3054E-03
  3.4908E-01  3.5870E-03
  3.5851E-01  3.3717E-03
  3.6795E-01  3.1833E-03
  3.7738E-01  3.2811E-03
  3.8681E-01  3.1337E-03
  3.9625E-01  3.4212E-03
  4.0568E-01  3.4232E-03
  4.1512E-01  3.6795E-03
  4.2455E-01  3.9418E-03
  4.3399E-01  3.8659E-03
  4.4342E-01  3.8861E-03
  4.5286E-01  4.8680E-03
  4.6229E-01  4.1438E-03
  4.7173E-01  4.5847E-03
  4.8116E-01  4.4019E-03
  4.9059E-01  4.3245E-03
  5.0003E-01  4.6717E-03
  5.0946E-01  4.6041E-03
  5.1890E-01  4.2851E-03
  5.2833E-01  4.4308E-03
  5.3777E-01  4.6178E-03
  5.4720E-01  4.4573E-03
  5.5664E-01  4.4702E-03
  5.6607E-01  6.1301E-03
  5.7551E-01  4.6788E-03
  5.8494E-01  5.7959E-03
  5.9437E-01  5.9730E-03
  6.0381E-01  5.1752E-03
  6.1324E-01  5.2641E-03
  6.2268E-01  4.6918E-03
  6.3211E-01  5.1921E-03
  6.4155E-01  4.9170E-03
  6.5098E-01  5.6619E-03
  6.6042E-01  5.6552E-03
  6.6985E-01  5.2689E-03
  6.7928E-01  5.0673E-03
  6.8872E-01  4.5328E-03
  6.9815E-01  4.8173E-03
  7.0759E-01  4.7314E-03
  7.1702E-01  4.9105E-03
  7.2646E-01  5.1484E-03
  7.3589E-01  4.7453E-03
  7.4533E-01  5.4185E-03
  7.5476E-01  5.8361E-03
  7.6420E-01  5.2386E-03
  7.7363E-01  4.8103E-03
  7.8306E-01  5.5158E-03
  7.9250E-01  5.4863E-03
  8.0193E-01  6.4853E-03
  8.1137E-01  4.7007E-03
  8.2080E-01  4.7396E-03
  8.3024E-01  4.5091E-03
  8.3967E-01  4.6940E-03
  8.4911E-01  4.8331E-03
  8.5854E-01  5.7433E-03
  8.6797E-01  5.0919E-03
  8.7741E-01  4.6531E-03
  8.8684E-01  5.0728E-03
  8.9628E-01  5.4188E-03
  9.0571E-01  4.6692E-03
  9.1515E-01  5.3446E-03
  9.2458E-01  4.3599E-03
  9.3402E-01  5.5134E-03
  9.4345E-01  5.1495E-03
  9.5289E-01  4.9461E-03
  9.6232E-01  5.2673E-03
  9.7175E-01  5.4998E-03
  9.8119E-01  5.1574E-03
  9.9062E-01  4.8186E-03
  1.0001E+00  5.0291E-03
  1.0095E+00  5.1864E-03
  1.0189E+00  5.1681E-03
  1.0284E+00  5.6934E-03
  1.0378E+00  4.6464E-03
  1.0472E+00  5.3018E-03
  1.0567E+00  4.2714E-03
  1.0661E+00  4.9218E-03
  1.0755E+00  4.6613E-03
  1.0850E+00  4.7986E-03
  1.0944E+00  5.5813E-03
  1.1038E+00  4.7847E-03
  1.1133E+00  4.7790E-03
  1.1227E+00  4.3511E-03
  1.1321E+00  5.5490E-03
  1.1416E+00  4.7108E-03
  1.1510E+00  4.7257E-03
  1.1604E+00  5.1153E-03
  1.1699E+00  4.7546E-03
  1.1793E+00  4.8511E-03
  1.1887E+00  4.9932E-03
  1.1982E+00  5.1079E-03
  1.2076E+00  4.8853E-03
  1.2171E+00  5.1259E-03
  1.2265E+00  4.7678E-03
  1.2359E+00  4.0426E-03
  1.2454E+00  5.2999E-03
  1.2548E+00  4.7541E-03
  1.2642E+00  4.7569E-03
  1.2737E+00  4.4968E-03
  1.2831E+00  4.9038E-03
  1.2925E+00  4.5973E-03
  1.3020E+00  4.9366E-03
  1.3114E+00  5.3083E-03
  1.3208E+00  4.9265E-03
  1.3303E+00  4.7702E-03
  1.3397E+00  4.8522E-03
  1.3491E+00  5.4964E-03
  1.3586E+00  5.1398E-03
  1.3680E+00  4.8903E-03
  1.3774E+00  4.9539E-03
  1.3869E+00  4.3300E-03
  1.3963E+00  4.9018E-03
  1.4057E+00  4.2178E-03
  1.4152E+00  4.7030E-03
  1.4246E+00  4.7586E-03
  1.4340E+00  4.5667E-03
  1.4435E+00  4.5840E-03
  1.4529E+00  4.6568E-03
  1.4623E+00  4.4893E-03
  1.4718E+00  4.5726E-03
  1.4812E+00  4.6316E-03
  1.4907E+00  4.4234E-03
  1.5001E+00  4.8382E-03
  1.5095E+00  4.9686E-03
  1.5190E+00  4.6954E-03
  1.5284E+00  4.7443E-03
  1.5378E+00  4.1941E-03
  1.5473E+00  4.7417E-03
  1.5567E+00  4.6928E-03
  1.5661E+00  4.9832E-03
  1.5756E+00  4.2354E-03
  1.5850E+00  4.5368E-03
  1.5944E+00  4.2690E-03
  1.6039E+00  4.4103E-03
  1.6133E+00  4.6541E-03
  1.6227E+00  4.3786E-03
  1.6322E+00  4.2875E-03
  1.6416E+00  4.5371E-03
  1.6510E+00  4.1596E-03
  1.6605E+00  4.5264E-03
  1.6699E+00  4.1976E-03
  1.6793E+00  4.2844E-03
  1.6888E+00  4.5310E-03
  1.6982E+00  4.3836E-03
  1.7076E+00  4.1811E-03
  1.7171E+00  4.4083E-03
  1.7265E+00  4.1745E-03
  1.7359E+00  4.0767E-03
  1.7454E+00  4.3309E-03
  1.7548E+00  4.3938E-03
  1.7643E+00  4.0204E-03
  1.7737E+00  4.2861E-03
  1.7831E+00  4.2433E-03
  1.7926E+00  3.8476E-03
  1.8020E+00  4.3954E-03
