# CREATED BY GENE DIAGNOSTICS TOOL on Wed Mar  6 15:43:22 2019
# diag: fluxspectra, run(s): act, time window: 0-23.556445(8 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/IFERC/W7Xhiotas05/ITGa_NL/omt1b/
# normalization: L_ref=1.65m
#
# Q*A =   1.3687E-01 MW
# G*A =   2.3431E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  1.9207E-12  4.1466E-02
  5.6607E-02  1.0023E-11  8.2866E-02
  1.1321E-01  1.4431E-13  3.6366E-02
  1.6982E-01 -3.6047E-13  8.2945E-03
  2.2643E-01 -3.9295E-13  3.0661E-03
  2.8303E-01 -6.6980E-13  1.8801E-03
  3.3964E-01 -9.8076E-14  1.0163E-03
  3.9625E-01 -1.6020E-13  6.1792E-04
  4.5285E-01  2.4060E-14  4.4589E-04
  5.0946E-01  5.5480E-14  3.4630E-04
  5.6607E-01 -3.1534E-14  2.4974E-04
  6.2267E-01  2.7010E-14  1.9237E-04
  6.7928E-01  1.1145E-13  1.4979E-04
  7.3589E-01 -2.6578E-14  1.2498E-04
  7.9250E-01 -1.8281E-14  1.0598E-04
  8.4910E-01 -2.4284E-14  9.2220E-05
  9.0571E-01  3.1647E-14  8.9004E-05
  9.6232E-01  1.6793E-14  9.0880E-05
  1.0189E+00 -9.0283E-14  9.1637E-05
  1.0755E+00  8.2829E-14  9.2502E-05
  1.1321E+00  1.0649E-13  9.1767E-05
  1.1887E+00 -6.3628E-14  8.5546E-05
  1.2453E+00 -2.1520E-14  7.4220E-05
  1.3020E+00  1.0154E-13  6.1409E-05
  1.3586E+00 -9.4565E-14  4.8655E-05
  1.4152E+00  2.6136E-16  3.6082E-05
  1.4718E+00 -9.3989E-16  2.4718E-05
  1.5284E+00  4.4578E-14  1.5594E-05
  1.5850E+00  2.0380E-14  9.1517E-06
  1.6416E+00  1.1496E-14  4.9679E-06
  1.6982E+00  4.5877E-15  2.2390E-06
  1.7548E+00 -5.2377E-15  6.6983E-07
  1.8114E+00  2.7660E-15 -2.3958E-08
  1.8680E+00 -3.1034E-15 -2.9238E-07
  1.9246E+00 -8.3035E-15 -4.3162E-07
  1.9812E+00 -1.4396E-14 -6.2931E-07
  2.0378E+00  4.5119E-15 -9.1709E-07
  2.0945E+00 -7.1094E-15 -1.0472E-06
  2.1511E+00  1.8870E-15 -9.4977E-07
  2.2077E+00  6.3417E-15 -6.7852E-07
  2.2643E+00 -1.8262E-15 -3.8776E-07
  2.3209E+00  1.1768E-14 -2.2602E-07
  2.3775E+00 -1.6134E-15 -3.1354E-07
  2.4341E+00  1.0747E-15 -5.4651E-07
  2.4907E+00 -2.5443E-16 -7.8690E-07
  2.5473E+00  2.6727E-16 -9.4195E-07
  2.6039E+00  3.3810E-16 -1.0020E-06
  2.6605E+00 -9.2438E-16 -1.0236E-06
  2.7171E+00 -3.0639E-16 -9.7189E-07
  2.7737E+00  1.1323E-15 -8.5512E-07
  2.8303E+00  6.6261E-16 -7.3837E-07
  2.8869E+00  1.8913E-15 -6.5594E-07
  2.9436E+00  2.8502E-15 -5.9495E-07
  3.0002E+00  1.1316E-15 -5.3634E-07
  3.0568E+00  7.2101E-16 -4.6770E-07
  3.1134E+00  1.0451E-15 -4.1605E-07
  3.1700E+00 -8.9081E-16 -3.9908E-07
  3.2266E+00  1.2189E-15 -4.2769E-07
  3.2832E+00  1.7752E-15 -4.7545E-07
  3.3398E+00  1.3149E-15 -5.0840E-07
  3.3964E+00  4.2110E-16 -5.2033E-07
  3.4530E+00 -2.9263E-16 -5.0980E-07
  3.5096E+00 -9.3865E-16 -4.8410E-07
  3.5662E+00 -2.9047E-16 -4.4581E-07
  3.6228E+00  5.6837E-16 -4.0199E-07
  3.6794E+00  6.5482E-16 -3.5951E-07
  3.7360E+00 -1.5535E-17 -3.1153E-07
  3.7927E+00  1.7977E-18 -2.5349E-07
  3.8493E+00 -4.3894E-16 -1.9730E-07
  3.9059E+00 -1.7000E-16 -1.5372E-07
  3.9625E+00 -1.5746E-16 -1.2198E-07
  4.0191E+00 -2.1589E-16 -1.0288E-07
  4.0757E+00  2.6444E-16 -9.3353E-08
  4.1323E+00  2.3468E-16 -8.5196E-08
  4.1889E+00  2.7337E-16 -7.5384E-08
  4.2455E+00 -1.8519E-16 -6.2310E-08
  4.3021E+00 -1.5992E-16 -4.5473E-08
  4.3587E+00 -6.4672E-17 -2.6714E-08
  4.4153E+00  3.4810E-17 -8.5752E-09
  4.4719E+00 -6.1931E-16  1.4696E-09
  4.5285E+00  2.0467E-16 -8.5439E-09
  4.5852E+00 -5.0251E-16 -2.3470E-08
  4.6418E+00  3.4966E-16 -2.6190E-08
  4.6984E+00 -2.5845E-17 -1.0490E-08
  4.7550E+00 -2.3304E-16  1.0784E-08
  4.8116E+00 -7.6023E-18  1.3860E-08
  4.8682E+00 -3.0309E-16 -5.5672E-09
  4.9248E+00  1.2156E-16 -1.6071E-08
  4.9814E+00 -7.7712E-17 -1.4278E-08
  5.0380E+00 -2.1649E-16 -1.8674E-08
  5.0946E+00 -1.5742E-17 -2.9006E-08
  5.1512E+00  7.5046E-17 -2.4200E-08
  5.2078E+00  1.2457E-17 -1.2840E-08
  5.2644E+00 -1.2405E-16 -1.9000E-08
  5.3210E+00  1.8891E-17 -4.0639E-08
  5.3776E+00  6.1850E-17 -5.4331E-08
  5.4343E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02  1.6619E-13  1.5162E-03
  1.0000E-01 -7.0570E-13  5.0773E-03
  1.5000E-01 -8.8229E-13  9.0783E-03
  2.0000E-01  2.2739E-12  1.2510E-02
  2.5000E-01  2.8141E-13  1.4864E-02
  3.0000E-01  1.2777E-12  1.6048E-02
  3.5000E-01  6.9693E-13  1.6208E-02
  4.0000E-01  1.6606E-12  1.5601E-02
  4.5000E-01  5.1912E-13  1.4513E-02
  5.0000E-01 -1.2040E-12  1.3158E-02
  5.5000E-01  4.3405E-12  1.1646E-02
  6.0000E-01  1.1377E-12  1.0042E-02
  6.5000E-01  1.9916E-12  8.4119E-03
  7.0000E-01 -3.9909E-12  6.8381E-03
  7.5000E-01 -1.7962E-12  5.3954E-03
  8.0000E-01  8.2662E-13  4.1430E-03
  8.5000E-01  3.1905E-13  3.1146E-03
  9.0000E-01  1.4685E-12  2.3129E-03
  9.5000E-01  6.2066E-13  1.7151E-03
  1.0000E+00  1.8993E-13  1.2837E-03
  1.0500E+00  6.4641E-13  9.7742E-04
  1.1000E+00 -1.1582E-13  7.5910E-04
  1.1500E+00  4.8479E-13  5.9970E-04
  1.2000E+00  3.7240E-13  4.7881E-04
  1.2500E+00  2.4438E-13  3.8363E-04
  1.3000E+00 -1.2284E-13  3.0695E-04
  1.3500E+00  5.8219E-14  2.4481E-04
  1.4000E+00 -7.1059E-14  1.9469E-04
  1.4500E+00 -1.1326E-13  1.5469E-04
  1.5000E+00 -7.2534E-14  1.2312E-04
  1.5500E+00 -8.0358E-14  9.8375E-05
  1.6000E+00 -9.8247E-14  7.8936E-05
  1.6500E+00  5.3855E-14  6.3522E-05
  1.7000E+00  3.3960E-14  5.1138E-05
  1.7500E+00  2.1530E-14  4.1051E-05
  1.8000E+00  4.1203E-14  3.2736E-05
  1.8500E+00 -1.9436E-14  2.5824E-05
  1.9000E+00  1.7569E-14  2.0058E-05
  1.9500E+00  3.3438E-14  1.5249E-05
  2.0000E+00 -3.2122E-15  1.1247E-05
  2.0500E+00  3.0522E-14  7.9176E-06
  2.1000E+00  5.8580E-14  5.1429E-06
  2.1500E+00  5.2654E-15  2.8264E-06
  2.2000E+00  3.2747E-14  8.9446E-07
  2.2500E+00  1.7340E-15 -7.0242E-07
  2.3000E+00  2.1162E-14 -1.9960E-06
  2.3500E+00  2.2529E-14 -3.0113E-06
  2.4000E+00 -9.6198E-15 -3.7747E-06
  2.4500E+00  2.8183E-15 -4.3180E-06
  2.5000E+00  1.7299E-14 -4.6804E-06
  2.5500E+00 -7.6522E-15 -4.9051E-06
  2.6000E+00 -3.3941E-16 -5.0339E-06
  2.6500E+00  5.1876E-15 -5.0987E-06
  2.7000E+00 -5.2282E-15 -5.1153E-06
  2.7500E+00  5.1064E-15 -5.0840E-06
  2.8000E+00  3.2750E-15 -4.9979E-06
  2.8500E+00 -1.3990E-14 -4.8521E-06
  2.9000E+00 -1.0135E-14 -4.6441E-06
  2.9500E+00  8.6341E-15 -4.3731E-06
  3.0000E+00  1.2013E-14 -4.0487E-06
  3.0500E+00  9.0242E-15 -3.7002E-06
  3.1000E+00 -1.4710E-14 -3.3647E-06
  3.1500E+00 -6.5919E-15 -3.0626E-06
