# CREATED BY GENE DIAGNOSTICS TOOL on Wed Mar  6 16:21:20 2019
# diag: fluxspectra, run(s): act, time window: 0-23.556445(6 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/IFERC/W7Xhiotas05/ITGa_NL/omt1d/
# normalization: L_ref=1.65m
#
# Q*A =   1.3067E-01 MW
# G*A =  -3.3781E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -7.5846E-12  3.6609E-02
  5.6607E-02 -1.9455E-12  7.9298E-02
  1.1321E-01 -4.4095E-12  3.5331E-02
  1.6982E-01 -1.7400E-12  8.6149E-03
  2.2643E-01 -1.7914E-13  3.2957E-03
  2.8303E-01  3.4096E-13  2.0309E-03
  3.3964E-01 -5.1369E-15  1.1300E-03
  3.9625E-01  1.2412E-13  7.1937E-04
  4.5285E-01  7.7903E-14  5.5698E-04
  5.0946E-01  2.6742E-14  4.4267E-04
  5.6607E-01 -9.3148E-14  3.1488E-04
  6.2267E-01  2.1300E-14  2.3686E-04
  6.7928E-01 -4.5052E-14  1.8623E-04
  7.3589E-01  6.7623E-14  1.6398E-04
  7.9250E-01 -5.4863E-14  1.4554E-04
  8.4910E-01 -9.1730E-14  1.2789E-04
  9.0571E-01  1.1828E-13  1.2258E-04
  9.6232E-01 -2.0069E-14  1.1459E-04
  1.0189E+00  9.1196E-14  1.0606E-04
  1.0755E+00  6.4861E-15  1.0011E-04
  1.1321E+00  2.7639E-15  9.3186E-05
  1.1887E+00 -1.8304E-14  8.0186E-05
  1.2453E+00 -1.3789E-13  6.4199E-05
  1.3020E+00  3.3512E-14  5.0999E-05
  1.3586E+00  1.7706E-14  4.0156E-05
  1.4152E+00  4.1312E-14  2.8823E-05
  1.4718E+00  4.4437E-15  1.7209E-05
  1.5284E+00 -2.2194E-14  7.9750E-06
  1.5850E+00  1.4463E-14  2.0859E-06
  1.6416E+00  1.9048E-14 -4.4097E-07
  1.6982E+00  1.0924E-14 -1.3288E-06
  1.7548E+00  1.7807E-15 -1.9226E-06
  1.8114E+00 -3.6023E-15 -2.0185E-06
  1.8680E+00  9.3512E-15 -1.3140E-06
  1.9246E+00 -3.1021E-15 -9.2810E-07
  1.9812E+00 -1.2609E-14 -1.3449E-06
  2.0378E+00 -1.6137E-14 -1.8602E-06
  2.0945E+00 -1.2645E-14 -2.1175E-06
  2.1511E+00 -3.0693E-15 -1.4027E-06
  2.2077E+00  2.8086E-15 -5.4703E-07
  2.2643E+00 -4.2242E-15 -4.7918E-07
  2.3209E+00 -1.2063E-14 -1.2692E-06
  2.3775E+00  2.3801E-15 -1.9172E-06
  2.4341E+00 -7.7748E-16 -1.9266E-06
  2.4907E+00  4.8588E-16 -1.4631E-06
  2.5473E+00  1.2009E-15 -9.4516E-07
  2.6039E+00 -3.7912E-16 -8.3438E-07
  2.6605E+00 -4.0632E-15 -8.0400E-07
  2.7171E+00  0.0000E+00  0.0000E+00


