# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 16:43:43 2019
# diag: fluxspectra, run(s): act, time window: 0-2000(143 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt1_P/
# normalization: L_ref=5.4832m
#
# Q*dVdx =   4.1249E+01 MW
# G*dVdx =  -3.0766E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -3.4427E-13  2.1708E-02
  1.1846E-02 -2.1370E-14  3.6506E-02
  2.3691E-02  1.3016E-12  3.3790E-02
  3.5537E-02  3.1601E-13  3.3114E-02
  4.7383E-02  3.2432E-13  3.2002E-02
  5.9229E-02  3.3046E-13  3.0804E-02
  7.1074E-02 -1.6873E-13  3.0847E-02
  8.2920E-02 -1.0638E-13  3.0864E-02
  9.4766E-02 -3.9799E-13  3.0575E-02
  1.0661E-01  3.1994E-13  2.9255E-02
  1.1846E-01  4.3328E-13  2.8373E-02
  1.3030E-01  1.6242E-13  2.7962E-02
  1.4215E-01  2.1028E-13  2.6861E-02
  1.5399E-01 -3.9271E-14  2.6605E-02
  1.6584E-01  3.4037E-13  2.6398E-02
  1.7769E-01 -6.0516E-13  2.5321E-02
  1.8953E-01  1.4403E-12  2.4523E-02
  2.0138E-01  4.7271E-13  2.2975E-02
  2.1322E-01 -9.1772E-13  2.2383E-02
  2.2507E-01 -8.2100E-14  2.1627E-02
  2.3691E-01  1.4277E-13  2.0243E-02
  2.4876E-01 -2.0364E-13  1.9876E-02
  2.6061E-01  2.7970E-13  1.8537E-02
  2.7245E-01 -4.7344E-13  1.8458E-02
  2.8430E-01 -8.6122E-13  1.7338E-02
  2.9614E-01 -1.1372E-12  1.6938E-02
  3.0799E-01 -2.5190E-13  1.5633E-02
  3.1983E-01 -4.3818E-13  1.5074E-02
  3.3168E-01 -8.8665E-14  1.4805E-02
  3.4353E-01 -3.5529E-13  1.4148E-02
  3.5537E-01 -5.2733E-13  1.3150E-02
  3.6722E-01  6.3556E-13  1.2523E-02
  3.7906E-01 -3.4064E-14  1.2123E-02
  3.9091E-01 -9.1114E-13  1.1623E-02
  4.0275E-01  4.1237E-13  1.1281E-02
  4.1460E-01 -5.2882E-13  1.0924E-02
  4.2645E-01 -3.3664E-13  1.0272E-02
  4.3829E-01  1.3252E-14  1.0066E-02
  4.5014E-01 -6.9220E-13  9.5182E-03
  4.6198E-01 -5.3969E-13  9.3724E-03
  4.7383E-01  3.5880E-14  8.8384E-03
  4.8567E-01  5.2781E-13  8.5759E-03
  4.9752E-01  1.6921E-13  8.0463E-03
  5.0937E-01  2.1517E-13  7.5978E-03
  5.2121E-01  3.1860E-13  7.5619E-03
  5.3306E-01 -7.3156E-14  7.1419E-03
  5.4490E-01  1.2014E-13  6.8771E-03
  5.5675E-01 -2.9705E-13  6.6515E-03
  5.6859E-01  8.8965E-14  6.3937E-03
  5.8044E-01 -1.0417E-13  6.1781E-03
  5.9229E-01 -6.4509E-14  3.0805E-03


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02 -1.3600E-13  6.1572E-03
  1.0000E-01 -9.0772E-14  2.2621E-02
  1.5000E-01  1.3133E-13  5.5013E-02
  2.0000E-01  8.1269E-13  7.4114E-02
  2.5000E-01 -1.4645E-12  8.8021E-02
  3.0000E-01 -7.6935E-13  9.4696E-02
  3.5000E-01  4.0194E-13  9.0062E-02
  4.0000E-01 -1.6046E-12  7.7940E-02
  4.5000E-01  8.5564E-14  7.0619E-02
  5.0000E-01 -1.4793E-12  5.8630E-02
  5.5000E-01 -7.0993E-13  5.0501E-02
  6.0000E-01  9.3981E-13  4.1171E-02
  6.5000E-01  1.6687E-13  3.2688E-02
  7.0000E-01 -3.3434E-13  2.5969E-02
  7.5000E-01 -3.2636E-13  2.0935E-02
  8.0000E-01  2.3189E-13  1.7253E-02
  8.5000E-01  6.9148E-13  1.4363E-02
  9.0000E-01 -3.2256E-13  1.2020E-02
  9.5000E-01  5.9447E-13  1.0106E-02
  1.0000E+00 -7.5483E-15  8.5451E-03
  1.0500E+00  7.9449E-14  7.2278E-03
  1.1000E+00  3.6043E-13  6.1913E-03
  1.1500E+00  1.4735E-13  5.3981E-03
  1.2000E+00  1.9530E-13  4.6125E-03
  1.2500E+00  1.1044E-13  4.0379E-03
  1.3000E+00  3.2589E-13  3.5052E-03
  1.3500E+00  3.7340E-14  3.0427E-03
  1.4000E+00 -8.7843E-14  2.6896E-03
  1.4500E+00 -1.0491E-13  2.3688E-03
  1.5000E+00 -2.8937E-14  2.0873E-03
  1.5500E+00  2.4587E-13  1.9001E-03
  1.6000E+00 -9.2937E-14  1.7114E-03
  1.6500E+00  3.7010E-14  1.5791E-03
  1.7000E+00  1.2412E-13  1.4319E-03
  1.7500E+00 -1.4332E-13  1.3070E-03
  1.8000E+00  1.4713E-13  1.2474E-03
  1.8500E+00 -1.0092E-13  1.1647E-03
  1.9000E+00  5.4299E-14  1.1065E-03
  1.9500E+00  1.9050E-14  1.0271E-03
  2.0000E+00 -3.9668E-14  9.8715E-04
  2.0500E+00 -1.1923E-13  9.4384E-04
  2.1000E+00 -2.3926E-14  8.9116E-04
  2.1500E+00  3.0091E-14  8.4670E-04
  2.2000E+00  1.1921E-13  8.1517E-04
  2.2500E+00 -6.1877E-14  7.8051E-04
  2.3000E+00  3.5032E-14  7.2981E-04
  2.3500E+00 -4.7736E-14  6.9786E-04
  2.4000E+00  8.5454E-14  6.6467E-04
  2.4500E+00  1.6054E-14  6.1939E-04
  2.5000E+00  3.7293E-14  5.9241E-04
  2.5500E+00  9.4631E-14  5.5805E-04
  2.6000E+00 -2.1879E-16  5.2870E-04
  2.6500E+00  3.0249E-14  4.9816E-04
  2.7000E+00 -8.4799E-14  4.6527E-04
  2.7500E+00 -1.0344E-14  4.4262E-04
  2.8000E+00  9.8034E-14  4.1208E-04
  2.8500E+00  5.4717E-14  3.7862E-04
  2.9000E+00  5.6351E-14  3.5642E-04
  2.9500E+00  1.7545E-14  3.2979E-04
  3.0000E+00  5.6424E-14  3.0827E-04
