# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 16:40:47 2019
# diag: nrgsummary, run(s): act, time window: 0-2000(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt1_P/
# normalization: L_ref=5.4832m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  8.3557E-35  1.3147E-34 -3.4417E-36
  9.7272E+00  8.2700E-20  4.7701E-01  2.0185E-04
  1.9702E+01  3.8226E-19  5.4932E-01  1.3934E-03
  2.8376E+01  1.5071E-19  6.3661E-01  2.0668E-03
  3.5732E+01  3.8421E-20  7.2993E-01 -2.7310E-03
  4.2703E+01  9.8777E-19  8.1548E-01 -1.3903E-02
  4.9384E+01  1.5116E-19  8.7409E-01 -3.3058E-02
  5.6065E+01 -7.8296E-21  8.8405E-01 -5.0519E-02
  6.2746E+01  7.5921E-20  8.8362E-01 -4.2376E-02
  6.9280E+01  4.9230E-19  8.7486E-01 -3.5539E-02
  7.5622E+01  4.6110E-19  8.3115E-01 -2.1824E-02
  8.2228E+01  2.7550E-19  7.8932E-01 -9.8786E-03
  8.9093E+01 -4.0973E-19  7.4942E-01 -1.4121E-02
  9.6085E+01  6.9315E-20  7.1035E-01 -1.8978E-02
  1.0324E+02 -1.4414E-19  6.7585E-01 -1.3729E-02
  1.1070E+02  1.3617E-19  6.5248E-01 -5.8763E-03
  1.1841E+02 -2.0598E-19  6.5268E-01 -9.5332E-03
  1.2622E+02  1.5058E-19  6.7208E-01 -9.2794E-05
  1.3432E+02  2.2086E-19  6.9848E-01  4.0481E-04
  1.4241E+02  1.1373E-19  7.2476E-01 -2.5619E-03
  1.5051E+02 -6.8366E-20  7.4809E-01 -7.0346E-04
  1.5894E+02  1.2423E-19  7.5849E-01  1.2870E-03
  1.6744E+02  3.3450E-19  7.8012E-01  3.6546E-03
  1.7594E+02 -1.3989E-19  8.0199E-01 -5.6563E-03
  1.8444E+02 -1.3678E-19  8.2242E-01 -1.0119E-03
  1.9294E+02 -2.8545E-21  8.4849E-01 -1.4611E-03
  2.0144E+02  2.3100E-19  8.6811E-01 -9.3710E-03
  2.0994E+02 -7.0967E-20  8.8329E-01 -6.3674E-03
  2.1844E+02 -1.1729E-19  8.8250E-01 -2.8558E-03
  2.2693E+02  2.5365E-19  8.8957E-01 -1.3409E-02
  2.3543E+02 -2.8567E-19  8.9540E-01 -1.0828E-02
  2.4393E+02  5.0817E-20  8.9831E-01 -5.8837E-03
  2.5243E+02 -4.8419E-19  9.0525E-01 -1.3360E-03
  2.6093E+02  6.5125E-19  9.1758E-01 -6.5536E-03
  2.6943E+02 -1.3882E-19  9.2963E-01 -2.7989E-03
  2.7793E+02 -6.1109E-20  9.2727E-01  3.4265E-03
  2.8643E+02 -5.0893E-20  9.4067E-01  1.2321E-03
  2.9493E+02 -2.7087E-20  9.5313E-01 -2.9311E-03
  3.0343E+02 -3.9713E-19  9.6381E-01  2.1952E-03
  3.1192E+02 -3.4789E-19  9.6795E-01  3.9834E-03
  3.2042E+02  3.4331E-19  9.6831E-01 -1.7089E-03
  3.2892E+02 -6.2950E-19  9.5530E-01  4.2842E-03
  3.3742E+02 -2.7838E-19  9.4327E-01 -1.8311E-03
  3.4592E+02  2.1297E-19  9.4505E-01 -8.9246E-05
  3.5442E+02  2.0810E-19  9.4087E-01 -7.6364E-03
  3.6292E+02  1.3581E-19  9.2935E-01 -7.0652E-04
  3.7142E+02  8.4279E-20  9.2737E-01  1.6866E-03
  3.7992E+02  4.6073E-19  9.3635E-01  5.2266E-03
  3.8842E+02  7.0381E-19  9.4589E-01  4.3939E-04
