# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 16:43:43 2019
# diag: spectra, run(s): act, time window: 0-2000(143 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt1_P/
# normalization: L_ref=5.4832m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.1645E-03
  1.0000E-01  1.4447E-03
  1.5000E-01  1.8105E-03
  2.0000E-01  2.2041E-03
  2.5000E-01  1.7577E-03
  3.0000E-01  1.7843E-03
  3.5000E-01  1.6971E-03
  4.0000E-01  1.5855E-03
  4.5000E-01  1.3548E-03
  5.0000E-01  1.2567E-03
  5.5000E-01  1.2401E-03
  6.0000E-01  9.7260E-04
  6.5000E-01  7.1547E-04
  7.0000E-01  5.3650E-04
  7.5000E-01  4.4218E-04
  8.0000E-01  3.2469E-04
  8.5000E-01  2.6258E-04
  9.0000E-01  1.9560E-04
  9.5000E-01  1.6834E-04
  1.0000E+00  1.3176E-04
  1.0500E+00  1.1539E-04
  1.1000E+00  9.3986E-05
  1.1500E+00  7.9302E-05
  1.2000E+00  6.7639E-05
  1.2500E+00  5.4477E-05
  1.3000E+00  4.7829E-05
  1.3500E+00  4.2720E-05
  1.4000E+00  3.7032E-05
  1.4500E+00  3.0748E-05
  1.5000E+00  2.7852E-05
  1.5500E+00  2.6090E-05
  1.6000E+00  2.2099E-05
  1.6500E+00  2.0029E-05
  1.7000E+00  1.7773E-05
  1.7500E+00  1.5970E-05
  1.8000E+00  1.4455E-05
  1.8500E+00  1.2248E-05
  1.9000E+00  1.2239E-05
  1.9500E+00  1.0722E-05
  2.0000E+00  9.9551E-06
  2.0500E+00  9.7962E-06
  2.1000E+00  8.5693E-06
  2.1500E+00  7.6635E-06
  2.2000E+00  6.9279E-06
  2.2500E+00  6.8724E-06
  2.3000E+00  6.2047E-06
  2.3500E+00  5.5880E-06
  2.4000E+00  5.2660E-06
  2.4500E+00  4.6546E-06
  2.5000E+00  4.8120E-06
  2.5500E+00  4.0637E-06
  2.6000E+00  3.8308E-06
  2.6500E+00  3.5959E-06
  2.7000E+00  3.2954E-06
  2.7500E+00  3.3372E-06
  2.8000E+00  3.0654E-06
  2.8500E+00  2.5920E-06
  2.9000E+00  2.5324E-06
  2.9500E+00  2.4191E-06
  3.0000E+00  2.3260E-06
  3.0500E+00  2.2176E-06
  3.1000E+00  2.0093E-06
  3.1500E+00  1.8070E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  6.2267E-01
  5.0000E-02  1.3599E-03
  1.0000E-01  1.4445E-03
  1.5000E-01  2.1105E-03
  2.0000E-01  1.6487E-03
  2.5000E-01  1.7369E-03
  3.0000E-01  1.8389E-03
  3.5000E-01  1.5947E-03
  4.0000E-01  1.4550E-03
  4.5000E-01  1.2791E-03
  5.0000E-01  1.0832E-03
  5.5000E-01  1.0104E-03
  6.0000E-01  8.3484E-04
  6.5000E-01  6.1576E-04
  7.0000E-01  5.2309E-04
  7.5000E-01  3.7624E-04
  8.0000E-01  3.1937E-04
  8.5000E-01  2.3090E-04
  9.0000E-01  1.9853E-04
  9.5000E-01  1.7229E-04
  1.0000E+00  1.3441E-04
  1.0500E+00  1.0411E-04
  1.1000E+00  8.9639E-05
  1.1500E+00  7.4887E-05
  1.2000E+00  6.5569E-05
  1.2500E+00  5.4713E-05
