# CREATED BY GENE DIAGNOSTICS TOOL on Wed Feb 20 16:43:44 2019
# diag: zonal, run(s): act, time window: 0-2000(143 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt1_P/
# normalization: L_ref=5.4832m
#
# avg. values:
# shearing rate: 0.06212228
#  shear. ra
  3.0760E-09  1.3712E-04  8.9059E-03  2.0469E-02  3.5664E-02  4.3078E-02  5.1659E-02  5.1080E-02  5.2989E-02  5.1954E-02  5.5538E-02  4.9637E-02  4.7763E-02  5.0738E-02  5.5466E-02  6.0196E-02  6.4659E-02  6.4194E-02  6.0633E-02  6.6524E-02  6.2674E-02  5.8680E-02  5.5421E-02  5.1209E-02  5.6584E-02  6.5022E-02  5.9731E-02  6.0475E-02  5.1434E-02  6.3917E-02  5.9158E-02  6.5592E-02  7.3638E-02  5.8771E-02  5.6122E-02  6.0517E-02  5.8146E-02  5.8198E-02  6.1489E-02  7.0059E-02  6.5702E-02  6.0573E-02  6.3756E-02  6.1638E-02  7.0476E-02  6.4038E-02  6.7101E-02  7.7242E-02  7.3631E-02  5.6704E-02  5.2581E-02  6.8370E-02  5.6906E-02  6.7435E-02  6.7430E-02  6.9093E-02  6.5434E-02  6.5196E-02  7.1356E-02  6.1429E-02  6.4750E-02  6.2731E-02  6.3001E-02  7.2360E-02  7.4201E-02  7.0061E-02  6.8746E-02  6.6584E-02  5.4563E-02  6.7305E-02  7.2059E-02  6.8147E-02  7.0106E-02  6.7707E-02  6.9510E-02  6.9126E-02  6.9106E-02  7.8611E-02  6.2146E-02  6.0614E-02  6.7905E-02  6.4605E-02  6.2877E-02  6.4489E-02  5.6842E-02  6.2654E-02  5.8389E-02  6.2996E-02  6.9291E-02  7.6426E-02  7.0546E-02  6.8106E-02  6.0396E-02  6.1372E-02  7.5229E-02  6.1998E-02  5.7656E-02  6.0774E-02  6.3747E-02  6.9318E-02  6.6845E-02  6.2283E-02  6.5552E-02  6.2007E-02  6.1787E-02  6.4669E-02  6.1383E-02  6.7034E-02  6.8464E-02  7.0212E-02  7.1660E-02  8.1578E-02  7.7761E-02  6.8303E-02  7.1133E-02  7.3571E-02  6.2019E-02  6.3848E-02  6.7179E-02  6.0171E-02  6.5417E-02  6.8304E-02  6.1508E-02  6.4588E-02  6.9154E-02  6.2517E-02  6.2349E-02  6.7540E-02  6.6956E-02  7.5358E-02  7.5849E-02  7.0548E-02  6.6969E-02  6.5054E-02  5.7934E-02  6.4077E-02  5.8479E-02  6.5431E-02  6.4898E-02  5.8924E-02  5.7212E-02  5.0580E-02  5.8837E-02


# averaged over time
#  kx         shear. rat
  1.1846E-02  1.0513E-04
  2.3691E-02  2.1286E-04
  3.5537E-02  3.4413E-04
  4.7383E-02  7.8173E-04
  5.9229E-02  1.0134E-03
  7.1074E-02  1.3116E-03
  8.2920E-02  1.7731E-03
  9.4766E-02  2.6762E-03
  1.0661E-01  2.0853E-03
  1.1846E-01  2.9903E-03
  1.3030E-01  2.8163E-03
  1.4215E-01  4.7964E-03
  1.5399E-01  3.6682E-03
  1.6584E-01  3.3601E-03
  1.7769E-01  3.8131E-03
  1.8953E-01  6.3535E-03
  2.0138E-01  3.9820E-03
  2.1322E-01  4.3965E-03
  2.2507E-01  4.7843E-03
  2.3691E-01  4.2131E-03
  2.4876E-01  4.4743E-03
  2.6061E-01  5.3565E-03
  2.7245E-01  5.0451E-03
  2.8430E-01  4.9721E-03
  2.9614E-01  5.4640E-03
  3.0799E-01  5.3768E-03
  3.1983E-01  5.3644E-03
  3.3168E-01  5.3650E-03
  3.4353E-01  5.8165E-03
  3.5537E-01  5.8214E-03
  3.6722E-01  6.0476E-03
  3.7906E-01  6.2387E-03
  3.9091E-01  5.8595E-03
  4.0275E-01  5.8980E-03
  4.1460E-01  6.7336E-03
  4.2645E-01  6.2992E-03
  4.3829E-01  6.6275E-03
  4.5014E-01  6.2609E-03
  4.6198E-01  7.1659E-03
  4.7383E-01  6.9349E-03
  4.8567E-01  6.9577E-03
  4.9752E-01  6.6091E-03
  5.0937E-01  7.3564E-03
  5.2121E-01  8.0831E-03
  5.3306E-01  7.7488E-03
  5.4490E-01  8.1414E-03
  5.5675E-01  7.5629E-03
  5.6859E-01  9.4632E-03
  5.8044E-01  8.2988E-03
