# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 15:03:16 2019
# diag: fluxspectra, run(s): act, time window: 0-2000(113 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt2/
# normalization: L_T,ions
#
# Q*dVdx =   6.8055E+01 MW
# G*dVdx =  -1.1569E-10 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  1.4404E-12  5.0674E-02
  1.1846E-02  1.4984E-13  7.0834E-02
  2.3691E-02 -3.3968E-12  5.5668E-02
  3.5537E-02  2.8024E-13  4.9612E-02
  4.7383E-02  9.5458E-13  4.7531E-02
  5.9229E-02 -1.2061E-13  4.5003E-02
  7.1074E-02  7.5029E-14  4.4891E-02
  8.2920E-02  1.4548E-13  4.3633E-02
  9.4766E-02 -1.0758E-13  4.2799E-02
  1.0661E-01 -9.6978E-13  4.2634E-02
  1.1846E-01  1.8124E-13  4.1023E-02
  1.3030E-01  5.3295E-13  3.9709E-02
  1.4215E-01  7.8134E-13  3.8171E-02
  1.5399E-01  1.3711E-12  3.7867E-02
  1.6584E-01 -9.9603E-13  3.6304E-02
  1.7769E-01 -1.7721E-13  3.5088E-02
  1.8953E-01 -1.2613E-12  3.4777E-02
  2.0138E-01  3.9362E-13  3.3816E-02
  2.1322E-01  1.4827E-13  3.2357E-02
  2.2507E-01  6.3339E-13  3.1625E-02
  2.3691E-01  4.6593E-13  3.0574E-02
  2.4876E-01 -1.5398E-12  2.9955E-02
  2.6061E-01 -5.7009E-13  2.9526E-02
  2.7245E-01  6.8814E-13  2.8605E-02
  2.8430E-01 -1.0151E-12  2.7772E-02
  2.9614E-01  9.6040E-13  2.6818E-02
  3.0799E-01  4.9682E-14  2.6396E-02
  3.1983E-01  2.0009E-13  2.5286E-02
  3.3168E-01  4.0247E-13  2.4648E-02
  3.4353E-01 -1.6483E-13  2.4094E-02
  3.5537E-01 -7.1007E-13  2.3236E-02
  3.6722E-01 -4.6622E-14  2.3168E-02
  3.7906E-01  1.3287E-13  2.2439E-02
  3.9091E-01 -3.5279E-13  2.1943E-02
  4.0275E-01  1.7160E-13  2.1725E-02
  4.1460E-01 -1.9452E-13  2.1065E-02
  4.2645E-01  6.7123E-13  2.0229E-02
  4.3829E-01 -7.2297E-13  2.0380E-02
  4.5014E-01 -2.9158E-13  1.9798E-02
  4.6198E-01  4.7111E-13  1.9120E-02
  4.7383E-01 -1.6728E-12  1.8731E-02
  4.8567E-01  1.4321E-13  1.8262E-02
  4.9752E-01 -6.8243E-13  1.7643E-02
  5.0937E-01 -8.8250E-13  1.7456E-02
  5.2121E-01 -7.3672E-13  1.7052E-02
  5.3306E-01 -6.1293E-13  1.6481E-02
