# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 15:03:36 2019
# diag: nrgsummary, run(s): act, time window: 0-2000(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt2/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  2.0889E-35  3.2867E-35 -8.6042E-37
  1.6212E+00 -1.8187E-19  5.1280E-02  2.8095E-07
  3.2424E+00  4.3747E-19  1.0195E-01  2.9197E-06
  4.8636E+00  1.2390E-19  1.5073E-01  7.1783E-06
  6.4848E+00  6.6198E-19  1.9603E-01  4.8953E-06
  8.1060E+00 -5.9917E-19  2.3708E-01 -9.6473E-06
  9.6462E+00 -3.7908E-19  2.7245E-01 -3.2525E-05
  1.1186E+01 -5.1305E-19  3.0538E-01 -5.7260E-05
  1.2726E+01 -3.0737E-19  3.3737E-01 -7.6470E-05
  1.4267E+01 -5.2368E-19  3.7012E-01 -8.4680E-05
  1.5807E+01 -5.9395E-19  4.0523E-01 -7.8775E-05
  1.7266E+01  5.6280E-20  4.4203E-01 -5.9090E-05
  1.8726E+01  1.3073E-18  4.8338E-01 -2.5903E-05
  2.0186E+01  8.3195E-20  5.3013E-01  1.9874E-05
  2.1608E+01  8.7495E-19  5.8155E-01  7.5520E-05
  2.2994E+01  1.8329E-18  6.3765E-01  1.3944E-04
  2.4379E+01  6.0675E-19  7.0007E-01  2.1282E-04
  2.5729E+01  2.5277E-19  7.6727E-01  2.9400E-04
  2.7044E+01  9.8743E-19  8.3905E-01  3.8328E-04
  2.8353E+01  2.6625E-19  9.1698E-01  4.8305E-04
  2.9600E+01  1.1692E-18  9.9765E-01  5.8875E-04
  3.0848E+01 -3.4458E-21  1.0849E+00  7.0412E-04
  3.2031E+01  2.1485E-18  1.1740E+00  8.2062E-04
  3.3202E+01 -5.5410E-19  1.2687E+00  9.4018E-04
  3.4326E+01  1.7580E-18  1.3658E+00  1.0567E-03
  3.5415E+01 -1.4962E-18  1.4660E+00  1.1709E-03
  3.6481E+01 -1.1061E-18  1.5699E+00  1.2872E-03
  3.7499E+01  2.7003E-18  1.6747E+00  1.4099E-03
  3.8495E+01  2.2378E-18  1.7824E+00  1.5514E-03
  3.9455E+01  1.6996E-18  1.8910E+00  1.7154E-03
  4.0373E+01  1.6800E-19  1.9992E+00  1.8977E-03
  4.1281E+01 -1.0949E-18  2.1103E+00  2.0944E-03
  4.2142E+01 -3.1787E-19  2.2193E+00  2.2902E-03
  4.2986E+01 -4.3745E-18  2.3293E+00  2.5025E-03
  4.3802E+01  9.6148E-19  2.4388E+00  2.7553E-03
  4.4606E+01  4.5865E-19  2.5490E+00  3.0827E-03
  4.5379E+01 -6.1050E-18  2.6562E+00  3.5565E-03
  4.6118E+01  2.5623E-18  2.7587E+00  4.3888E-03
  4.6825E+01  2.1523E-18  2.8547E+00  5.8143E-03
  4.7499E+01  1.7545E-18  2.9420E+00  7.7385E-03
  4.8133E+01  4.0660E-18  3.0175E+00  1.0069E-02
  4.8749E+01 -7.3980E-19  3.0825E+00  1.2668E-02
  4.9305E+01  2.2225E-18  3.1342E+00  1.3734E-02
  4.9824E+01 -7.1945E-18  3.1778E+00  1.2805E-02
  5.0321E+01 -3.9777E-18  3.2132E+00  1.1510E-02
  5.0790E+01  2.7767E-18  3.2390E+00  1.0644E-02
  5.1259E+01 -4.7205E-18  3.2573E+00  9.3790E-03
  5.1727E+01  4.9785E-18  3.2692E+00  5.9845E-03
  5.2169E+01  1.3136E-18  3.2798E+00  8.3445E-04
  5.2589E+01 -2.7780E-18  3.2885E+00 -3.1692E-03
  5.3005E+01 -1.8538E-18  3.2880E+00 -6.0738E-03
  5.3403E+01 -6.6932E-18  3.2733E+00 -8.2977E-03
  5.3801E+01 -2.5670E-19  3.2545E+00 -9.0522E-03
  5.4199E+01  3.4137E-18  3.2290E+00 -9.4482E-03
  5.4596E+01  5.5500E-19  3.1988E+00 -1.0748E-02
  5.4994E+01 -8.4248E-18  3.1702E+00 -1.3931E-02
  5.5392E+01 -4.1937E-18  3.1345E+00 -1.5057E-02
  5.5790E+01 -7.4340E-19  3.0915E+00 -1.4112E-02
  5.6187E+01  6.5317E-18  3.0508E+00 -1.6016E-02
  5.6585E+01 -3.7420E-18  3.0152E+00 -1.5848E-02
  5.6983E+01 -7.0878E-18  2.9732E+00 -1.4976E-02
  5.7361E+01  9.3763E-19  2.9302E+00 -1.4818E-02
  5.7738E+01  2.6277E-18  2.8912E+00 -1.3458E-02
  5.8116E+01  1.3832E-18  2.8490E+00 -1.6612E-02
  5.8490E+01 -4.1893E-18  2.8043E+00 -1.5592E-02
  5.8847E+01  2.3356E-18  2.7685E+00 -1.4170E-02
  5.9204E+01  1.3326E-18  2.7383E+00 -1.5082E-02
  5.9561E+01  1.7258E-18  2.7067E+00 -1.6743E-02
  5.9918E+01  4.3308E-18  2.6725E+00 -1.7666E-02
  6.0276E+01  1.3673E-18  2.6363E+00 -1.8063E-02
  6.0633E+01  3.1780E-18  2.6012E+00 -1.7879E-02
  6.0990E+01  6.8670E-18  2.5673E+00 -1.8261E-02
  6.1347E+01 -4.1398E-20  2.5347E+00 -1.8041E-02
  6.1704E+01 -1.3062E-18  2.5043E+00 -1.7251E-02
  6.2062E+01 -1.7384E-18  2.4752E+00 -1.7835E-02
  6.2419E+01  7.3790E-19  2.4492E+00 -1.7918E-02
  6.2783E+01  2.5945E-18  2.4249E+00 -1.5409E-02
  6.3158E+01 -1.4490E-18  2.4014E+00 -1.3641E-02
  6.3533E+01 -1.6711E-18  2.3784E+00 -1.3597E-02
  6.3908E+01 -1.3798E-18  2.3539E+00 -1.4279E-02
  6.4284E+01  5.6540E-19  2.3282E+00 -1.5274E-02
  6.4659E+01  3.9488E-18  2.3050E+00 -1.6815E-02
  6.5034E+01 -7.6830E-19  2.2838E+00 -1.7419E-02
  6.5409E+01 -2.6535E-19  2.2638E+00 -1.7506E-02
  6.5784E+01 -3.5438E-19  2.2459E+00 -1.6607E-02
  6.6159E+01  2.9183E-19  2.2266E+00 -1.4779E-02
  6.6541E+01  5.8513E-19  2.2055E+00 -1.2272E-02
