# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 15:03:16 2019
# diag: zonal, run(s): act, time window: 0-2000(113 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt2/
# normalization: L_T,ions
#
# avg. values:
# shearing rate: 0.063847367
#  shear. ra
  1.5380E-09  1.6659E-04  4.5964E-03  2.9331E-02  4.6573E-02  3.5445E-02  5.6449E-02  5.0987E-02  6.3024E-02  6.5174E-02  6.3286E-02  6.5644E-02  5.8908E-02  6.8092E-02  5.8558E-02  7.4820E-02  7.1713E-02  7.2781E-02  6.7406E-02  6.6611E-02  6.6754E-02  6.9789E-02  7.3428E-02  6.8436E-02  7.3130E-02  7.3224E-02  6.3141E-02  6.3890E-02  6.3917E-02  6.1994E-02  6.2360E-02  6.0287E-02  6.7046E-02  7.6707E-02  6.4142E-02  7.2557E-02  7.3108E-02  6.8640E-02  6.5226E-02  6.2136E-02  6.5941E-02  6.3793E-02  6.5377E-02  7.2343E-02  7.0788E-02  6.4104E-02  6.5634E-02  7.3642E-02  6.5214E-02  6.3482E-02  7.1258E-02  6.6609E-02  7.1103E-02  6.7045E-02  6.1829E-02  6.2480E-02  6.3558E-02  6.4739E-02  7.4873E-02  6.7180E-02  6.8653E-02  6.3776E-02  6.2324E-02  5.9705E-02  6.3616E-02  7.0734E-02  8.0445E-02  6.6253E-02  6.9739E-02  7.0153E-02  6.5889E-02  6.4007E-02  6.8530E-02  5.5234E-02  7.2072E-02  6.8694E-02  5.9679E-02  6.9812E-02  6.7056E-02  6.1484E-02  6.9684E-02  5.5133E-02  5.8084E-02  6.6124E-02  7.4177E-02  6.3594E-02  6.9720E-02  7.6487E-02  6.8387E-02  6.8926E-02  6.1790E-02  6.6386E-02  6.8936E-02  6.9362E-02  6.5622E-02  7.0491E-02  6.3265E-02  6.3758E-02  6.2597E-02  7.8051E-02  6.5621E-02  6.0294E-02  6.4368E-02  6.4379E-02  7.1293E-02  7.0690E-02  6.7277E-02  7.2617E-02  6.1717E-02  6.3649E-02  7.3579E-02  6.3684E-02  6.3117E-02


# averaged over time
#  kx         shear. rat
  1.1846E-02  9.6057E-05
  2.3691E-02  2.5620E-04
  3.5537E-02  4.6561E-04
  4.7383E-02  5.3483E-04
  5.9229E-02  1.3168E-03
  7.1074E-02  1.3897E-03
  8.2920E-02  3.5537E-03
  9.4766E-02  3.3063E-03
  1.0661E-01  4.2439E-03
  1.1846E-01  5.4306E-03
  1.3030E-01  3.9535E-03
  1.4215E-01  4.4424E-03
  1.5399E-01  6.2067E-03
  1.6584E-01  5.8645E-03
  1.7769E-01  5.1774E-03
  1.8953E-01  7.5198E-03
  2.0138E-01  4.9993E-03
  2.1322E-01  4.0465E-03
  2.2507E-01  4.8240E-03
  2.3691E-01  4.9886E-03
  2.4876E-01  4.2486E-03
  2.6061E-01  4.1926E-03
  2.7245E-01  4.8617E-03
  2.8430E-01  4.5076E-03
  2.9614E-01  4.8481E-03
  3.0799E-01  5.1529E-03
  3.1983E-01  5.1523E-03
  3.3168E-01  5.3432E-03
  3.4353E-01  5.8724E-03
  3.5537E-01  5.6663E-03
  3.6722E-01  5.6783E-03
  3.7906E-01  6.1118E-03
  3.9091E-01  5.4444E-03
  4.0275E-01  5.7816E-03
  4.1460E-01  5.9982E-03
  4.2645E-01  5.9067E-03
  4.3829E-01  6.0212E-03
  4.5014E-01  6.3384E-03
  4.6198E-01  7.1970E-03
  4.7383E-01  7.7500E-03
  4.8567E-01  7.8530E-03
  4.9752E-01  7.5805E-03
  5.0937E-01  7.3194E-03
  5.2121E-01  7.6181E-03
  5.3306E-01  8.5249E-03
  5.4490E-01  7.8433E-03
  5.5675E-01  8.8383E-03
  5.6859E-01  8.2275E-03
  5.8044E-01  9.1843E-03
