# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 14:57:50 2019
# diag: fluxspectra, run(s): act, time window: 0-2000(104 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# Q*dVdx =   7.4173E+01 MW
# G*dVdx =   5.4115E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -1.6195E-13  5.1974E-02
  1.1846E-02  5.7315E-12  7.3013E-02
  2.3691E-02  5.9199E-14  5.7152E-02
  3.5537E-02  1.6199E-13  5.2093E-02
  4.7383E-02  2.3901E-13  5.0638E-02
  5.9229E-02  6.0605E-13  4.8700E-02
  7.1074E-02  3.9480E-13  4.6932E-02
  8.2920E-02 -1.0081E-12  4.5967E-02
  9.4766E-02  1.9756E-13  4.5983E-02
  1.0661E-01  1.3401E-13  4.3847E-02
  1.1846E-01  6.5182E-13  4.2902E-02
  1.3030E-01 -2.1221E-13  4.1935E-02
  1.4215E-01 -1.3902E-12  4.1041E-02
  1.5399E-01  1.1053E-12  4.0656E-02
  1.6584E-01 -3.0324E-13  3.9270E-02
  1.7769E-01 -4.0728E-13  3.7485E-02
  1.8953E-01  7.8015E-13  3.7390E-02
  2.0138E-01  9.5968E-13  3.6870E-02
  2.1322E-01  1.2664E-13  3.5329E-02
  2.2507E-01 -2.3460E-13  3.4677E-02
  2.3691E-01 -3.0971E-12  3.3550E-02
  2.4876E-01  4.5901E-13  3.1937E-02
  2.6061E-01  1.4391E-12  3.2419E-02
  2.7245E-01 -1.9215E-12  3.1665E-02
  2.8430E-01 -1.0810E-12  3.0193E-02
  2.9614E-01 -5.6554E-13  2.9646E-02
  3.0799E-01  2.1774E-12  2.8473E-02
  3.1983E-01  1.9358E-12  2.8394E-02
  3.3168E-01  8.3249E-13  2.7900E-02
  3.4353E-01 -4.9383E-13  2.7066E-02
  3.5537E-01 -1.8994E-12  2.6627E-02
  3.6722E-01  1.6015E-12  2.6460E-02
  3.7906E-01 -1.5728E-12  2.5298E-02
  3.9091E-01  2.9417E-13  2.5054E-02
  4.0275E-01  4.5944E-13  2.4508E-02
  4.1460E-01  6.2406E-13  2.3895E-02
  4.2645E-01 -1.7473E-13  2.3634E-02
  4.3829E-01 -3.1687E-13  2.3119E-02
  4.5014E-01  9.3368E-13  2.2451E-02
  4.6198E-01 -2.9591E-13  2.1993E-02
  4.7383E-01 -7.0233E-13  2.1545E-02
  4.8567E-01 -5.1277E-13  2.1368E-02
  4.9752E-01  9.5258E-13  2.0734E-02
  5.0937E-01 -1.6314E-12  2.0491E-02
  5.2121E-01 -1.1506E-12  1.9874E-02
  5.3306E-01 -2.8872E-13  1.9577E-02
  5.4490E-01 -5.7483E-13  1.8917E-02
  5.5675E-01  4.9248E-13  1.8923E-02
  5.6859E-01 -2.8685E-13  1.8480E-02
  5.8044E-01  4.6921E-13  1.7985E-02
  5.9229E-01  5.8080E-13  8.6774E-03


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02 -1.9192E-13  9.0764E-03
  1.0000E-01  6.7636E-13  3.0293E-02
  1.5000E-01 -5.7911E-13  6.3339E-02
  2.0000E-01 -2.5828E-13  1.0488E-01
  2.5000E-01  1.2179E-13  1.4161E-01
  3.0000E-01 -1.6330E-12  1.5587E-01
  3.5000E-01 -3.1493E-12  1.4933E-01
  4.0000E-01  3.3822E-12  1.3012E-01
  4.5000E-01  1.3597E-12  1.1288E-01
  5.0000E-01  1.9271E-12  9.7512E-02
  5.5000E-01 -7.5170E-13  8.3681E-02
  6.0000E-01 -1.9297E-12  7.4192E-02
  6.5000E-01  1.6446E-12  6.3489E-02
  7.0000E-01 -3.6582E-13  5.4086E-02
  7.5000E-01  5.0645E-13  4.3800E-02
  8.0000E-01  5.9395E-13  3.5994E-02
  8.5000E-01 -4.5325E-13  2.9749E-02
  9.0000E-01 -3.4020E-13  2.5169E-02
  9.5000E-01  3.4189E-14  2.1107E-02
  1.0000E+00 -5.0610E-13  1.8220E-02
  1.0500E+00  1.3336E-12  1.5704E-02
  1.1000E+00 -8.8245E-13  1.3638E-02
  1.1500E+00 -6.2772E-13  1.1970E-02
  1.2000E+00  4.6153E-13  1.0694E-02
  1.2500E+00 -9.6616E-13  9.5608E-03
  1.3000E+00  4.9188E-13  8.6608E-03
  1.3500E+00 -4.9975E-13  7.9513E-03
