# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 14:57:51 2019
# diag: spectra, run(s): act, time window: 0-2000(104 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.0707E-03
  1.0000E-01  1.5376E-03
  1.5000E-01  2.2150E-03
  2.0000E-01  2.4316E-03
  2.5000E-01  2.3822E-03
  3.0000E-01  2.5022E-03
  3.5000E-01  2.1799E-03
  4.0000E-01  1.8840E-03
  4.5000E-01  1.7783E-03
  5.0000E-01  1.7904E-03
  5.5000E-01  1.8236E-03
  6.0000E-01  1.8515E-03
  6.5000E-01  1.7010E-03
  7.0000E-01  1.4646E-03
  7.5000E-01  1.1659E-03
  8.0000E-01  8.7692E-04
  8.5000E-01  6.7933E-04
  9.0000E-01  5.2289E-04
  9.5000E-01  4.0119E-04
  1.0000E+00  3.0796E-04
  1.0500E+00  2.4546E-04
  1.1000E+00  1.9066E-04
  1.1500E+00  1.5783E-04
  1.2000E+00  1.3531E-04
  1.2500E+00  1.1067E-04
  1.3000E+00  9.8157E-05
  1.3500E+00  8.8308E-05
  1.4000E+00  7.8238E-05
  1.4500E+00  7.2774E-05
  1.5000E+00  6.2686E-05
  1.5500E+00  5.6480E-05
  1.6000E+00  5.3762E-05
  1.6500E+00  5.0970E-05
  1.7000E+00  4.5573E-05
  1.7500E+00  4.1987E-05
  1.8000E+00  4.1143E-05
  1.8500E+00  3.8289E-05
  1.9000E+00  3.7947E-05
  1.9500E+00  3.2042E-05
  2.0000E+00  3.2101E-05
  2.0500E+00  2.9899E-05
  2.1000E+00  2.7224E-05
  2.1500E+00  2.6175E-05
  2.2000E+00  2.5151E-05
  2.2500E+00  2.3838E-05
  2.3000E+00  2.2073E-05
  2.3500E+00  2.2464E-05
  2.4000E+00  2.1606E-05
  2.4500E+00  1.9676E-05
  2.5000E+00  1.8469E-05
  2.5500E+00  1.6809E-05
  2.6000E+00  1.5870E-05
  2.6500E+00  1.7152E-05
  2.7000E+00  1.5972E-05
  2.7500E+00  1.5112E-05
  2.8000E+00  1.4300E-05
  2.8500E+00  1.3640E-05
  2.9000E+00  1.2918E-05
  2.9500E+00  1.2415E-05
  3.0000E+00  1.1550E-05
  3.0500E+00  1.1378E-05
  3.1000E+00  1.2165E-05
  3.1500E+00  1.0731E-05


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.1898E-01
  5.0000E-02  3.1451E-03
  1.0000E-01  2.6872E-03
  1.5000E-01  2.8007E-03
  2.0000E-01  3.3801E-03
  2.5000E-01  2.9004E-03
  3.0000E-01  2.7105E-03
  3.5000E-01  2.3381E-03
  4.0000E-01  1.9728E-03
  4.5000E-01  1.7114E-03
  5.0000E-01  1.4458E-03
  5.5000E-01  1.3904E-03
  6.0000E-01  1.3981E-03
  6.5000E-01  1.2743E-03
  7.0000E-01  1.1246E-03
  7.5000E-01  9.0428E-04
  8.0000E-01  7.1816E-04
  8.5000E-01  5.8797E-04
  9.0000E-01  4.6796E-04
  9.5000E-01  3.6905E-04
  1.0000E+00  2.9659E-04
  1.0500E+00  2.3147E-04
  1.1000E+00  1.9381E-04
  1.1500E+00  1.5673E-04
  1.2000E+00  1.3060E-04
  1.2500E+00  1.1880E-04
  1.3000E+00  9.8872E-05
  1.3500E+00  8.5714E-05
  1.4000E+00  7.7218E-05
  1.4500E+00  7.1092E-05
  1.5000E+00  6.3574E-05
  1.5500E+00  5.9436E-05
  1.6000E+00  5.3015E-05
  1.6500E+00  5.0341E-05
  1.7000E+00  4.4874E-05
  1.7500E+00  4.2942E-05
  1.8000E+00  4.1097E-05
  1.8500E+00  3.7297E-05
  1.9000E+00  3.5927E-05
  1.9500E+00  3.2729E-05
  2.0000E+00  3.1457E-05
  2.0500E+00  3.0031E-05
  2.1000E+00  2.7767E-05
  2.1500E+00  2.5157E-05
  2.2000E+00  2.4111E-05
  2.2500E+00  2.4177E-05
  2.3000E+00  2.3569E-05
  2.3500E+00  2.2193E-05
  2.4000E+00  2.0850E-05
  2.4500E+00  2.0410E-05
  2.5000E+00  1.8746E-05
  2.5500E+00  1.7348E-05
  2.6000E+00  1.7280E-05
  2.6500E+00  1.5881E-05
  2.7000E+00  1.5179E-05
  2.7500E+00  1.4669E-05
  2.8000E+00  1.3998E-05
  2.8500E+00  1.3680E-05
  2.9000E+00  1.2677E-05
  2.9500E+00  1.2238E-05
  3.0000E+00  1.1940E-05
  3.0500E+00  1.0801E-05
  3.1000E+00  1.1548E-05
  3.1500E+00  1.0696E-05


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  9.3145E-02
  5.0000E-02  1.6656E-03
  1.0000E-01  1.9231E-03
  1.5000E-01  2.3292E-03
  2.0000E-01  2.5887E-03
  2.5000E-01  2.7439E-03
  3.0000E-01  2.5759E-03
  3.5000E-01  2.1417E-03
  4.0000E-01  1.8894E-03
  4.5000E-01  1.5383E-03
  5.0000E-01  1.2644E-03
  5.5000E-01  1.1334E-03
  6.0000E-01  9.9265E-04
  6.5000E-01  8.5762E-04
  7.0000E-01  7.5490E-04
  7.5000E-01  6.0517E-04
  8.0000E-01  5.1412E-04
  8.5000E-01  4.2987E-04
  9.0000E-01  3.6756E-04
  9.5000E-01  3.0481E-04
  1.0000E+00  2.5577E-04
  1.0500E+00  2.1611E-04
  1.1000E+00  1.8553E-04
  1.1500E+00  1.5500E-04
  1.2000E+00  1.3383E-04
  1.2500E+00  1.2088E-04
  1.3000E+00  1.0441E-04
  1.3500E+00  9.2781E-05
  1.4000E+00  7.9934E-05
  1.4500E+00  7.3496E-05
  1.5000E+00  6.6849E-05
  1.5500E+00  5.8595E-05
  1.6000E+00  5.5664E-05
  1.6500E+00  5.1299E-05
  1.7000E+00  4.5725E-05
  1.7500E+00  4.3518E-05
  1.8000E+00  3.9665E-05
  1.8500E+00  3.7759E-05
  1.9000E+00  3.4908E-05
  1.9500E+00  3.2972E-05
  2.0000E+00  3.1085E-05
  2.0500E+00  3.0348E-05
  2.1000E+00  2.8470E-05
  2.1500E+00  2.5881E-05
  2.2000E+00  2.6141E-05
  2.2500E+00  2.3395E-05
  2.3000E+00  2.1500E-05
  2.3500E+00  2.1297E-05
  2.4000E+00  2.1115E-05
  2.4500E+00  1.8935E-05
  2.5000E+00  1.7998E-05
  2.5500E+00  1.7269E-05
  2.6000E+00  1.6370E-05
  2.6500E+00  1.5652E-05
  2.7000E+00  1.4736E-05
  2.7500E+00  1.5567E-05
  2.8000E+00  1.3571E-05
  2.8500E+00  1.4132E-05
  2.9000E+00  1.3297E-05
  2.9500E+00  1.2191E-05
  3.0000E+00  1.2536E-05
  3.0500E+00  1.0784E-05
  3.1000E+00  1.0330E-05
  3.1500E+00  1.0651E-05


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.0576E-01
  5.0000E-02  2.2392E-03
  1.0000E-01  1.9915E-03
  1.5000E-01  2.1288E-03
  2.0000E-01  2.3468E-03
  2.5000E-01  2.4682E-03
  3.0000E-01  2.0874E-03
  3.5000E-01  1.9807E-03
  4.0000E-01  1.6723E-03
  4.5000E-01  1.3867E-03
  5.0000E-01  1.2336E-03
  5.5000E-01  1.0333E-03
  6.0000E-01  9.2601E-04
  6.5000E-01  7.7633E-04
  7.0000E-01  6.6926E-04
  7.5000E-01  5.3785E-04
  8.0000E-01  4.4477E-04
  8.5000E-01  3.6987E-04
  9.0000E-01  3.1346E-04
  9.5000E-01  2.6861E-04
  1.0000E+00  2.3837E-04
  1.0500E+00  1.9807E-04
  1.1000E+00  1.6966E-04
  1.1500E+00  1.5274E-04
  1.2000E+00  1.3048E-04
  1.2500E+00  1.1464E-04
  1.3000E+00  1.0172E-04
  1.3500E+00  9.2262E-05
  1.4000E+00  8.0174E-05
  1.4500E+00  7.1639E-05
  1.5000E+00  6.4846E-05
  1.5500E+00  6.0184E-05
  1.6000E+00  5.4646E-05
  1.6500E+00  5.1956E-05
  1.7000E+00  4.8451E-05
  1.7500E+00  4.3406E-05
  1.8000E+00  4.0665E-05
  1.8500E+00  3.9874E-05
  1.9000E+00  3.2376E-05
  1.9500E+00  3.3432E-05
  2.0000E+00  3.0782E-05
  2.0500E+00  2.8965E-05
  2.1000E+00  2.7151E-05
  2.1500E+00  2.6678E-05
  2.2000E+00  2.5254E-05
  2.2500E+00  2.3699E-05
  2.3000E+00  2.2012E-05
  2.3500E+00  2.1784E-05
  2.4000E+00  2.0419E-05
  2.4500E+00  1.8705E-05
  2.5000E+00  1.9193E-05
  2.5500E+00  1.8676E-05
  2.6000E+00  1.7235E-05
  2.6500E+00  1.5153E-05
  2.7000E+00  1.4855E-05
  2.7500E+00  1.5252E-05
  2.8000E+00  1.4051E-05
  2.8500E+00  1.3494E-05
  2.9000E+00  1.3305E-05
  2.9500E+00  1.2575E-05
  3.0000E+00  1.2211E-05
  3.0500E+00  1.1287E-05
  3.1000E+00  1.1019E-05
  3.1500E+00  1.0725E-05


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.5088E-01
  5.0000E-02  1.5803E-03
  1.0000E-01  1.9782E-03
  1.5000E-01  1.9975E-03
  2.0000E-01  2.1814E-03
  2.5000E-01  2.3605E-03
  3.0000E-01  2.2218E-03
  3.5000E-01  1.9255E-03
  4.0000E-01  1.6138E-03
  4.5000E-01  1.3940E-03
  5.0000E-01  1.1678E-03
  5.5000E-01  1.0255E-03
  6.0000E-01  8.6109E-04
  6.5000E-01  7.5519E-04
  7.0000E-01  6.4253E-04
  7.5000E-01  4.9728E-04
  8.0000E-01  4.3136E-04
  8.5000E-01  3.5908E-04
