# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 14:57:51 2019
# diag: zonal, run(s): act, time window: 0-2000(104 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# avg. values:
# shearing rate: 0.057570906
#  shear. ra
  1.0253E-09  5.1404E-04  4.8178E-03  2.0508E-02  1.9093E-02  2.7542E-02  2.9496E-02  3.3469E-02  3.8131E-02  4.7031E-02  5.2537E-02  4.8142E-02  4.6739E-02  5.8924E-02  6.1311E-02  5.9310E-02  6.4021E-02  6.4092E-02  6.3062E-02  6.6999E-02  6.2515E-02  7.3558E-02  6.9328E-02  6.4304E-02  6.6667E-02  6.3336E-02  5.7738E-02  5.7412E-02  6.4644E-02  6.1553E-02  6.3176E-02  6.1417E-02  6.7049E-02  6.6367E-02  6.5388E-02  5.8779E-02  5.7984E-02  6.1283E-02  6.2215E-02  6.3280E-02  6.1929E-02  6.4060E-02  5.9829E-02  6.0320E-02  5.8147E-02  5.7932E-02  5.9753E-02  6.0595E-02  6.0248E-02  6.2115E-02  6.2043E-02  5.5980E-02  5.8548E-02  6.2857E-02  5.7612E-02  5.5034E-02  5.9648E-02  5.7663E-02  6.6278E-02  6.4044E-02  6.3825E-02  6.4291E-02  5.7434E-02  5.1776E-02  6.2032E-02  5.6518E-02  5.8515E-02  6.5795E-02  6.2757E-02  6.1831E-02  6.6865E-02  6.1304E-02  6.9007E-02  6.2309E-02  5.8905E-02  6.1648E-02  6.0402E-02  6.5327E-02  6.2357E-02  5.9277E-02  5.5450E-02  6.5292E-02  6.2897E-02  5.7148E-02  6.0249E-02  6.0735E-02  5.2463E-02  5.1386E-02  6.1913E-02  5.6968E-02  5.8449E-02  6.1079E-02  5.8177E-02  5.5768E-02  5.8387E-02  6.1796E-02  6.3215E-02  5.8529E-02  6.2699E-02  5.5639E-02  6.3334E-02  6.4678E-02  6.0633E-02  7.0522E-02


# averaged over time
#  kx         shear. rat
  1.1846E-02  8.2066E-05
  2.3691E-02  1.5697E-04
  3.5537E-02  3.7616E-04
  4.7383E-02  8.1560E-04
  5.9229E-02  1.8441E-03
  7.1074E-02  1.7461E-03
  8.2920E-02  3.3357E-03
  9.4766E-02  5.0930E-03
  1.0661E-01  5.5688E-03
  1.1846E-01  1.3214E-02
  1.3030E-01  8.7920E-03
  1.4215E-01  2.7112E-03
  1.5399E-01  4.7941E-03
  1.6584E-01  5.3684E-03
  1.7769E-01  3.1507E-03
  1.8953E-01  3.4676E-03
  2.0138E-01  3.7637E-03
  2.1322E-01  4.4925E-03
  2.2507E-01  3.3944E-03
  2.3691E-01  3.5302E-03
  2.4876E-01  4.3382E-03
  2.6061E-01  3.8692E-03
  2.7245E-01  3.2009E-03
  2.8430E-01  4.6280E-03
  2.9614E-01  3.9902E-03
  3.0799E-01  4.5135E-03
  3.1983E-01  4.9909E-03
  3.3168E-01  4.4556E-03
  3.4353E-01  5.1038E-03
  3.5537E-01  4.8669E-03
  3.6722E-01  4.8947E-03
  3.7906E-01  5.3209E-03
  3.9091E-01  4.6310E-03
  4.0275E-01  5.7078E-03
  4.1460E-01  5.1311E-03
  4.2645E-01  5.1413E-03
  4.3829E-01  6.1854E-03
  4.5014E-01  6.1296E-03
  4.6198E-01  5.9173E-03
  4.7383E-01  6.0784E-03
  4.8567E-01  5.8297E-03
  4.9752E-01  6.3471E-03
  5.0937E-01  6.0537E-03
  5.2121E-01  6.2311E-03
  5.3306E-01  6.7359E-03
  5.4490E-01  7.5932E-03
  5.5675E-01  6.8351E-03
  5.6859E-01  6.1683E-03
  5.8044E-01  6.6618E-03
