# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan  3 14:57:51 2019
# diag: zprofile, run(s): act, time window: 0-2000(104 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  3.3008E+00  3.3008E+00
 -3.0925E+00  0.0000E+00  3.2590E+00  3.2590E+00
 -3.0434E+00  0.0000E+00  3.2675E+00  3.2675E+00
 -2.9943E+00  0.0000E+00  3.2483E+00  3.2483E+00
 -2.9452E+00  0.0000E+00  3.2388E+00  3.2388E+00
 -2.8962E+00  0.0000E+00  3.2300E+00  3.2300E+00
 -2.8471E+00  0.0000E+00  3.2258E+00  3.2258E+00
 -2.7980E+00  0.0000E+00  3.2182E+00  3.2182E+00
 -2.7489E+00  0.0000E+00  3.2242E+00  3.2242E+00
 -2.6998E+00  0.0000E+00  3.2267E+00  3.2267E+00
 -2.6507E+00  0.0000E+00  3.2373E+00  3.2373E+00
 -2.6016E+00  0.0000E+00  3.2427E+00  3.2427E+00
 -2.5525E+00  0.0000E+00  3.2456E+00  3.2456E+00
 -2.5035E+00  0.0000E+00  3.2513E+00  3.2513E+00
 -2.4544E+00  0.0000E+00  3.2536E+00  3.2536E+00
 -2.4053E+00  0.0000E+00  3.2516E+00  3.2516E+00
 -2.3562E+00  0.0000E+00  3.2513E+00  3.2513E+00
 -2.3071E+00  0.0000E+00  3.2476E+00  3.2476E+00
 -2.2580E+00  0.0000E+00  3.2506E+00  3.2506E+00
 -2.2089E+00  0.0000E+00  3.2568E+00  3.2568E+00
 -2.1598E+00  0.0000E+00  3.2692E+00  3.2692E+00
 -2.1108E+00  0.0000E+00  3.2842E+00  3.2842E+00
 -2.0617E+00  0.0000E+00  3.3063E+00  3.3063E+00
 -2.0126E+00  0.0000E+00  3.3249E+00  3.3249E+00
 -1.9635E+00  0.0000E+00  3.3467E+00  3.3467E+00
 -1.9144E+00  0.0000E+00  3.3637E+00  3.3637E+00
 -1.8653E+00  0.0000E+00  3.3724E+00  3.3724E+00
 -1.8162E+00  0.0000E+00  3.3798E+00  3.3798E+00
 -1.7671E+00  0.0000E+00  3.3871E+00  3.3871E+00
 -1.7181E+00  0.0000E+00  3.3811E+00  3.3811E+00
 -1.6690E+00  0.0000E+00  3.3792E+00  3.3792E+00
 -1.6199E+00  0.0000E+00  3.3851E+00  3.3851E+00
 -1.5708E+00  0.0000E+00  3.3910E+00  3.3910E+00
 -1.5217E+00  0.0000E+00  3.4103E+00  3.4103E+00
 -1.4726E+00  0.0000E+00  3.4314E+00  3.4314E+00
 -1.4235E+00  0.0000E+00  3.4495E+00  3.4495E+00
 -1.3744E+00  0.0000E+00  3.4698E+00  3.4698E+00
 -1.3254E+00  0.0000E+00  3.4807E+00  3.4807E+00
 -1.2763E+00  0.0000E+00  3.4952E+00  3.4952E+00
 -1.2272E+00  0.0000E+00  3.5024E+00  3.5024E+00
 -1.1781E+00  0.0000E+00  3.5088E+00  3.5088E+00
 -1.1290E+00  0.0000E+00  3.5109E+00  3.5109E+00
 -1.0799E+00  0.0000E+00  3.5055E+00  3.5055E+00
 -1.0308E+00  0.0000E+00  3.4966E+00  3.4966E+00
 -9.8175E-01  0.0000E+00  3.4755E+00  3.4755E+00
 -9.3266E-01  0.0000E+00  3.4555E+00  3.4555E+00
 -8.8357E-01  0.0000E+00  3.4309E+00  3.4309E+00
 -8.3449E-01  0.0000E+00  3.4102E+00  3.4102E+00
 -7.8540E-01  0.0000E+00  3.3884E+00  3.3884E+00
 -7.3631E-01  0.0000E+00  3.3745E+00  3.3745E+00
 -6.8722E-01  0.0000E+00  3.3712E+00  3.3712E+00
 -6.3814E-01  0.0000E+00  3.3752E+00  3.3752E+00
 -5.8905E-01  0.0000E+00  3.3877E+00  3.3877E+00
 -5.3996E-01  0.0000E+00  3.4101E+00  3.4101E+00
 -4.9087E-01  0.0000E+00  3.4269E+00  3.4269E+00
 -4.4179E-01  0.0000E+00  3.4498E+00  3.4498E+00
 -3.9270E-01  0.0000E+00  3.4800E+00  3.4800E+00
 -3.4361E-01  0.0000E+00  3.5066E+00  3.5066E+00
 -2.9452E-01  0.0000E+00  3.5438E+00  3.5438E+00
 -2.4544E-01  0.0000E+00  3.5735E+00  3.5735E+00
 -1.9635E-01  0.0000E+00  3.6134E+00  3.6134E+00
 -1.4726E-01  0.0000E+00  3.6449E+00  3.6449E+00
 -9.8175E-02  0.0000E+00  3.6847E+00  3.6847E+00
 -4.9087E-02  0.0000E+00  3.6978E+00  3.6978E+00
  0.0000E+00  0.0000E+00  3.7175E+00  3.7175E+00
  4.9087E-02  0.0000E+00  3.6915E+00  3.6915E+00
  9.8175E-02  0.0000E+00  3.6728E+00  3.6728E+00
  1.4726E-01  0.0000E+00  3.6275E+00  3.6275E+00
  1.9635E-01  0.0000E+00  3.5906E+00  3.5906E+00
  2.4544E-01  0.0000E+00  3.5455E+00  3.5455E+00
  2.9452E-01  0.0000E+00  3.5109E+00  3.5109E+00
  3.4361E-01  0.0000E+00  3.4695E+00  3.4695E+00
  3.9270E-01  0.0000E+00  3.4386E+00  3.4386E+00
  4.4179E-01  0.0000E+00  3.4055E+00  3.4055E+00
  4.9087E-01  0.0000E+00  3.3815E+00  3.3815E+00
  5.3996E-01  0.0000E+00  3.3640E+00  3.3640E+00
  5.8905E-01  0.0000E+00  3.3411E+00  3.3411E+00
  6.3814E-01  0.0000E+00  3.3278E+00  3.3278E+00
  6.8722E-01  0.0000E+00  3.3239E+00  3.3239E+00
  7.3631E-01  0.0000E+00  3.3283E+00  3.3283E+00
  7.8540E-01  0.0000E+00  3.3430E+00  3.3430E+00
  8.3449E-01  0.0000E+00  3.3668E+00  3.3668E+00
  8.8357E-01  0.0000E+00  3.3896E+00  3.3896E+00
  9.3266E-01  0.0000E+00  3.4163E+00  3.4163E+00
  9.8175E-01  0.0000E+00  3.4372E+00  3.4372E+00
  1.0308E+00  0.0000E+00  3.4596E+00  3.4596E+00
  1.0799E+00  0.0000E+00  3.4705E+00  3.4705E+00
  1.1290E+00  0.0000E+00  3.4786E+00  3.4786E+00
  1.1781E+00  0.0000E+00  3.4797E+00  3.4797E+00
  1.2272E+00  0.0000E+00  3.4768E+00  3.4768E+00
  1.2763E+00  0.0000E+00  3.4700E+00  3.4700E+00
  1.3254E+00  0.0000E+00  3.4554E+00  3.4554E+00
  1.3744E+00  0.0000E+00  3.4401E+00  3.4401E+00
  1.4235E+00  0.0000E+00  3.4142E+00  3.4142E+00
  1.4726E+00  0.0000E+00  3.3893E+00  3.3893E+00
  1.5217E+00  0.0000E+00  3.3633E+00  3.3633E+00
  1.5708E+00  0.0000E+00  3.3397E+00  3.3397E+00
  1.6199E+00  0.0000E+00  3.3342E+00  3.3342E+00
  1.6690E+00  0.0000E+00  3.3292E+00  3.3292E+00
  1.7181E+00  0.0000E+00  3.3357E+00  3.3357E+00
  1.7671E+00  0.0000E+00  3.3477E+00  3.3477E+00
  1.8162E+00  0.0000E+00  3.3469E+00  3.3469E+00
  1.8653E+00  0.0000E+00  3.3436E+00  3.3436E+00
  1.9144E+00  0.0000E+00  3.3354E+00  3.3354E+00
  1.9635E+00  0.0000E+00  3.3158E+00  3.3158E+00
  2.0126E+00  0.0000E+00  3.2918E+00  3.2918E+00
  2.0617E+00  0.0000E+00  3.2716E+00  3.2716E+00
  2.1108E+00  0.0000E+00  3.2503E+00  3.2503E+00
  2.1598E+00  0.0000E+00  3.2370E+00  3.2370E+00
  2.2089E+00  0.0000E+00  3.2271E+00  3.2271E+00
  2.2580E+00  0.0000E+00  3.2233E+00  3.2233E+00
  2.3071E+00  0.0000E+00  3.2227E+00  3.2227E+00
  2.3562E+00  0.0000E+00  3.2282E+00  3.2282E+00
  2.4053E+00  0.0000E+00  3.2313E+00  3.2313E+00
  2.4544E+00  0.0000E+00  3.2350E+00  3.2350E+00
  2.5035E+00  0.0000E+00  3.2380E+00  3.2380E+00
  2.5525E+00  0.0000E+00  3.2341E+00  3.2341E+00
  2.6016E+00  0.0000E+00  3.2361E+00  3.2361E+00
  2.6507E+00  0.0000E+00  3.2296E+00  3.2296E+00
  2.6998E+00  0.0000E+00  3.2246E+00  3.2246E+00
  2.7489E+00  0.0000E+00  3.2191E+00  3.2191E+00
  2.7980E+00  0.0000E+00  3.2199E+00  3.2199E+00
  2.8471E+00  0.0000E+00  3.2218E+00  3.2218E+00
  2.8962E+00  0.0000E+00  3.2346E+00  3.2346E+00
  2.9452E+00  0.0000E+00  3.2342E+00  3.2342E+00
  2.9943E+00  0.0000E+00  3.2571E+00  3.2571E+00
  3.0434E+00  0.0000E+00  3.2520E+00  3.2520E+00
  3.0925E+00  0.0000E+00  3.2862E+00  3.2862E+00
