# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 14:25:05 2019
# diag: fluxspectra, run(s): act, time window: 0-3247.258(632 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_b/
# normalization: L_T,ions=5.4832m
#
# Q*dVdx =   1.9707E+01 MW
# G*dVdx =   2.0403E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -1.7671E-14  6.0057E-03
  1.0103E-02 -1.2252E-13  1.2099E-02
  2.0206E-02 -4.8784E-14  1.1964E-02
  3.0309E-02 -7.7334E-14  1.1757E-02
  4.0412E-02  4.1276E-14  1.2121E-02
  5.0515E-02 -6.0302E-14  1.1688E-02
  6.0618E-02 -5.3153E-14  1.1644E-02
  7.0721E-02  1.3994E-13  1.1362E-02
  8.0824E-02 -6.7402E-15  1.1143E-02
  9.0927E-02  5.4917E-15  1.0904E-02
  1.0103E-01 -1.5487E-15  1.0828E-02
  1.1113E-01  2.4754E-13  1.0667E-02
  1.2124E-01  1.8057E-14  1.0115E-02
  1.3134E-01 -8.3115E-14  1.0601E-02
  1.4144E-01  6.5884E-14  9.8494E-03
  1.5154E-01  8.8782E-14  9.2674E-03
  1.6165E-01 -3.5857E-14  8.9238E-03
  1.7175E-01  6.7214E-18  8.8625E-03
  1.8185E-01 -3.7702E-14  8.4013E-03
  1.9196E-01  1.1553E-14  8.2719E-03
  2.0206E-01  9.4445E-14  7.9539E-03
  2.1216E-01 -8.1333E-14  7.4846E-03
  2.2227E-01  4.6794E-14  7.3373E-03
  2.3237E-01  5.4610E-14  7.0574E-03
  2.4247E-01 -3.7258E-14  6.5119E-03
  2.5257E-01  6.3987E-14  6.4745E-03
  2.6268E-01  8.2957E-15  5.9659E-03
  2.7278E-01 -5.3830E-14  5.8295E-03
  2.8288E-01 -9.2573E-14  5.5988E-03
  2.9299E-01 -1.0186E-13  5.5512E-03
  3.0309E-01  1.2711E-15  4.9359E-03
  3.1319E-01 -3.9257E-14  4.8868E-03
  3.2330E-01 -2.4143E-14  4.6566E-03
  3.3340E-01 -1.1570E-14  4.2798E-03
  3.4350E-01  2.7121E-14  4.0807E-03
