# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 14:38:01 2019
# diag: nrgsummary, run(s): act, time window: 0-3247.258(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_b/
# normalization: L_T,ions=5.4832m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8281E-01 -4.3906E-21  1.4437E-02 -6.8734E-06
  3.6561E-01 -1.3463E-19  2.5974E-02 -4.2822E-05
  5.4842E-01 -3.3603E-19  3.4693E-02 -8.6835E-05
  7.3123E-01 -1.7030E-19  4.1370E-02 -1.1800E-04
  9.1403E-01  5.1634E-19  4.6626E-02 -1.2240E-04
  1.0968E+00  5.1888E-19  5.0867E-02 -9.3778E-05
  1.2796E+00 -5.5095E-20  5.4350E-02 -4.0070E-05
  1.4625E+00  4.4665E-19  5.7251E-02  2.5565E-05
  1.6453E+00 -3.1906E-20  5.9692E-02  9.5723E-05
  1.8281E+00 -6.4507E-19  6.1757E-02  1.6947E-04
  2.0109E+00  5.0159E-19  6.3512E-02  2.4846E-04
  2.1983E+00 -4.6434E-19  6.5041E-02  3.3935E-04
  2.3902E+00 -1.1849E-18  6.6371E-02  4.5010E-04
  2.5821E+00  2.9744E-19  6.7500E-02  5.8392E-04
  2.7741E+00 -2.7625E-19  6.8457E-02  7.4103E-04
  2.9660E+00 -5.9781E-19  6.9269E-02  9.1543E-04
  3.1580E+00  3.3390E-19  6.9962E-02  1.0949E-03
  3.3499E+00  8.9845E-20  7.0561E-02  1.2623E-03
  3.5419E+00 -4.9181E-19  7.1089E-02  1.4014E-03
  3.7338E+00  2.3252E-19  7.1562E-02  1.5014E-03
  3.9258E+00 -3.6544E-19  7.1990E-02  1.5628E-03
  4.1225E+00 -4.3486E-19  7.2410E-02  1.5808E-03
  4.2711E+00  1.7826E-18  1.8911E-01 -7.2301E-02
  4.3403E+00  5.9823E-18  1.7087E-01 -5.7364E-02
  4.4095E+00 -2.6382E-18  1.5395E-01 -4.5458E-02
  4.4787E+00 -1.0377E-18  1.3960E-01 -3.5228E-02
  4.5479E+00  1.3317E-19  1.2699E-01 -2.6698E-02
  4.6170E+00 -1.0472E-18  1.1532E-01 -2.0690E-02
  4.6862E+00 -1.0950E-18  1.0597E-01 -1.7011E-02
  4.7554E+00  2.0482E-19  9.9238E-02 -1.4134E-02
  4.8246E+00 -3.3615E-20  9.3387E-02 -1.0979E-02
  4.8938E+00  4.0322E-19  8.7871E-02 -7.9839E-03
  4.9633E+00  1.8192E-19  8.3523E-02 -5.9293E-03
  5.0359E+00  2.7186E-20  8.0193E-02 -4.3696E-03
  5.1086E+00 -3.8191E-19  7.7918E-02 -2.8826E-03
  5.1812E+00 -1.1221E-19  7.6423E-02 -1.3696E-03
  5.2539E+00 -2.1827E-19  7.5623E-02 -5.1031E-04
  5.3265E+00  1.8951E-19  7.5097E-02 -2.9986E-04
  5.3991E+00  3.3131E-19  7.4609E-02  5.2187E-05
  5.4718E+00 -2.9096E-19  7.4372E-02  6.9797E-04
  5.5444E+00 -2.6070E-19  7.4521E-02  9.9404E-04
  5.6171E+00  6.0900E-19  7.4755E-02  9.1622E-04
  5.6901E+00  9.0591E-20  7.4786E-02  1.0453E-03
  5.7664E+00 -3.7424E-19  7.4792E-02  1.3511E-03
  5.8426E+00  6.0938E-19  7.4973E-02  1.3895E-03
  5.9189E+00  1.6656E-19  7.5146E-02  1.3547E-03
  5.9952E+00  2.0625E-19  7.5191E-02  1.4622E-03
  6.0714E+00  8.0980E-20  7.5244E-02  1.5341E-03
  6.1477E+00  1.7264E-19  7.5358E-02  1.5245E-03
  6.2240E+00 -2.1868E-19  7.5459E-02  1.5529E-03
  6.3003E+00  3.3719E-19  7.5526E-02  1.5955E-03
  6.3765E+00  3.1898E-19  7.5591E-02  1.6099E-03
  6.4532E+00  3.7281E-19  7.5662E-02  1.6256E-03
  6.5333E+00  2.9571E-19  7.5707E-02  1.6496E-03
  6.6134E+00  1.3168E-19  7.5731E-02  1.6740E-03
  6.6935E+00  6.9231E-20  7.5772E-02  1.6992E-03
  6.7735E+00  4.4387E-20  7.5812E-02  1.7231E-03
  6.8536E+00 -3.7467E-19  7.5836E-02  1.7519E-03
  6.9337E+00 -1.7786E-19  7.5862E-02  1.7858E-03
  7.0138E+00 -3.8965E-19  7.5883E-02  1.8199E-03
  7.0939E+00 -2.3080E-19  7.5891E-02  1.8546E-03
  7.1740E+00 -9.2525E-20  7.5892E-02  1.8868E-03
  7.2545E+00  9.0689E-20  7.5892E-02  1.9132E-03
  7.3386E+00  3.3505E-19  7.5896E-02  1.9403E-03
  7.4227E+00 -4.1533E-19  7.5917E-02  1.9750E-03
  7.5068E+00 -1.8943E-19  7.5958E-02  2.0211E-03
  7.5908E+00  1.7800E-20  7.6011E-02  2.0755E-03
  7.6749E+00 -2.3434E-19  7.6056E-02  2.1269E-03
  7.7590E+00 -1.4793E-19  7.6070E-02  2.1608E-03
  7.8431E+00 -6.3325E-20  7.6043E-02  2.1658E-03
  7.9272E+00 -1.1419E-19  7.5991E-02  2.1357E-03
  8.0113E+00  4.5169E-20  7.5941E-02  2.0688E-03
  8.0958E+00 -1.7614E-19  7.5915E-02  1.9692E-03
  8.1841E+00 -3.5245E-19  7.5910E-02  1.8492E-03
  8.2724E+00 -2.6942E-19  7.5907E-02  1.7349E-03
  8.3607E+00  4.5157E-19  7.5882E-02  1.6280E-03
  8.4490E+00 -1.1134E-19  7.5819E-02  1.5214E-03
  8.5373E+00 -2.4795E-19  7.5729E-02  1.4158E-03
  8.6256E+00  2.2279E-19  7.5633E-02  1.3037E-03
  8.7139E+00 -1.7176E-19  7.5549E-02  1.1711E-03
  8.8022E+00 -1.0612E-19  7.5487E-02  1.0276E-03
  8.8905E+00 -5.7318E-21  7.5452E-02  8.9624E-04
  8.9792E+00  9.1723E-20  7.5451E-02  7.7182E-04
  9.0719E+00 -1.3328E-19  7.5479E-02  6.3048E-04
  9.1646E+00  2.4855E-19  7.5528E-02  4.9229E-04
  9.2574E+00 -2.2263E-19  7.5590E-02  3.8595E-04
  9.3501E+00  7.4127E-20  7.5659E-02  3.0265E-04
  9.4428E+00  2.7797E-19  7.5726E-02  2.1151E-04
  9.5355E+00 -2.8561E-19  7.5764E-02  1.1179E-04
  9.6282E+00  1.2162E-19  7.5751E-02  3.2528E-05
  9.7209E+00 -2.0510E-20  7.5683E-02 -2.0189E-05
  9.8136E+00 -7.0141E-20  7.5580E-02 -7.8734E-05
  9.9068E+00 -2.4049E-19  7.5461E-02 -1.6250E-04
  1.0004E+01  2.3835E-19  7.5340E-02 -2.5744E-04
  1.0101E+01 -1.0722E-19  7.5236E-02 -3.5821E-04
  1.0199E+01 -8.9618E-20  7.5167E-02 -5.0699E-04
  1.0296E+01  5.3583E-20  7.5150E-02 -7.2634E-04
  1.0394E+01 -2.8824E-19  7.5188E-02 -9.8524E-04
  1.0491E+01  1.2655E-19  7.5260E-02 -1.2438E-03
  1.0588E+01 -4.9840E-21  7.5341E-02 -1.4930E-03
  1.0686E+01 -1.6964E-19  7.5421E-02 -1.7393E-03
  1.0783E+01 -8.2128E-20  7.5492E-02 -1.9684E-03
  1.0881E+01  1.0571E-19  7.5539E-02 -2.1464E-03
  1.0983E+01  1.5828E-19  7.5544E-02 -2.2614E-03
  1.1085E+01 -1.2146E-19  7.5495E-02 -2.3297E-03
  1.1187E+01  5.9425E-20  7.5405E-02 -2.3762E-03
  1.1290E+01 -1.2067E-20  7.5291E-02 -2.3945E-03
  1.1392E+01 -6.7709E-20  7.5162E-02 -2.3789E-03
  1.1494E+01  2.0163E-19  7.5019E-02 -2.3449E-03
  1.1596E+01 -2.1224E-19  7.4872E-02 -2.3097E-03
  1.1698E+01  9.8652E-20  7.4737E-02 -2.2812E-03
  1.1801E+01  7.1683E-20  7.4626E-02 -2.2637E-03
  1.1903E+01 -1.3257E-19  7.4546E-02 -2.2533E-03
  1.2011E+01 -2.5433E-19  7.4500E-02 -2.2304E-03
  1.2118E+01 -1.5231E-19  7.4487E-02 -2.1902E-03
  1.2225E+01  2.9777E-19  7.4497E-02 -2.1484E-03
  1.2333E+01  2.2576E-19  7.4521E-02 -2.1089E-03
  1.2440E+01 -1.9637E-19  7.4541E-02 -2.0705E-03
  1.2547E+01 -1.3310E-19  7.4548E-02 -2.0458E-03
  1.2655E+01  4.5754E-20  7.4543E-02 -2.0449E-03
  1.2762E+01 -9.3432E-21  7.4529E-02 -2.0527E-03
  1.2869E+01  8.8894E-20  7.4508E-02 -2.0578E-03
  1.2977E+01 -1.5199E-19  7.4482E-02 -2.0731E-03
  1.3090E+01 -5.3244E-20  7.4449E-02 -2.1037E-03
  1.3203E+01 -4.4333E-19  7.4401E-02 -2.1349E-03
  1.3315E+01 -2.7569E-19  7.4347E-02 -2.1739E-03
  1.3428E+01 -1.8178E-19  7.4304E-02 -2.2547E-03
  1.3541E+01 -3.4598E-20  7.4288E-02 -2.3733E-03
  1.3653E+01  1.8871E-19  7.4305E-02 -2.4956E-03
  1.3766E+01  5.7968E-20  7.4347E-02 -2.6278E-03
  1.3879E+01 -4.6465E-20  7.4399E-02 -2.7868E-03
  1.3991E+01  1.5055E-20  7.4439E-02 -2.9476E-03
  1.4105E+01 -1.8337E-19  7.4461E-02 -3.0798E-03
  1.4223E+01 -3.8014E-21  7.4484E-02 -3.1898E-03
  1.4341E+01  2.9894E-19  7.4526E-02 -3.2593E-03
  1.4460E+01 -1.5236E-19  7.4583E-02 -3.2761E-03
  1.4578E+01  2.4732E-20  7.4648E-02 -3.2763E-03
  1.4696E+01 -1.4983E-19  7.4742E-02 -3.2929E-03
  1.4815E+01  1.3431E-19  7.4855E-02 -3.3041E-03
  1.4933E+01 -8.1453E-20  7.4944E-02 -3.2833E-03
  1.5051E+01 -9.8993E-21  7.4982E-02 -3.2497E-03
  1.5170E+01 -3.8208E-19  7.4982E-02 -3.2264E-03
  1.5289E+01 -8.6463E-20  7.4937E-02 -3.1987E-03
  1.5413E+01 -1.1175E-20  7.4835E-02 -3.1402E-03
  1.5537E+01 -9.1713E-20  7.4688E-02 -3.0678E-03
  1.5661E+01  9.3715E-21  7.4517E-02 -3.0091E-03
  1.5786E+01  6.0897E-21  7.4344E-02 -2.9554E-03
  1.5910E+01  3.1814E-20  7.4173E-02 -2.8923E-03
  1.6034E+01  5.6598E-20  7.3988E-02 -2.8299E-03
  1.6158E+01  1.2276E-19  7.3792E-02 -2.7769E-03
  1.6282E+01 -2.1933E-19  7.3606E-02 -2.7222E-03
  1.6407E+01 -4.6345E-20  7.3436E-02 -2.6622E-03
  1.6532E+01 -1.0030E-19  7.3282E-02 -2.6053E-03
  1.6662E+01 -3.0272E-19  7.3148E-02 -2.5467E-03
  1.6792E+01 -1.2923E-20  7.3051E-02 -2.4732E-03
  1.6923E+01 -1.4028E-19  7.2980E-02 -2.3815E-03
  1.7053E+01  1.1108E-19  7.2928E-02 -2.2840E-03
  1.7184E+01  1.0616E-19  7.2882E-02 -2.1940E-03
  1.7314E+01  5.6890E-20  7.2828E-02 -2.1146E-03
  1.7445E+01 -1.0276E-19  7.2769E-02 -2.0410E-03
  1.7575E+01 -1.7770E-19  7.2712E-02 -1.9816E-03
  1.7706E+01 -1.0918E-20  7.2652E-02 -1.9558E-03
  1.7837E+01 -2.8437E-22  7.2579E-02 -1.9746E-03
  1.7974E+01  2.0157E-19  7.2490E-02 -2.0374E-03
  1.8111E+01 -7.1631E-20  7.2399E-02 -2.1226E-03
  1.8248E+01 -1.5861E-19  7.2309E-02 -2.2075E-03
  1.8385E+01  1.3598E-19  7.2210E-02 -2.2844E-03
  1.8522E+01 -6.1271E-21  7.2094E-02 -2.3461E-03
  1.8659E+01  1.4317E-19  7.1955E-02 -2.3830E-03
  1.8796E+01 -2.9252E-21  7.1794E-02 -2.3947E-03
  1.8933E+01 -1.4745E-19  7.1612E-02 -2.3805E-03
  1.9070E+01  6.6024E-21  7.1413E-02 -2.3363E-03
  1.9207E+01 -1.1955E-19  7.1199E-02 -2.2659E-03
  1.9351E+01  6.7357E-20  7.0970E-02 -2.1686E-03
  1.9495E+01 -1.4273E-19  7.0755E-02 -2.0442E-03
