# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 14:25:10 2019
# diag: spectra, run(s): act, time window: 0-3247.258(632 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_b/
# normalization: L_T,ions=5.4832m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  5.2621E-04
  1.0000E-01  7.3561E-04
  1.5000E-01  8.3875E-04
  2.0000E-01  8.6290E-04
  2.5000E-01  6.5565E-04
  3.0000E-01  4.5559E-04
  3.5000E-01  3.6992E-04
  4.0000E-01  2.7592E-04
  4.5000E-01  2.1025E-04
  5.0000E-01  1.9451E-04
  5.5000E-01  1.3945E-04
  6.0000E-01  1.1221E-04
  6.5000E-01  9.3592E-05
  7.0000E-01  7.2980E-05
  7.5000E-01  6.1119E-05
  8.0000E-01  4.8851E-05
  8.5000E-01  3.5486E-05
  9.0000E-01  2.8426E-05
  9.5000E-01  2.2776E-05
  1.0000E+00  1.8311E-05
  1.0500E+00  1.5122E-05
  1.1000E+00  1.2065E-05
  1.1500E+00  1.0042E-05
  1.2000E+00  8.4410E-06
  1.2500E+00  7.2998E-06
  1.3000E+00  6.2010E-06
  1.3500E+00  4.9911E-06
  1.4000E+00  4.5978E-06
  1.4500E+00  3.9508E-06
  1.5000E+00  3.4906E-06
  1.5500E+00  2.9767E-06
  1.6000E+00  2.5965E-06
  1.6500E+00  2.3322E-06
  1.7000E+00  2.0883E-06
  1.7500E+00  1.8774E-06
  1.8000E+00  1.6380E-06
  1.8500E+00  1.4651E-06
  1.9000E+00  1.3609E-06
  1.9500E+00  1.1410E-06
  2.0000E+00  1.0837E-06
  2.0500E+00  9.5676E-07
  2.1000E+00  9.4724E-07
  2.1500E+00  7.6824E-07
  2.2000E+00  7.7086E-07
  2.2500E+00  6.7301E-07
  2.3000E+00  6.4145E-07
  2.3500E+00  5.5860E-07
  2.4000E+00  5.0626E-07
  2.4500E+00  4.6519E-07
  2.5000E+00  4.3630E-07
  2.5500E+00  4.1228E-07
  2.6000E+00  3.5919E-07
  2.6500E+00  3.4281E-07
  2.7000E+00  3.1642E-07
  2.7500E+00  2.9616E-07
  2.8000E+00  2.7885E-07
  2.8500E+00  2.5303E-07
  2.9000E+00  2.4065E-07
  2.9500E+00  2.1949E-07
  3.0000E+00  2.0100E-07
  3.0500E+00  1.8623E-07
  3.1000E+00  1.7990E-07
  3.1500E+00  1.6305E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.5730E+04
  5.0000E-02  4.9732E-04
  1.0000E-01  7.5992E-04
  1.5000E-01  8.1035E-04
  2.0000E-01  7.9022E-04
  2.5000E-01  7.3340E-04
  3.0000E-01  4.7662E-04
  3.5000E-01  4.0291E-04
  4.0000E-01  2.7744E-04
  4.5000E-01  2.0876E-04
  5.0000E-01  1.8565E-04
  5.5000E-01  1.5201E-04
  6.0000E-01  1.2610E-04
  6.5000E-01  9.1038E-05
  7.0000E-01  7.5186E-05
  7.5000E-01  5.7803E-05
  8.0000E-01  4.7119E-05
  8.5000E-01  3.5281E-05
  9.0000E-01  2.8789E-05
  9.5000E-01  2.2322E-05
  1.0000E+00  1.7672E-05
  1.0500E+00  1.5371E-05
  1.1000E+00  1.2923E-05
  1.1500E+00  1.0720E-05
  1.2000E+00  8.4663E-06
  1.2500E+00  7.0461E-06
  1.3000E+00  6.1808E-06
  1.3500E+00  5.5711E-06
  1.4000E+00  4.5892E-06
  1.4500E+00  4.1177E-06
  1.5000E+00  3.5229E-06
  1.5500E+00  3.1320E-06
  1.6000E+00  2.6225E-06
  1.6500E+00  2.4147E-06
  1.7000E+00  2.1754E-06
  1.7500E+00  1.8582E-06
  1.8000E+00  1.5946E-06
  1.8500E+00  1.5491E-06
  1.9000E+00  1.3690E-06
  1.9500E+00  1.1730E-06
  2.0000E+00  1.1023E-06
  2.0500E+00  9.8945E-07
  2.1000E+00  8.9597E-07
  2.1500E+00  8.2167E-07
  2.2000E+00  7.4224E-07
