# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 14:25:10 2019
# diag: zprofile, run(s): act, time window: 0-3247.258(632 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_b/
# normalization: L_T,ions=5.4832m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  4.1524E+01  4.1524E+01
 -3.0925E+00  0.0000E+00  4.1507E+01  4.1507E+01
 -3.0434E+00  0.0000E+00  4.1490E+01  4.1490E+01
 -2.9943E+00  0.0000E+00  4.1491E+01  4.1491E+01
 -2.9452E+00  0.0000E+00  4.1500E+01  4.1500E+01
 -2.8962E+00  0.0000E+00  4.1502E+01  4.1502E+01
 -2.8471E+00  0.0000E+00  4.1506E+01  4.1506E+01
 -2.7980E+00  0.0000E+00  4.1523E+01  4.1523E+01
 -2.7489E+00  0.0000E+00  4.1536E+01  4.1536E+01
 -2.6998E+00  0.0000E+00  4.1557E+01  4.1557E+01
 -2.6507E+00  0.0000E+00  4.1585E+01  4.1585E+01
 -2.6016E+00  0.0000E+00  4.1605E+01  4.1605E+01
 -2.5525E+00  0.0000E+00  4.1614E+01  4.1614E+01
 -2.5035E+00  0.0000E+00  4.1647E+01  4.1647E+01
 -2.4544E+00  0.0000E+00  4.1653E+01  4.1653E+01
 -2.4053E+00  0.0000E+00  4.1664E+01  4.1664E+01
 -2.3562E+00  0.0000E+00  4.1674E+01  4.1674E+01
 -2.3071E+00  0.0000E+00  4.1669E+01  4.1669E+01
 -2.2580E+00  0.0000E+00  4.1677E+01  4.1677E+01
 -2.2089E+00  0.0000E+00  4.1667E+01  4.1667E+01
 -2.1598E+00  0.0000E+00  4.1661E+01  4.1661E+01
 -2.1108E+00  0.0000E+00  4.1642E+01  4.1642E+01
 -2.0617E+00  0.0000E+00  4.1628E+01  4.1628E+01
 -2.0126E+00  0.0000E+00  4.1605E+01  4.1605E+01
 -1.9635E+00  0.0000E+00  4.1591E+01  4.1591E+01
 -1.9144E+00  0.0000E+00  4.1557E+01  4.1557E+01
 -1.8653E+00  0.0000E+00  4.1559E+01  4.1559E+01
 -1.8162E+00  0.0000E+00  4.1577E+01  4.1577E+01
 -1.7671E+00  0.0000E+00  4.1585E+01  4.1585E+01
 -1.7181E+00  0.0000E+00  4.1627E+01  4.1627E+01
 -1.6690E+00  0.0000E+00  4.1646E+01  4.1646E+01
 -1.6199E+00  0.0000E+00  4.1666E+01  4.1666E+01
 -1.5708E+00  0.0000E+00  4.1666E+01  4.1666E+01
 -1.5217E+00  0.0000E+00  4.1653E+01  4.1653E+01
 -1.4726E+00  0.0000E+00  4.1643E+01  4.1643E+01
 -1.4235E+00  0.0000E+00  4.1619E+01  4.1619E+01
 -1.3744E+00  0.0000E+00  4.1632E+01  4.1632E+01
 -1.3254E+00  0.0000E+00  4.1611E+01  4.1611E+01
 -1.2763E+00  0.0000E+00  4.1644E+01  4.1644E+01
 -1.2272E+00  0.0000E+00  4.1646E+01  4.1646E+01
 -1.1781E+00  0.0000E+00  4.1667E+01  4.1667E+01
 -1.1290E+00  0.0000E+00  4.1690E+01  4.1690E+01
 -1.0799E+00  0.0000E+00  4.1701E+01  4.1701E+01
 -1.0308E+00  0.0000E+00  4.1713E+01  4.1713E+01
 -9.8175E-01  0.0000E+00  4.1707E+01  4.1707E+01
 -9.3266E-01  0.0000E+00  4.1708E+01  4.1708E+01
 -8.8357E-01  0.0000E+00  4.1693E+01  4.1693E+01
 -8.3449E-01  0.0000E+00  4.1685E+01  4.1685E+01
 -7.8540E-01  0.0000E+00  4.1660E+01  4.1660E+01
 -7.3631E-01  0.0000E+00  4.1653E+01  4.1653E+01
 -6.8722E-01  0.0000E+00  4.1634E+01  4.1634E+01
 -6.3814E-01  0.0000E+00  4.1616E+01  4.1616E+01
 -5.8905E-01  0.0000E+00  4.1602E+01  4.1602E+01
 -5.3996E-01  0.0000E+00  4.1588E+01  4.1588E+01
 -4.9087E-01  0.0000E+00  4.1563E+01  4.1563E+01
 -4.4179E-01  0.0000E+00  4.1549E+01  4.1549E+01
 -3.9270E-01  0.0000E+00  4.1537E+01  4.1537E+01
 -3.4361E-01  0.0000E+00  4.1524E+01  4.1524E+01
 -2.9452E-01  0.0000E+00  4.1521E+01  4.1521E+01
 -2.4544E-01  0.0000E+00  4.1516E+01  4.1516E+01
 -1.9635E-01  0.0000E+00  4.1509E+01  4.1509E+01
 -1.4726E-01  0.0000E+00  4.1524E+01  4.1524E+01
 -9.8175E-02  0.0000E+00  4.1510E+01  4.1510E+01
 -4.9087E-02  0.0000E+00  4.1525E+01  4.1525E+01
  0.0000E+00  0.0000E+00  4.1530E+01  4.1530E+01
  4.9087E-02  0.0000E+00  4.1530E+01  4.1530E+01
  9.8175E-02  0.0000E+00  4.1523E+01  4.1523E+01
  1.4726E-01  0.0000E+00  4.1526E+01  4.1526E+01
  1.9635E-01  0.0000E+00  4.1512E+01  4.1512E+01
  2.4544E-01  0.0000E+00  4.1504E+01  4.1504E+01
  2.9452E-01  0.0000E+00  4.1489E+01  4.1489E+01
  3.4361E-01  0.0000E+00  4.1468E+01  4.1468E+01
  3.9270E-01  0.0000E+00  4.1450E+01  4.1450E+01
  4.4179E-01  0.0000E+00  4.1431E+01  4.1431E+01
  4.9087E-01  0.0000E+00  4.1409E+01  4.1409E+01
  5.3996E-01  0.0000E+00  4.1400E+01  4.1400E+01
  5.8905E-01  0.0000E+00  4.1382E+01  4.1382E+01
  6.3814E-01  0.0000E+00  4.1362E+01  4.1362E+01
  6.8722E-01  0.0000E+00  4.1352E+01  4.1352E+01
  7.3631E-01  0.0000E+00  4.1349E+01  4.1349E+01
  7.8540E-01  0.0000E+00  4.1335E+01  4.1335E+01
  8.3449E-01  0.0000E+00  4.1350E+01  4.1350E+01
  8.8357E-01  0.0000E+00  4.1346E+01  4.1346E+01
  9.3266E-01  0.0000E+00  4.1355E+01  4.1355E+01
  9.8175E-01  0.0000E+00  4.1352E+01  4.1352E+01
  1.0308E+00  0.0000E+00  4.1359E+01  4.1359E+01
  1.0799E+00  0.0000E+00  4.1362E+01  4.1362E+01
  1.1290E+00  0.0000E+00  4.1371E+01  4.1371E+01
  1.1781E+00  0.0000E+00  4.1371E+01  4.1371E+01
  1.2272E+00  0.0000E+00  4.1379E+01  4.1379E+01
  1.2763E+00  0.0000E+00  4.1395E+01  4.1395E+01
  1.3254E+00  0.0000E+00  4.1380E+01  4.1380E+01
  1.3744E+00  0.0000E+00  4.1407E+01  4.1407E+01
  1.4235E+00  0.0000E+00  4.1388E+01  4.1388E+01
  1.4726E+00  0.0000E+00  4.1397E+01  4.1397E+01
  1.5217E+00  0.0000E+00  4.1397E+01  4.1397E+01
  1.5708E+00  0.0000E+00  4.1396E+01  4.1396E+01
  1.6199E+00  0.0000E+00  4.1404E+01  4.1404E+01
  1.6690E+00  0.0000E+00  4.1417E+01  4.1417E+01
  1.7181E+00  0.0000E+00  4.1428E+01  4.1428E+01
  1.7671E+00  0.0000E+00  4.1431E+01  4.1431E+01
  1.8162E+00  0.0000E+00  4.1455E+01  4.1455E+01
  1.8653E+00  0.0000E+00  4.1451E+01  4.1451E+01
  1.9144E+00  0.0000E+00  4.1440E+01  4.1440E+01
  1.9635E+00  0.0000E+00  4.1446E+01  4.1446E+01
  2.0126E+00  0.0000E+00  4.1431E+01  4.1431E+01
  2.0617E+00  0.0000E+00  4.1426E+01  4.1426E+01
  2.1108E+00  0.0000E+00  4.1415E+01  4.1415E+01
  2.1598E+00  0.0000E+00  4.1415E+01  4.1415E+01
  2.2089E+00  0.0000E+00  4.1406E+01  4.1406E+01
  2.2580E+00  0.0000E+00  4.1405E+01  4.1405E+01
  2.3071E+00  0.0000E+00  4.1393E+01  4.1393E+01
  2.3562E+00  0.0000E+00  4.1400E+01  4.1400E+01
  2.4053E+00  0.0000E+00  4.1393E+01  4.1393E+01
  2.4544E+00  0.0000E+00  4.1388E+01  4.1388E+01
  2.5035E+00  0.0000E+00  4.1396E+01  4.1396E+01
  2.5525E+00  0.0000E+00  4.1381E+01  4.1381E+01
  2.6016E+00  0.0000E+00  4.1397E+01  4.1397E+01
  2.6507E+00  0.0000E+00  4.1405E+01  4.1405E+01
  2.6998E+00  0.0000E+00  4.1411E+01  4.1411E+01
  2.7489E+00  0.0000E+00  4.1425E+01  4.1425E+01
  2.7980E+00  0.0000E+00  4.1440E+01  4.1440E+01
  2.8471E+00  0.0000E+00  4.1447E+01  4.1447E+01
  2.8962E+00  0.0000E+00  4.1459E+01  4.1459E+01
  2.9452E+00  0.0000E+00  4.1471E+01  4.1471E+01
  2.9943E+00  0.0000E+00  4.1473E+01  4.1473E+01
  3.0434E+00  0.0000E+00  4.1479E+01  4.1479E+01
  3.0925E+00  0.0000E+00  4.1507E+01  4.1507E+01
