# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 16:07:47 2019
# diag: nrgsummary, run(s): act, time window: 0-1606.3965(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  3.4409E-21  1.9688E-21  1.9238E-21
  3.9966E-01 -5.1848E-21  4.7178E-02  2.6473E-06
  7.9931E-01 -9.9179E-20  9.3482E-02  2.0087E-05
  1.1990E+00  3.0777E-19  1.3811E-01  6.1829E-05
  1.5986E+00 -1.0870E-19  1.8037E-01  1.2857E-04
  1.9983E+00 -4.7803E-19  2.1967E-01  2.1274E-04
  2.3979E+00 -1.1958E-18  2.5560E-01  3.0271E-04
  2.7976E+00 -4.0475E-19  2.8790E-01  3.8765E-04
  3.1972E+00  2.0592E-19  3.1646E-01  4.6013E-04
  3.5969E+00 -5.0940E-19  3.4137E-01  5.1616E-04
  3.9966E+00 -2.3226E-19  3.6277E-01  5.5437E-04
  4.3962E+00 -3.6712E-19  3.8092E-01  5.7538E-04
  4.7959E+00 -4.8438E-19  3.9608E-01  5.8133E-04
  5.1955E+00 -7.7246E-19  4.0858E-01  5.7539E-04
  5.5952E+00 -2.5945E-19  4.1874E-01  5.6118E-04
  5.9948E+00 -3.9656E-19  4.2690E-01  5.4231E-04
  6.3945E+00 -2.4431E-19  4.3336E-01  5.2205E-04
  6.7941E+00  3.2137E-19  4.3843E-01  5.0314E-04
  7.1938E+00 -3.8813E-20  4.4238E-01  4.8772E-04
  7.5935E+00  1.9424E-19  4.4545E-01  4.7734E-04
  8.0131E+00 -7.1490E-19  4.4797E-01  4.7294E-04
  8.4327E+00  4.4863E-19  4.4998E-01  4.7577E-04
  8.8524E+00 -4.9906E-19  4.5166E-01  4.8591E-04
  9.2720E+00 -3.9436E-19  4.5317E-01  5.0303E-04
  9.6916E+00 -1.8406E-19  4.5463E-01  5.2653E-04
  1.0111E+01  4.6300E-19  4.5614E-01  5.5561E-04
  1.0531E+01 -6.6216E-19  4.5775E-01  5.8939E-04
  1.0951E+01 -2.4279E-19  4.5952E-01  6.2703E-04
  1.1370E+01 -1.1082E-18  4.6146E-01  6.6773E-04
  1.1790E+01  4.2608E-21  4.6358E-01  7.1090E-04
  1.2230E+01 -1.5365E-19  4.6599E-01  7.5843E-04
  1.2671E+01  2.8149E-19  4.6857E-01  8.0797E-04
  1.3112E+01  1.2593E-19  4.7129E-01  8.5952E-04
  1.3552E+01  1.1705E-19  4.7411E-01  9.1325E-04
  1.3993E+01  4.0105E-20  4.7699E-01  9.6940E-04
  1.4434E+01 -8.4092E-19  4.7990E-01  1.0282E-03
  1.4874E+01 -6.5850E-19  4.8281E-01  1.0900E-03
  1.5315E+01  5.7447E-19  4.8568E-01  1.1548E-03
  1.5755E+01 -3.4014E-19  4.8851E-01  1.2227E-03
  1.6196E+01  5.5313E-19  4.9127E-01  1.2935E-03
  1.6659E+01  3.9767E-19  4.9409E-01  1.3712E-03
  1.7121E+01 -2.6109E-19  4.9683E-01  1.4525E-03
  1.7584E+01 -7.0465E-20  4.9950E-01  1.5382E-03
  1.8047E+01  3.5899E-19  5.0209E-01  1.6297E-03
  1.8509E+01  9.0884E-20  5.0462E-01  1.7298E-03
  1.8972E+01 -1.1729E-19  5.0710E-01  1.8426E-03
  1.9435E+01  3.7756E-19  5.0952E-01  1.9725E-03
  1.9897E+01  4.2969E-20  5.1189E-01  2.1219E-03
  2.0360E+01 -2.8897E-19  5.1421E-01  2.2873E-03
  2.0818E+01 -3.0689E-19  5.1648E-01  2.4561E-03
  2.1256E+01  4.6196E-19  5.1863E-01  2.6097E-03
  2.1692E+01 -5.0013E-19  5.2075E-01  2.7423E-03
  2.2107E+01  2.0184E-19  5.2278E-01  2.8400E-03
  2.2523E+01  2.1972E-19  5.2482E-01  2.9011E-03
  2.2911E+01 -3.8663E-19  5.2674E-01  2.9200E-03
  2.3277E+01  4.0552E-19  5.2857E-01  2.8990E-03
  2.3643E+01  4.1008E-19  5.3041E-01  2.8370E-03
  2.4009E+01  5.0140E-19  5.3227E-01  2.7364E-03
  2.4374E+01  1.2818E-19  5.3415E-01  2.6034E-03
  2.4725E+01 -5.9269E-21  5.3595E-01  2.4508E-03
  2.5071E+01  4.4672E-20  5.3773E-01  2.2633E-03
  2.5417E+01 -1.3339E-19  5.3950E-01  2.0195E-03
  2.5764E+01  3.7198E-19  5.4124E-01  1.7331E-03
  2.6108E+01 -4.8857E-19  5.4296E-01  1.4420E-03
  2.6437E+01  5.1361E-20  5.4457E-01  1.1716E-03
  2.6765E+01  8.0327E-20  5.4615E-01  9.0088E-04
  2.7094E+01  2.3682E-19  5.4771E-01  6.1598E-04
  2.7423E+01 -1.3349E-20  5.4926E-01  2.8745E-04
  2.7751E+01 -7.3408E-19  5.5081E-01 -8.2108E-05
  2.8080E+01 -2.0634E-19  5.5235E-01 -4.6403E-04
  2.8409E+01 -5.4424E-19  5.5388E-01 -8.4048E-04
  2.8737E+01 -1.5267E-19  5.5539E-01 -1.2180E-03
  2.9066E+01  3.2724E-20  5.5687E-01 -1.6022E-03
  2.9384E+01  2.8103E-19  5.5829E-01 -1.9756E-03
  2.9696E+01 -5.7945E-20  5.5970E-01 -2.3114E-03
  3.0008E+01 -8.8972E-19  5.6112E-01 -2.6271E-03
  3.0320E+01 -3.1568E-19  5.6253E-01 -2.9328E-03
  3.0631E+01 -1.7072E-19  5.6395E-01 -3.2082E-03
  3.0943E+01 -1.1887E-19  5.6543E-01 -3.4105E-03
  3.1255E+01  1.5381E-19  5.6700E-01 -3.5294E-03
  3.1566E+01 -5.1313E-21  5.6866E-01 -3.5871E-03
  3.1878E+01  2.3906E-19  5.7041E-01 -3.6005E-03
  3.2190E+01  2.6341E-19  5.7221E-01 -3.5760E-03
  3.2501E+01  1.6175E-19  5.7405E-01 -3.5170E-03
  3.2812E+01  4.8905E-19  5.7591E-01 -3.3784E-03
  3.3107E+01  2.7279E-19  5.7770E-01 -3.1570E-03
  3.3403E+01  2.4503E-19  5.7955E-01 -2.8614E-03
  3.3698E+01  1.1242E-19  5.8141E-01 -2.5332E-03
  3.3994E+01  4.1348E-19  5.8325E-01 -2.2217E-03
  3.4290E+01 -9.6053E-19  5.8509E-01 -1.9248E-03
  3.4585E+01  2.7854E-20  5.8694E-01 -1.6643E-03
  3.4881E+01 -7.0186E-20  5.8881E-01 -1.4125E-03
  3.5176E+01  3.1796E-20  5.9069E-01 -1.1382E-03
  3.5472E+01 -8.3161E-19  5.9257E-01 -8.8687E-04
  3.5754E+01 -5.0235E-19  5.9435E-01 -6.9462E-04
  3.6034E+01 -4.5541E-19  5.9610E-01 -5.2151E-04
  3.6314E+01  4.0945E-19  5.9776E-01 -3.3624E-04
  3.6585E+01 -2.0688E-19  5.9928E-01 -1.4705E-04
  3.6850E+01  1.1329E-19  6.0072E-01  3.4317E-05
  3.7116E+01  1.8923E-19  6.0214E-01  2.1671E-04
  3.7382E+01 -1.6230E-19  6.0359E-01  4.1380E-04
  3.7647E+01  4.5006E-20  6.0508E-01  5.9191E-04
  3.7913E+01  7.6923E-19  6.0665E-01  7.2838E-04
  3.8178E+01  6.1196E-19  6.0830E-01  8.2546E-04
  3.8444E+01 -2.6454E-19  6.1001E-01  9.0030E-04
  3.8709E+01 -6.4989E-19  6.1176E-01  9.5987E-04
  3.8975E+01  3.7454E-19  6.1353E-01  9.8729E-04
  3.9240E+01 -1.0553E-19  6.1528E-01  1.0005E-03
  3.9507E+01 -2.9106E-19  6.1698E-01  1.0157E-03
  3.9786E+01  9.2215E-20  6.1872E-01  1.0368E-03
  4.0065E+01 -6.4338E-19  6.2042E-01  1.0558E-03
  4.0344E+01  2.8856E-19  6.2208E-01  1.0660E-03
  4.0622E+01 -6.2293E-19  6.2367E-01  1.0742E-03
  4.0901E+01 -2.5293E-19  6.2522E-01  1.0845E-03
  4.1180E+01 -8.1639E-20  6.2674E-01  1.0828E-03
  4.1459E+01 -7.4037E-19  6.2827E-01  1.0735E-03
  4.1738E+01 -9.3785E-20  6.2984E-01  1.0925E-03
  4.2017E+01  1.3383E-19  6.3145E-01  1.1859E-03
