# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 16:08:40 2019
# diag: fluxzprofile, run(s): act, time window: 0-1602.4176(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_P/
# normalization: L_ref=1.65m
#
#  z          !7C!6!Des   !6Q!Des   
 -3.1416E+00  6.4100E-19  8.6207E-19
 -3.0925E+00 -7.2544E-18 -6.9826E-18
 -3.0434E+00  7.4404E-18  7.8762E-18
 -2.9943E+00 -7.9808E-18 -1.1717E-17
 -2.9452E+00 -3.1095E-17 -3.7857E-17
 -2.8962E+00  4.2042E-17  5.7221E-17
 -2.8471E+00 -4.6361E-17 -6.0224E-17
 -2.7980E+00 -1.2488E-16 -1.8348E-16
 -2.7489E+00 -6.8387E-17 -3.3516E-17
 -2.6998E+00 -7.4850E-17 -5.0230E-18
 -2.6507E+00 -2.0901E-16 -2.4552E-16
 -2.6016E+00 -3.7120E-16 -4.5333E-16
 -2.5525E+00  8.5968E-16  6.0529E-16
 -2.5035E+00 -1.2975E-15 -1.8657E-15
 -2.4544E+00  1.2710E-15  1.3925E-15
 -2.4053E+00  3.6765E-15  4.2756E-15
 -2.3562E+00  8.0339E-17  7.0534E-16
 -2.3071E+00  2.6400E-15  2.5486E-15
 -2.2580E+00 -2.5990E-16  9.6980E-17
 -2.2089E+00 -6.6504E-15 -7.4169E-15
 -2.1598E+00 -1.6256E-14 -1.8472E-14
 -2.1108E+00 -1.3509E-14 -1.8991E-14
 -2.0617E+00  2.9637E-14  3.9252E-14
 -2.0126E+00 -7.8961E-15 -1.3673E-14
 -1.9635E+00  6.1468E-14  8.5621E-14
 -1.9144E+00 -5.8445E-14 -8.1538E-14
 -1.8653E+00 -4.4300E-14 -8.4034E-14
 -1.8162E+00 -2.2046E-14 -1.9850E-14
 -1.7671E+00  1.4161E-14  4.2903E-14
 -1.7181E+00  3.4611E-13  4.3064E-13
 -1.6690E+00 -2.1072E-13 -2.5183E-13
 -1.6199E+00  2.1476E-13  2.0399E-13
 -1.5708E+00  7.7992E-13  8.3554E-13
 -1.5217E+00  5.5304E-13  7.3960E-13
 -1.4726E+00  4.8324E-13  4.4193E-13
 -1.4235E+00  1.6919E-13  3.5391E-13
 -1.3744E+00  3.1700E-14  2.6227E-14
 -1.3254E+00  4.4144E-13 -2.6707E-13
 -1.2763E+00  7.8215E-13  1.4107E-12
 -1.2272E+00  3.8170E-13  2.9843E-13
 -1.1781E+00  9.9154E-13  1.2204E-12
 -1.1290E+00  4.4871E-13  1.4603E-12
 -1.0799E+00 -3.6891E-12 -3.8014E-12
 -1.0308E+00 -8.7718E-12 -9.7283E-12
 -9.8175E-01  7.1281E-13 -2.7143E-12
 -9.3266E-01 -1.8826E-12 -6.2077E-13
 -8.8357E-01 -3.2030E-12 -5.7037E-12
 -8.3449E-01 -4.3490E-12 -1.9516E-12
 -7.8540E-01  1.8897E-11  1.8427E-11
 -7.3631E-01  1.5419E-11  1.7225E-11
 -6.8722E-01  8.4916E-12  8.5170E-12
