# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 16:15:58 2019
# diag: spectra, run(s): act, time window: 0-1602.4176(363 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt1_P/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.1546E-03
  1.0000E-01  1.3007E-03
  1.5000E-01  2.0885E-03
  2.0000E-01  2.3551E-03
  2.5000E-01  1.6642E-03
  3.0000E-01  1.3732E-03
  3.5000E-01  1.0928E-03
  4.0000E-01  9.5324E-04
  4.5000E-01  7.8531E-04
  5.0000E-01  7.1262E-04
  5.5000E-01  6.1796E-04
  6.0000E-01  5.2832E-04
  6.5000E-01  4.0463E-04
  7.0000E-01  2.7969E-04
  7.5000E-01  1.8617E-04
  8.0000E-01  1.5159E-04
  8.5000E-01  9.6300E-05
  9.0000E-01  7.1898E-05
  9.5000E-01  6.1365E-05
  1.0000E+00  5.0589E-05
  1.0500E+00  3.6080E-05
  1.1000E+00  2.8593E-05
  1.1500E+00  2.3506E-05
  1.2000E+00  1.7881E-05
  1.2500E+00  1.4870E-05
  1.3000E+00  1.2757E-05
  1.3500E+00  1.0947E-05
  1.4000E+00  8.8406E-06
  1.4500E+00  7.7437E-06
  1.5000E+00  6.3243E-06
  1.5500E+00  5.4364E-06
  1.6000E+00  4.4886E-06
  1.6500E+00  4.1044E-06
  1.7000E+00  3.5916E-06
  1.7500E+00  3.0775E-06
  1.8000E+00  2.7628E-06
  1.8500E+00  2.4941E-06
  1.9000E+00  2.3428E-06
  1.9500E+00  1.9595E-06
  2.0000E+00  1.6812E-06
  2.0500E+00  1.5388E-06
  2.1000E+00  1.4286E-06
  2.1500E+00  1.2037E-06
  2.2000E+00  1.1185E-06
  2.2500E+00  1.0245E-06
  2.3000E+00  9.0520E-07
  2.3500E+00  8.3268E-07
  2.4000E+00  7.3974E-07
  2.4500E+00  6.7157E-07
  2.5000E+00  6.3135E-07
  2.5500E+00  5.7180E-07
  2.6000E+00  5.1392E-07
  2.6500E+00  4.7886E-07
  2.7000E+00  4.2379E-07
  2.7500E+00  3.7959E-07
  2.8000E+00  3.5228E-07
  2.8500E+00  3.2595E-07
  2.9000E+00  3.0368E-07
  2.9500E+00  2.7136E-07
  3.0000E+00  2.7627E-07
  3.0500E+00  2.4312E-07
  3.1000E+00  2.2599E-07
  3.1500E+00  2.2604E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  7.7821E-01
  5.0000E-02  9.9682E-04
  1.0000E-01  1.4485E-03
  1.5000E-01  1.8752E-03
  2.0000E-01  1.9438E-03
  2.5000E-01  1.7184E-03
  3.0000E-01  1.4641E-03
  3.5000E-01  9.7354E-04
  4.0000E-01  8.6785E-04
  4.5000E-01  7.0941E-04
  5.0000E-01  6.7394E-04
  5.5000E-01  5.9229E-04
  6.0000E-01  4.6877E-04
  6.5000E-01  3.7109E-04
