# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 17:08:36 2019
# diag: nrgsummary, run(s): act, time window: 0-1506.8261(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt2_P/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00 -4.4800E-23 -2.9190E-22  1.9755E-23
  7.9931E-01  2.1634E-20  2.6247E-02  4.2980E-08
  1.5986E+00 -6.3615E-20  5.2347E-02  5.0135E-07
  2.3979E+00 -4.9870E-20  7.8145E-02  2.1984E-06
  3.1932E+00 -2.2703E-19  1.0332E-01  5.6680E-06
  3.9525E+00 -1.1087E-19  1.2669E-01  9.9155E-06
  4.7119E+00 -1.3035E-19  1.4921E-01  1.3115E-05
  5.4712E+00  2.2118E-19  1.7071E-01  1.3016E-05
  6.1994E+00 -5.2137E-19  1.9026E-01  8.2623E-06
  6.9199E+00 -2.4749E-21  2.0854E-01 -1.6216E-06
  7.6404E+00 -5.3150E-20  2.2574E-01 -1.6558E-05
  8.3608E+00  2.2880E-19  2.4193E-01 -3.5725E-05
  9.0813E+00  1.8596E-19  2.5723E-01 -5.7695E-05
  9.8018E+00  3.9740E-19  2.7170E-01 -8.0613E-05
  1.0515E+01  3.2675E-19  2.8543E-01 -1.0221E-04
  1.1198E+01 -5.7660E-20  2.9812E-01 -1.2006E-04
  1.1880E+01 -3.1790E-19  3.1053E-01 -1.3353E-04
  1.2563E+01 -2.4384E-19  3.2278E-01 -1.4128E-04
  1.3246E+01  4.2995E-19  3.3500E-01 -1.4229E-04
  1.3904E+01  2.6585E-19  3.4692E-01 -1.3620E-04
  1.4552E+01  2.0420E-19  3.5885E-01 -1.2309E-04
  1.5200E+01  1.1273E-19  3.7108E-01 -1.0276E-04
  1.5848E+01 -1.4868E-19  3.8370E-01 -7.5303E-05
  1.6493E+01  2.0014E-19  3.9672E-01 -4.1138E-05
  1.7108E+01 -2.8760E-19  4.0968E-01 -2.4845E-06
  1.7724E+01 -1.9923E-19  4.2315E-01  4.1640E-05
  1.8339E+01 -5.4183E-19  4.3723E-01  9.0747E-05
  1.8955E+01 -7.7022E-19  4.5195E-01  1.4430E-04
  1.9546E+01 -4.1155E-20  4.6670E-01  1.9934E-04
  2.0130E+01 -1.2033E-18  4.8193E-01  2.5680E-04
  2.0715E+01 -1.2086E-18  4.9780E-01  3.1675E-04
  2.1299E+01 -2.1732E-20  5.1435E-01  3.7873E-04
  2.1863E+01 -9.4340E-19  5.3097E-01  4.4000E-04
  2.2419E+01 -2.0773E-19  5.4795E-01  5.0143E-04
  2.2974E+01 -4.0230E-19  5.6552E-01  5.6368E-04
  2.3529E+01  3.4447E-19  5.8375E-01  6.2655E-04
  2.4068E+01  2.5847E-19  6.0202E-01  6.8800E-04
  2.4595E+01  8.3155E-19  6.2047E-01  7.4853E-04
  2.5122E+01  6.7890E-19  6.3947E-01  8.0945E-04
  2.5650E+01 -1.1906E-18  6.5905E-01  8.7080E-04
  2.6166E+01 -5.3465E-19  6.7875E-01  9.3143E-04
  2.6667E+01 -9.0630E-19  6.9832E-01  9.9070E-04
  2.7167E+01  6.5545E-19  7.1840E-01  1.0507E-03
  2.7668E+01 -7.9077E-19  7.3897E-01  1.1115E-03
  2.8155E+01  1.2176E-18  7.5950E-01  1.1716E-03
  2.8631E+01 -7.8993E-19  7.7992E-01  1.2311E-03
  2.9106E+01  1.6294E-18  8.0082E-01  1.2915E-03
  2.9581E+01 -2.8223E-19  8.2215E-01  1.3531E-03
  3.0032E+01 -1.3675E-18  8.4282E-01  1.4124E-03
  3.0483E+01  5.4770E-19  8.6390E-01  1.4726E-03
  3.0934E+01 -8.9655E-19  8.8538E-01  1.5338E-03
  3.1385E+01 -4.8705E-19  9.0730E-01  1.5960E-03
  3.1816E+01  1.5565E-18  9.2857E-01  1.6564E-03
  3.2244E+01  5.8710E-19  9.5015E-01  1.7176E-03
  3.2672E+01 -1.7344E-18  9.7210E-01  1.7803E-03
  3.3100E+01 -1.2223E-18  9.9442E-01  1.8451E-03
  3.3513E+01 -1.5550E-18  1.0163E+00  1.9104E-03
  3.3919E+01 -1.2906E-18  1.0382E+00  1.9784E-03
  3.4326E+01  1.0004E-18  1.0605E+00  2.0514E-03
  3.4732E+01  4.8225E-19  1.0831E+00  2.1307E-03
  3.5124E+01  9.5325E-19  1.1053E+00  2.2140E-03
  3.5510E+01 -2.1871E-18  1.1273E+00  2.3026E-03
  3.5896E+01  1.2802E-18  1.1497E+00  2.3975E-03
  3.6282E+01  4.7140E-19  1.1725E+00  2.4980E-03
  3.6668E+01 -1.0640E-18  1.1955E+00  2.6037E-03
  3.7034E+01  9.4170E-20  1.2177E+00  2.7088E-03
  3.7401E+01 -3.4888E-18  1.2401E+00  2.8187E-03
  3.7767E+01 -4.3540E-19  1.2628E+00  2.9335E-03
  3.8117E+01 -9.8687E-19  1.2847E+00  3.0462E-03
  3.8465E+01 -3.5485E-19  1.3067E+00  3.1605E-03
  3.8813E+01  4.9077E-19  1.3290E+00  3.2750E-03
  3.9143E+01 -2.5435E-18  1.3503E+00  3.3832E-03
