# CREATED BY GENE DIAGNOSTICS TOOL on Fri Mar  1 16:16:56 2019
# diag: nrgsummary, run(s): act, time window: 0-753.41303(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt2_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00 -1.7920E-22 -1.1676E-21  7.9018E-23
  3.9966E-01  8.6535E-20  1.0499E-01  1.7192E-07
  7.9931E-01 -2.5446E-19  2.0939E-01  2.0054E-06
  1.1990E+00 -1.9948E-19  3.1258E-01  8.7936E-06
  1.5966E+00 -9.0814E-19  4.1328E-01  2.2672E-05
  1.9763E+00 -4.4346E-19  5.0677E-01  3.9662E-05
  2.3559E+00 -5.2139E-19  5.9685E-01  5.2461E-05
  2.7356E+00  8.8471E-19  6.8285E-01  5.2062E-05
  3.0997E+00 -2.0855E-18  7.6106E-01  3.3049E-05
  3.4599E+00 -9.8995E-21  8.3414E-01 -6.4862E-06
  3.8202E+00 -2.1260E-19  9.0295E-01 -6.6231E-05
  4.1804E+00  9.1520E-19  9.6774E-01 -1.4290E-04
  4.5407E+00  7.4383E-19  1.0289E+00 -2.3078E-04
  4.9009E+00  1.5896E-18  1.0868E+00 -3.2245E-04
  5.2574E+00  1.3070E-18  1.1417E+00 -4.0885E-04
  5.5988E+00 -2.3064E-19  1.1925E+00 -4.8025E-04
  5.9402E+00 -1.2716E-18  1.2421E+00 -5.3411E-04
  6.2816E+00 -9.7534E-19  1.2911E+00 -5.6512E-04
  6.6230E+00  1.7198E-18  1.3400E+00 -5.6916E-04
  6.9522E+00  1.0634E-18  1.3877E+00 -5.4482E-04
  7.2762E+00  8.1678E-19  1.4354E+00 -4.9234E-04
  7.6002E+00  4.5094E-19  1.4843E+00 -4.1104E-04
  7.9241E+00 -5.9473E-19  1.5348E+00 -3.0121E-04
  8.2465E+00  8.0057E-19  1.5869E+00 -1.6455E-04
  8.5542E+00 -1.1504E-18  1.6387E+00 -9.9382E-06
  8.8620E+00 -7.9690E-19  1.6926E+00  1.6656E-04
  9.1697E+00 -2.1673E-18  1.7489E+00  3.6299E-04
  9.4775E+00 -3.0809E-18  1.8078E+00  5.7720E-04
  9.7728E+00 -1.6462E-19  1.8668E+00  7.9736E-04
  1.0065E+01 -4.8131E-18  1.9277E+00  1.0272E-03
  1.0357E+01 -4.8345E-18  1.9912E+00  1.2670E-03
  1.0650E+01 -8.6929E-20  2.0574E+00  1.5149E-03
  1.0932E+01 -3.7736E-18  2.1239E+00  1.7600E-03
  1.1209E+01 -8.3091E-19  2.1918E+00  2.0057E-03
  1.1487E+01 -1.6092E-18  2.2621E+00  2.2547E-03
  1.1765E+01  1.3779E-18  2.3350E+00  2.5062E-03
  1.2034E+01  1.0339E-18  2.4081E+00  2.7520E-03
  1.2297E+01  3.3262E-18  2.4819E+00  2.9941E-03
  1.2561E+01  2.7156E-18  2.5579E+00  3.2378E-03
  1.2825E+01 -4.7626E-18  2.6362E+00  3.4832E-03
  1.3083E+01 -2.1386E-18  2.7150E+00  3.7257E-03
  1.3333E+01 -3.6252E-18  2.7933E+00  3.9628E-03
  1.3584E+01  2.6218E-18  2.8736E+00  4.2027E-03
  1.3834E+01 -3.1631E-18  2.9559E+00  4.4458E-03
  1.4078E+01  4.8705E-18  3.0380E+00  4.6863E-03
  1.4315E+01 -3.1597E-18  3.1197E+00  4.9243E-03
  1.4553E+01  6.5175E-18  3.2033E+00  5.1662E-03
  1.4790E+01 -1.1289E-18  3.2886E+00  5.4122E-03
  1.5016E+01 -5.4699E-18  3.3713E+00  5.6495E-03
  1.5242E+01  2.1908E-18  3.4556E+00  5.8905E-03
  1.5467E+01 -3.5862E-18  3.5415E+00  6.1353E-03
  1.5693E+01 -1.9482E-18  3.6292E+00  6.3841E-03
  1.5908E+01  6.2258E-18  3.7143E+00  6.6256E-03
  1.6122E+01  2.3484E-18  3.8006E+00  6.8704E-03
  1.6336E+01 -6.9376E-18  3.8884E+00  7.1213E-03
  1.6550E+01 -4.8893E-18  3.9777E+00  7.3804E-03
  1.6756E+01 -6.2201E-18  4.0653E+00  7.6415E-03
  1.6960E+01 -5.1624E-18  4.1530E+00  7.9135E-03
  1.7163E+01  4.0017E-18  4.2420E+00  8.2056E-03
  1.7366E+01  1.9290E-18  4.3324E+00  8.5228E-03
  1.7562E+01  3.8130E-18  4.4210E+00  8.8559E-03
  1.7755E+01 -8.7485E-18  4.5094E+00  9.2105E-03
  1.7948E+01  5.1207E-18  4.5990E+00  9.5900E-03
  1.8141E+01  1.8856E-18  4.6899E+00  9.9919E-03
  1.8334E+01 -4.2559E-18  4.7820E+00  1.0415E-02
  1.8517E+01  3.7668E-19  4.8706E+00  1.0835E-02
  1.8700E+01 -1.3955E-17  4.9603E+00  1.1275E-02
  1.8884E+01 -1.7416E-18  5.0511E+00  1.1734E-02
  1.9058E+01 -3.9475E-18  5.1387E+00  1.2185E-02
  1.9232E+01 -1.4194E-18  5.2268E+00  1.2642E-02
  1.9406E+01  1.9631E-18  5.3159E+00  1.3100E-02
  1.9571E+01 -1.0174E-17  5.4013E+00  1.3533E-02
  1.9736E+01 -6.7758E-18  5.4875E+00  1.3961E-02
  1.9901E+01  4.0450E-18  5.5745E+00  1.4385E-02
  2.0059E+01 -1.8720E-18  5.6582E+00  1.4784E-02
  2.0215E+01 -2.3443E-18  5.7421E+00  1.5172E-02
  2.0371E+01  2.4264E-17  5.8263E+00  1.5546E-02
  2.0520E+01 -5.4897E-18  5.9070E+00  1.5895E-02
  2.0662E+01  2.1847E-18  5.9844E+00  1.6219E-02
  2.0799E+01  1.4204E-17  6.0596E+00  1.6519E-02
  2.0932E+01 -1.7158E-18  6.1328E+00  1.6792E-02
  2.1060E+01  5.8554E-18  6.2032E+00  1.7038E-02
  2.1187E+01 -2.9678E-19  6.2727E+00  1.7263E-02
  2.1310E+01  3.2199E-18  6.3402E+00  1.7452E-02
  2.1430E+01  4.8258E-18  6.4062E+00  1.7572E-02
  2.1550E+01  3.6839E-18  6.4721E+00  1.7592E-02
  2.1670E+01 -6.7241E-18  6.5380E+00  1.7505E-02
  2.1790E+01  7.2759E-18  6.6038E+00  1.7326E-02
  2.1910E+01 -6.1755E-18  6.6695E+00  1.7085E-02
  2.2031E+01 -4.0437E-18  6.7350E+00  1.6791E-02
  2.2149E+01  1.5298E-17  6.7990E+00  1.6550E-02
  2.2263E+01  1.5335E-18  6.8602E+00  1.6505E-02
  2.2377E+01  1.5662E-18  6.9207E+00  1.6633E-02
  2.2491E+01 -3.8161E-18  6.9804E+00  1.6885E-02
  2.2605E+01 -7.5459E-18  7.0394E+00  1.7235E-02
  2.2720E+01 -1.0964E-18  7.0976E+00  1.7468E-02
  2.2831E+01  6.5123E-18  7.1534E+00  1.7286E-02
  2.2939E+01 -1.0269E-17  7.2072E+00  1.6620E-02
  2.3044E+01  1.3970E-17  7.2587E+00  1.5694E-02
  2.3147E+01 -6.6911E-18  7.3085E+00  1.4711E-02
  2.3250E+01 -6.6281E-18  7.3576E+00  1.3746E-02
  2.3353E+01 -3.0119E-19  7.4061E+00  1.2767E-02
  2.3455E+01 -1.6928E-18  7.4538E+00  1.1825E-02
  2.3558E+01  3.3113E-18  7.5008E+00  1.1034E-02
  2.3661E+01 -5.7817E-18  7.5470E+00  1.0317E-02
  2.3762E+01  1.6368E-17  7.5917E+00  9.5647E-03
  2.3860E+01  5.9590E-18  7.6336E+00  8.7942E-03
  2.3958E+01 -1.3568E-17  7.6743E+00  8.3041E-03
  2.4055E+01  5.8041E-18  7.7138E+00  8.1498E-03
  2.4153E+01 -1.0511E-17  7.7523E+00  8.3089E-03
  2.4251E+01 -2.6026E-18  7.7896E+00  8.7998E-03
  2.4348E+01 -6.6188E-18  7.8252E+00  9.4551E-03
  2.4446E+01  1.2489E-17  7.8591E+00  9.9569E-03
  2.4543E+01  2.9600E-18  7.8914E+00  9.9815E-03
  2.4641E+01 -4.1570E-18  7.9218E+00  9.6194E-03
  2.4739E+01  7.0612E-18  7.9504E+00  9.1471E-03
  2.4836E+01 -9.1616E-19  7.9772E+00  8.6224E-03
  2.4931E+01  2.0717E-19  8.0015E+00  8.0895E-03
  2.5024E+01  1.9284E-18  8.0233E+00  7.3727E-03
  2.5116E+01 -6.4687E-18  8.0435E+00  6.5953E-03
  2.5206E+01 -3.1388E-18  8.0611E+00  5.9798E-03
  2.5293E+01  1.8796E-17  8.0764E+00  5.5666E-03
  2.5381E+01 -6.5325E-18  8.0899E+00  5.3641E-03
  2.5464E+01 -1.5717E-17  8.1009E+00  5.2178E-03
  2.5547E+01  1.5760E-18  8.1099E+00  5.0835E-03
  2.5630E+01 -5.6114E-18  8.1171E+00  5.1076E-03
  2.5714E+01 -5.6309E-18  8.1230E+00  5.4506E-03
  2.5797E+01 -1.8046E-18  8.1280E+00  6.0888E-03
  2.5880E+01  6.3554E-18  8.1315E+00  7.0489E-03
  2.5964E+01  1.3736E-17  8.1334E+00  8.3970E-03
  2.6047E+01 -1.3069E-17  8.1337E+00  1.0067E-02
  2.6130E+01 -1.6388E-18  8.1322E+00  1.1718E-02
  2.6209E+01  4.4946E-18  8.1292E+00  1.2773E-02
  2.6288E+01 -4.5472E-18  8.1246E+00  1.3406E-02
  2.6367E+01 -6.8512E-19  8.1186E+00  1.3969E-02
  2.6446E+01  1.7295E-17  8.1114E+00  1.4592E-02
  2.6525E+01 -1.0559E-17  8.1030E+00  1.5570E-02
  2.6605E+01 -1.5154E-18  8.0938E+00  1.7095E-02
  2.6684E+01  9.8739E-18  8.0835E+00  1.8957E-02
  2.6763E+01 -1.0044E-17  8.0718E+00  2.0909E-02
  2.6842E+01 -3.8252E-18  8.0582E+00  2.2425E-02
  2.6921E+01 -4.0541E-18  8.0426E+00  2.3147E-02
  2.7000E+01 -3.4384E-18  8.0251E+00  2.3551E-02
  2.7079E+01 -1.2596E-17  8.0058E+00  2.4430E-02
  2.7158E+01 -9.9452E-18  7.9851E+00  2.6032E-02
  2.7237E+01 -5.7937E-18  7.9635E+00  2.8131E-02
  2.7316E+01 -1.4847E-17  7.9416E+00  3.0853E-02
  2.7395E+01  1.5493E-17  7.9193E+00  3.4009E-02
  2.7474E+01 -4.9233E-18  7.8958E+00  3.7027E-02
  2.7553E+01  8.6537E-18  7.8708E+00  4.0149E-02
  2.7632E+01 -1.8168E-17  7.8443E+00  4.3391E-02
  2.7711E+01  6.3997E-19  7.8164E+00  4.5785E-02
  2.7790E+01  4.4823E-18  7.7873E+00  4.7094E-02
  2.7869E+01 -3.4486E-18  7.7576E+00  4.7849E-02
  2.7948E+01 -5.2883E-18  7.7283E+00  4.8359E-02
  2.8028E+01 -8.8408E-18  7.6993E+00  4.8773E-02
  2.8105E+01  1.1621E-18  7.6708E+00  4.9380E-02
  2.8180E+01  1.5415E-17  7.6431E+00  5.0135E-02
  2.8255E+01  1.0290E-18  7.6153E+00  5.0989E-02
  2.8329E+01  8.8443E-18  7.5880E+00  5.1539E-02
  2.8404E+01 -6.1090E-18  7.5616E+00  5.1585E-02
  2.8479E+01  2.2989E-18  7.5364E+00  5.1556E-02
  2.8554E+01 -2.2123E-18  7.5115E+00  5.2029E-02
  2.8629E+01 -4.8772E-18  7.4863E+00  5.3077E-02
  2.8704E+01 -7.8482E-19  7.4602E+00  5.4543E-02
  2.8778E+01  1.9253E-17  7.4329E+00  5.5041E-02
  2.8853E+01 -5.8617E-18  7.4053E+00  5.4673E-02
  2.8924E+01 -1.0281E-17  7.3777E+00  5.4514E-02
  2.8995E+01  1.0818E-17  7.3485E+00  5.4805E-02
  2.9066E+01  6.4484E-18  7.3188E+00  5.5161E-02
  2.9137E+01 -1.0806E-17  7.2901E+00  5.4879E-02
  2.9208E+01  4.8835E-18  7.2625E+00  5.3810E-02
  2.9279E+01  1.8235E-17  7.2349E+00  5.2822E-02
  2.9350E+01 -1.1266E-17  7.2064E+00  5.2136E-02
  2.9421E+01 -8.4765E-18  7.1774E+00  5.2170E-02
  2.9492E+01 -4.6982E-18  7.1478E+00  5.2580E-02
  2.9563E+01  2.1227E-18  7.1189E+00  5.2860E-02
  2.9634E+01 -4.1227E-18  7.0904E+00  5.3144E-02
  2.9705E+01  8.8977E-18  7.0622E+00  5.3772E-02
  2.9776E+01 -7.9433E-18  7.0340E+00  5.4913E-02
  2.9847E+01 -1.4726E-17  7.0054E+00  5.5745E-02
  2.9918E+01  1.0736E-17  6.9760E+00  5.5832E-02
  2.9989E+01  9.9323E-18  6.9454E+00  5.4424E-02
  3.0060E+01 -9.0236E-19  6.9136E+00  5.1386E-02
  3.0131E+01  1.0882E-17  6.8804E+00  4.7817E-02
  3.0202E+01 -4.9129E-18  6.8471E+00  4.4503E-02
  3.0271E+01 -6.1977E-18  6.8153E+00  4.2153E-02
  3.0339E+01  5.2510E-19  6.7848E+00  4.0982E-02
  3.0406E+01 -1.1017E-17  6.7539E+00  3.9958E-02
  3.0473E+01 -1.0793E-17  6.7233E+00  3.9294E-02
  3.0540E+01  4.8779E-18  6.6937E+00  3.8996E-02
  3.0608E+01 -6.9867E-18  6.6651E+00  3.9671E-02
  3.0675E+01 -4.5762E-18  6.6366E+00  4.0378E-02
  3.0742E+01  4.8934E-18  6.6087E+00  3.9928E-02
  3.0809E+01  7.4607E-18  6.5814E+00  3.8571E-02
  3.0877E+01  1.0919E-17  6.5543E+00  3.6960E-02
  3.0944E+01 -9.2954E-19  6.5264E+00  3.5877E-02
  3.1011E+01  4.6269E-18  6.4982E+00  3.5799E-02
  3.1078E+01  4.4308E-19  6.4708E+00  3.6419E-02
  3.1146E+01  4.4631E-18  6.4445E+00  3.7430E-02
  3.1213E+01  8.8420E-19  6.4189E+00  3.8171E-02
  3.1280E+01  5.6095E-18  6.3937E+00  3.8374E-02
  3.1347E+01 -2.0407E-18  6.3685E+00  3.7161E-02
  3.1414E+01 -9.6909E-18  6.3432E+00  3.5121E-02
  3.1482E+01 -4.3491E-20  6.3183E+00  3.3349E-02
  3.1549E+01 -1.3110E-18  6.2937E+00  3.2172E-02
  3.1616E+01 -6.1823E-18  6.2693E+00  3.1754E-02
  3.1683E+01 -2.6181E-18  6.2452E+00  3.1337E-02
  3.1751E+01  2.7298E-18  6.2208E+00  3.0774E-02
  3.1819E+01 -3.3622E-18  6.1955E+00  3.0467E-02
  3.1889E+01  4.5222E-18  6.1691E+00  3.0006E-02
  3.1960E+01 -2.8202E-18  6.1432E+00  2.9124E-02
  3.2030E+01 -5.3202E-18  6.1174E+00  2.8259E-02
  3.2096E+01 -2.9142E-18  6.0927E+00  2.7851E-02
  3.2159E+01  5.7554E-18  6.0690E+00  2.7754E-02
  3.2221E+01  1.6273E-18  6.0446E+00  2.7494E-02
  3.2283E+01 -2.8872E-18  6.0198E+00  2.6983E-02
  3.2346E+01  2.5138E-18  5.9953E+00  2.6674E-02
  3.2408E+01  6.8151E-18  5.9716E+00  2.6577E-02
  3.2471E+01 -7.8517E-18  5.9485E+00  2.6224E-02
  3.2533E+01 -6.3033E-18  5.9252E+00  2.5614E-02
  3.2595E+01  1.6472E-17  5.9016E+00  2.5183E-02
  3.2658E+01  3.8290E-19  5.8786E+00  2.4585E-02
  3.2720E+01  5.8047E-18  5.8560E+00  2.3620E-02
  3.2785E+01  4.2310E-19  5.8328E+00  2.2353E-02
  3.2850E+01  2.3905E-18  5.8088E+00  2.1214E-02
  3.2916E+01  4.8907E-18  5.7844E+00  2.0535E-02
