# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 18:50:52 2019
# diag: zonal, run(s): act, time window: 0-751.29524(378 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt2_P/
# normalization: L_ref=1.65m
#
# avg. values:
# shearing rate: 0.46482999
#  shear. ra
  8.7074E-09  1.1757E-04  3.1727E-04  6.6048E-04  1.3320E-03  2.4057E-03  4.0064E-03  6.4138E-03  1.4729E-02  2.5775E-02  4.1365E-02  6.6435E-02  7.2772E-02  7.9850E-02  8.8633E-02  9.7185E-02  9.8476E-02  1.0677E-01  1.0808E-01  1.0679E-01  1.1246E-01  1.2361E-01  1.2482E-01  1.3162E-01  1.4342E-01  1.5707E-01  1.6803E-01  1.7632E-01  1.8747E-01  1.9634E-01  1.9993E-01  2.0323E-01  2.1125E-01  2.0938E-01  2.1153E-01  2.1772E-01  2.2584E-01  2.4463E-01  2.6872E-01  2.9287E-01  3.1587E-01  3.4300E-01  3.6612E-01  3.8475E-01  3.9333E-01  4.1437E-01  4.3111E-01  4.3552E-01  4.3026E-01  4.2790E-01  4.1381E-01  3.9821E-01  3.8041E-01  3.6372E-01  3.5630E-01  3.6364E-01  3.7131E-01  3.7581E-01  3.8118E-01  3.9263E-01  4.0243E-01  4.1373E-01  4.2068E-01  4.2328E-01  4.1936E-01  4.2001E-01  4.2397E-01  4.3123E-01  4.3543E-01  4.3965E-01  4.4057E-01  4.3876E-01  4.3153E-01  4.2873E-01  4.2602E-01  4.2795E-01  4.2584E-01  4.2370E-01  4.1337E-01  4.1049E-01  4.0754E-01  4.0939E-01  4.1517E-01  4.1531E-01  4.1405E-01  4.1328E-01  4.1927E-01  4.3004E-01  4.3810E-01  4.3824E-01  4.3014E-01  4.2145E-01  4.1199E-01  4.0282E-01  3.9345E-01  3.8875E-01  3.8962E-01  3.9081E-01  3.9681E-01  4.1833E-01  4.3936E-01  4.5382E-01  4.5646E-01  4.5601E-01  4.5741E-01  4.7450E-01  4.8422E-01  4.6285E-01  4.5019E-01  4.5512E-01  4.6625E-01  4.8072E-01  4.9125E-01  4.9331E-01  4.8899E-01  4.9273E-01  4.8588E-01  4.8313E-01  4.9005E-01  5.1605E-01  5.1995E-01  5.0763E-01  4.9392E-01  4.8635E-01  4.5837E-01  4.3539E-01  4.4115E-01  4.5172E-01  4.7420E-01  4.9551E-01  4.9753E-01  4.8090E-01  4.6073E-01  4.6695E-01  4.8110E-01  4.8373E-01  4.6534E-01  4.5089E-01  4.5557E-01  4.7034E-01  4.7126E-01  4.7031E-01  4.7779E-01  4.8662E-01  4.9563E-01  4.9941E-01  5.0980E-01  4.9873E-01  4.7979E-01  4.7258E-01  4.6521E-01  4.5805E-01  4.5936E-01  4.6525E-01  4.6734E-01  4.6280E-01  4.7370E-01  4.9972E-01  5.0276E-01  4.9825E-01  5.1258E-01  5.2760E-01  5.3105E-01  5.2327E-01  5.2139E-01  5.3642E-01  5.6069E-01  5.6195E-01  5.4748E-01  5.2943E-01  5.3186E-01  5.4423E-01  5.5677E-01  5.6487E-01  5.5233E-01  5.3555E-01  5.3427E-01  5.3508E-01  5.3754E-01  5.3898E-01  5.3597E-01  5.2466E-01  4.9868E-01  4.6996E-01  4.5792E-01  4.5930E-01  4.8053E-01  4.8443E-01  4.7833E-01  4.6708E-01  4.6690E-01  4.5847E-01  4.4862E-01  4.4862E-01  4.5128E-01  4.7828E-01  5.0567E-01  5.2116E-01  5.2870E-01  5.2792E-01  5.1898E-01  4.9746E-01  4.7019E-01  4.5696E-01  4.7470E-01  5.0490E-01  5.3900E-01  5.7084E-01  5.8003E-01  5.6909E-01  5.5595E-01  5.4888E-01  5.3294E-01  5.2730E-01  5.3573E-01  5.3469E-01  5.2351E-01  5.1093E-01  5.2137E-01  5.4614E-01  5.7672E-01  5.9655E-01  6.0605E-01  6.0721E-01  6.0666E-01  6.0538E-01  6.0482E-01  6.1198E-01  6.1887E-01  6.0721E-01  5.7339E-01  5.4109E-01  5.3383E-01  5.3222E-01  5.3465E-01  5.4093E-01  5.4416E-01  5.3398E-01  5.1056E-01  4.9016E-01  4.6801E-01  4.6264E-01  4.9120E-01  5.3067E-01  5.5591E-01  5.6281E-01  5.5709E-01  5.5035E-01  5.5303E-01  5.4965E-01  5.3376E-01  5.2956E-01  5.3708E-01  5.5156E-01  5.5664E-01  5.4302E-01  5.2742E-01  5.1888E-01  5.2930E-01  5.4460E-01  5.5624E-01  5.8299E-01  6.0415E-01  5.9301E-01  5.7328E-01  5.5510E-01  5.3572E-01  5.1723E-01  5.1713E-01  5.1894E-01  5.1624E-01  5.2203E-01  5.2009E-01  4.9856E-01  4.7765E-01  4.7800E-01  4.8758E-01  5.0139E-01  4.9950E-01  4.8212E-01  4.7063E-01  4.7153E-01  4.9008E-01  5.1571E-01  5.3699E-01  5.3132E-01  5.0842E-01  5.0622E-01  5.0655E-01  4.9887E-01  4.9844E-01  4.9511E-01  4.9435E-01  4.9248E-01  4.7804E-01  4.8449E-01  5.0801E-01  5.2326E-01  5.1997E-01  5.0147E-01  4.8369E-01  4.8381E-01  4.8207E-01  4.7577E-01  4.8405E-01  4.9276E-01  5.0220E-01  5.1158E-01  5.2241E-01  5.2842E-01  5.3246E-01  5.3019E-01  5.1073E-01  4.9712E-01  4.8055E-01  4.6552E-01  4.6869E-01  4.8195E-01  4.9624E-01  5.0925E-01  5.1673E-01  5.1982E-01  5.1927E-01  5.3287E-01  5.2831E-01  5.1035E-01  5.0390E-01  4.9957E-01  4.9393E-01  4.7996E-01  4.6566E-01  4.5947E-01  4.5746E-01  4.4050E-01  4.1857E-01  4.1179E-01  4.2734E-01  4.5339E-01  4.7745E-01  4.9689E-01  5.0070E-01  4.9270E-01  4.8705E-01  4.8363E-01  4.9636E-01  5.0176E-01  5.0296E-01  5.1778E-01  5.3801E-01  5.6604E-01  5.8150E-01  5.6436E-01  5.5313E-01  5.3823E-01  5.2594E-01  5.0531E-01  5.0572E-01  5.2523E-01  5.4261E-01  5.4999E-01  5.5424E-01  5.4742E-01  5.3311E-01  5.2709E-01  5.3043E-01  5.2498E-01  5.1231E-01  4.9630E-01  4.7470E-01  4.5441E-01  4.4626E-01  4.6007E-01  4.7471E-01  4.8381E-01  4.8130E-01  4.5760E-01  4.3780E-01  4.5015E-01


# averaged over time
#  kx         shear. rat
  2.0206E-02  2.9797E-04
  4.0412E-02  1.3675E-03
  6.0618E-02  1.3958E-03
  8.0824E-02  3.9995E-03
  1.0103E-01  4.9227E-03
  1.2124E-01  5.7769E-03
  1.4144E-01  1.0474E-02
  1.6165E-01  9.8653E-03
  1.8185E-01  6.8664E-03
  2.0206E-01  7.4081E-03
  2.2227E-01  8.6916E-03
  2.4247E-01  1.1867E-02
  2.6268E-01  1.1540E-02
  2.8288E-01  1.0530E-02
  3.0309E-01  8.8357E-03
  3.2330E-01  1.2234E-02
  3.4350E-01  1.2958E-02
  3.6371E-01  1.1094E-02
  3.8391E-01  1.4778E-02
  4.0412E-01  1.3668E-02
  4.2433E-01  1.6476E-02
  4.4453E-01  1.7844E-02
  4.6474E-01  1.7887E-02
  4.8494E-01  1.9861E-02
  5.0515E-01  2.2259E-02
  5.2536E-01  2.3326E-02
  5.4556E-01  2.7572E-02
  5.6577E-01  2.8430E-02
  5.8597E-01  2.8914E-02
  6.0618E-01  3.0517E-02
  6.2638E-01  2.8188E-02
  6.4659E-01  2.8345E-02
  6.6680E-01  3.5404E-02
  6.8700E-01  3.4684E-02
  7.0721E-01  3.4295E-02
  7.2741E-01  3.0685E-02
  7.4762E-01  3.6623E-02
  7.6783E-01  4.0199E-02
  7.8803E-01  3.6512E-02
  8.0824E-01  4.1382E-02
  8.2844E-01  3.4424E-02
  8.4865E-01  3.6104E-02
  8.6886E-01  3.9545E-02
  8.8906E-01  3.9400E-02
  9.0927E-01  3.7889E-02
  9.2947E-01  4.1914E-02
  9.4968E-01  4.4272E-02
  9.6989E-01  4.1942E-02
  9.9009E-01  4.5735E-02
  1.0103E+00  4.3974E-02
  1.0305E+00  4.2608E-02
  1.0507E+00  4.9048E-02
  1.0709E+00  4.7902E-02
  1.0911E+00  4.9968E-02
  1.1113E+00  4.6804E-02
  1.1315E+00  4.7160E-02
  1.1517E+00  4.1632E-02
  1.1719E+00  4.6213E-02
  1.1922E+00  4.7587E-02
  1.2124E+00  4.8064E-02
  1.2326E+00  3.3933E-02
  1.2528E+00  4.3975E-02
  1.2730E+00  3.9256E-02
  1.2932E+00  3.9881E-02
  1.3134E+00  4.1663E-02
  1.3336E+00  3.6498E-02
  1.3538E+00  3.9716E-02
  1.3740E+00  2.9791E-02
  1.3942E+00  2.8504E-02
  1.4144E+00  3.1357E-02
  1.4346E+00  3.1323E-02
  1.4548E+00  2.8062E-02
  1.4750E+00  2.8451E-02
  1.4952E+00  2.4552E-02
  1.5154E+00  2.8560E-02
  1.5357E+00  2.3625E-02
  1.5559E+00  2.2105E-02
  1.5761E+00  2.3737E-02
  1.5963E+00  2.0903E-02
  1.6165E+00  2.2955E-02
  1.6367E+00  2.1754E-02
  1.6569E+00  1.9230E-02
  1.6771E+00  2.0091E-02
  1.6973E+00  2.0050E-02
  1.7175E+00  1.9531E-02
  1.7377E+00  1.6935E-02
  1.7579E+00  1.8357E-02
  1.7781E+00  1.6906E-02
  1.7983E+00  1.5138E-02
  1.8185E+00  1.5605E-02
  1.8387E+00  1.3893E-02
  1.8589E+00  1.5126E-02
  1.8792E+00  1.5223E-02
  1.8994E+00  1.3347E-02
  1.9196E+00  1.3013E-02
  1.9398E+00  1.4434E-02
  1.9600E+00  1.2211E-02
  1.9802E+00  1.0893E-02
  2.0004E+00  1.1933E-02
  2.0206E+00  1.1866E-02
  2.0408E+00  1.1012E-02
  2.0610E+00  1.2000E-02
  2.0812E+00  1.0622E-02
  2.1014E+00  1.0064E-02
  2.1216E+00  1.0306E-02
  2.1418E+00  9.8065E-03
  2.1620E+00  9.3616E-03
  2.1822E+00  9.2313E-03
  2.2024E+00  9.7819E-03
  2.2227E+00  8.5828E-03
  2.2429E+00  8.8396E-03
  2.2631E+00  8.3754E-03
  2.2833E+00  8.4240E-03
  2.3035E+00  7.9808E-03
  2.3237E+00  7.3630E-03
  2.3439E+00  7.5662E-03
  2.3641E+00  6.8649E-03
  2.3843E+00  7.0501E-03
  2.4045E+00  6.8132E-03
  2.4247E+00  7.1054E-03
  2.4449E+00  6.5384E-03
  2.4651E+00  6.3616E-03
  2.4853E+00  6.5407E-03
  2.5055E+00  6.6204E-03
  2.5257E+00  5.8047E-03
  2.5460E+00  5.9513E-03
  2.5662E+00  5.9282E-03
  2.5864E+00  5.9934E-03
  2.6066E+00  5.7112E-03
  2.6268E+00  5.8238E-03
  2.6470E+00  5.3726E-03
  2.6672E+00  5.5284E-03
  2.6874E+00  5.4396E-03
  2.7076E+00  5.2479E-03
  2.7278E+00  5.1911E-03
  2.7480E+00  5.1004E-03
  2.7682E+00  4.9478E-03
  2.7884E+00  4.9318E-03
  2.8086E+00  5.0335E-03
  2.8288E+00  4.8801E-03
  2.8490E+00  4.5638E-03
  2.8692E+00  4.6937E-03
  2.8895E+00  4.5760E-03
  2.9097E+00  4.3142E-03
  2.9299E+00  4.6596E-03
  2.9501E+00  4.5168E-03
  2.9703E+00  4.6533E-03
  2.9905E+00  4.3829E-03
  3.0107E+00  4.1869E-03
  3.0309E+00  4.3609E-03
  3.0511E+00  4.1515E-03
  3.0713E+00  4.1396E-03
  3.0915E+00  3.8826E-03
  3.1117E+00  4.0807E-03
  3.1319E+00  4.0822E-03
  3.1521E+00  3.8908E-03
  3.1723E+00  4.1338E-03
  3.1925E+00  3.8683E-03
  3.2127E+00  3.7535E-03
  3.2330E+00  3.8498E-03
  3.2532E+00  3.7766E-03
  3.2734E+00  3.7436E-03
  3.2936E+00  3.8804E-03
  3.3138E+00  3.9670E-03
  3.3340E+00  3.7805E-03
  3.3542E+00  3.8297E-03
  3.3744E+00  3.9923E-03
  3.3946E+00  3.5152E-03
  3.4148E+00  3.4969E-03
  3.4350E+00  3.8368E-03
  3.4552E+00  3.7697E-03
  3.4754E+00  3.4892E-03
  3.4956E+00  3.5454E-03
  3.5158E+00  3.5236E-03
  3.5360E+00  3.5605E-03
  3.5562E+00  3.5977E-03
  3.5765E+00  3.6247E-03
  3.5967E+00  3.5527E-03
  3.6169E+00  3.4702E-03
  3.6371E+00  3.5986E-03
  3.6573E+00  3.5270E-03
  3.6775E+00  3.4150E-03
  3.6977E+00  3.4007E-03
  3.7179E+00  3.5556E-03
  3.7381E+00  3.3497E-03
  3.7583E+00  3.5214E-03
  3.7785E+00  3.4916E-03
  3.7987E+00  3.5273E-03
