# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 17:15:01 2019
# diag: spectra, run(s): act, time window: 0-1502.5905(378 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt2_P/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.1386E-03
  1.0000E-01  1.4268E-03
  1.5000E-01  1.0056E-03
  2.0000E-01  1.0802E-03
  2.5000E-01  1.0344E-03
  3.0000E-01  1.2103E-03
  3.5000E-01  1.1757E-03
  4.0000E-01  1.4143E-03
  4.5000E-01  1.2743E-03
  5.0000E-01  1.3555E-03
  5.5000E-01  1.7076E-03
  6.0000E-01  1.3943E-03
  6.5000E-01  1.2679E-03
  7.0000E-01  9.5773E-04
  7.5000E-01  7.6695E-04
  8.0000E-01  6.3844E-04
  8.5000E-01  4.9586E-04
  9.0000E-01  3.1941E-04
  9.5000E-01  2.6728E-04
  1.0000E+00  1.7522E-04
  1.0500E+00  1.3275E-04
  1.1000E+00  9.9827E-05
  1.1500E+00  7.9850E-05
  1.2000E+00  7.0420E-05
  1.2500E+00  5.8597E-05
  1.3000E+00  4.8502E-05
  1.3500E+00  4.6028E-05
  1.4000E+00  3.8567E-05
  1.4500E+00  3.3764E-05
  1.5000E+00  3.1234E-05
  1.5500E+00  2.5117E-05
  1.6000E+00  2.2072E-05
  1.6500E+00  2.0716E-05
  1.7000E+00  1.8076E-05
  1.7500E+00  1.5908E-05
  1.8000E+00  1.3389E-05
  1.8500E+00  1.2505E-05
  1.9000E+00  1.1866E-05
  1.9500E+00  1.0439E-05
  2.0000E+00  9.2461E-06
  2.0500E+00  8.6767E-06
  2.1000E+00  7.1502E-06
  2.1500E+00  6.6353E-06
  2.2000E+00  5.9738E-06
  2.2500E+00  5.4497E-06
  2.3000E+00  4.7472E-06
  2.3500E+00  4.2726E-06
  2.4000E+00  4.0264E-06
  2.4500E+00  3.6846E-06
  2.5000E+00  3.3631E-06
  2.5500E+00  3.0102E-06
  2.6000E+00  2.7244E-06
  2.6500E+00  2.5081E-06
  2.7000E+00  2.4145E-06
  2.7500E+00  2.1869E-06
  2.8000E+00  2.0215E-06
  2.8500E+00  1.8155E-06
  2.9000E+00  1.6785E-06
  2.9500E+00  1.4896E-06
  3.0000E+00  1.3981E-06
  3.0500E+00  1.3790E-06
  3.1000E+00  1.2531E-06
  3.1500E+00  1.2441E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.5809E-01
  5.0000E-02  2.0673E-03
  1.0000E-01  1.8687E-03
  1.5000E-01  1.6476E-03
  2.0000E-01  1.6386E-03
  2.5000E-01  1.5163E-03
  3.0000E-01  1.2723E-03
  3.5000E-01  1.3045E-03
  4.0000E-01  1.2810E-03
  4.5000E-01  1.1654E-03
  5.0000E-01  1.3611E-03
  5.5000E-01  1.3640E-03
  6.0000E-01  1.3678E-03
  6.5000E-01  1.3104E-03
  7.0000E-01  1.1462E-03
  7.5000E-01  7.0367E-04
  8.0000E-01  5.9279E-04
  8.5000E-01  4.4150E-04
  9.0000E-01  3.1302E-04
  9.5000E-01  2.1649E-04
  1.0000E+00  1.6090E-04
  1.0500E+00  1.1770E-04
  1.1000E+00  9.2859E-05
  1.1500E+00  7.4084E-05
  1.2000E+00  6.5928E-05
  1.2500E+00  5.2620E-05
  1.3000E+00  4.8786E-05
  1.3500E+00  4.0096E-05
  1.4000E+00  4.2007E-05
  1.4500E+00  3.1764E-05
  1.5000E+00  2.9348E-05
  1.5500E+00  2.5128E-05
  1.6000E+00  2.4722E-05
  1.6500E+00  1.9995E-05
  1.7000E+00  1.9224E-05
  1.7500E+00  1.7090E-05
  1.8000E+00  1.3556E-05
  1.8500E+00  1.2836E-05
  1.9000E+00  1.1568E-05
  1.9500E+00  1.0464E-05
  2.0000E+00  8.9367E-06
  2.0500E+00  8.1004E-06
  2.1000E+00  7.6443E-06
  2.1500E+00  6.8214E-06
  2.2000E+00  5.9576E-06
  2.2500E+00  5.5353E-06
  2.3000E+00  5.0367E-06
  2.3500E+00  4.4753E-06
  2.4000E+00  4.2111E-06
  2.4500E+00  3.7869E-06
  2.5000E+00  3.2644E-06
  2.5500E+00  2.8773E-06
  2.6000E+00  2.6559E-06
  2.6500E+00  2.5319E-06
  2.7000E+00  2.2786E-06
  2.7500E+00  2.0930E-06
  2.8000E+00  1.9534E-06
  2.8500E+00  1.7336E-06
  2.9000E+00  1.6306E-06
  2.9500E+00  1.4558E-06
  3.0000E+00  1.4211E-06
  3.0500E+00  1.3805E-06
  3.1000E+00  1.2765E-06
  3.1500E+00  1.2171E-06


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.9879E-01
  5.0000E-02  1.4025E-03
  1.0000E-01  1.3033E-03
  1.5000E-01  1.3412E-03
  2.0000E-01  1.3338E-03
  2.5000E-01  1.2654E-03
  3.0000E-01  1.1755E-03
  3.5000E-01  1.1482E-03
  4.0000E-01  1.2022E-03
  4.5000E-01  1.1156E-03
  5.0000E-01  1.0370E-03
  5.5000E-01  1.1849E-03
  6.0000E-01  9.2968E-04
  6.5000E-01  1.0868E-03
  7.0000E-01  6.8793E-04
  7.5000E-01  6.0083E-04
  8.0000E-01  4.5230E-04
  8.5000E-01  3.2977E-04
  9.0000E-01  2.5164E-04
  9.5000E-01  2.2110E-04
  1.0000E+00  1.5720E-04
  1.0500E+00  1.2532E-04
  1.1000E+00  9.3759E-05
  1.1500E+00  7.8725E-05
  1.2000E+00  7.2805E-05
  1.2500E+00  5.9060E-05
  1.3000E+00  4.9882E-05
  1.3500E+00  4.3350E-05
  1.4000E+00  3.9856E-05
  1.4500E+00  3.4327E-05
  1.5000E+00  2.9890E-05
  1.5500E+00  2.5847E-05
  1.6000E+00  2.2374E-05
  1.6500E+00  1.9616E-05
  1.7000E+00  1.7702E-05
  1.7500E+00  1.6028E-05
  1.8000E+00  1.4491E-05
  1.8500E+00  1.3435E-05
  1.9000E+00  1.1780E-05
  1.9500E+00  1.0583E-05
  2.0000E+00  9.8987E-06
  2.0500E+00  7.5515E-06
  2.1000E+00  7.7269E-06
  2.1500E+00  6.5075E-06
  2.2000E+00  6.0709E-06
  2.2500E+00  5.1461E-06
  2.3000E+00  5.0287E-06
  2.3500E+00  4.2318E-06
  2.4000E+00  3.9865E-06
  2.4500E+00  3.6665E-06
  2.5000E+00  3.2269E-06
  2.5500E+00  2.9649E-06
  2.6000E+00  2.6794E-06
  2.6500E+00  2.4171E-06
  2.7000E+00  2.3180E-06
  2.7500E+00  1.9842E-06
  2.8000E+00  1.9149E-06
  2.8500E+00  1.7791E-06
  2.9000E+00  1.6191E-06
  2.9500E+00  1.5102E-06
  3.0000E+00  1.3962E-06
  3.0500E+00  1.3127E-06
  3.1000E+00  1.2235E-06
  3.1500E+00  1.1740E-06


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.4160E-02
  5.0000E-02  2.0766E-03
  1.0000E-01  1.4992E-03
  1.5000E-01  1.1495E-03
  2.0000E-01  1.0657E-03
  2.5000E-01  9.2324E-04
  3.0000E-01  8.9229E-04
  3.5000E-01  1.0904E-03
  4.0000E-01  9.2004E-04
  4.5000E-01  9.0120E-04
  5.0000E-01  1.1255E-03
  5.5000E-01  9.1212E-04
  6.0000E-01  9.8937E-04
  6.5000E-01  8.3244E-04
  7.0000E-01  5.5801E-04
  7.5000E-01  5.0729E-04
  8.0000E-01  3.6932E-04
  8.5000E-01  3.1300E-04
  9.0000E-01  2.1472E-04
  9.5000E-01  1.9147E-04
  1.0000E+00  1.3742E-04
  1.0500E+00  1.3276E-04
  1.1000E+00  1.0681E-04
  1.1500E+00  8.7985E-05
  1.2000E+00  7.0960E-05
  1.2500E+00  6.1645E-05
  1.3000E+00  5.1046E-05
  1.3500E+00  4.3659E-05
  1.4000E+00  3.7006E-05
  1.4500E+00  3.0899E-05
  1.5000E+00  2.8333E-05
  1.5500E+00  2.8296E-05
  1.6000E+00  2.3201E-05
  1.6500E+00  1.9347E-05
  1.7000E+00  1.8608E-05
  1.7500E+00  1.5920E-05
  1.8000E+00  1.5012E-05
  1.8500E+00  1.3332E-05
  1.9000E+00  1.2916E-05
  1.9500E+00  1.0227E-05
  2.0000E+00  9.5364E-06
  2.0500E+00  8.6911E-06
  2.1000E+00  7.6345E-06
  2.1500E+00  6.8319E-06
  2.2000E+00  5.9575E-06
  2.2500E+00  5.5475E-06
  2.3000E+00  4.8289E-06
