# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:28:32 2019
# diag: fluxspectra, run(s): 1, time window: 0-1249.9488(179 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_T,ions
#
# Q*dVdx =   8.4086E-01 MW
# G*dVdx =   1.2765E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -1.7524E-12  5.6364E-02
  2.0206E-02  8.4105E-13  9.6388E-02
  4.0412E-02 -1.7982E-12  8.9158E-02
  6.0618E-02  2.7503E-12  7.1801E-02
  8.0824E-02  7.0558E-13  6.9079E-02
  1.0103E-01 -8.3862E-13  5.8903E-02
  1.2124E-01 -6.9312E-13  5.3904E-02
  1.4144E-01  8.7219E-13  4.7000E-02
  1.6165E-01 -2.1487E-13  4.1065E-02
  1.8185E-01  7.8465E-13  3.5979E-02
  2.0206E-01 -6.3044E-13  3.1750E-02
  2.2227E-01 -2.9071E-13  2.7962E-02
  2.4247E-01 -6.7609E-14  2.4617E-02
  2.6268E-01  3.5450E-13  2.2262E-02
  2.8288E-01 -9.4207E-13  1.9849E-02
  3.0309E-01 -2.6230E-13  1.7502E-02
  3.2330E-01 -3.0796E-13  1.6181E-02
  3.4350E-01 -4.1273E-14  1.4475E-02
  3.6371E-01  2.7179E-13  1.3551E-02
  3.8391E-01  6.2424E-13  1.2102E-02
  4.0412E-01  6.3280E-13  1.1493E-02
  4.2433E-01 -3.8921E-13  1.0187E-02
  4.4453E-01 -3.5017E-13  9.4115E-03
  4.6474E-01  1.0201E-13  8.9572E-03
  4.8494E-01 -3.5870E-14  8.0761E-03
  5.0515E-01  2.9752E-13  7.7003E-03
  5.2536E-01 -2.9622E-15  7.1695E-03
  5.4556E-01  2.7965E-14  6.8242E-03
  5.6577E-01 -9.9100E-14  5.9679E-03
  5.8597E-01 -2.9413E-14  5.7923E-03
  6.0618E-01  1.7204E-13  5.4232E-03
  6.2638E-01  1.9945E-13  5.1358E-03
  6.4659E-01  3.5724E-13  4.7749E-03
  6.6680E-01  2.4608E-13  4.4636E-03
  6.8700E-01 -3.9973E-13  4.0512E-03
  7.0721E-01  4.7116E-13  3.7186E-03
  7.2741E-01 -1.8403E-13  3.4920E-03
  7.4762E-01  1.8476E-13  3.4060E-03
  7.6783E-01  2.7260E-13  3.0398E-03
  7.8803E-01 -1.6526E-13  2.8058E-03
  8.0824E-01  1.0226E-13  2.5796E-03
  8.2844E-01 -3.2116E-14  2.3761E-03
  8.4865E-01  2.0641E-14  2.2760E-03
  8.6886E-01 -3.0375E-13  2.0888E-03
  8.8906E-01  1.7235E-13  1.9692E-03
  9.0927E-01  3.1007E-14  1.8150E-03
  9.2947E-01 -8.9330E-15  1.7583E-03
  9.4968E-01 -9.7908E-15  1.5844E-03
  9.6989E-01 -6.0291E-14  1.4891E-03
  9.9009E-01 -9.6474E-14  1.3992E-03
  1.0103E+00 -1.4872E-14  1.3140E-03
  1.0305E+00  8.3351E-14  1.2095E-03
  1.0507E+00  8.4318E-15  1.1614E-03
