# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:28:34 2019
# diag: zonal, run(s): 1, time window: 0-1249.9488(179 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_T,ions
#
# avg. values:
# shearing rate: 0.24092183
#  shear. ra
  2.9025E-09  1.5203E-04  8.6648E-04  1.5961E-03  3.5202E-03  8.7442E-03  1.9168E-02  3.6106E-02  3.7406E-02  3.6430E-02  3.4341E-02  4.2699E-02  4.9449E-02  5.4794E-02  6.2164E-02  6.4884E-02  6.7943E-02  7.5366E-02  8.7656E-02  9.3189E-02  9.7643E-02  1.1190E-01  1.3195E-01  1.4654E-01  1.5319E-01  1.5106E-01  1.5141E-01  1.5736E-01  1.6415E-01  1.7441E-01  1.8171E-01  1.8419E-01  1.8795E-01  1.8813E-01  1.9250E-01  2.0137E-01  2.0854E-01  2.0270E-01  1.9029E-01  1.9518E-01  2.0420E-01  2.0816E-01  2.1652E-01  2.4745E-01  2.6639E-01  2.5282E-01  2.3341E-01  2.2795E-01  2.4694E-01  2.6331E-01  2.7247E-01  2.6661E-01  2.5326E-01  2.5072E-01  2.6134E-01  2.7451E-01  2.8560E-01  2.7741E-01  2.7310E-01  2.7465E-01  2.9429E-01  2.9823E-01  2.9787E-01  2.8013E-01  2.6523E-01  2.6846E-01  2.7430E-01  2.7420E-01  2.8035E-01  2.8539E-01  2.8285E-01  2.7345E-01  2.7092E-01  2.5681E-01  2.6039E-01  2.7356E-01  2.7159E-01  2.8019E-01  2.8073E-01  2.6762E-01  2.7812E-01  2.8039E-01  2.7507E-01  2.7480E-01  2.7769E-01  2.7155E-01  2.7744E-01  2.8008E-01  2.9233E-01  2.8657E-01  2.7898E-01  2.7461E-01  2.7440E-01  2.8084E-01  2.6761E-01  2.7007E-01  2.8995E-01  2.9888E-01  2.9332E-01  2.6864E-01  2.5545E-01  2.6200E-01  2.5049E-01  2.5018E-01  2.6057E-01  2.6445E-01  2.7797E-01  3.0435E-01  3.0698E-01  3.1514E-01  3.0286E-01  2.8027E-01  2.9691E-01  3.1266E-01  3.1398E-01  3.0980E-01  3.0538E-01  3.1343E-01  3.0903E-01  2.8250E-01  2.7536E-01  2.8046E-01  2.8355E-01  2.6872E-01  2.6970E-01  2.6842E-01  2.6230E-01  2.7164E-01  2.6790E-01  2.5602E-01  2.4402E-01  2.3415E-01  2.3066E-01  2.3901E-01  2.5098E-01  2.6350E-01  2.6238E-01  2.6324E-01  2.6399E-01  2.6248E-01  2.6936E-01  2.9305E-01  2.9222E-01  2.6106E-01  2.4796E-01  2.6040E-01  2.6813E-01  2.8236E-01  2.7058E-01  2.7834E-01  2.9160E-01  2.9929E-01  3.0632E-01  2.8959E-01  2.7180E-01  2.7206E-01  2.9375E-01  2.8437E-01  2.7267E-01  2.5405E-01  2.5636E-01  2.5740E-01  2.5458E-01  2.5535E-01  2.6609E-01  2.8443E-01  2.8804E-01  2.7570E-01  2.6137E-01  2.6184E-01  2.7056E-01  2.7778E-01  2.5040E-01  2.4997E-01  2.7730E-01  3.1029E-01  3.3739E-01  3.3588E-01  3.1710E-01


# averaged over time
#  kx         shear. rat
  2.0206E-02  2.1456E-04
  4.0412E-02  3.4911E-04
  6.0618E-02  9.3750E-04
  8.0824E-02  1.6054E-03
  1.0103E-01  1.6539E-03
  1.2124E-01  2.1667E-03
  1.4144E-01  3.3338E-03
  1.6165E-01  2.6774E-03
  1.8185E-01  3.3142E-03
  2.0206E-01  3.3596E-03
  2.2227E-01  4.4493E-03
  2.4247E-01  4.6990E-03
  2.6268E-01  5.2319E-03
  2.8288E-01  5.3092E-03
  3.0309E-01  5.0763E-03
  3.2330E-01  6.3906E-03
  3.4350E-01  6.0740E-03
  3.6371E-01  7.0602E-03
  3.8391E-01  7.9408E-03
  4.0412E-01  7.3915E-03
  4.2433E-01  1.0211E-02
  4.4453E-01  7.6777E-03
  4.6474E-01  8.8971E-03
  4.8494E-01  1.2950E-02
  5.0515E-01  1.1852E-02
  5.2536E-01  1.2832E-02
  5.4556E-01  1.3169E-02
  5.6577E-01  1.1549E-02
  5.8597E-01  1.4830E-02
  6.0618E-01  1.5372E-02
  6.2638E-01  1.6903E-02
  6.4659E-01  1.6888E-02
  6.6680E-01  1.6275E-02
  6.8700E-01  1.6252E-02
  7.0721E-01  1.8909E-02
  7.2741E-01  1.5059E-02
  7.4762E-01  1.7654E-02
  7.6783E-01  1.8678E-02
  7.8803E-01  1.9042E-02
  8.0824E-01  1.6304E-02
  8.2844E-01  2.0437E-02
  8.4865E-01  2.3629E-02
  8.6886E-01  2.2639E-02
  8.8906E-01  2.1431E-02
  9.0927E-01  2.2910E-02
  9.2947E-01  2.4068E-02
  9.4968E-01  2.5396E-02
  9.6989E-01  2.6604E-02
  9.9009E-01  2.3157E-02
  1.0103E+00  2.5608E-02
  1.0305E+00  2.7268E-02
  1.0507E+00  2.5733E-02
  1.0709E+00  2.5603E-02
  1.0911E+00  2.1259E-02
  1.1113E+00  2.5487E-02
  1.1315E+00  2.6857E-02
  1.1517E+00  2.3487E-02
  1.1719E+00  2.1084E-02
  1.1922E+00  2.8286E-02
  1.2124E+00  2.1943E-02
  1.2326E+00  1.9608E-02
  1.2528E+00  2.1038E-02
  1.2730E+00  1.7955E-02
  1.2932E+00  2.0133E-02
  1.3134E+00  1.9945E-02
  1.3336E+00  1.8516E-02
  1.3538E+00  1.7432E-02
  1.3740E+00  1.6777E-02
  1.3942E+00  1.5453E-02
  1.4144E+00  1.5738E-02
  1.4346E+00  1.5386E-02
  1.4548E+00  1.4958E-02
  1.4750E+00  1.3335E-02
  1.4952E+00  1.2546E-02
  1.5154E+00  1.0049E-02
  1.5357E+00  1.1110E-02
  1.5559E+00  1.2051E-02
  1.5761E+00  1.1422E-02
  1.5963E+00  1.2781E-02
  1.6165E+00  1.1662E-02
  1.6367E+00  1.0687E-02
  1.6569E+00  9.5733E-03
  1.6771E+00  9.7003E-03
  1.6973E+00  1.0122E-02
  1.7175E+00  9.2570E-03
  1.7377E+00  8.4527E-03
  1.7579E+00  8.8208E-03
  1.7781E+00  8.1712E-03
  1.7983E+00  7.9719E-03
  1.8185E+00  7.4278E-03
  1.8387E+00  8.4911E-03
  1.8589E+00  7.0987E-03
  1.8792E+00  6.8426E-03
  1.8994E+00  6.4464E-03
  1.9196E+00  6.6698E-03
