# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:29:31 2019
# diag: nrgsummary, run(s): 1, time window: 0-416.76757(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  6.6829E-21  9.0203E-21  1.3074E-22
  3.9966E-01  2.4042E-19  1.6305E-01 -2.3416E-06
  7.9731E-01  2.1799E-19  3.2647E-01 -1.7123E-05
  1.1769E+00  5.1110E-19  4.8444E-01 -4.9964E-05
  1.5467E+00  9.4409E-19  6.4048E-01 -1.0516E-04
  1.8995E+00  2.1174E-20  7.9115E-01 -1.8938E-04
  2.2414E+00  2.5116E-18  9.3845E-01 -3.1584E-04
  2.5724E+00  2.1118E-20  1.0818E+00 -4.9549E-04
  2.8961E+00 -1.0471E-18  1.2226E+00 -7.3581E-04
  3.2164E+00  1.5052E-18  1.3626E+00 -1.0398E-03
  3.5229E+00  8.3896E-19  1.4976E+00 -1.3895E-03
  3.8152E+00  7.9225E-19  1.6278E+00 -1.7690E-03
  4.1058E+00  2.8199E-18  1.7595E+00 -2.1805E-03
  4.3877E+00  3.3736E-18  1.8901E+00 -2.5998E-03
  4.6638E+00  1.2185E-18  2.0218E+00 -3.0168E-03
  4.9287E+00  5.0101E-18  2.1523E+00 -3.4101E-03
  5.1907E+00 -6.3558E-18  2.2865E+00 -3.7809E-03
  5.4421E+00  1.1357E-18  2.4205E+00 -4.1085E-03
  5.6908E+00 -2.6306E-18  2.5589E+00 -4.3956E-03
  5.9282E+00  4.5825E-18  2.6971E+00 -4.6260E-03
  6.1643E+00  5.2794E-18  2.8408E+00 -4.8047E-03
  6.3904E+00  1.2762E-18  2.9847E+00 -4.9208E-03
  6.6141E+00  2.8050E-18  3.1335E+00 -4.9755E-03
  6.8262E+00  6.6427E-19  3.2809E+00 -4.9657E-03
  7.0383E+00 -3.3715E-19  3.4344E+00 -4.8897E-03
  7.2439E+00 -4.1341E-18  3.5894E+00 -4.7474E-03
  7.4452E+00 -6.7321E-19  3.7471E+00 -4.5373E-03
  7.6370E+00 -3.4715E-18  3.9028E+00 -4.2674E-03
  7.8277E+00  3.1304E-18  4.0631E+00 -3.9274E-03
  8.0155E+00 -6.9049E-18  4.2262E+00 -3.5187E-03
  8.1964E+00 -2.5142E-18  4.3883E+00 -3.0522E-03
  8.3736E+00 -3.9488E-18  4.5518E+00 -2.5225E-03
  8.5455E+00 -1.6442E-18  4.7146E+00 -1.9380E-03
  8.7147E+00  2.7570E-18  4.8791E+00 -1.2916E-03
  8.8779E+00  2.3985E-18  5.0415E+00 -6.0019E-04
  9.0410E+00  4.4865E-18  5.2076E+00  1.5971E-04
  9.2001E+00  3.6952E-18  5.3730E+00  9.6722E-04
  9.3550E+00 -1.9758E-18  5.5374E+00  1.8176E-03
  9.5067E+00 -4.5579E-18  5.7015E+00  2.7115E-03
  9.6538E+00 -5.2050E-18  5.8634E+00  3.6332E-03
  9.8008E+00 -2.1797E-18  6.0280E+00  4.6059E-03
  9.9410E+00 -1.0097E-17  6.1876E+00  5.5744E-03
  1.0080E+01  4.8820E-19  6.3488E+00  6.5679E-03
  1.0220E+01 -8.9798E-18  6.5125E+00  7.5778E-03
  1.0355E+01 -3.9800E-18  6.6736E+00  8.5544E-03
  1.0487E+01  1.5357E-17  6.8337E+00  9.4887E-03
  1.0617E+01  5.0764E-18  6.9936E+00  1.0368E-02
  1.0743E+01 -5.5872E-18  7.1499E+00  1.1160E-02
  1.0868E+01 -6.1769E-18  7.3086E+00  1.1891E-02
  1.0993E+01  3.4855E-18  7.4687E+00  1.2565E-02
  1.1112E+01  6.9481E-18  7.6238E+00  1.3179E-02
