# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:35:21 2019
# diag: spectra, run(s): 1, time window: 0-416.76757(179 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.9399E-02
  1.0000E-01  1.4023E-02
  1.5000E-01  1.2425E-02
  2.0000E-01  1.5903E-02
  2.5000E-01  1.3965E-02
  3.0000E-01  1.2846E-02
  3.5000E-01  1.7724E-02
  4.0000E-01  1.3889E-02
  4.5000E-01  1.6485E-02
  5.0000E-01  2.0468E-02
  5.5000E-01  1.6499E-02
  6.0000E-01  1.4130E-02
  6.5000E-01  1.2517E-02
  7.0000E-01  9.9348E-03
  7.5000E-01  7.7278E-03
  8.0000E-01  6.0448E-03
  8.5000E-01  4.8057E-03
  9.0000E-01  3.5496E-03
  9.5000E-01  2.6150E-03
  1.0000E+00  2.0520E-03
  1.0500E+00  1.7376E-03
  1.1000E+00  1.2826E-03
  1.1500E+00  1.1373E-03
  1.2000E+00  9.2928E-04
  1.2500E+00  7.6130E-04
  1.3000E+00  6.6402E-04
  1.3500E+00  5.6084E-04
  1.4000E+00  5.1985E-04
  1.4500E+00  4.1105E-04
  1.5000E+00  3.9376E-04
  1.5500E+00  3.4961E-04
  1.6000E+00  3.1316E-04
  1.6500E+00  2.8670E-04
  1.7000E+00  2.5153E-04
  1.7500E+00  2.3761E-04
  1.8000E+00  2.0570E-04
  1.8500E+00  1.8740E-04
  1.9000E+00  1.7061E-04
  1.9500E+00  1.5725E-04
  2.0000E+00  1.4797E-04
  2.0500E+00  1.2639E-04
  2.1000E+00  1.1441E-04
  2.1500E+00  1.0044E-04
  2.2000E+00  9.2880E-05
  2.2500E+00  8.1477E-05
  2.3000E+00  7.3655E-05
  2.3500E+00  6.4553E-05
  2.4000E+00  6.3560E-05
  2.4500E+00  5.6394E-05
  2.5000E+00  5.0525E-05
  2.5500E+00  4.8118E-05
  2.6000E+00  4.2503E-05
  2.6500E+00  4.0848E-05
  2.7000E+00  3.5646E-05
  2.7500E+00  3.4535E-05
  2.8000E+00  3.1387E-05
  2.8500E+00  3.0314E-05
  2.9000E+00  2.7711E-05
  2.9500E+00  2.5746E-05
  3.0000E+00  2.3675E-05
  3.0500E+00  2.2362E-05
  3.1000E+00  2.1215E-05
  3.1500E+00  1.9899E-05


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.8330E+00
  5.0000E-02  3.4181E-02
  1.0000E-01  2.3406E-02
  1.5000E-01  1.9888E-02
  2.0000E-01  1.8993E-02
  2.5000E-01  1.6456E-02
  3.0000E-01  1.7690E-02
  3.5000E-01  1.4834E-02
  4.0000E-01  1.2904E-02
  4.5000E-01  1.4670E-02
  5.0000E-01  1.5721E-02
  5.5000E-01  1.4535E-02
  6.0000E-01  1.5091E-02
  6.5000E-01  1.0261E-02
  7.0000E-01  1.0278E-02
  7.5000E-01  6.3780E-03
  8.0000E-01  4.8687E-03
  8.5000E-01  3.8071E-03
  9.0000E-01  3.0007E-03
  9.5000E-01  2.3705E-03
  1.0000E+00  1.8343E-03
