# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:35:25 2019
# diag: zonal, run(s): 1, time window: 0-416.76757(179 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_ref=1.65m
#
# avg. values:
# shearing rate: 0.72276549
#  shear. ra
  8.7074E-09  4.5609E-04  2.5994E-03  4.7883E-03  1.0561E-02  2.6233E-02  5.7504E-02  1.0832E-01  1.1222E-01  1.0929E-01  1.0302E-01  1.2810E-01  1.4835E-01  1.6438E-01  1.8649E-01  1.9465E-01  2.0383E-01  2.2610E-01  2.6297E-01  2.7957E-01  2.9293E-01  3.3569E-01  3.9585E-01  4.3962E-01  4.5957E-01  4.5318E-01  4.5424E-01  4.7207E-01  4.9245E-01  5.2323E-01  5.4512E-01  5.5257E-01  5.6385E-01  5.6438E-01  5.7750E-01  6.0411E-01  6.2562E-01  6.0810E-01  5.7087E-01  5.8554E-01  6.1259E-01  6.2449E-01  6.4955E-01  7.4234E-01  7.9918E-01  7.5847E-01  7.0024E-01  6.8385E-01  7.4083E-01  7.8994E-01  8.1740E-01  7.9982E-01  7.5978E-01  7.5217E-01  7.8401E-01  8.2352E-01  8.5680E-01  8.3223E-01  8.1930E-01  8.2396E-01  8.8286E-01  8.9469E-01  8.9361E-01  8.4038E-01  7.9570E-01  8.0538E-01  8.2291E-01  8.2261E-01  8.4106E-01  8.5618E-01  8.4855E-01  8.2035E-01  8.1276E-01  7.7044E-01  7.8118E-01  8.2068E-01  8.1476E-01  8.4056E-01  8.4218E-01  8.0287E-01  8.3435E-01  8.4118E-01  8.2520E-01  8.2441E-01  8.3308E-01  8.1466E-01  8.3232E-01  8.4023E-01  8.7698E-01  8.5970E-01  8.3694E-01  8.2383E-01  8.2321E-01  8.4252E-01  8.0284E-01  8.1020E-01  8.6984E-01  8.9663E-01  8.7996E-01  8.0591E-01  7.6634E-01  7.8599E-01  7.5147E-01  7.5054E-01  7.8172E-01  7.9336E-01  8.3390E-01  9.1306E-01  9.2093E-01  9.4543E-01  9.0859E-01  8.4080E-01  8.9072E-01  9.3798E-01  9.4194E-01  9.2939E-01  9.1613E-01  9.4028E-01  9.2709E-01  8.4750E-01  8.2609E-01  8.4139E-01  8.5066E-01  8.0615E-01  8.0909E-01  8.0525E-01  7.8690E-01  8.1492E-01  8.0371E-01  7.6805E-01  7.3205E-01  7.0245E-01  6.9197E-01  7.1702E-01  7.5293E-01  7.9049E-01  7.8713E-01  7.8972E-01  7.9197E-01  7.8744E-01  8.0808E-01  8.7916E-01  8.7667E-01  7.8319E-01  7.4388E-01  7.8121E-01  8.0438E-01  8.4707E-01  8.1175E-01  8.3503E-01  8.7480E-01  8.9787E-01  9.1895E-01  8.6876E-01  8.1540E-01  8.1619E-01  8.8126E-01  8.5311E-01  8.1800E-01  7.6216E-01  7.6909E-01  7.7221E-01  7.6374E-01  7.6605E-01  7.9826E-01  8.5330E-01  8.6412E-01  8.2710E-01  7.8412E-01  7.8551E-01  8.1168E-01  8.3334E-01  7.5119E-01  7.4992E-01  8.3190E-01  9.3087E-01  1.0122E+00  1.0076E+00  9.5131E-01


# averaged over time
#  kx         shear. rat
  2.0206E-02  6.4368E-04
  4.0412E-02  1.0473E-03
  6.0618E-02  2.8125E-03
  8.0824E-02  4.8161E-03
  1.0103E-01  4.9617E-03
  1.2124E-01  6.5001E-03
  1.4144E-01  1.0001E-02
  1.6165E-01  8.0321E-03
  1.8185E-01  9.9426E-03
  2.0206E-01  1.0079E-02
  2.2227E-01  1.3348E-02
  2.4247E-01  1.4097E-02
  2.6268E-01  1.5696E-02
  2.8288E-01  1.5927E-02
  3.0309E-01  1.5229E-02
  3.2330E-01  1.9172E-02
  3.4350E-01  1.8222E-02
  3.6371E-01  2.1181E-02
  3.8391E-01  2.3823E-02
  4.0412E-01  2.2174E-02
  4.2433E-01  3.0632E-02
  4.4453E-01  2.3033E-02
  4.6474E-01  2.6691E-02
  4.8494E-01  3.8850E-02
  5.0515E-01  3.5557E-02
  5.2536E-01  3.8497E-02
  5.4556E-01  3.9507E-02
  5.6577E-01  3.4647E-02
  5.8597E-01  4.4491E-02
  6.0618E-01  4.6116E-02
  6.2638E-01  5.0710E-02
  6.4659E-01  5.0663E-02
  6.6680E-01  4.8826E-02
  6.8700E-01  4.8755E-02
  7.0721E-01  5.6727E-02
  7.2741E-01  4.5176E-02
  7.4762E-01  5.2961E-02
  7.6783E-01  5.6035E-02
  7.8803E-01  5.7127E-02
  8.0824E-01  4.8911E-02
  8.2844E-01  6.1311E-02
  8.4865E-01  7.0887E-02
  8.6886E-01  6.7916E-02
  8.8906E-01  6.4294E-02
  9.0927E-01  6.8730E-02
  9.2947E-01  7.2205E-02
  9.4968E-01  7.6188E-02
  9.6989E-01  7.9812E-02
  9.9009E-01  6.9471E-02
  1.0103E+00  7.6823E-02
  1.0305E+00  8.1804E-02
  1.0507E+00  7.7200E-02
  1.0709E+00  7.6808E-02
  1.0911E+00  6.3776E-02
  1.1113E+00  7.6460E-02
  1.1315E+00  8.0570E-02
  1.1517E+00  7.0460E-02
  1.1719E+00  6.3252E-02
  1.1922E+00  8.4859E-02
  1.2124E+00  6.5828E-02
  1.2326E+00  5.8825E-02
  1.2528E+00  6.3115E-02
  1.2730E+00  5.3865E-02
  1.2932E+00  6.0399E-02
  1.3134E+00  5.9835E-02
  1.3336E+00  5.5547E-02
  1.3538E+00  5.2295E-02
  1.3740E+00  5.0331E-02
  1.3942E+00  4.6359E-02
  1.4144E+00  4.7215E-02
  1.4346E+00  4.6158E-02
  1.4548E+00  4.4875E-02
  1.4750E+00  4.0004E-02
  1.4952E+00  3.7637E-02
  1.5154E+00  3.0148E-02
  1.5357E+00  3.3330E-02
  1.5559E+00  3.6154E-02
  1.5761E+00  3.4266E-02
  1.5963E+00  3.8343E-02
  1.6165E+00  3.4986E-02
  1.6367E+00  3.2062E-02
  1.6569E+00  2.8720E-02
  1.6771E+00  2.9101E-02
  1.6973E+00  3.0365E-02
  1.7175E+00  2.7771E-02
  1.7377E+00  2.5358E-02
  1.7579E+00  2.6462E-02
  1.7781E+00  2.4513E-02
  1.7983E+00  2.3916E-02
  1.8185E+00  2.2283E-02
  1.8387E+00  2.5473E-02
  1.8589E+00  2.1296E-02
  1.8792E+00  2.0528E-02
  1.8994E+00  1.9339E-02
  1.9196E+00  2.0009E-02
  1.9398E+00  1.6989E-02
  1.9600E+00  1.6675E-02
  1.9802E+00  1.6844E-02
  2.0004E+00  1.7768E-02
  2.0206E+00  1.6825E-02
  2.0408E+00  1.5317E-02
