# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 16:42:57 2019
# diag: fluxspectra, run(s): act, time window: 0-2571.449(620 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xliotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
# Q*dVdx =   2.3423E-01 MW
# G*dVdx =  -1.7105E-14 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  1.8099E-13  1.2891E-02
  1.8430E-02  2.2121E-13  2.5088E-02
  3.6860E-02 -5.1561E-14  2.4970E-02
  5.5289E-02 -1.8375E-13  2.4626E-02
  7.3719E-02 -4.7267E-14  2.4006E-02
  9.2149E-02 -6.4967E-14  2.3357E-02
  1.1058E-01  8.5108E-14  2.2126E-02
  1.2901E-01  5.3436E-14  2.1632E-02
  1.4744E-01 -5.6529E-14  2.0501E-02
  1.6587E-01  8.1309E-14  2.0047E-02
  1.8430E-01  5.3158E-14  1.9061E-02
  2.0273E-01 -8.7864E-14  1.8030E-02
  2.2116E-01 -2.4463E-13  1.6986E-02
  2.3959E-01  9.3632E-14  1.5783E-02
  2.5802E-01  2.1934E-13  1.4153E-02
  2.7645E-01 -9.4987E-14  1.3445E-02
  2.9488E-01  6.0054E-14  1.2547E-02
  3.1331E-01  9.7422E-14  1.1381E-02
  3.3174E-01  9.6843E-14  1.0284E-02
  3.5017E-01 -6.4737E-14  9.2976E-03
  3.6860E-01 -1.1623E-13  8.6033E-03
  3.8703E-01  4.7675E-14  7.5939E-03
  4.0546E-01 -7.2469E-15  7.1977E-03
  4.2389E-01 -1.2385E-13  6.3315E-03
  4.4232E-01 -2.6583E-13  5.8402E-03
  4.6075E-01  9.0492E-14  5.0294E-03
  4.7918E-01 -6.1522E-14  4.7011E-03
  4.9761E-01 -6.9542E-15  4.1340E-03
  5.1603E-01 -4.7320E-14  3.7729E-03
  5.3446E-01 -4.0627E-15  3.3123E-03
  5.5289E-01 -9.4689E-14  3.0208E-03
  5.7132E-01 -1.0170E-13  2.7338E-03
  5.8975E-01  6.7760E-14  2.4817E-03
  6.0818E-01 -8.0111E-14  2.1978E-03
  6.2661E-01 -3.5848E-14  2.0084E-03
  6.4504E-01 -3.3571E-14  1.7974E-03
  6.6347E-01  7.4314E-14  1.6281E-03
  6.8190E-01  5.2667E-14  1.4281E-03
  7.0033E-01  5.2255E-14  1.3128E-03
  7.1876E-01  9.9823E-14  1.1979E-03
  7.3719E-01  2.8570E-14  1.0710E-03
  7.5562E-01  4.9699E-14  9.6773E-04
  7.7405E-01  5.2758E-15  8.7613E-04
  7.9248E-01  3.7596E-14  7.9544E-04
  8.1091E-01 -5.9658E-14  7.1304E-04
  8.2934E-01  3.3128E-14  6.5433E-04
  8.4777E-01  7.7212E-15  5.8602E-04
  8.6620E-01  1.0659E-15  5.5186E-04
  8.8463E-01  2.8511E-14  5.0415E-04
  9.0306E-01  3.7942E-15  4.5936E-04
  9.2149E-01  5.0534E-16  4.1693E-04
  9.3992E-01 -4.9068E-15  3.8318E-04
  9.5835E-01  1.5404E-14  3.5755E-04
  9.7678E-01 -8.8185E-15  3.2579E-04
  9.9521E-01  4.7313E-15  3.0855E-04
  1.0136E+00  1.9539E-15  2.7489E-04
  1.0321E+00 -1.1752E-14  2.5676E-04
  1.0505E+00 -2.6354E-14  2.3792E-04
  1.0689E+00  8.1721E-15  2.2023E-04
  1.0874E+00 -1.3246E-14  2.0181E-04
  1.1058E+00  2.5495E-14  1.9139E-04
  1.1242E+00 -3.5791E-14  1.7725E-04
  1.1426E+00 -1.0985E-14  1.6441E-04
  1.1611E+00  1.0393E-14  1.5319E-04
  1.1795E+00 -9.6010E-15  1.4197E-04
  1.1979E+00  1.7298E-15  1.3104E-04
  1.2164E+00 -1.2888E-14  1.2299E-04
  1.2348E+00  6.2165E-15  1.1698E-04
  1.2532E+00  6.7316E-15  1.0759E-04
  1.2717E+00 -2.0111E-15  1.0026E-04
  1.2901E+00  9.0579E-15  9.4392E-05
  1.3085E+00  2.7150E-16  8.8195E-05
  1.3269E+00  7.2084E-15  8.5641E-05
  1.3454E+00 -9.2350E-15  7.7029E-05
  1.3638E+00  3.4693E-15  7.5124E-05
  1.3822E+00  5.6404E-15  7.0898E-05
  1.4007E+00  1.1707E-14  6.6884E-05
  1.4191E+00  5.5749E-15  6.2142E-05
  1.4375E+00  8.4220E-15  5.9936E-05
  1.4560E+00  4.6071E-15  5.7333E-05
  1.4744E+00 -4.8442E-15  5.2666E-05
  1.4928E+00  1.6128E-15  5.0848E-05
  1.5112E+00 -1.2955E-14  4.8086E-05
  1.5297E+00 -3.5608E-15  4.5382E-05
  1.5481E+00  5.2900E-15  4.3494E-05
  1.5665E+00 -5.3102E-15  4.0870E-05
  1.5850E+00 -7.0862E-16  3.9776E-05
  1.6034E+00 -2.9255E-15  3.7591E-05
  1.6218E+00  3.0722E-15  3.6008E-05
  1.6403E+00  5.5931E-15  3.4324E-05
  1.6587E+00  1.6259E-15  3.2628E-05
  1.6771E+00  1.0849E-15  3.1333E-05
  1.6955E+00  1.6700E-15  3.0100E-05
  1.7140E+00  3.0636E-15  2.8333E-05
