# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 16:49:29 2019
# diag: nrgsummary, run(s): act, time window: 0-2571.449(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xliotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1962E-01  1.3110E-20  1.8381E-02  3.2270E-06
  4.3923E-01 -1.2206E-20  3.1785E-02  5.2445E-05
  6.5652E-01 -1.0108E-19  4.0768E-02  1.6836E-04
  8.6450E-01  8.0314E-20  4.7002E-02  3.1106E-04
  1.0725E+00 -7.8258E-20  5.1895E-02  4.7881E-04
  1.2805E+00  2.8476E-19  5.5817E-02  6.2684E-04
  1.4885E+00 -1.8003E-19  5.9091E-02  7.8800E-04
  1.6964E+00  2.4036E-20  6.1876E-02  9.3281E-04
  1.9044E+00  3.7323E-19  6.4284E-02  1.0741E-03
  2.1124E+00 -5.9825E-19  6.6360E-02  1.1775E-03
  2.3111E+00  5.0413E-19  6.8081E-02  1.2430E-03
  2.5075E+00 -5.9617E-19  6.9583E-02  1.2892E-03
  2.7038E+00  9.7014E-19  7.0929E-02  1.3210E-03
  2.9002E+00  6.6695E-19  7.2136E-02  1.3516E-03
  3.0877E+00 -2.0048E-19  7.3188E-02  1.4234E-03
  3.2742E+00 -1.0362E-18  7.4138E-02  1.5290E-03
  3.4608E+00 -3.0014E-19  7.4994E-02  1.6537E-03
  3.6396E+00  9.4608E-19  7.5745E-02  1.7808E-03
  3.8165E+00  5.6448E-19  7.6430E-02  1.9093E-03
  3.9934E+00  1.4335E-18  7.7061E-02  2.0036E-03
  4.1704E+00 -4.7869E-19  7.7642E-02  2.0568E-03
  4.3473E+00 -3.9556E-19  7.8168E-02  2.1194E-03
  4.5242E+00  1.7524E-19  7.8629E-02  2.1841E-03
  4.6994E+00  4.3305E-19  7.9021E-02  2.2451E-03
  4.8674E+00  1.1601E-18  7.9344E-02  2.3248E-03
  5.0355E+00  1.6429E-19  7.9605E-02  2.4445E-03
  5.2035E+00 -1.3355E-19  7.9804E-02  2.5969E-03
  5.3715E+00  6.6243E-19  7.9951E-02  2.7676E-03
  5.5396E+00 -6.9340E-19  8.0048E-02  2.9385E-03
  5.7076E+00  1.4235E-19  8.0101E-02  3.0918E-03
  5.8757E+00 -4.2082E-19  8.0111E-02  3.2085E-03
  6.0437E+00 -7.7213E-19  8.0087E-02  3.2853E-03
  6.2117E+00  5.8411E-19  8.0023E-02  3.3256E-03
  6.3798E+00  4.1093E-19  7.9928E-02  3.3327E-03
  6.5478E+00  5.5576E-20  7.9823E-02  3.2944E-03
  6.7159E+00  1.6964E-20  7.9685E-02  3.2227E-03
  6.8839E+00 -2.5365E-19  7.9492E-02  3.1271E-03
  7.0520E+00  3.6819E-19  7.9267E-02  2.9902E-03
  7.2200E+00  5.7953E-19  7.9021E-02  2.8062E-03
  7.3880E+00 -3.1869E-19  7.8748E-02  2.6094E-03
  7.5561E+00  5.9780E-20  7.8439E-02  2.4295E-03
  7.7241E+00  1.8209E-19  7.8126E-02  2.2325E-03
  7.8922E+00 -1.7284E-19  7.7852E-02  1.9698E-03
  8.0602E+00 -4.1442E-21  7.7620E-02  1.6083E-03
  8.2282E+00  7.2833E-20  7.7403E-02  1.1551E-03
  8.3963E+00 -1.2206E-19  7.7198E-02  6.6909E-04
  8.5643E+00 -4.5719E-19  7.7002E-02  1.9476E-04
  8.7324E+00 -3.6160E-19  7.6836E-02 -2.6147E-04
  8.9004E+00 -5.1300E-20  7.6743E-02 -6.9702E-04
  9.0685E+00 -1.1073E-19  7.6724E-02 -1.0904E-03
  9.2365E+00 -4.1359E-21  7.6728E-02 -1.3770E-03
  9.4045E+00  2.2222E-19  7.6701E-02 -1.5506E-03
  9.5743E+00  1.0663E-19  7.6630E-02 -1.7141E-03
  9.7507E+00 -2.0250E-19  7.6574E-02 -2.0221E-03
  9.9271E+00  9.8285E-20  7.6608E-02 -2.4402E-03
  1.0104E+01 -8.4896E-20  7.6723E-02 -2.8137E-03
  1.0280E+01  2.4603E-19  7.6827E-02 -3.0996E-03
  1.0456E+01 -1.7112E-20  7.6780E-02 -3.3495E-03
  1.0633E+01 -1.6458E-19  7.6569E-02 -3.5584E-03
  1.0809E+01  2.5023E-19  7.6328E-02 -3.7046E-03
  1.0986E+01  2.1385E-19  7.6192E-02 -3.8429E-03
  1.1162E+01  1.4553E-19  7.6254E-02 -4.0254E-03
  1.1339E+01 -2.2033E-19  7.6569E-02 -4.2380E-03
  1.1515E+01  3.4414E-19  7.7069E-02 -4.4638E-03
  1.1692E+01  1.1416E-19  7.7562E-02 -4.6855E-03
  1.1868E+01 -2.2369E-19  7.7915E-02 -4.8153E-03
  1.2044E+01  4.5053E-20  7.8129E-02 -4.7520E-03
  1.2221E+01 -1.3679E-19  7.8232E-02 -4.5373E-03
  1.2397E+01  6.7599E-20  7.8244E-02 -4.3045E-03
  1.2574E+01 -1.2317E-19  7.8173E-02 -4.1433E-03
  1.2750E+01  2.6078E-20  7.8014E-02 -4.1225E-03
  1.2927E+01  2.8280E-19  7.7784E-02 -4.3189E-03
  1.3103E+01  5.3412E-19  7.7590E-02 -4.7161E-03
  1.3280E+01  1.8423E-19  7.7580E-02 -5.1902E-03
  1.3456E+01  1.8106E-20  7.7822E-02 -5.6192E-03
  1.3632E+01  2.0823E-19  7.8238E-02 -5.9398E-03
  1.3809E+01 -1.0310E-19  7.8682E-02 -6.1559E-03
  1.3985E+01 -5.2296E-20  7.9043E-02 -6.3367E-03
  1.4162E+01 -2.2848E-19  7.9267E-02 -6.5661E-03
  1.4341E+01  1.1152E-19  7.9339E-02 -6.8710E-03
  1.4526E+01  9.1022E-20  7.9265E-02 -7.2069E-03
  1.4711E+01  3.0481E-19  7.9074E-02 -7.4897E-03
  1.4897E+01 -2.4008E-19  7.8814E-02 -7.6821E-03
  1.5082E+01 -2.9875E-19  7.8546E-02 -7.8028E-03
  1.5267E+01  1.2783E-19  7.8336E-02 -7.8817E-03
  1.5452E+01 -7.4077E-20  7.8246E-02 -7.9128E-03
  1.5638E+01  2.2182E-19  7.8308E-02 -7.8646E-03
  1.5823E+01 -1.2748E-20  7.8516E-02 -7.7028E-03
  1.6008E+01  2.2728E-19  7.8822E-02 -7.4381E-03
  1.6196E+01  2.3957E-19  7.9161E-02 -7.1523E-03
  1.6391E+01 -2.1515E-19  7.9472E-02 -6.9614E-03
  1.6585E+01  1.0673E-19  7.9697E-02 -6.9421E-03
  1.6780E+01  2.6745E-19  7.9821E-02 -7.0578E-03
  1.6974E+01  1.0415E-19  7.9858E-02 -7.2208E-03
  1.7169E+01 -2.6613E-19  7.9832E-02 -7.3548E-03
  1.7364E+01 -1.2707E-19  7.9769E-02 -7.4237E-03
  1.7558E+01 -1.8101E-19  7.9689E-02 -7.4251E-03
  1.7753E+01  3.2840E-20  7.9604E-02 -7.3553E-03
  1.7947E+01  1.0999E-19  7.9516E-02 -7.2141E-03
  1.8145E+01 -1.2723E-19  7.9407E-02 -7.0244E-03
  1.8349E+01 -1.1470E-19  7.9267E-02 -6.8291E-03
  1.8553E+01  4.4976E-20  7.9111E-02 -6.6731E-03
  1.8757E+01  2.0945E-19  7.8967E-02 -6.5572E-03
  1.8962E+01  1.5087E-19  7.8853E-02 -6.4658E-03
  1.9166E+01  1.9169E-19  7.8772E-02 -6.3768E-03
  1.9370E+01 -5.3562E-20  7.8708E-02 -6.2675E-03
  1.9574E+01  1.8966E-19  7.8651E-02 -6.1371E-03
  1.9779E+01  1.4107E-19  7.8605E-02 -6.0010E-03
  1.9983E+01  3.7980E-21  7.8582E-02 -5.8708E-03
  2.0190E+01  3.8496E-19  7.8593E-02 -5.7523E-03
  2.0405E+01 -4.4973E-20  7.8638E-02 -5.6365E-03
  2.0619E+01 -3.8506E-20  7.8692E-02 -5.5097E-03
  2.0834E+01 -3.1355E-19  7.8722E-02 -5.3672E-03
  2.1048E+01 -3.1760E-19  7.8699E-02 -5.2183E-03
  2.1263E+01 -1.5402E-19  7.8601E-02 -5.0795E-03
  2.1477E+01 -1.6674E-19  7.8404E-02 -4.9638E-03
  2.1691E+01 -6.4381E-20  7.8094E-02 -4.8684E-03
  2.1906E+01 -5.8255E-20  7.7662E-02 -4.7773E-03
  2.2120E+01 -1.0924E-19  7.7124E-02 -4.6747E-03
  2.2338E+01 -3.4697E-19  7.6512E-02 -4.5559E-03
  2.2563E+01  2.1108E-20  7.5859E-02 -4.4242E-03
  2.2788E+01  6.5878E-20  7.5222E-02 -4.2865E-03
  2.3014E+01  2.2835E-19  7.4613E-02 -4.1397E-03
  2.3239E+01 -1.0024E-19  7.4031E-02 -3.9799E-03
  2.3464E+01 -7.1241E-21  7.3459E-02 -3.8178E-03
  2.3689E+01  1.1078E-19  7.2890E-02 -3.6777E-03
  2.3914E+01 -8.1975E-20  7.2333E-02 -3.5728E-03
  2.4140E+01  2.2040E-19  7.1797E-02 -3.4989E-03
  2.4365E+01  6.4277E-20  7.1287E-02 -3.4388E-03
  2.4593E+01  1.7007E-19  7.0797E-02 -3.3716E-03
  2.4830E+01 -1.1245E-19  7.0315E-02 -3.2921E-03
  2.5066E+01 -1.8861E-19  6.9847E-02 -3.2070E-03
  2.5303E+01 -9.6044E-20  6.9385E-02 -3.1132E-03
  2.5539E+01 -5.1549E-20  6.8933E-02 -3.0065E-03
  2.5776E+01 -6.8455E-20  6.8510E-02 -2.8939E-03
  2.6012E+01  5.8772E-20  6.8129E-02 -2.7899E-03
  2.6249E+01 -1.8799E-20  6.7783E-02 -2.7046E-03
  2.6485E+01  1.8060E-20  6.7460E-02 -2.6354E-03
  2.6721E+01 -5.0684E-20  6.7143E-02 -2.5747E-03
  2.6961E+01  5.1684E-20  6.6801E-02 -2.5180E-03
  2.7210E+01 -1.2301E-19  6.6408E-02 -2.4617E-03
  2.7458E+01 -4.7816E-20  6.5974E-02 -2.4002E-03
  2.7706E+01 -7.0961E-20  6.5516E-02 -2.3322E-03
  2.7955E+01  1.1303E-20  6.5064E-02 -2.2594E-03
  2.8203E+01  5.4813E-20  6.4640E-02 -2.1834E-03
  2.8451E+01  8.7928E-20  6.4245E-02 -2.1122E-03
  2.8699E+01  2.0004E-19  6.3864E-02 -2.0532E-03
  2.8948E+01 -9.4888E-20  6.3479E-02 -2.0040E-03
  2.9196E+01  1.1234E-20  6.3080E-02 -1.9583E-03
  2.9448E+01  1.0247E-20  6.2655E-02 -1.9107E-03
  2.9709E+01 -9.3805E-20  6.2181E-02 -1.8678E-03
  2.9969E+01 -5.6122E-20  6.1665E-02 -1.8474E-03
  3.0230E+01  3.3946E-20  6.1115E-02 -1.8458E-03
  3.0491E+01  3.1179E-20  6.0555E-02 -1.8552E-03
  3.0751E+01 -1.6931E-20  6.0012E-02 -1.8757E-03
  3.1012E+01  1.7377E-19  5.9499E-02 -1.9046E-03
  3.1273E+01 -6.8293E-20  5.9011E-02 -1.9356E-03
  3.1533E+01 -1.0306E-19  5.8532E-02 -1.9635E-03
  3.1794E+01 -8.1518E-20  5.8052E-02 -1.9844E-03
  3.2055E+01 -3.2765E-20  5.7568E-02 -1.9889E-03
  3.2315E+01  1.9615E-20  5.7085E-02 -1.9650E-03
  3.2576E+01  3.5166E-20  5.6619E-02 -1.9120E-03
  3.2839E+01  1.1676E-19  5.6180E-02 -1.8426E-03
  3.3113E+01 -3.1001E-20  5.5748E-02 -1.7729E-03
  3.3387E+01  7.2312E-20  5.5319E-02 -1.7147E-03
  3.3661E+01 -1.8612E-19  5.4881E-02 -1.6669E-03
  3.3934E+01  1.6792E-19  5.4446E-02 -1.6283E-03
  3.4208E+01 -1.2406E-19  5.4030E-02 -1.5974E-03
  3.4482E+01 -6.5584E-20  5.3636E-02 -1.5708E-03
  3.4756E+01  1.3362E-19  5.3255E-02 -1.5481E-03
  3.5029E+01  6.0352E-20  5.2876E-02 -1.5290E-03
  3.5303E+01 -4.8367E-20  5.2497E-02 -1.5106E-03
  3.5579E+01 -1.0810E-19  5.2113E-02 -1.4861E-03
  3.5867E+01 -1.0570E-19  5.1720E-02 -1.4553E-03
  3.6154E+01  4.6504E-20  5.1331E-02 -1.4240E-03
  3.6442E+01  6.2718E-20  5.0941E-02 -1.3908E-03
  3.6729E+01 -1.7284E-20  5.0557E-02 -1.3564E-03
  3.7016E+01  5.7045E-20  5.0196E-02 -1.3274E-03
  3.7304E+01 -7.0996E-20  4.9871E-02 -1.3077E-03
  3.7591E+01  9.3331E-20  4.9579E-02 -1.2931E-03
  3.7879E+01  4.2771E-20  4.9301E-02 -1.2793E-03
  3.8166E+01  6.5875E-20  4.9014E-02 -1.2684E-03
  3.8454E+01 -9.2441E-20  4.8700E-02 -1.2635E-03
  3.8741E+01 -9.8139E-21  4.8364E-02 -1.2644E-03
  3.9028E+01  3.7478E-20  4.8020E-02 -1.2705E-03
  3.9316E+01 -4.5460E-20  4.7687E-02 -1.2829E-03
  3.9603E+01  4.5452E-20  4.7376E-02 -1.3010E-03
  3.9891E+01  3.2489E-20  4.7089E-02 -1.3230E-03
  4.0178E+01 -2.8354E-20  4.6824E-02 -1.3455E-03
  4.0478E+01 -5.4582E-21  4.6563E-02 -1.3646E-03
  4.0780E+01 -7.7409E-20  4.6310E-02 -1.3774E-03
  4.1082E+01 -9.2048E-20  4.6060E-02 -1.3850E-03
  4.1384E+01 -6.9375E-20  4.5812E-02 -1.3890E-03
  4.1685E+01 -5.1894E-20  4.5569E-02 -1.3904E-03
  4.1987E+01 -1.4892E-20  4.5331E-02 -1.3904E-03
  4.2289E+01  5.5786E-20  4.5103E-02 -1.3906E-03
  4.2591E+01 -3.1320E-20  4.4888E-02 -1.3905E-03
  4.2893E+01  3.7547E-20  4.4686E-02 -1.3882E-03
  4.3194E+01  4.3372E-20  4.4495E-02 -1.3827E-03
  4.3496E+01 -2.8014E-21  4.4312E-02 -1.3745E-03
  4.3798E+01 -5.8605E-20  4.4135E-02 -1.3642E-03
  4.4100E+01 -1.0659E-19  4.3959E-02 -1.3525E-03
  4.4401E+01  1.2187E-19  4.3776E-02 -1.3398E-03
  4.4703E+01 -1.8678E-19  4.3587E-02 -1.3243E-03
  4.5005E+01  5.9129E-20  4.3395E-02 -1.3045E-03
  4.5307E+01 -1.8621E-21  4.3204E-02 -1.2812E-03
  4.5609E+01  2.4076E-20  4.3019E-02 -1.2556E-03
  4.5910E+01  8.3697E-20  4.2845E-02 -1.2283E-03
  4.6212E+01  4.5540E-20  4.2683E-02 -1.2003E-03
  4.6514E+01 -3.2277E-20  4.2532E-02 -1.1718E-03
  4.6816E+01 -7.8127E-21  4.2390E-02 -1.1424E-03
  4.7117E+01 -4.2722E-20  4.2256E-02 -1.1123E-03
  4.7419E+01 -3.6544E-20  4.2130E-02 -1.0824E-03
  4.7721E+01  7.2572E-20  4.2009E-02 -1.0531E-03
  4.8033E+01  1.5465E-19  4.1886E-02 -1.0237E-03
  4.8350E+01 -9.0604E-20  4.1762E-02 -9.9452E-04
  4.8667E+01 -2.2699E-20  4.1639E-02 -9.6510E-04
  4.8984E+01  6.3188E-20  4.1519E-02 -9.3516E-04
  4.9301E+01  4.6581E-20  4.1403E-02 -9.0689E-04
  4.9618E+01 -5.8036E-20  4.1291E-02 -8.8367E-04
  4.9935E+01 -3.5805E-20  4.1183E-02 -8.6759E-04
  5.0251E+01  3.2345E-20  4.1077E-02 -8.5824E-04
  5.0568E+01  9.1612E-21  4.0974E-02 -8.5353E-04
  5.0885E+01 -3.0999E-20  4.0877E-02 -8.5257E-04
  5.1202E+01  9.0565E-20  4.0786E-02 -8.5584E-04
  5.1519E+01 -8.1315E-20  4.0700E-02 -8.6362E-04
  5.1836E+01 -1.0624E-19  4.0615E-02 -8.7646E-04
  5.2153E+01 -4.0637E-22  4.0529E-02 -8.9471E-04
  5.2469E+01 -1.6567E-20  4.0441E-02 -9.1649E-04
  5.2802E+01  2.8694E-20  4.0344E-02 -9.3933E-04
  5.3135E+01 -1.3476E-20  4.0241E-02 -9.6063E-04
  5.3468E+01 -2.3864E-20  4.0131E-02 -9.8127E-04
  5.3800E+01  1.2146E-20  4.0014E-02 -1.0031E-03
  5.4133E+01  8.4466E-20  3.9894E-02 -1.0276E-03
  5.4466E+01  1.0402E-20  3.9774E-02 -1.0560E-03
  5.4798E+01  5.4847E-20  3.9660E-02 -1.0892E-03
  5.5131E+01 -1.2166E-20  3.9552E-02 -1.1272E-03
  5.5464E+01  1.9111E-20  3.9448E-02 -1.1694E-03
  5.5797E+01 -2.2860E-20  3.9348E-02 -1.2150E-03
  5.6146E+01  3.3432E-20  3.9244E-02 -1.2638E-03
  5.6495E+01 -5.3482E-21  3.9142E-02 -1.3101E-03
  5.6845E+01 -8.7837E-21  3.9044E-02 -1.3513E-03
  5.7194E+01  4.1123E-20  3.8946E-02 -1.3867E-03
  5.7543E+01  5.9984E-23  3.8848E-02 -1.4175E-03
  5.7893E+01  3.9231E-20  3.8748E-02 -1.4461E-03
  5.8242E+01 -3.4934E-20  3.8648E-02 -1.4743E-03
  5.8591E+01  7.1323E-20  3.8550E-02 -1.5029E-03
  5.8941E+01 -8.7150E-20  3.8454E-02 -1.5309E-03
  5.9290E+01  1.6032E-20  3.8359E-02 -1.5568E-03
  5.9657E+01  7.4712E-20  3.8257E-02 -1.5809E-03
