# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 16:43:02 2019
# diag: spectra, run(s): act, time window: 0-2571.449(620 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xliotas05/ITGa_NL/omt1/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.3095E-03
  1.0000E-01  1.2395E-03
  1.5000E-01  1.6447E-03
  2.0000E-01  1.6814E-03
  2.5000E-01  2.1468E-03
  3.0000E-01  1.2980E-03
  3.5000E-01  9.5532E-04
  4.0000E-01  6.3157E-04
  4.5000E-01  4.2604E-04
  5.0000E-01  3.2945E-04
  5.5000E-01  2.4654E-04
  6.0000E-01  1.8770E-04
  6.5000E-01  1.3788E-04
  7.0000E-01  1.1128E-04
  7.5000E-01  8.9039E-05
  8.0000E-01  6.6321E-05
  8.5000E-01  5.3317E-05
  9.0000E-01  4.3353E-05
  9.5000E-01  3.6379E-05
  1.0000E+00  2.9329E-05
  1.0500E+00  2.3338E-05
  1.1000E+00  1.9155E-05
  1.1500E+00  1.7099E-05
  1.2000E+00  1.3848E-05
  1.2500E+00  1.1643E-05
  1.3000E+00  9.7542E-06
  1.3500E+00  8.3946E-06
  1.4000E+00  7.1223E-06
  1.4500E+00  6.1586E-06
  1.5000E+00  5.4649E-06
  1.5500E+00  4.7831E-06
  1.6000E+00  4.0984E-06
  1.6500E+00  3.5884E-06
  1.7000E+00  3.0428E-06
  1.7500E+00  2.7152E-06
  1.8000E+00  2.3418E-06
  1.8500E+00  2.1074E-06
  1.9000E+00  1.8565E-06
  1.9500E+00  1.6314E-06
  2.0000E+00  1.4317E-06
  2.0500E+00  1.2867E-06
  2.1000E+00  1.1661E-06
  2.1500E+00  1.0407E-06
  2.2000E+00  9.2885E-07
  2.2500E+00  8.3891E-07
  2.3000E+00  7.6775E-07
  2.3500E+00  6.6398E-07
  2.4000E+00  6.1515E-07
  2.4500E+00  5.3825E-07
  2.5000E+00  5.0695E-07
  2.5500E+00  4.6625E-07
  2.6000E+00  4.1012E-07
  2.6500E+00  3.7716E-07
  2.7000E+00  3.3940E-07
  2.7500E+00  3.1733E-07
  2.8000E+00  2.9472E-07
  2.8500E+00  2.7312E-07
  2.9000E+00  2.5039E-07
  2.9500E+00  2.3537E-07
  3.0000E+00  2.1401E-07
  3.0500E+00  2.0114E-07
  3.1000E+00  1.8899E-07
  3.1500E+00  1.7537E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.8508E+03
  5.0000E-02  1.0898E-03
  1.0000E-01  1.3822E-03
  1.5000E-01  1.6198E-03
  2.0000E-01  1.9787E-03
  2.5000E-01  1.9725E-03
  3.0000E-01  1.1883E-03
  3.5000E-01  9.1286E-04
  4.0000E-01  5.9453E-04
  4.5000E-01  4.4143E-04
  5.0000E-01  3.1961E-04
  5.5000E-01  2.3775E-04
  6.0000E-01  1.7792E-04
  6.5000E-01  1.4344E-04
  7.0000E-01  1.0287E-04
  7.5000E-01  8.3693E-05
  8.0000E-01  6.8460E-05
  8.5000E-01  5.4714E-05
  9.0000E-01  4.4069E-05
  9.5000E-01  3.4595E-05
  1.0000E+00  2.9269E-05
  1.0500E+00  2.3115E-05
  1.1000E+00  1.9521E-05
  1.1500E+00  1.7011E-05
  1.2000E+00  1.4251E-05
  1.2500E+00  1.1940E-05
  1.3000E+00  1.0158E-05
  1.3500E+00  8.7326E-06
  1.4000E+00  7.3302E-06
  1.4500E+00  6.3161E-06
  1.5000E+00  5.4038E-06
  1.5500E+00  4.7988E-06
  1.6000E+00  4.1627E-06
  1.6500E+00  3.6787E-06
  1.7000E+00  3.1150E-06
  1.7500E+00  2.7209E-06
  1.8000E+00  2.4216E-06
  1.8500E+00  2.1214E-06
  1.9000E+00  1.8207E-06
  1.9500E+00  1.6205E-06
  2.0000E+00  1.4823E-06
  2.0500E+00  1.2762E-06
  2.1000E+00  1.1383E-06
  2.1500E+00  1.0134E-06
  2.2000E+00  9.3447E-07
  2.2500E+00  8.3103E-07
  2.3000E+00  7.4084E-07
  2.3500E+00  6.6026E-07
  2.4000E+00  5.9907E-07
  2.4500E+00  5.4154E-07
  2.5000E+00  5.0930E-07
  2.5500E+00  4.5228E-07
  2.6000E+00  4.0786E-07
  2.6500E+00  3.8601E-07
  2.7000E+00  3.5220E-07
  2.7500E+00  3.1464E-07
  2.8000E+00  2.9510E-07
  2.8500E+00  2.6654E-07
  2.9000E+00  2.4799E-07
  2.9500E+00  2.3120E-07
  3.0000E+00  2.2110E-07
  3.0500E+00  2.0049E-07
  3.1000E+00  1.9020E-07
  3.1500E+00  1.7617E-07


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  6.0197E+01
  5.0000E-02  1.0682E-03
  1.0000E-01  1.3310E-03
  1.5000E-01  1.8182E-03
  2.0000E-01  1.7048E-03
  2.5000E-01  1.9015E-03
  3.0000E-01  1.1467E-03
  3.5000E-01  8.7703E-04
  4.0000E-01  5.9094E-04
  4.5000E-01  4.2531E-04
  5.0000E-01  3.2815E-04
  5.5000E-01  2.3726E-04
  6.0000E-01  1.8214E-04
  6.5000E-01  1.5285E-04
  7.0000E-01  1.0512E-04
  7.5000E-01  8.5054E-05
  8.0000E-01  6.8924E-05
  8.5000E-01  5.5562E-05
  9.0000E-01  4.3579E-05
  9.5000E-01  3.5701E-05
  1.0000E+00  2.9404E-05
  1.0500E+00  2.3783E-05
  1.1000E+00  2.0377E-05
  1.1500E+00  1.6365E-05
  1.2000E+00  1.3696E-05
  1.2500E+00  1.2102E-05
  1.3000E+00  9.9523E-06
  1.3500E+00  8.4625E-06
  1.4000E+00  7.0932E-06
  1.4500E+00  6.4263E-06
  1.5000E+00  5.4704E-06
  1.5500E+00  4.7388E-06
  1.6000E+00  3.9673E-06
  1.6500E+00  3.6180E-06
  1.7000E+00  3.1506E-06
  1.7500E+00  2.6296E-06
  1.8000E+00  2.4300E-06
  1.8500E+00  2.0617E-06
  1.9000E+00  1.8723E-06
  1.9500E+00  1.6571E-06
  2.0000E+00  1.4236E-06
  2.0500E+00  1.2867E-06
  2.1000E+00  1.1496E-06
  2.1500E+00  1.0224E-06
  2.2000E+00  9.2022E-07
  2.2500E+00  8.3838E-07
  2.3000E+00  7.4774E-07
  2.3500E+00  6.7440E-07
  2.4000E+00  6.0792E-07
  2.4500E+00  5.5176E-07
  2.5000E+00  4.9789E-07
  2.5500E+00  4.7003E-07
  2.6000E+00  4.1173E-07
  2.6500E+00  3.7850E-07
  2.7000E+00  3.4139E-07
  2.7500E+00  3.1307E-07
  2.8000E+00  2.9057E-07
  2.8500E+00  2.6305E-07
  2.9000E+00  2.5123E-07
  2.9500E+00  2.3121E-07
  3.0000E+00  2.1265E-07
  3.0500E+00  2.0254E-07
  3.1000E+00  1.9172E-07
  3.1500E+00  1.7691E-07


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  6.8388E+00
  5.0000E-02  1.1943E-03
  1.0000E-01  1.3258E-03
  1.5000E-01  1.8614E-03
  2.0000E-01  1.7855E-03
  2.5000E-01  2.0144E-03
  3.0000E-01  1.2411E-03
  3.5000E-01  9.5007E-04
  4.0000E-01  6.0292E-04
  4.5000E-01  4.4663E-04
  5.0000E-01  2.8783E-04
  5.5000E-01  2.2479E-04
  6.0000E-01  1.9012E-04
  6.5000E-01  1.3407E-04
  7.0000E-01  1.0539E-04
  7.5000E-01  8.6686E-05
  8.0000E-01  6.8778E-05
  8.5000E-01  5.4706E-05
  9.0000E-01  4.4785E-05
  9.5000E-01  3.5033E-05
  1.0000E+00  2.8516E-05
  1.0500E+00  2.3303E-05
  1.1000E+00  1.9631E-05
  1.1500E+00  1.6631E-05
  1.2000E+00  1.4318E-05
  1.2500E+00  1.1677E-05
  1.3000E+00  1.0209E-05
  1.3500E+00  8.2831E-06
  1.4000E+00  7.4332E-06
  1.4500E+00  6.2701E-06
  1.5000E+00  5.4139E-06
  1.5500E+00  4.7440E-06
  1.6000E+00  4.0095E-06
  1.6500E+00  3.6650E-06
  1.7000E+00  3.1415E-06
  1.7500E+00  2.7383E-06
  1.8000E+00  2.4403E-06
  1.8500E+00  2.1553E-06
  1.9000E+00  1.8565E-06
  1.9500E+00  1.6503E-06
  2.0000E+00  1.4690E-06
  2.0500E+00  1.3046E-06
  2.1000E+00  1.1585E-06
  2.1500E+00  1.0067E-06
  2.2000E+00  8.9014E-07
  2.2500E+00  8.3287E-07
  2.3000E+00  7.3694E-07
  2.3500E+00  6.6372E-07
  2.4000E+00  6.0038E-07
  2.4500E+00  5.3323E-07
  2.5000E+00  4.9475E-07
  2.5500E+00  4.6191E-07
  2.6000E+00  4.0162E-07
  2.6500E+00  3.7831E-07
  2.7000E+00  3.4748E-07
  2.7500E+00  3.0757E-07
  2.8000E+00  2.9528E-07
  2.8500E+00  2.6701E-07
  2.9000E+00  2.5310E-07
  2.9500E+00  2.3258E-07
  3.0000E+00  2.1610E-07
  3.0500E+00  2.0192E-07
  3.1000E+00  1.8992E-07
  3.1500E+00  1.8070E-07


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.5372E+00
  5.0000E-02  1.0324E-03
  1.0000E-01  1.4175E-03
  1.5000E-01  1.5690E-03
  2.0000E-01  1.9883E-03
  2.5000E-01  1.7556E-03
  3.0000E-01  1.2062E-03
  3.5000E-01  9.2493E-04
  4.0000E-01  6.2734E-04
  4.5000E-01  4.1750E-04
  5.0000E-01  3.0362E-04
  5.5000E-01  2.2075E-04
  6.0000E-01  1.8150E-04
  6.5000E-01  1.4551E-04
  7.0000E-01  1.1184E-04
  7.5000E-01  8.7040E-05
  8.0000E-01  6.7617E-05
  8.5000E-01  5.5298E-05
  9.0000E-01  4.4563E-05
  9.5000E-01  3.4604E-05
  1.0000E+00  3.0103E-05
  1.0500E+00  2.4045E-05
  1.1000E+00  1.9999E-05
  1.1500E+00  1.6383E-05
  1.2000E+00  1.3504E-05
  1.2500E+00  1.2016E-05
  1.3000E+00  1.0006E-05
  1.3500E+00  8.5669E-06
  1.4000E+00  7.1784E-06
  1.4500E+00  6.3052E-06
  1.5000E+00  5.2844E-06
  1.5500E+00  4.6466E-06
  1.6000E+00  4.0774E-06
  1.6500E+00  3.5581E-06
  1.7000E+00  3.0620E-06
  1.7500E+00  2.7266E-06
  1.8000E+00  2.3635E-06
  1.8500E+00  2.0978E-06
  1.9000E+00  1.8269E-06
  1.9500E+00  1.6191E-06
  2.0000E+00  1.4514E-06
  2.0500E+00  1.2729E-06
  2.1000E+00  1.1468E-06
  2.1500E+00  1.0036E-06
  2.2000E+00  9.0747E-07
  2.2500E+00  8.2623E-07
  2.3000E+00  7.2686E-07
  2.3500E+00  6.6499E-07
  2.4000E+00  6.0377E-07
  2.4500E+00  5.4387E-07
  2.5000E+00  4.9098E-07
  2.5500E+00  4.3892E-07
  2.6000E+00  4.1557E-07
  2.6500E+00  3.7342E-07
  2.7000E+00  3.4664E-07
  2.7500E+00  3.2084E-07
  2.8000E+00  2.8992E-07
  2.8500E+00  2.7086E-07
  2.9000E+00  2.4503E-07
  2.9500E+00  2.3447E-07
  3.0000E+00  2.1958E-07
  3.0500E+00  2.0566E-07
  3.1000E+00  1.8961E-07
  3.1500E+00  1.7690E-07


# kxind = 5, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.7694E-01
  5.0000E-02  1.0469E-03
  1.0000E-01  1.0576E-03
  1.5000E-01  1.8692E-03
  2.0000E-01  2.0666E-03
  2.5000E-01  1.7648E-03
  3.0000E-01  1.0832E-03
  3.5000E-01  9.8570E-04
  4.0000E-01  5.7864E-04
  4.5000E-01  4.8252E-04
  5.0000E-01  3.3026E-04
  5.5000E-01  2.3771E-04
  6.0000E-01  1.8819E-04
  6.5000E-01  1.3906E-04
  7.0000E-01  1.0948E-04
  7.5000E-01  8.4120E-05
  8.0000E-01  6.7250E-05
  8.5000E-01  5.4225E-05
  9.0000E-01  4.1207E-05
  9.5000E-01  3.3723E-05
  1.0000E+00  2.8820E-05
  1.0500E+00  2.3590E-05
  1.1000E+00  1.8923E-05
  1.1500E+00  1.5951E-05
  1.2000E+00  1.3728E-05
  1.2500E+00  1.1408E-05
  1.3000E+00  9.8153E-06
  1.3500E+00  8.5333E-06
  1.4000E+00  7.3610E-06
  1.4500E+00  6.2911E-06
  1.5000E+00  5.5404E-06
  1.5500E+00  4.5761E-06
  1.6000E+00  3.9434E-06
  1.6500E+00  3.5014E-06
  1.7000E+00  3.0396E-06
  1.7500E+00  2.6848E-06
  1.8000E+00  2.3724E-06
  1.8500E+00  2.1237E-06
  1.9000E+00  1.8786E-06
  1.9500E+00  1.6477E-06
  2.0000E+00  1.4440E-06
  2.0500E+00  1.2879E-06
  2.1000E+00  1.1658E-06
  2.1500E+00  9.9646E-07
  2.2000E+00  9.2610E-07
  2.2500E+00  8.2513E-07
  2.3000E+00  7.3579E-07
  2.3500E+00  6.5540E-07
  2.4000E+00  5.9501E-07
  2.4500E+00  5.4413E-07
  2.5000E+00  4.9946E-07
  2.5500E+00  4.5308E-07
  2.6000E+00  4.0925E-07
  2.6500E+00  3.7168E-07
  2.7000E+00  3.5357E-07
  2.7500E+00  3.1969E-07
  2.8000E+00  2.9664E-07
  2.8500E+00  2.6992E-07
  2.9000E+00  2.5140E-07
  2.9500E+00  2.3148E-07
  3.0000E+00  2.1533E-07
  3.0500E+00  2.0415E-07
  3.1000E+00  1.9240E-07
  3.1500E+00  1.7608E-07


# kxind = 6, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.4908E-01
  5.0000E-02  1.2521E-03
  1.0000E-01  1.1996E-03
  1.5000E-01  1.6740E-03
  2.0000E-01  1.7280E-03
  2.5000E-01  1.6833E-03
  3.0000E-01  1.0752E-03
  3.5000E-01  8.5383E-04
  4.0000E-01  5.3226E-04
  4.5000E-01  4.4149E-04
  5.0000E-01  3.0284E-04
  5.5000E-01  2.3233E-04
  6.0000E-01  1.8391E-04
  6.5000E-01  1.3517E-04
  7.0000E-01  1.0741E-04
  7.5000E-01  8.2758E-05
  8.0000E-01  6.6233E-05
  8.5000E-01  5.6250E-05
  9.0000E-01  4.3120E-05
  9.5000E-01  3.5301E-05
  1.0000E+00  2.7417E-05
  1.0500E+00  2.3398E-05
  1.1000E+00  1.9548E-05
  1.1500E+00  1.6516E-05
  1.2000E+00  1.3841E-05
  1.2500E+00  1.1282E-05
  1.3000E+00  9.9187E-06
  1.3500E+00  8.5119E-06
  1.4000E+00  7.1439E-06
  1.4500E+00  6.2143E-06
  1.5000E+00  5.2738E-06
  1.5500E+00  4.6326E-06
  1.6000E+00  4.0733E-06
  1.6500E+00  3.5331E-06
  1.7000E+00  3.0694E-06
  1.7500E+00  2.7409E-06
  1.8000E+00  2.3996E-06
  1.8500E+00  2.0816E-06
  1.9000E+00  1.8425E-06
  1.9500E+00  1.6015E-06
  2.0000E+00  1.4644E-06
  2.0500E+00  1.2618E-06
  2.1000E+00  1.1571E-06
  2.1500E+00  1.0170E-06
  2.2000E+00  9.1233E-07
  2.2500E+00  8.3661E-07
  2.3000E+00  7.2553E-07
  2.3500E+00  6.6048E-07
  2.4000E+00  5.9986E-07
  2.4500E+00  5.4652E-07
  2.5000E+00  4.9438E-07
  2.5500E+00  4.5325E-07
  2.6000E+00  4.1505E-07
  2.6500E+00  3.7241E-07
  2.7000E+00  3.5139E-07
  2.7500E+00  3.1305E-07
  2.8000E+00  2.8995E-07
  2.8500E+00  2.6862E-07
  2.9000E+00  2.5262E-07
  2.9500E+00  2.3414E-07
  3.0000E+00  2.2025E-07
  3.0500E+00  2.0285E-07
  3.1000E+00  1.9164E-07
  3.1500E+00  1.7809E-07


# kxind = 7, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.1123E-01
  5.0000E-02  1.4196E-03
  1.0000E-01  1.2446E-03
  1.5000E-01  2.0174E-03
  2.0000E-01  1.6802E-03
  2.5000E-01  1.7516E-03
  3.0000E-01  1.0256E-03
  3.5000E-01  8.8370E-04
  4.0000E-01  6.0572E-04
  4.5000E-01  4.0097E-04
  5.0000E-01  3.0664E-04
  5.5000E-01  2.2484E-04
  6.0000E-01  1.6800E-04
  6.5000E-01  1.3734E-04
  7.0000E-01  1.0469E-04
  7.5000E-01  8.2692E-05
  8.0000E-01  6.4166E-05
  8.5000E-01  5.0309E-05
  9.0000E-01  4.2888E-05
  9.5000E-01  3.4607E-05
  1.0000E+00  2.7135E-05
  1.0500E+00  2.3366E-05
  1.1000E+00  1.9572E-05
  1.1500E+00  1.6331E-05
  1.2000E+00  1.3667E-05
  1.2500E+00  1.1876E-05
  1.3000E+00  9.8751E-06
  1.3500E+00  8.1724E-06
  1.4000E+00  7.1793E-06
  1.4500E+00  6.0655E-06
  1.5000E+00  5.2839E-06
  1.5500E+00  4.6155E-06
  1.6000E+00  3.9506E-06
  1.6500E+00  3.4344E-06
  1.7000E+00  3.0812E-06
  1.7500E+00  2.6399E-06
  1.8000E+00  2.3054E-06
  1.8500E+00  2.0839E-06
  1.9000E+00  1.8464E-06
  1.9500E+00  1.6050E-06
  2.0000E+00  1.4379E-06
  2.0500E+00  1.2728E-06
  2.1000E+00  1.1522E-06
  2.1500E+00  1.0199E-06
