# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 17:02:17 2019
# diag: fluxspectra, run(s): act, time window: 0-3325.4576(623 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xliotas05/ITGa_NL/omt1_P/
# normalization: L_T,ions=5.5028m
#
# Q*dVdx =   2.6204E+01 MW
# G*dVdx =   4.7989E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -5.8205E-14  7.2715E-03
  9.2149E-03  2.6451E-13  1.4992E-02
  1.8430E-02  1.5133E-13  1.4823E-02
  2.7645E-02 -7.4796E-14  1.5317E-02
  3.6860E-02 -2.1747E-13  1.4663E-02
  4.6075E-02 -1.3821E-13  1.4228E-02
  5.5289E-02 -8.0196E-15  1.4270E-02
  6.4504E-02 -2.7576E-15  1.4420E-02
  7.3719E-02  3.9887E-14  1.4111E-02
  8.2934E-02 -4.3789E-14  1.4056E-02
  9.2149E-02  8.3134E-14  1.3842E-02
  1.0136E-01 -1.1130E-14  1.3772E-02
  1.1058E-01  5.8235E-14  1.3372E-02
  1.1979E-01 -4.8034E-14  1.2764E-02
  1.2901E-01  1.7063E-13  1.3167E-02
  1.3822E-01  1.4222E-13  1.2753E-02
  1.4744E-01 -3.5742E-14  1.2269E-02
  1.5665E-01 -9.0996E-14  1.2378E-02
  1.6587E-01  8.7134E-14  1.1466E-02
  1.7508E-01  1.0092E-13  1.1556E-02
  1.8430E-01  9.1065E-14  1.0633E-02
  1.9351E-01  5.5200E-14  1.0648E-02
  2.0273E-01 -6.1714E-14  1.0334E-02
  2.1194E-01  3.7098E-14  1.0221E-02
  2.2116E-01 -1.2993E-13  9.3900E-03
  2.3037E-01  2.5888E-14  9.2468E-03
  2.3959E-01 -1.0610E-13  9.1697E-03
  2.4880E-01 -1.3725E-13  8.6135E-03
  2.5802E-01  3.9184E-14  8.0524E-03
  2.6723E-01 -6.0073E-15  8.0938E-03
  2.7645E-01  1.8221E-14  7.8971E-03
  2.8566E-01 -2.3197E-14  7.3339E-03
  2.9488E-01 -1.4598E-14  6.9732E-03
  3.0409E-01  1.3028E-13  6.8777E-03
  3.1331E-01  4.7805E-14  6.4643E-03
  3.2252E-01 -5.8626E-14  6.1260E-03
  3.3174E-01  1.3372E-13  5.7831E-03
  3.4095E-01  5.1322E-14  5.6375E-03
  3.5017E-01  1.4921E-14  5.4255E-03
  3.5938E-01 -1.3572E-13  5.0651E-03
  3.6860E-01 -1.5139E-14  4.9106E-03
  3.7781E-01 -1.4113E-13  4.6853E-03
  3.8703E-01 -4.4559E-14  4.4895E-03
  3.9624E-01 -9.4402E-14  4.2343E-03
  4.0546E-01 -8.1926E-14  3.9420E-03
  4.1467E-01 -1.4633E-13  3.8064E-03
  4.2389E-01  4.0508E-14  3.5844E-03
  4.3310E-01 -7.0906E-15  3.3644E-03
  4.4232E-01  3.2894E-14  3.2813E-03
  4.5153E-01  5.7792E-14  3.1263E-03
  4.6075E-01 -4.8324E-16  2.9530E-03
  4.6996E-01 -4.0918E-14  2.7895E-03
  4.7918E-01 -2.0041E-14  2.6190E-03
  4.8839E-01 -6.3923E-14  2.5492E-03
  4.9761E-01  6.2184E-14  2.3654E-03
  5.0682E-01  1.2472E-14  2.2332E-03
  5.1603E-01  3.2931E-14  2.1479E-03
  5.2525E-01 -2.9910E-14  2.0237E-03
  5.3446E-01  2.7071E-14  1.9564E-03
  5.4368E-01  4.1431E-14  1.8323E-03
  5.5289E-01  1.0963E-14  1.7436E-03
  5.6211E-01 -2.3376E-14  1.6648E-03
  5.7132E-01  7.4625E-14  1.5365E-03
  5.8054E-01  1.1239E-15  1.4919E-03
  5.8975E-01 -1.8528E-14  1.4206E-03
  5.9897E-01  2.3545E-14  1.3438E-03
  6.0818E-01  2.2499E-14  1.2645E-03
  6.1740E-01  1.5757E-15  1.2117E-03
  6.2661E-01  7.5367E-14  1.1633E-03
  6.3583E-01  4.5627E-14  1.0916E-03
  6.4504E-01  7.2340E-15  1.0665E-03
  6.5426E-01 -4.5978E-14  9.9202E-04
  6.6347E-01  3.0165E-14  9.2704E-04
  6.7269E-01  1.5942E-14  9.0011E-04
  6.8190E-01  5.3285E-16  8.5584E-04
  6.9112E-01 -1.0807E-14  8.1614E-04
  7.0033E-01  1.0095E-14  7.8027E-04
  7.0955E-01 -7.0681E-15  7.4658E-04
  7.1876E-01 -1.6237E-14  6.9916E-04
  7.2798E-01 -2.0058E-14  6.7232E-04
  7.3719E-01  4.9796E-15  6.4125E-04
  7.4641E-01 -5.0316E-15  6.0049E-04
  7.5562E-01 -1.8289E-14  5.8809E-04
  7.6484E-01 -2.4385E-14  5.6653E-04
  7.7405E-01 -2.6468E-14  5.3858E-04
  7.8327E-01 -2.3171E-14  5.1106E-04
  7.9248E-01  2.4848E-14  4.8720E-04
  8.0170E-01 -4.5704E-15  4.6764E-04
  8.1091E-01  4.9247E-17  4.4303E-04
  8.2013E-01  2.2045E-14  4.2976E-04
  8.2934E-01  3.6048E-14  4.0818E-04
  8.3856E-01 -1.3408E-14  3.9332E-04
  8.4777E-01 -7.0187E-17  3.7290E-04
  8.5699E-01 -2.3944E-16  3.6389E-04
  8.6620E-01 -3.1028E-15  3.5191E-04
  8.7542E-01 -2.8818E-14  3.3448E-04
  8.8463E-01  3.8678E-15  3.2259E-04
  8.9385E-01  1.4010E-14  3.0995E-04
  9.0306E-01 -9.0167E-15  3.0082E-04
  9.1228E-01 -2.8722E-15  2.8826E-04
  9.2149E-01  6.6106E-15  2.7953E-04
  9.3071E-01  1.5396E-14  2.6591E-04
  9.3992E-01 -1.3398E-14  2.5629E-04
  9.4914E-01  1.8326E-14  2.4706E-04
  9.5835E-01  4.0878E-15  2.4127E-04
  9.6757E-01 -1.6996E-14  2.3223E-04
  9.7678E-01 -1.7702E-14  2.2262E-04
  9.8600E-01  7.4005E-17  2.1298E-04
  9.9521E-01 -7.6186E-15  2.0887E-04
  1.0044E+00  2.1084E-14  2.0145E-04
  1.0136E+00  8.1635E-15  1.9405E-04
  1.0229E+00  3.2171E-15  1.8771E-04
  1.0321E+00  7.3754E-15  1.8339E-04
  1.0413E+00  4.9406E-15  1.7653E-04
  1.0505E+00  2.4069E-15  1.6863E-04
  1.0597E+00  6.9810E-15  1.6676E-04
  1.0689E+00 -1.5255E-15  1.6026E-04
  1.0781E+00  6.3126E-15  1.5616E-04
  1.0874E+00  1.1304E-14  1.5096E-04
  1.0966E+00  3.9535E-15  1.4698E-04
  1.1058E+00  1.1647E-14  1.4320E-04
  1.1150E+00  7.0414E-15  1.3783E-04
  1.1242E+00  4.4829E-15  1.3412E-04
  1.1334E+00 -1.0520E-14  1.3055E-04
  1.1426E+00  7.9717E-15  1.2717E-04
  1.1519E+00  2.2251E-15  1.2390E-04
  1.1611E+00 -1.1591E-15  1.2098E-04
  1.1703E+00 -2.3009E-15  1.1699E-04
  1.1795E+00  1.8438E-14  1.1355E-04
  1.1887E+00  1.7813E-15  1.1039E-04
  1.1979E+00 -2.0561E-15  1.0928E-04
  1.2072E+00  2.8941E-15  1.0529E-04
  1.2164E+00  2.6231E-15  1.0361E-04
  1.2256E+00  5.7334E-15  1.0110E-04
  1.2348E+00  2.2106E-15  9.6762E-05
  1.2440E+00 -2.9319E-15  9.5437E-05
  1.2532E+00 -3.1795E-16  9.2651E-05
  1.2624E+00 -5.7323E-15  9.1108E-05
  1.2717E+00 -9.9272E-15  8.7683E-05
  1.2809E+00  1.1397E-14  8.6972E-05
  1.2901E+00 -9.0238E-15  8.4617E-05
  1.2993E+00  7.7266E-15  8.3064E-05
  1.3085E+00 -7.5323E-15  8.0398E-05
  1.3177E+00  4.1484E-15  7.8703E-05
  1.3269E+00  4.6511E-15  7.7493E-05
  1.3362E+00 -2.4790E-15  7.5954E-05
  1.3454E+00  9.7837E-15  7.3942E-05
  1.3546E+00  7.3801E-15  7.3505E-05
  1.3638E+00 -1.2349E-15  7.1331E-05
  1.3730E+00 -2.9059E-15  6.9367E-05
  1.3822E+00  7.3285E-15  6.8183E-05
  1.3915E+00  8.6620E-15  6.7360E-05
  1.4007E+00 -9.6130E-15  6.5518E-05
  1.4099E+00  1.4026E-15  6.4106E-05
  1.4191E+00  9.6160E-15  6.2574E-05
  1.4283E+00 -4.1822E-16  6.1938E-05
  1.4375E+00  3.3993E-15  6.0561E-05
  1.4467E+00  2.4068E-15  5.9281E-05
  1.4560E+00 -6.6265E-17  5.8045E-05
  1.4652E+00  5.0049E-15  5.7138E-05
  1.4744E+00 -2.3124E-15  5.6327E-05
  1.4836E+00 -4.5464E-15  5.4711E-05
  1.4928E+00 -1.1939E-15  5.4614E-05
  1.5020E+00 -1.2112E-15  5.3713E-05
  1.5112E+00 -3.6791E-16  5.2025E-05
  1.5205E+00 -4.3680E-15  5.1664E-05
  1.5297E+00  1.6404E-15  5.0655E-05
  1.5389E+00 -6.6404E-16  4.9578E-05
  1.5481E+00 -2.5242E-15  4.9128E-05
  1.5573E+00  6.6012E-16  4.8174E-05
  1.5665E+00  2.5336E-15  4.7696E-05
  1.5757E+00 -5.1235E-15  4.6187E-05
  1.5850E+00 -2.7108E-15  4.5393E-05
  1.5942E+00  9.5591E-16  4.4923E-05
  1.6034E+00  7.1968E-16  4.4260E-05
  1.6126E+00 -8.2070E-15  4.3649E-05
  1.6218E+00 -2.7483E-16  4.3280E-05
  1.6310E+00  4.6200E-15  4.2030E-05
  1.6403E+00  1.2320E-15  4.1609E-05
  1.6495E+00  6.1283E-16  4.0648E-05
  1.6587E+00  1.7158E-15  4.0208E-05
  1.6679E+00  4.2193E-15  3.9600E-05
  1.6771E+00 -3.5071E-15  3.8988E-05
  1.6863E+00 -3.1572E-15  3.8119E-05
  1.6955E+00  1.4278E-15  3.7800E-05
