# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jan  4 17:02:22 2019
# diag: spectra, run(s): act, time window: 0-3325.4576(623 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xliotas05/ITGa_NL/omt1_P/
# normalization: L_T,ions=5.5028m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  5.7131E-04
  1.0000E-01  5.2457E-04
  1.5000E-01  9.4949E-04
  2.0000E-01  1.1023E-03
  2.5000E-01  1.1300E-03
  3.0000E-01  7.5401E-04
  3.5000E-01  5.4530E-04
  4.0000E-01  3.6473E-04
  4.5000E-01  2.4494E-04
  5.0000E-01  1.8755E-04
  5.5000E-01  1.3980E-04
  6.0000E-01  1.0606E-04
  6.5000E-01  8.5103E-05
  7.0000E-01  6.9008E-05
  7.5000E-01  5.3787E-05
  8.0000E-01  4.1633E-05
  8.5000E-01  3.3300E-05
  9.0000E-01  2.8177E-05
  9.5000E-01  2.3052E-05
  1.0000E+00  1.9986E-05
  1.0500E+00  1.6504E-05
  1.1000E+00  1.3765E-05
  1.1500E+00  1.1837E-05
  1.2000E+00  9.9875E-06
  1.2500E+00  8.5206E-06
  1.3000E+00  7.5825E-06
  1.3500E+00  6.5511E-06
  1.4000E+00  5.7800E-06
  1.4500E+00  5.0488E-06
  1.5000E+00  4.3740E-06
  1.5500E+00  3.9740E-06
  1.6000E+00  3.5270E-06
  1.6500E+00  3.1356E-06
  1.7000E+00  2.7944E-06
  1.7500E+00  2.5289E-06
  1.8000E+00  2.2756E-06
  1.8500E+00  2.0172E-06
  1.9000E+00  1.7904E-06
  1.9500E+00  1.6556E-06
  2.0000E+00  1.4658E-06
  2.0500E+00  1.3358E-06
  2.1000E+00  1.2199E-06
  2.1500E+00  1.0763E-06
  2.2000E+00  9.9040E-07
  2.2500E+00  9.1159E-07
  2.3000E+00  8.4477E-07
  2.3500E+00  7.6717E-07
  2.4000E+00  7.0451E-07
  2.4500E+00  6.5104E-07
  2.5000E+00  5.9059E-07
  2.5500E+00  5.4710E-07
  2.6000E+00  5.0514E-07
  2.6500E+00  4.6362E-07
  2.7000E+00  4.4021E-07
  2.7500E+00  4.0820E-07
  2.8000E+00  3.7667E-07
  2.8500E+00  3.4326E-07
  2.9000E+00  3.2662E-07
  2.9500E+00  3.1453E-07
  3.0000E+00  2.9223E-07
  3.0500E+00  2.6936E-07
  3.1000E+00  2.5421E-07
  3.1500E+00  2.3858E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.3379E+04
  5.0000E-02  6.1553E-04
  1.0000E-01  7.3526E-04
  1.5000E-01  1.1600E-03
  2.0000E-01  9.9165E-04
  2.5000E-01  1.1726E-03
  3.0000E-01  8.4485E-04
  3.5000E-01  5.5889E-04
  4.0000E-01  3.3739E-04
  4.5000E-01  2.3678E-04
  5.0000E-01  1.8856E-04
  5.5000E-01  1.4328E-04
  6.0000E-01  1.0336E-04
  6.5000E-01  8.5012E-05
  7.0000E-01  6.6967E-05
  7.5000E-01  5.2379E-05
  8.0000E-01  4.2394E-05
  8.5000E-01  3.4729E-05
  9.0000E-01  2.8390E-05
  9.5000E-01  2.3612E-05
  1.0000E+00  1.9213E-05
  1.0500E+00  1.6330E-05
  1.1000E+00  1.4228E-05
  1.1500E+00  1.2100E-05
  1.2000E+00  1.0247E-05
  1.2500E+00  8.4166E-06
  1.3000E+00  7.6956E-06
  1.3500E+00  6.5096E-06
  1.4000E+00  5.9925E-06
  1.4500E+00  4.9618E-06
  1.5000E+00  4.4663E-06
  1.5500E+00  3.8874E-06
  1.6000E+00  3.5528E-06
  1.6500E+00  3.1172E-06
  1.7000E+00  2.7946E-06
  1.7500E+00  2.4863E-06
  1.8000E+00  2.1777E-06
  1.8500E+00  2.0346E-06
  1.9000E+00  1.8081E-06
  1.9500E+00  1.6268E-06
  2.0000E+00  1.4811E-06
  2.0500E+00  1.3238E-06
  2.1000E+00  1.2155E-06
  2.1500E+00  1.1029E-06
  2.2000E+00  9.9754E-07
  2.2500E+00  9.2354E-07
  2.3000E+00  8.7422E-07
  2.3500E+00  7.7506E-07
  2.4000E+00  6.9775E-07
  2.4500E+00  6.4071E-07
  2.5000E+00  5.9680E-07
  2.5500E+00  5.4090E-07
  2.6000E+00  5.0925E-07
  2.6500E+00  4.7338E-07
  2.7000E+00  4.3610E-07
  2.7500E+00  4.0582E-07
  2.8000E+00  3.7696E-07
  2.8500E+00  3.5070E-07
  2.9000E+00  3.2333E-07
  2.9500E+00  3.0982E-07
  3.0000E+00  2.8794E-07
  3.0500E+00  2.6721E-07
  3.1000E+00  2.5975E-07
  3.1500E+00  2.4440E-07


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  5.5609E+02
  5.0000E-02  7.6008E-04
  1.0000E-01  5.8799E-04
  1.5000E-01  9.1288E-04
  2.0000E-01  1.0516E-03
  2.5000E-01  1.0882E-03
  3.0000E-01  7.3772E-04
  3.5000E-01  5.0352E-04
  4.0000E-01  3.3908E-04
  4.5000E-01  2.3431E-04
  5.0000E-01  1.8533E-04
  5.5000E-01  1.3312E-04
  6.0000E-01  1.0709E-04
  6.5000E-01  8.0596E-05
  7.0000E-01  6.5352E-05
  7.5000E-01  5.2040E-05
  8.0000E-01  4.2653E-05
  8.5000E-01  3.5728E-05
  9.0000E-01  2.7257E-05
  9.5000E-01  2.3165E-05
  1.0000E+00  1.8841E-05
  1.0500E+00  1.6282E-05
  1.1000E+00  1.3717E-05
  1.1500E+00  1.1969E-05
  1.2000E+00  9.9407E-06
  1.2500E+00  8.5374E-06
  1.3000E+00  7.5809E-06
  1.3500E+00  6.6273E-06
  1.4000E+00  5.6231E-06
  1.4500E+00  5.0232E-06
  1.5000E+00  4.4392E-06
  1.5500E+00  3.8870E-06
  1.6000E+00  3.5404E-06
  1.6500E+00  3.1711E-06
  1.7000E+00  2.7769E-06
  1.7500E+00  2.4942E-06
  1.8000E+00  2.2887E-06
  1.8500E+00  2.0433E-06
  1.9000E+00  1.8109E-06
  1.9500E+00  1.6198E-06
  2.0000E+00  1.4777E-06
  2.0500E+00  1.3126E-06
  2.1000E+00  1.2077E-06
  2.1500E+00  1.0932E-06
  2.2000E+00  1.0122E-06
  2.2500E+00  9.0797E-07
  2.3000E+00  8.3457E-07
  2.3500E+00  7.9064E-07
  2.4000E+00  7.0667E-07
  2.4500E+00  6.5539E-07
  2.5000E+00  5.9047E-07
  2.5500E+00  5.3871E-07
  2.6000E+00  5.0788E-07
  2.6500E+00  4.7416E-07
  2.7000E+00  4.3795E-07
  2.7500E+00  4.0155E-07
  2.8000E+00  3.7448E-07
  2.8500E+00  3.5373E-07
  2.9000E+00  3.2801E-07
  2.9500E+00  3.0914E-07
  3.0000E+00  2.9185E-07
  3.0500E+00  2.6685E-07
  3.1000E+00  2.5441E-07
  3.1500E+00  2.4312E-07


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  7.1861E+01
  5.0000E-02  6.1587E-04
  1.0000E-01  6.1833E-04
  1.5000E-01  1.0753E-03
  2.0000E-01  1.1458E-03
  2.5000E-01  1.1622E-03
  3.0000E-01  7.3573E-04
  3.5000E-01  4.7307E-04
  4.0000E-01  3.5334E-04
  4.5000E-01  2.4198E-04
  5.0000E-01  1.8481E-04
  5.5000E-01  1.3478E-04
  6.0000E-01  1.1160E-04
  6.5000E-01  8.0221E-05
  7.0000E-01  6.6958E-05
  7.5000E-01  5.2900E-05
  8.0000E-01  4.2352E-05
  8.5000E-01  3.4483E-05
  9.0000E-01  2.8606E-05
  9.5000E-01  2.3180E-05
  1.0000E+00  1.9354E-05
  1.0500E+00  1.5920E-05
  1.1000E+00  1.3952E-05
  1.1500E+00  1.1411E-05
  1.2000E+00  9.8604E-06
  1.2500E+00  8.7033E-06
  1.3000E+00  7.4782E-06
  1.3500E+00  6.6340E-06
  1.4000E+00  5.7108E-06
  1.4500E+00  5.0480E-06
  1.5000E+00  4.4701E-06
  1.5500E+00  3.9359E-06
  1.6000E+00  3.5146E-06
  1.6500E+00  3.0528E-06
  1.7000E+00  2.7752E-06
  1.7500E+00  2.5091E-06
  1.8000E+00  2.2290E-06
  1.8500E+00  2.0180E-06
  1.9000E+00  1.8151E-06
  1.9500E+00  1.6382E-06
