# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug  7 16:17:44 2018
# diag: zprofile, run(s): act, time window: 0-3325.4576(623 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xliotas05/ITGa/scanomn0omt1/
# normalization: L_ref=5.5028m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  4.4507E-04
 -3.0925E+00  4.6658E-04
 -3.0434E+00  6.1447E-04
 -2.9943E+00  7.9320E-04
 -2.9452E+00  9.2349E-04
 -2.8962E+00  1.0089E-03
 -2.8471E+00  9.2843E-04
 -2.7980E+00  7.2792E-04
 -2.7489E+00  5.7030E-04
 -2.6998E+00  4.4064E-04
 -2.6507E+00  3.5840E-04
 -2.6016E+00  3.0274E-04
 -2.5525E+00  2.6389E-04
 -2.5035E+00  2.4397E-04
 -2.4544E+00  2.2519E-04
 -2.4053E+00  2.1244E-04
 -2.3562E+00  2.0842E-04
 -2.3071E+00  2.0566E-04
 -2.2580E+00  1.9499E-04
 -2.2089E+00  1.7852E-04
 -2.1598E+00  1.6141E-04
 -2.1108E+00  1.4740E-04
 -2.0617E+00  1.3330E-04
 -2.0126E+00  1.1911E-04
 -1.9635E+00  1.0695E-04
 -1.9144E+00  9.8814E-05
 -1.8653E+00  1.0155E-04
 -1.8162E+00  1.1568E-04
 -1.7671E+00  1.3920E-04
 -1.7181E+00  1.7957E-04
 -1.6690E+00  2.5484E-04
 -1.6199E+00  3.5135E-04
 -1.5708E+00  4.4712E-04
 -1.5217E+00  4.6716E-04
 -1.4726E+00  4.1233E-04
 -1.4235E+00  3.5229E-04
 -1.3744E+00  3.0572E-04
 -1.3254E+00  2.7421E-04
 -1.2763E+00  2.5520E-04
 -1.2272E+00  2.3469E-04
 -1.1781E+00  2.2285E-04
 -1.1290E+00  2.0366E-04
 -1.0799E+00  1.8902E-04
 -1.0308E+00  1.6913E-04
 -9.8175E-01  1.5841E-04
 -9.3266E-01  1.4717E-04
 -8.8357E-01  1.3738E-04
 -8.3449E-01  1.2874E-04
 -7.8540E-01  1.1916E-04
 -7.3631E-01  1.1625E-04
 -6.8722E-01  1.1577E-04
 -6.3814E-01  1.1527E-04
 -5.8905E-01  1.2841E-04
 -5.3996E-01  1.5503E-04
 -4.9087E-01  1.8789E-04
 -4.4179E-01  2.4111E-04
 -3.9270E-01  3.0337E-04
 -3.4361E-01  3.8224E-04
 -2.9452E-01  4.5929E-04
 -2.4544E-01  5.6893E-04
 -1.9635E-01  6.7438E-04
 -1.4726E-01  8.1167E-04
 -9.8175E-02  9.0317E-04
 -4.9087E-02  9.9493E-04
  0.0000E+00  9.9058E-04
  4.9087E-02  9.8114E-04
  9.8175E-02  8.6850E-04
  1.4726E-01  7.8120E-04
  1.9635E-01  6.6364E-04
  2.4544E-01  5.8351E-04
  2.9452E-01  4.8344E-04
  3.4361E-01  3.9428E-04
  3.9270E-01  3.0998E-04
  4.4179E-01  2.4885E-04
  4.9087E-01  1.9776E-04
  5.3996E-01  1.5761E-04
  5.8905E-01  1.3045E-04
  6.3814E-01  1.1514E-04
  6.8722E-01  1.0847E-04
  7.3631E-01  1.1215E-04
  7.8540E-01  1.1806E-04
  8.3449E-01  1.2393E-04
  8.8357E-01  1.3471E-04
  9.3266E-01  1.4503E-04
  9.8175E-01  1.5935E-04
  1.0308E+00  1.7319E-04
  1.0799E+00  1.9684E-04
  1.1290E+00  2.0816E-04
  1.1781E+00  2.2734E-04
  1.2272E+00  2.3397E-04
  1.2763E+00  2.4809E-04
  1.3254E+00  2.6499E-04
  1.3744E+00  2.9866E-04
  1.4235E+00  3.5265E-04
  1.4726E+00  4.1734E-04
  1.5217E+00  4.6186E-04
  1.5708E+00  4.4640E-04
  1.6199E+00  3.4631E-04
  1.6690E+00  2.4755E-04
  1.7181E+00  1.8230E-04
  1.7671E+00  1.3175E-04
  1.8162E+00  1.1242E-04
  1.8653E+00  1.0066E-04
  1.9144E+00  9.6919E-05
  1.9635E+00  1.0572E-04
  2.0126E+00  1.2154E-04
  2.0617E+00  1.3173E-04
  2.1108E+00  1.4742E-04
  2.1598E+00  1.6884E-04
  2.2089E+00  1.8140E-04
  2.2580E+00  1.9447E-04
  2.3071E+00  2.0386E-04
  2.3562E+00  2.1223E-04
  2.4053E+00  2.1530E-04
  2.4544E+00  2.2628E-04
  2.5035E+00  2.3667E-04
  2.5525E+00  2.4942E-04
  2.6016E+00  2.9470E-04
  2.6507E+00  3.5578E-04
  2.6998E+00  4.4037E-04
  2.7489E+00  5.7213E-04
  2.7980E+00  7.5323E-04
  2.8471E+00  8.9652E-04
  2.8962E+00  9.5341E-04
  2.9452E+00  9.0343E-04
  2.9943E+00  7.6373E-04
  3.0434E+00  6.1548E-04
  3.0925E+00  5.4066E-04
