# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:04:43 2019
# diag: nrgsummary, run(s): act, time window: 0-3245.2327(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xlms05/ITGa_NL/omt1/
# normalization: L_T,ions=5.5306m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7390E-01 -9.2969E-20  1.4318E-02  3.6521E-06
  3.4779E-01 -9.4156E-20  2.5767E-02 -5.9470E-06
  5.2169E-01 -2.3373E-19  3.4637E-02 -2.4511E-05
  6.9559E-01  2.7590E-19  4.1584E-02 -3.2234E-05
  8.6948E-01 -5.5075E-19  4.7140E-02 -1.3968E-05
  1.0434E+00  7.1450E-19  5.1678E-02  3.3256E-05
  1.2173E+00  1.4167E-19  5.5444E-02  1.0030E-04
  1.3912E+00  1.8529E-19  5.8607E-02  1.7981E-04
  1.5651E+00  3.2649E-19  6.1291E-02  2.6756E-04
  1.7390E+00  6.1491E-19  6.3586E-02  3.5754E-04
  1.9129E+00  3.9083E-19  6.5558E-02  4.4451E-04
  2.0928E+00  6.4843E-19  6.7313E-02  5.2981E-04
  2.2754E+00  1.5504E-19  6.8840E-02  6.1269E-04
  2.4580E+00  1.2521E-18  7.0144E-02  6.9421E-04
  2.6406E+00 -1.7715E-19  7.1248E-02  7.7857E-04
  2.8232E+00 -9.1820E-21  7.2177E-02  8.7136E-04
  3.0058E+00 -3.3738E-19  7.2954E-02  9.7483E-04
  3.1884E+00  4.0272E-19  7.3601E-02  1.0856E-03
  3.3710E+00  4.3174E-20  7.4142E-02  1.1979E-03
  3.5536E+00 -1.6321E-19  7.4595E-02  1.3053E-03
  3.7362E+00  1.9983E-21  7.4975E-02  1.4033E-03
  3.9251E+00  5.6687E-20  7.5299E-02  1.4929E-03
  4.1169E+00  3.3256E-19  7.5563E-02  1.5704E-03
  4.3086E+00  3.5081E-19  7.5775E-02  1.6354E-03
  4.5003E+00 -2.6758E-19  7.7130E-02  2.5044E-03
  4.6362E+00 -2.9124E-19  8.1381E-02  5.7324E-03
  4.7272E+00  6.4297E-19  7.7879E-02  3.2357E-03
  4.8181E+00  6.2337E-20  7.6782E-02  2.1899E-03
  4.9091E+00  1.2568E-19  7.6429E-02  1.9074E-03
  5.0001E+00  3.3497E-19  7.6342E-02  1.8319E-03
  5.0910E+00 -3.0765E-19  7.6343E-02  1.8004E-03
  5.1820E+00 -5.1354E-19  7.6365E-02  1.7975E-03
  5.2729E+00  3.0035E-19  7.6397E-02  1.8081E-03
  5.3639E+00  1.2400E-19  7.6445E-02  1.8266E-03
  5.4548E+00 -4.7360E-19  7.6504E-02  1.8508E-03
  5.5472E+00 -2.0118E-19  7.6550E-02  1.8744E-03
  5.6427E+00  2.1881E-19  7.6571E-02  1.8969E-03
  5.7382E+00 -1.1900E-19  7.6585E-02  1.9200E-03
  5.8337E+00 -2.8286E-19  7.6611E-02  1.9416E-03
  5.9292E+00  4.1956E-19  7.6651E-02  1.9606E-03
  6.0247E+00  9.4556E-20  7.6699E-02  1.9782E-03
  6.1202E+00  7.6895E-19  7.6746E-02  1.9959E-03
  6.2157E+00  2.1158E-19  7.6784E-02  2.0142E-03
  6.3112E+00  5.6323E-20  7.6819E-02  2.0312E-03
  6.4067E+00 -3.2580E-19  7.6859E-02  2.0447E-03
  6.5036E+00 -1.4695E-19  7.6912E-02  2.0560E-03
  6.6039E+00 -4.7956E-19  7.6976E-02  2.0674E-03
  6.7042E+00  2.5397E-20  7.7040E-02  2.0785E-03
  6.8044E+00  2.3480E-19  7.7094E-02  2.0849E-03
  6.9047E+00  2.5805E-20  7.7138E-02  2.0784E-03
  7.0050E+00  2.9994E-19  7.7176E-02  2.0575E-03
  7.1053E+00 -3.9226E-19  7.7214E-02  2.0359E-03
  7.2056E+00 -7.0243E-21  7.7249E-02  2.0360E-03
  7.3058E+00  1.7511E-19  7.7274E-02  2.0606E-03
  7.4061E+00  5.7558E-19  7.7270E-02  2.0797E-03
  7.5079E+00 -1.0203E-19  7.7219E-02  2.0488E-03
  7.6132E+00 -8.2884E-20  7.7130E-02  1.9540E-03
  7.7185E+00 -2.9820E-20  7.7053E-02  1.8201E-03
  7.8238E+00  7.3100E-20  7.7025E-02  1.6683E-03
  7.9291E+00 -8.4383E-20  7.7020E-02  1.5280E-03
  8.0344E+00 -8.1499E-20  7.6978E-02  1.4296E-03
  8.1396E+00 -7.3535E-20  7.6859E-02  1.3679E-03
  8.2449E+00  1.5048E-19  7.6684E-02  1.3088E-03
  8.3502E+00  5.1684E-19  7.6512E-02  1.2270E-03
  8.4555E+00 -3.3292E-19  7.6379E-02  1.1194E-03
  8.5624E+00  1.8623E-19  7.6279E-02  9.9870E-04
  8.6729E+00 -1.9755E-20  7.6185E-02  8.8258E-04
  8.7835E+00 -1.4170E-19  7.6086E-02  7.8431E-04
  8.8941E+00  4.1406E-19  7.5994E-02  6.9814E-04
  9.0046E+00  1.6357E-20  7.5930E-02  6.1177E-04
  9.1152E+00  1.9461E-19  7.5891E-02  5.1522E-04
  9.2257E+00  1.8965E-19  7.5852E-02  4.1620E-04
  9.3363E+00 -5.6043E-20  7.5777E-02  3.4341E-04
  9.4468E+00 -2.4609E-19  7.5645E-02  3.1555E-04
  9.5574E+00 -6.6544E-20  7.5474E-02  3.1428E-04
  9.6696E+00 -2.2034E-19  7.5305E-02  3.0650E-04
  9.7857E+00 -5.2967E-19  7.5176E-02  2.7002E-04
  9.9018E+00 -3.2384E-19  7.5104E-02  2.0174E-04
  1.0018E+01 -1.3485E-19  7.5074E-02  1.1021E-04
  1.0134E+01 -1.7347E-19  7.5064E-02  8.5684E-06
  1.0250E+01  1.3341E-19  7.5064E-02 -8.9912E-05
  1.0366E+01 -3.8477E-20  7.5072E-02 -1.7644E-04
  1.0482E+01 -1.0977E-20  7.5084E-02 -2.4563E-04
  1.0598E+01 -3.2856E-19  7.5090E-02 -2.9927E-04
  1.0714E+01 -1.6735E-19  7.5088E-02 -3.4167E-04
  1.0832E+01 -1.4012E-19  7.5077E-02 -3.7054E-04
  1.0954E+01  3.5467E-19  7.5061E-02 -3.9062E-04
  1.1076E+01  1.8430E-19  7.5059E-02 -4.1567E-04
  1.1198E+01 -1.7406E-19  7.5088E-02 -4.4569E-04
  1.1320E+01  3.8313E-20  7.5145E-02 -4.7895E-04
  1.1442E+01 -2.8337E-19  7.5203E-02 -5.2822E-04
  1.1564E+01 -6.1855E-21  7.5228E-02 -5.9953E-04
  1.1685E+01  3.0120E-20  7.5200E-02 -6.7794E-04
  1.1807E+01 -1.3645E-19  7.5121E-02 -7.5476E-04
  1.1929E+01  1.3475E-19  7.5001E-02 -8.4632E-04
  1.2053E+01 -1.0297E-19  7.4860E-02 -9.7227E-04
  1.2181E+01 -6.3203E-20  7.4726E-02 -1.1233E-03
  1.2309E+01  1.6107E-19  7.4635E-02 -1.2493E-03
  1.2437E+01 -5.2596E-20  7.4590E-02 -1.3081E-03
  1.2565E+01 -2.6067E-19  7.4582E-02 -1.2939E-03
  1.2693E+01  5.3461E-20  7.4588E-02 -1.2432E-03
  1.2821E+01 -2.7756E-20  7.4586E-02 -1.2074E-03
  1.2949E+01 -1.2614E-19  7.4575E-02 -1.2131E-03
  1.3077E+01 -9.8839E-20  7.4572E-02 -1.2553E-03
  1.3205E+01  1.8296E-19  7.4591E-02 -1.3172E-03
  1.3335E+01 -3.1189E-20  7.4639E-02 -1.3848E-03
  1.3469E+01 -2.7012E-19  7.4718E-02 -1.4415E-03
  1.3603E+01 -2.1977E-19  7.4815E-02 -1.4634E-03
  1.3738E+01 -8.8937E-20  7.4927E-02 -1.4369E-03
  1.3872E+01  2.0862E-19  7.5053E-02 -1.3644E-03
  1.4007E+01  3.1842E-20  7.5185E-02 -1.2691E-03
  1.4141E+01  1.2280E-19  7.5307E-02 -1.1836E-03
  1.4275E+01 -1.0560E-19  7.5411E-02 -1.1335E-03
  1.4410E+01  1.1204E-19  7.5497E-02 -1.1331E-03
  1.4544E+01 -6.7180E-20  7.5569E-02 -1.1893E-03
  1.4680E+01  1.3475E-19  7.5634E-02 -1.3030E-03
  1.4822E+01 -4.6259E-20  7.5696E-02 -1.4633E-03
  1.4963E+01  1.6326E-19  7.5748E-02 -1.6431E-03
  1.5104E+01  1.4556E-19  7.5785E-02 -1.8187E-03
  1.5245E+01  1.7162E-21  7.5804E-02 -1.9617E-03
  1.5386E+01 -3.0609E-20  7.5815E-02 -2.0564E-03
  1.5527E+01 -2.5595E-19  7.5826E-02 -2.1091E-03
  1.5668E+01  6.2072E-20  7.5838E-02 -2.1345E-03
  1.5809E+01  3.5049E-21  7.5847E-02 -2.1401E-03
  1.5950E+01  9.4428E-20  7.5847E-02 -2.1283E-03
  1.6094E+01 -8.0837E-20  7.5838E-02 -2.1050E-03
  1.6242E+01 -6.0914E-20  7.5826E-02 -2.0810E-03
  1.6390E+01  1.4217E-20  7.5821E-02 -2.0709E-03
  1.6538E+01 -1.1501E-20  7.5823E-02 -2.0790E-03
  1.6686E+01 -5.3353E-21  7.5823E-02 -2.0958E-03
  1.6834E+01  2.6104E-20  7.5819E-02 -2.1083E-03
  1.6983E+01  7.1345E-20  7.5816E-02 -2.1120E-03
  1.7131E+01  1.2039E-20  7.5815E-02 -2.1131E-03
  1.7279E+01  8.3710E-20  7.5814E-02 -2.1181E-03
  1.7427E+01  1.2351E-19  7.5809E-02 -2.1285E-03
  1.7577E+01  1.1697E-19  7.5804E-02 -2.1437E-03
  1.7733E+01 -9.2997E-20  7.5808E-02 -2.1634E-03
  1.7889E+01 -1.3924E-20  7.5836E-02 -2.1865E-03
  1.8044E+01  6.3060E-20  7.5887E-02 -2.2135E-03
  1.8200E+01 -9.0627E-20  7.5946E-02 -2.2476E-03
  1.8355E+01  1.4195E-19  7.5997E-02 -2.2907E-03
  1.8511E+01  2.1533E-20  7.6027E-02 -2.3394E-03
  1.8666E+01  1.8001E-19  7.6028E-02 -2.3874E-03
  1.8822E+01  4.3243E-21  7.6007E-02 -2.4303E-03
  1.8977E+01 -5.2215E-21  7.5978E-02 -2.4664E-03
  1.9135E+01  1.1462E-20  7.5954E-02 -2.5001E-03
  1.9299E+01 -4.0320E-20  7.5935E-02 -2.5365E-03
  1.9462E+01 -1.8863E-19  7.5912E-02 -2.5691E-03
  1.9625E+01  1.3798E-19  7.5871E-02 -2.5811E-03
  1.9789E+01 -1.3999E-19  7.5802E-02 -2.5562E-03
  1.9952E+01 -5.9225E-20  7.5706E-02 -2.4958E-03
  2.0115E+01 -2.1833E-20  7.5591E-02 -2.4159E-03
  2.0279E+01 -7.6773E-20  7.5466E-02 -2.3373E-03
  2.0442E+01 -5.5246E-20  7.5334E-02 -2.2812E-03
  2.0605E+01  2.0113E-20  7.5201E-02 -2.2562E-03
  2.0771E+01 -2.9691E-20  7.5068E-02 -2.2601E-03
  2.0943E+01  9.0263E-20  7.4940E-02 -2.2898E-03
  2.1114E+01  1.8770E-21  7.4824E-02 -2.3332E-03
  2.1286E+01  2.0139E-20  7.4712E-02 -2.3753E-03
  2.1457E+01 -1.0549E-19  7.4596E-02 -2.4163E-03
  2.1629E+01  2.3082E-20  7.4472E-02 -2.4599E-03
  2.1800E+01  1.6498E-20  7.4341E-02 -2.5000E-03
  2.1972E+01  2.8864E-20  7.4201E-02 -2.5322E-03
  2.2143E+01  4.5016E-20  7.4048E-02 -2.5547E-03
  2.2315E+01 -6.6678E-20  7.3879E-02 -2.5706E-03
  2.2489E+01 -1.7325E-19  7.3692E-02 -2.5898E-03
  2.2669E+01  4.5748E-20  7.3488E-02 -2.6175E-03
  2.2849E+01 -3.6389E-22  7.3272E-02 -2.6518E-03
  2.3029E+01 -9.9469E-20  7.3041E-02 -2.6842E-03
  2.3209E+01  5.5379E-21  7.2794E-02 -2.7085E-03
  2.3389E+01  5.9694E-20  7.2526E-02 -2.7229E-03
  2.3569E+01  6.9613E-20  7.2240E-02 -2.7291E-03
  2.3750E+01  3.9155E-20  7.1942E-02 -2.7305E-03
  2.3930E+01 -6.7306E-21  7.1640E-02 -2.7243E-03
  2.4110E+01  3.0542E-20  7.1336E-02 -2.7098E-03
  2.4292E+01  1.3604E-20  7.1019E-02 -2.6946E-03
  2.4482E+01  3.9796E-20  7.0685E-02 -2.6830E-03
  2.4671E+01 -5.7080E-20  7.0350E-02 -2.6742E-03
  2.4860E+01 -1.3702E-20  7.0022E-02 -2.6601E-03
  2.5049E+01  2.1843E-20  6.9703E-02 -2.6349E-03
  2.5238E+01  3.8261E-20  6.9382E-02 -2.5983E-03
  2.5427E+01  3.0703E-20  6.9055E-02 -2.5514E-03
  2.5616E+01  9.0193E-20  6.8719E-02 -2.5023E-03
  2.5805E+01  5.8864E-20  6.8376E-02 -2.4640E-03
  2.5994E+01  1.0300E-19  6.8031E-02 -2.4415E-03
  2.6186E+01  6.3476E-20  6.7683E-02 -2.4341E-03
  2.6385E+01  4.7229E-20  6.7331E-02 -2.4354E-03
  2.6583E+01 -6.6366E-20  6.6984E-02 -2.4418E-03
  2.6782E+01  1.7562E-20  6.6639E-02 -2.4525E-03
  2.6980E+01  5.9669E-20  6.6295E-02 -2.4646E-03
  2.7179E+01  3.6760E-21  6.5945E-02 -2.4760E-03
  2.7377E+01 -4.6597E-20  6.5582E-02 -2.4853E-03
  2.7576E+01  2.1852E-20  6.5203E-02 -2.4965E-03
  2.7775E+01  5.3456E-20  6.4814E-02 -2.5148E-03
  2.7973E+01  6.2569E-20  6.4419E-02 -2.5424E-03
  2.8175E+01  7.1267E-20  6.4023E-02 -2.5742E-03
  2.8383E+01 -1.4650E-20  6.3625E-02 -2.6032E-03
  2.8592E+01  1.4096E-20  6.3240E-02 -2.6235E-03
  2.8800E+01  1.1589E-19  6.2862E-02 -2.6379E-03
  2.9008E+01 -2.3610E-20  6.2483E-02 -2.6540E-03
  2.9217E+01  6.0824E-20  6.2096E-02 -2.6776E-03
  2.9425E+01  2.2038E-20  6.1698E-02 -2.7041E-03
  2.9634E+01 -2.1576E-20  6.1286E-02 -2.7265E-03
  2.9842E+01 -2.5524E-21  6.0872E-02 -2.7408E-03
  3.0051E+01  7.1505E-20  6.0467E-02 -2.7456E-03
  3.0262E+01  2.2829E-20  6.0068E-02 -2.7397E-03
  3.0481E+01  2.1230E-20  5.9667E-02 -2.7245E-03
  3.0700E+01 -3.6106E-20  5.9279E-02 -2.7020E-03
  3.0919E+01 -6.1551E-20  5.8899E-02 -2.6733E-03
  3.1138E+01  2.6808E-20  5.8522E-02 -2.6393E-03
  3.1357E+01  2.4135E-20  5.8141E-02 -2.5982E-03
  3.1576E+01  6.6992E-20  5.7757E-02 -2.5529E-03
  3.1795E+01  5.8696E-21  5.7378E-02 -2.5075E-03
  3.2014E+01  3.7425E-20  5.7003E-02 -2.4627E-03
  3.2232E+01  1.5653E-21  5.6634E-02 -2.4186E-03
  3.2455E+01  2.5285E-20  5.6263E-02 -2.3735E-03
  3.2684E+01 -1.1966E-20  5.5875E-02 -2.3245E-03
  3.2914E+01  1.6998E-20  5.5484E-02 -2.2680E-03
  3.3144E+01 -3.2927E-20  5.5093E-02 -2.2007E-03
  3.3374E+01  4.2560E-20  5.4702E-02 -2.1266E-03
  3.3604E+01  1.6584E-20  5.4302E-02 -2.0572E-03
  3.3834E+01 -4.0970E-21  5.3887E-02 -1.9999E-03
  3.4064E+01 -4.6674E-20  5.3466E-02 -1.9553E-03
  3.4293E+01  2.8432E-21  5.3052E-02 -1.9192E-03
  3.4523E+01  1.1217E-20  5.2658E-02 -1.8858E-03
  3.4756E+01 -6.0666E-20  5.2281E-02 -1.8516E-03
  3.4998E+01  2.8696E-21  5.1914E-02 -1.8164E-03
