# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:20:57 2019
# diag: zprofile, run(s): act, time window: 0-3243.0541(620 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xlms05/ITGa_NL/omt1/
# normalization: L_T,ions=5.5306m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  3.1073E+01  3.1073E+01
 -3.0925E+00  0.0000E+00  3.1051E+01  3.1051E+01
 -3.0434E+00  0.0000E+00  3.1060E+01  3.1060E+01
 -2.9943E+00  0.0000E+00  3.1045E+01  3.1045E+01
 -2.9452E+00  0.0000E+00  3.1032E+01  3.1032E+01
 -2.8962E+00  0.0000E+00  3.1042E+01  3.1042E+01
 -2.8471E+00  0.0000E+00  3.1036E+01  3.1036E+01
 -2.7980E+00  0.0000E+00  3.1037E+01  3.1037E+01
 -2.7489E+00  0.0000E+00  3.1048E+01  3.1048E+01
 -2.6998E+00  0.0000E+00  3.1056E+01  3.1056E+01
 -2.6507E+00  0.0000E+00  3.1072E+01  3.1072E+01
 -2.6016E+00  0.0000E+00  3.1086E+01  3.1086E+01
 -2.5525E+00  0.0000E+00  3.1088E+01  3.1088E+01
 -2.5035E+00  0.0000E+00  3.1098E+01  3.1098E+01
 -2.4544E+00  0.0000E+00  3.1109E+01  3.1109E+01
 -2.4053E+00  0.0000E+00  3.1114E+01  3.1114E+01
 -2.3562E+00  0.0000E+00  3.1125E+01  3.1125E+01
 -2.3071E+00  0.0000E+00  3.1125E+01  3.1125E+01
 -2.2580E+00  0.0000E+00  3.1127E+01  3.1127E+01
 -2.2089E+00  0.0000E+00  3.1131E+01  3.1131E+01
 -2.1598E+00  0.0000E+00  3.1132E+01  3.1132E+01
 -2.1108E+00  0.0000E+00  3.1134E+01  3.1134E+01
 -2.0617E+00  0.0000E+00  3.1132E+01  3.1132E+01
 -2.0126E+00  0.0000E+00  3.1130E+01  3.1130E+01
 -1.9635E+00  0.0000E+00  3.1129E+01  3.1129E+01
 -1.9144E+00  0.0000E+00  3.1127E+01  3.1127E+01
 -1.8653E+00  0.0000E+00  3.1107E+01  3.1107E+01
 -1.8162E+00  0.0000E+00  3.1109E+01  3.1109E+01
 -1.7671E+00  0.0000E+00  3.1111E+01  3.1111E+01
 -1.7181E+00  0.0000E+00  3.1097E+01  3.1097E+01
 -1.6690E+00  0.0000E+00  3.1105E+01  3.1105E+01
 -1.6199E+00  0.0000E+00  3.1111E+01  3.1111E+01
 -1.5708E+00  0.0000E+00  3.1119E+01  3.1119E+01
 -1.5217E+00  0.0000E+00  3.1133E+01  3.1133E+01
 -1.4726E+00  0.0000E+00  3.1141E+01  3.1141E+01
 -1.4235E+00  0.0000E+00  3.1149E+01  3.1149E+01
 -1.3744E+00  0.0000E+00  3.1156E+01  3.1156E+01
 -1.3254E+00  0.0000E+00  3.1157E+01  3.1157E+01
 -1.2763E+00  0.0000E+00  3.1156E+01  3.1156E+01
 -1.2272E+00  0.0000E+00  3.1159E+01  3.1159E+01
 -1.1781E+00  0.0000E+00  3.1150E+01  3.1150E+01
 -1.1290E+00  0.0000E+00  3.1153E+01  3.1153E+01
 -1.0799E+00  0.0000E+00  3.1150E+01  3.1150E+01
 -1.0308E+00  0.0000E+00  3.1157E+01  3.1157E+01
 -9.8175E-01  0.0000E+00  3.1159E+01  3.1159E+01
 -9.3266E-01  0.0000E+00  3.1163E+01  3.1163E+01
 -8.8357E-01  0.0000E+00  3.1160E+01  3.1160E+01
 -8.3449E-01  0.0000E+00  3.1153E+01  3.1153E+01
 -7.8540E-01  0.0000E+00  3.1145E+01  3.1145E+01
 -7.3631E-01  0.0000E+00  3.1135E+01  3.1135E+01
 -6.8722E-01  0.0000E+00  3.1146E+01  3.1146E+01
 -6.3814E-01  0.0000E+00  3.1141E+01  3.1141E+01
 -5.8905E-01  0.0000E+00  3.1149E+01  3.1149E+01
 -5.3996E-01  0.0000E+00  3.1161E+01  3.1161E+01
 -4.9087E-01  0.0000E+00  3.1155E+01  3.1155E+01
 -4.4179E-01  0.0000E+00  3.1156E+01  3.1156E+01
 -3.9270E-01  0.0000E+00  3.1160E+01  3.1160E+01
