# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug  7 16:00:15 2018
# diag: fluxspectra, run(s): act, time window: 0-3243.0541(620 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xlms05/ITGa/scanomn0omt1/
# normalization: L_ref=5.5306m
#
# Q*dVdx =   2.4833E+01 MW
# G*dVdx =   2.0991E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  1.8660E-14  7.2953E-03
  9.1835E-03  9.1247E-14  1.4796E-02
  1.8367E-02  6.5618E-14  1.4650E-02
  2.7550E-02 -2.1779E-13  1.4822E-02
  3.6734E-02 -7.7711E-14  1.4205E-02
  4.5917E-02  4.4215E-14  1.4240E-02
  5.5101E-02  2.7452E-14  1.3633E-02
  6.4284E-02  1.0418E-14  1.3254E-02
  7.3468E-02 -1.1149E-13  1.3875E-02
  8.2651E-02 -2.0936E-14  1.3060E-02
  9.1835E-02  8.5531E-14  1.2902E-02
  1.0102E-01 -1.4470E-13  1.2401E-02
  1.1020E-01 -7.2258E-14  1.2218E-02
  1.1939E-01 -4.0231E-14  1.1612E-02
  1.2857E-01  1.9813E-13  1.1948E-02
  1.3775E-01  2.0138E-13  1.1248E-02
  1.4694E-01  8.0394E-15  1.1081E-02
  1.5612E-01  1.1977E-14  1.0618E-02
  1.6530E-01  1.6166E-13  1.0261E-02
  1.7449E-01  1.1528E-14  9.8459E-03
  1.8367E-01  3.4901E-14  9.3082E-03
  1.9285E-01 -1.9891E-13  9.1695E-03
  2.0204E-01  5.4715E-14  8.7851E-03
  2.1122E-01  1.2102E-13  8.4523E-03
  2.2040E-01  2.5576E-14  8.0847E-03
  2.2959E-01  1.5063E-14  7.8643E-03
  2.3877E-01 -1.1550E-13  7.2457E-03
  2.4795E-01  7.0425E-15  7.0720E-03
  2.5714E-01  9.4710E-14  6.8332E-03
  2.6632E-01  3.2469E-14  6.5607E-03
  2.7550E-01 -6.2476E-14  6.4510E-03
  2.8469E-01 -1.1142E-13  6.0862E-03
  2.9387E-01  9.4088E-14  5.8435E-03
  3.0305E-01 -1.5223E-14  5.4836E-03
  3.1224E-01  6.6580E-14  5.1376E-03
  3.2142E-01  4.0026E-14  5.1431E-03
  3.3061E-01  1.0957E-13  4.8616E-03
  3.3979E-01 -9.7044E-14  4.5946E-03
  3.4897E-01  1.0454E-13  4.4963E-03
  3.5816E-01 -5.5603E-14  4.2005E-03
  3.6734E-01  4.3098E-14  4.0478E-03
  3.7652E-01  1.9985E-14  3.8702E-03
  3.8571E-01  7.1994E-14  3.6713E-03
  3.9489E-01  7.9161E-15  3.5514E-03
  4.0407E-01 -8.8794E-14  3.5066E-03
  4.1326E-01  1.1317E-14  3.3860E-03
  4.2244E-01 -1.5898E-14  3.0870E-03
  4.3162E-01  1.2067E-13  3.0007E-03
  4.4081E-01  4.0114E-14  2.8966E-03
  4.4999E-01 -7.9831E-15  2.7209E-03
  4.5917E-01 -3.1962E-14  2.6682E-03
  4.6836E-01  9.7025E-15  2.5038E-03
  4.7754E-01  3.2526E-14  2.3952E-03
  4.8672E-01  8.0091E-14  2.3152E-03
  4.9591E-01 -7.3260E-14  2.1786E-03
  5.0509E-01  4.4722E-14  2.0627E-03
  5.1427E-01  1.2928E-14  1.9700E-03
  5.2346E-01 -1.3310E-14  1.9125E-03
  5.3264E-01  7.2507E-15  1.8636E-03
  5.4182E-01 -1.7098E-14  1.7483E-03
  5.5101E-01 -3.3895E-14  1.6528E-03
  5.6019E-01 -4.5479E-15  1.5925E-03
  5.6938E-01 -1.0958E-14  1.5654E-03
  5.7856E-01  4.1606E-14  1.5002E-03
  5.8774E-01  1.9042E-15  1.4155E-03
  5.9693E-01 -5.1762E-14  1.3991E-03
  6.0611E-01  1.8981E-14  1.3396E-03
  6.1529E-01  2.0108E-14  1.2483E-03
  6.2448E-01  3.5105E-14  1.2383E-03
  6.3366E-01 -1.9501E-14  1.1698E-03
  6.4284E-01  6.5351E-14  1.1171E-03
  6.5203E-01  2.9205E-14  1.0631E-03
  6.6121E-01  1.4516E-14  1.0347E-03
  6.7039E-01 -2.6979E-14  1.0075E-03
  6.7958E-01  4.4701E-15  9.4695E-04
  6.8876E-01  1.6931E-14  9.1037E-04
  6.9794E-01  9.1050E-16  8.7576E-04
  7.0713E-01  4.5024E-14  8.3091E-04
  7.1631E-01  4.9648E-14  8.0784E-04
  7.2549E-01 -2.3960E-14  7.7685E-04
  7.3468E-01  2.4168E-14  7.4911E-04
  7.4386E-01 -3.3050E-14  7.1221E-04
  7.5304E-01 -5.0534E-14  6.9460E-04
  7.6223E-01 -1.5355E-14  6.6415E-04
  7.7141E-01  8.8945E-15  6.3557E-04
  7.8060E-01 -1.9541E-15  6.1717E-04
  7.8978E-01  1.3305E-14  5.9435E-04
  7.9896E-01 -1.4418E-14  5.7539E-04
  8.0815E-01  4.7263E-15  5.5348E-04
  8.1733E-01  2.1376E-15  5.3290E-04
  8.2651E-01 -3.1158E-14  5.1914E-04
  8.3570E-01 -3.6869E-15  4.9072E-04
  8.4488E-01  3.4091E-14  4.7284E-04
  8.5406E-01  9.4091E-15  4.6185E-04
  8.6325E-01  4.7804E-14  4.4474E-04
  8.7243E-01 -2.6293E-15  4.3454E-04
  8.8161E-01  4.6578E-15  4.1982E-04
  8.9080E-01  3.3142E-16  4.0484E-04
  8.9998E-01 -1.2977E-14  3.9095E-04
  9.0916E-01  4.9944E-15  3.7729E-04
  9.1835E-01 -8.7208E-15  3.6939E-04
  9.2753E-01  1.3380E-14  3.5205E-04
  9.3671E-01  9.0338E-15  3.4431E-04
  9.4590E-01  7.4666E-15  3.2724E-04
  9.5508E-01  1.4580E-14  3.2168E-04
  9.6426E-01 -1.7406E-14  3.1335E-04
  9.7345E-01 -8.4619E-15  2.9896E-04
  9.8263E-01 -1.2265E-15  2.9137E-04
  9.9182E-01 -1.0465E-14  2.8354E-04
  1.0010E+00  2.6230E-14  2.7303E-04
  1.0102E+00 -1.8521E-14  2.6524E-04
  1.0194E+00  1.9351E-14  2.5818E-04
  1.0285E+00  2.7156E-15  2.4974E-04
  1.0377E+00  8.2741E-15  2.4093E-04
  1.0469E+00  9.1955E-15  2.3656E-04
  1.0561E+00 -1.0802E-14  2.3022E-04
  1.0653E+00  1.7501E-14  2.2212E-04
  1.0745E+00 -6.1057E-15  2.1317E-04
  1.0836E+00 -2.2920E-14  2.0999E-04
  1.0928E+00  3.8185E-15  2.0174E-04
  1.1020E+00 -3.1458E-15  1.9650E-04
  1.1112E+00  1.6512E-15  1.9393E-04
  1.1204E+00 -7.3179E-15  1.8719E-04
  1.1296E+00 -5.2625E-15  1.8173E-04
  1.1388E+00 -2.0313E-15  1.7882E-04
  1.1479E+00  9.9434E-15  1.7396E-04
  1.1571E+00 -1.0070E-14  1.7012E-04
  1.1663E+00  9.9450E-15  1.6513E-04
  1.1755E+00 -1.2831E-14  1.6240E-04
  1.1847E+00 -2.5099E-15  1.5623E-04
  1.1939E+00 -2.0139E-15  1.5247E-04
  1.2030E+00 -2.9964E-15  1.5021E-04
  1.2122E+00  1.4057E-14  1.4665E-04
  1.2214E+00  6.4871E-16  1.4254E-04
  1.2306E+00  8.0887E-15  1.3774E-04
  1.2398E+00 -8.9543E-15  1.3485E-04
  1.2490E+00  6.0633E-15  1.3172E-04
  1.2581E+00  3.3969E-15  1.2907E-04
  1.2673E+00 -1.0307E-14  1.2734E-04
  1.2765E+00  7.5131E-15  1.2376E-04
  1.2857E+00  4.4103E-15  1.2040E-04
  1.2949E+00  7.5620E-15  1.1631E-04
  1.3041E+00  1.6580E-14  1.1531E-04
