# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug  7 16:00:16 2018
# diag: zprofile, run(s): act, time window: 0-3243.0541(620 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xlms05/ITGa/scanomn0omt1/
# normalization: L_ref=5.5306m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  1.4935E-04
 -3.0925E+00  1.0430E-04
 -3.0434E+00  1.4989E-04
 -2.9943E+00  1.5610E-04
 -2.9452E+00  1.8005E-04
 -2.8962E+00  1.9382E-04
 -2.8471E+00  2.0727E-04
 -2.7980E+00  2.1494E-04
 -2.7489E+00  2.2398E-04
 -2.6998E+00  2.2426E-04
 -2.6507E+00  2.2527E-04
 -2.6016E+00  2.1467E-04
 -2.5525E+00  1.9497E-04
 -2.5035E+00  1.8383E-04
 -2.4544E+00  1.8143E-04
 -2.4053E+00  1.7404E-04
 -2.3562E+00  1.6734E-04
 -2.3071E+00  1.6457E-04
 -2.2580E+00  1.6602E-04
 -2.2089E+00  1.7316E-04
 -2.1598E+00  1.9856E-04
 -2.1108E+00  2.4343E-04
 -2.0617E+00  3.1926E-04
 -2.0126E+00  4.2780E-04
 -1.9635E+00  5.4358E-04
 -1.9144E+00  5.9798E-04
 -1.8653E+00  5.4770E-04
 -1.8162E+00  4.5645E-04
 -1.7671E+00  3.7235E-04
 -1.7181E+00  2.9693E-04
 -1.6690E+00  2.4533E-04
 -1.6199E+00  2.1640E-04
 -1.5708E+00  1.9440E-04
 -1.5217E+00  1.8193E-04
 -1.4726E+00  1.7298E-04
 -1.4235E+00  1.6419E-04
 -1.3744E+00  1.5255E-04
 -1.3254E+00  1.3661E-04
 -1.2763E+00  1.2431E-04
 -1.2272E+00  1.1109E-04
 -1.1781E+00  1.0109E-04
 -1.1290E+00  9.2489E-05
 -1.0799E+00  8.8605E-05
 -1.0308E+00  8.6819E-05
 -9.8175E-01  8.6749E-05
 -9.3266E-01  8.6858E-05
 -8.8357E-01  8.7907E-05
 -8.3449E-01  9.3048E-05
 -7.8540E-01  9.9382E-05
 -7.3631E-01  1.1103E-04
 -6.8722E-01  1.3055E-04
 -6.3814E-01  1.6280E-04
 -5.8905E-01  2.0280E-04
 -5.3996E-01  2.4646E-04
 -4.9087E-01  3.1672E-04
 -4.4179E-01  4.1903E-04
 -3.9270E-01  5.3578E-04
 -3.4361E-01  6.3807E-04
 -2.9452E-01  7.3849E-04
 -2.4544E-01  8.5980E-04
 -1.9635E-01  9.7306E-04
 -1.4726E-01  1.0904E-03
 -9.8175E-02  1.1372E-03
 -4.9087E-02  1.2249E-03
  0.0000E+00  1.2310E-03
  4.9087E-02  1.2492E-03
  9.8175E-02  1.1505E-03
  1.4726E-01  1.0796E-03
  1.9635E-01  9.4926E-04
  2.4544E-01  8.3008E-04
  2.9452E-01  7.2049E-04
  3.4361E-01  6.0635E-04
  3.9270E-01  4.9489E-04
  4.4179E-01  3.9702E-04
  4.9087E-01  3.1000E-04
  5.3996E-01  2.4780E-04
  5.8905E-01  1.9922E-04
  6.3814E-01  1.5720E-04
  6.8722E-01  1.2800E-04
  7.3631E-01  1.0749E-04
  7.8540E-01  9.8888E-05
  8.3449E-01  9.4452E-05
  8.8357E-01  8.8380E-05
  9.3266E-01  8.7734E-05
  9.8175E-01  8.7789E-05
  1.0308E+00  8.8612E-05
  1.0799E+00  9.1667E-05
  1.1290E+00  9.5943E-05
  1.1781E+00  1.0358E-04
  1.2272E+00  1.1192E-04
  1.2763E+00  1.2265E-04
  1.3254E+00  1.3134E-04
  1.3744E+00  1.4613E-04
  1.4235E+00  1.5975E-04
  1.4726E+00  1.7030E-04
  1.5217E+00  1.8060E-04
  1.5708E+00  1.9169E-04
  1.6199E+00  2.0763E-04
  1.6690E+00  2.2808E-04
  1.7181E+00  2.8495E-04
  1.7671E+00  3.7442E-04
  1.8162E+00  4.6320E-04
  1.8653E+00  5.5199E-04
  1.9144E+00  6.0027E-04
  1.9635E+00  5.4047E-04
  2.0126E+00  4.2879E-04
  2.0617E+00  3.3085E-04
  2.1108E+00  2.4764E-04
  2.1598E+00  2.0245E-04
  2.2089E+00  1.7320E-04
  2.2580E+00  1.5778E-04
  2.3071E+00  1.5750E-04
  2.3562E+00  1.6436E-04
  2.4053E+00  1.7381E-04
  2.4544E+00  1.8331E-04
  2.5035E+00  1.8949E-04
  2.5525E+00  1.9038E-04
  2.6016E+00  2.0067E-04
  2.6507E+00  2.0648E-04
  2.6998E+00  2.1070E-04
  2.7489E+00  2.1007E-04
  2.7980E+00  2.1241E-04
  2.8471E+00  2.1016E-04
  2.8962E+00  1.9652E-04
  2.9452E+00  1.7359E-04
  2.9943E+00  1.6630E-04
  3.0434E+00  1.1721E-04
  3.0925E+00  1.6396E-04
