# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:18:53 2019
# diag: nrgsummary, run(s): act, time window: 0-1708.4394(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt1/
# normalization: L_ref=5.508m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00 -9.9097E-21 -1.7759E-20 -5.7156E-22
  6.3039E-01  8.4325E-19  7.0173E-02  1.9607E-06
  1.2608E+00  2.5961E-19  1.3794E-01  1.3720E-05
  1.8912E+00  2.7522E-18  2.0107E-01  3.6855E-05
  2.5216E+00 -2.5334E-18  2.5769E-01  6.4362E-05
  3.1520E+00  3.4982E-19  3.0674E-01  8.7869E-05
  3.7824E+00 -3.5162E-18  3.4804E-01  1.0299E-04
  4.4128E+00 -3.1887E-18  3.8205E-01  1.0955E-04
  5.0431E+00  1.3326E-18  4.0954E-01  1.0984E-04
  5.6735E+00  8.6612E-20  4.3140E-01  1.0693E-04
  6.3039E+00  4.7622E-18  4.4859E-01  1.0358E-04
  6.9343E+00 -7.5922E-19  4.6207E-01  1.0177E-04
  7.5647E+00 -1.0979E-18  4.7279E-01  1.0266E-04
  8.1951E+00  3.7792E-19  4.8159E-01  1.0676E-04
  8.8255E+00 -2.2927E-18  4.8921E-01  1.1411E-04
  9.4559E+00  1.7987E-18  4.9624E-01  1.2445E-04
  1.0086E+01 -1.7418E-18  5.0308E-01  1.3741E-04
  1.0717E+01 -3.1310E-18  5.1002E-01  1.5262E-04
  1.1369E+01 -1.7766E-18  5.1746E-01  1.7061E-04
  1.2031E+01 -1.0388E-18  5.2536E-01  1.9146E-04
  1.2693E+01 -6.3008E-18  5.3359E-01  2.1572E-04
  1.3355E+01 -3.0994E-19  5.4212E-01  2.4472E-04
  1.4017E+01  1.6422E-18  5.5089E-01  2.8016E-04
  1.4679E+01 -3.2849E-19  5.5984E-01  3.2388E-04
  1.5341E+01 -2.7479E-18  5.6893E-01  3.7754E-04
  1.6003E+01 -5.4449E-19  5.7816E-01  4.4235E-04
  1.6664E+01  2.7843E-18  5.8752E-01  5.1888E-04
  1.7326E+01 -1.6939E-18  5.9704E-01  6.0707E-04
  1.8011E+01  2.7531E-18  6.0711E-01  7.1026E-04
  1.8706E+01  3.9686E-18  6.1759E-01  8.2723E-04
  1.9401E+01 -2.6236E-19  6.2838E-01  9.5785E-04
  2.0071E+01 -5.4443E-19  6.3914E-01  1.0998E-03
  2.0727E+01  1.7779E-18  6.5001E-01  1.2591E-03
  2.1353E+01  2.2414E-18  6.6070E-01  1.4354E-03
  2.1965E+01 -1.4169E-18  6.7145E-01  1.6344E-03
  2.2559E+01  3.2253E-18  6.8209E-01  1.8509E-03
  2.3131E+01 -9.9360E-19  6.9255E-01  2.0725E-03
  2.3691E+01  3.5910E-18  7.0296E-01  2.2773E-03
  2.4226E+01  2.1742E-18  7.1305E-01  2.4438E-03
  2.4734E+01 -4.1280E-19  7.2278E-01  2.5541E-03
  2.5227E+01 -2.5575E-18  7.3237E-01  2.5959E-03
  2.5707E+01 -1.6359E-18  7.4186E-01  2.5928E-03
  2.6183E+01 -3.6623E-18  7.5141E-01  2.5715E-03
  2.6638E+01  2.9910E-18  7.6073E-01  2.5413E-03
  2.7093E+01 -8.8925E-19  7.7021E-01  2.5109E-03
  2.7548E+01 -1.7460E-18  7.7985E-01  2.4896E-03
  2.7994E+01 -5.0662E-19  7.8943E-01  2.4964E-03
  2.8427E+01 -2.2213E-18  7.9881E-01  2.5319E-03
  2.8859E+01 -3.3591E-18  8.0823E-01  2.5936E-03
  2.9291E+01 -2.0412E-18  8.1764E-01  2.6897E-03
  2.9723E+01  2.2369E-18  8.2701E-01  2.7833E-03
  3.0155E+01  6.4809E-19  8.3635E-01  2.8325E-03
  3.0578E+01  2.0411E-18  8.4542E-01  2.8575E-03
  3.0988E+01  1.5197E-18  8.5405E-01  2.8780E-03
  3.1398E+01  4.2348E-19  8.6255E-01  2.9102E-03
  3.1795E+01 -4.5594E-18  8.7079E-01  2.9340E-03
  3.2184E+01 -3.1322E-19  8.7901E-01  2.9424E-03
  3.2562E+01  4.1348E-19  8.8708E-01  2.9322E-03
  3.2931E+01 -2.6835E-18  8.9486E-01  2.9315E-03
  3.3299E+01 -2.8800E-18  9.0254E-01  2.8886E-03
  3.3668E+01 -3.3502E-18  9.1010E-01  2.8057E-03
  3.4036E+01  3.6315E-18  9.1763E-01  2.9046E-03
  3.4405E+01  1.5310E-18  9.2540E-01  3.1432E-03
  3.4773E+01 -1.7942E-18  9.3343E-01  3.2973E-03
  3.5138E+01 -1.7507E-18  9.4156E-01  3.3392E-03
  3.5488E+01  1.1023E-18  9.4944E-01  3.3604E-03
  3.5838E+01  2.9957E-18  9.5731E-01  3.3878E-03
  3.6180E+01 -5.2749E-18  9.6497E-01  3.3356E-03
  3.6512E+01 -3.5140E-18  9.7230E-01  3.0807E-03
  3.6838E+01  8.5042E-19  9.7944E-01  2.7825E-03
  3.7151E+01 -4.2693E-18  9.8626E-01  2.4843E-03
