# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:38:37 2019
# diag: spectra, run(s): act, time window: 0-1708.4394(316 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt1/
# normalization: L_ref=5.508m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  8.6586E-04
  1.0000E-01  1.0788E-03
  1.5000E-01  9.7484E-04
  2.0000E-01  1.0684E-03
  2.5000E-01  1.1204E-03
  3.0000E-01  9.9558E-04
  3.5000E-01  1.0650E-03
  4.0000E-01  1.0230E-03
  4.5000E-01  9.9091E-04
  5.0000E-01  9.9574E-04
  5.5000E-01  9.5020E-04
  6.0000E-01  7.2340E-04
  6.5000E-01  4.9178E-04
  7.0000E-01  2.8915E-04
  7.5000E-01  1.9015E-04
  8.0000E-01  1.3623E-04
  8.5000E-01  9.5865E-05
  9.0000E-01  6.8829E-05
  9.5000E-01  5.3888E-05
  1.0000E+00  3.8530E-05
  1.0500E+00  2.9800E-05
  1.1000E+00  2.2481E-05
  1.1500E+00  1.7305E-05
  1.2000E+00  1.3389E-05
  1.2500E+00  1.1311E-05
  1.3000E+00  9.0937E-06
  1.3500E+00  7.5439E-06
  1.4000E+00  6.4417E-06
  1.4500E+00  5.5509E-06
  1.5000E+00  4.6355E-06
  1.5500E+00  4.1144E-06
  1.6000E+00  3.5823E-06
  1.6500E+00  3.1582E-06
  1.7000E+00  2.8319E-06
  1.7500E+00  2.4201E-06
  1.8000E+00  2.2565E-06
  1.8500E+00  1.9892E-06
  1.9000E+00  1.7959E-06
  1.9500E+00  1.5967E-06
  2.0000E+00  1.5184E-06
  2.0500E+00  1.3140E-06
  2.1000E+00  1.2781E-06
  2.1500E+00  1.1090E-06
  2.2000E+00  1.0242E-06
  2.2500E+00  9.5782E-07
  2.3000E+00  8.6205E-07
  2.3500E+00  8.2040E-07
  2.4000E+00  7.5308E-07
  2.4500E+00  7.1676E-07
  2.5000E+00  6.4792E-07
  2.5500E+00  5.7667E-07
  2.6000E+00  5.4337E-07
  2.6500E+00  5.3595E-07
  2.7000E+00  4.6445E-07
  2.7500E+00  4.5240E-07
  2.8000E+00  4.0956E-07
  2.8500E+00  3.8020E-07
  2.9000E+00  3.6209E-07
  2.9500E+00  3.4282E-07
  3.0000E+00  3.1665E-07
  3.0500E+00  2.9042E-07
  3.1000E+00  2.7097E-07
  3.1500E+00  2.5759E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.0273E-01
  5.0000E-02  8.9384E-04
  1.0000E-01  1.1449E-03
  1.5000E-01  1.0799E-03
  2.0000E-01  9.5153E-04
  2.5000E-01  8.6979E-04
  3.0000E-01  8.4237E-04
  3.5000E-01  7.7777E-04
  4.0000E-01  7.5895E-04
  4.5000E-01  6.8108E-04
  5.0000E-01  6.8610E-04
  5.5000E-01  6.0456E-04
  6.0000E-01  4.5288E-04
  6.5000E-01  3.1503E-04
  7.0000E-01  2.0938E-04
  7.5000E-01  1.5754E-04
  8.0000E-01  1.0703E-04
  8.5000E-01  7.9879E-05
  9.0000E-01  5.9578E-05
  9.5000E-01  4.7652E-05
  1.0000E+00  3.4364E-05
  1.0500E+00  2.6266E-05
  1.1000E+00  2.0388E-05
  1.1500E+00  1.6377E-05
  1.2000E+00  1.2509E-05
  1.2500E+00  1.0428E-05
  1.3000E+00  8.6384E-06
  1.3500E+00  6.9939E-06
  1.4000E+00  6.1933E-06
  1.4500E+00  5.2696E-06
  1.5000E+00  4.6535E-06
  1.5500E+00  4.0120E-06
  1.6000E+00  3.4577E-06
  1.6500E+00  3.1086E-06
  1.7000E+00  2.7881E-06
  1.7500E+00  2.5216E-06
  1.8000E+00  2.1827E-06
  1.8500E+00  1.9238E-06
  1.9000E+00  1.7503E-06
  1.9500E+00  1.6286E-06
  2.0000E+00  1.4822E-06
  2.0500E+00  1.3221E-06
  2.1000E+00  1.2228E-06
  2.1500E+00  1.1529E-06
  2.2000E+00  9.9430E-07
  2.2500E+00  9.5067E-07
  2.3000E+00  8.8785E-07
  2.3500E+00  7.7618E-07
  2.4000E+00  7.5543E-07
  2.4500E+00  6.7655E-07
  2.5000E+00  6.1921E-07
  2.5500E+00  5.5636E-07
  2.6000E+00  5.2598E-07
  2.6500E+00  5.0755E-07
  2.7000E+00  4.5870E-07
  2.7500E+00  4.2473E-07
  2.8000E+00  4.2505E-07
  2.8500E+00  4.0721E-07
  2.9000E+00  3.6139E-07
  2.9500E+00  3.4843E-07
  3.0000E+00  3.1884E-07
  3.0500E+00  2.9265E-07
  3.1000E+00  2.8056E-07
  3.1500E+00  2.5630E-07


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.9322E-01
  5.0000E-02  3.7919E-04
  1.0000E-01  6.2377E-04
  1.5000E-01  9.0623E-04
  2.0000E-01  7.1490E-04
  2.5000E-01  6.9440E-04
  3.0000E-01  5.4648E-04
  3.5000E-01  4.7758E-04
  4.0000E-01  3.5194E-04
  4.5000E-01  2.9407E-04
  5.0000E-01  2.8675E-04
  5.5000E-01  2.5333E-04
  6.0000E-01  1.9232E-04
  6.5000E-01  1.4141E-04
  7.0000E-01  1.0129E-04
  7.5000E-01  7.6774E-05
  8.0000E-01  6.1271E-05
  8.5000E-01  4.7298E-05
  9.0000E-01  3.6880E-05
  9.5000E-01  2.9950E-05
  1.0000E+00  2.3908E-05
  1.0500E+00  1.9609E-05
  1.1000E+00  1.5869E-05
  1.1500E+00  1.3113E-05
  1.2000E+00  1.0907E-05
  1.2500E+00  9.0519E-06
  1.3000E+00  7.9710E-06
  1.3500E+00  6.6334E-06
  1.4000E+00  5.5758E-06
  1.4500E+00  5.2372E-06
  1.5000E+00  4.2360E-06
  1.5500E+00  3.8980E-06
  1.6000E+00  3.4948E-06
  1.6500E+00  3.1950E-06
  1.7000E+00  2.8273E-06
  1.7500E+00  2.4199E-06
  1.8000E+00  2.2165E-06
  1.8500E+00  2.0133E-06
  1.9000E+00  1.7362E-06
  1.9500E+00  1.5217E-06
  2.0000E+00  1.4414E-06
  2.0500E+00  1.3336E-06
  2.1000E+00  1.2253E-06
  2.1500E+00  1.1875E-06
  2.2000E+00  1.0549E-06
  2.2500E+00  9.7310E-07
  2.3000E+00  8.3196E-07
  2.3500E+00  8.2423E-07
  2.4000E+00  7.2041E-07
  2.4500E+00  6.8585E-07
  2.5000E+00  6.7178E-07
  2.5500E+00  5.8982E-07
  2.6000E+00  5.3849E-07
  2.6500E+00  4.9268E-07
  2.7000E+00  4.8161E-07
  2.7500E+00  4.4126E-07
  2.8000E+00  4.0195E-07
  2.8500E+00  3.9429E-07
  2.9000E+00  3.5670E-07
  2.9500E+00  3.4333E-07
  3.0000E+00  3.2455E-07
  3.0500E+00  3.0487E-07
  3.1000E+00  2.7996E-07
  3.1500E+00  2.6372E-07


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.1061E-01
  5.0000E-02  7.5798E-04
  1.0000E-01  8.7681E-04
  1.5000E-01  6.1505E-04
  2.0000E-01  7.1472E-04
  2.5000E-01  6.3758E-04
  3.0000E-01  5.2807E-04
  3.5000E-01  4.1185E-04
  4.0000E-01  3.0541E-04
  4.5000E-01  2.5014E-04
  5.0000E-01  2.3271E-04
  5.5000E-01  2.0007E-04
  6.0000E-01  1.6731E-04
  6.5000E-01  1.1901E-04
  7.0000E-01  7.9102E-05
  7.5000E-01  6.3246E-05
  8.0000E-01  4.9534E-05
  8.5000E-01  3.9375E-05
  9.0000E-01  3.2707E-05
  9.5000E-01  2.4968E-05
  1.0000E+00  1.9944E-05
  1.0500E+00  1.7585E-05
  1.1000E+00  1.4870E-05
  1.1500E+00  1.1933E-05
  1.2000E+00  9.9942E-06
  1.2500E+00  8.7462E-06
  1.3000E+00  7.5860E-06
  1.3500E+00  6.2784E-06
  1.4000E+00  5.7069E-06
  1.4500E+00  4.7543E-06
  1.5000E+00  4.3080E-06
  1.5500E+00  3.9666E-06
  1.6000E+00  3.4807E-06
  1.6500E+00  2.9998E-06
  1.7000E+00  2.7281E-06
  1.7500E+00  2.3320E-06
  1.8000E+00  2.2025E-06
  1.8500E+00  1.9284E-06
  1.9000E+00  1.7995E-06
  1.9500E+00  1.5571E-06
  2.0000E+00  1.4609E-06
  2.0500E+00  1.3122E-06
  2.1000E+00  1.2152E-06
  2.1500E+00  1.1358E-06
  2.2000E+00  1.0303E-06
  2.2500E+00  9.7785E-07
  2.3000E+00  8.5079E-07
  2.3500E+00  8.2454E-07
  2.4000E+00  7.6130E-07
  2.4500E+00  7.0472E-07
  2.5000E+00  6.3916E-07
  2.5500E+00  5.9047E-07
  2.6000E+00  5.4824E-07
  2.6500E+00  5.2198E-07
  2.7000E+00  4.8081E-07
  2.7500E+00  4.5445E-07
  2.8000E+00  3.9595E-07
  2.8500E+00  3.8773E-07
  2.9000E+00  3.5816E-07
  2.9500E+00  3.4706E-07
  3.0000E+00  3.0820E-07
  3.0500E+00  2.9347E-07
  3.1000E+00  2.7043E-07
  3.1500E+00  2.7777E-07


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.2866E-01
  5.0000E-02  5.1234E-04
  1.0000E-01  8.8234E-04
  1.5000E-01  6.5714E-04
  2.0000E-01  7.4083E-04
  2.5000E-01  6.7432E-04
  3.0000E-01  4.6347E-04
  3.5000E-01  3.8093E-04
  4.0000E-01  2.7339E-04
  4.5000E-01  2.4780E-04
  5.0000E-01  1.8397E-04
  5.5000E-01  1.6417E-04
  6.0000E-01  1.4337E-04
  6.5000E-01  1.0370E-04
  7.0000E-01  7.5198E-05
  7.5000E-01  5.6714E-05
  8.0000E-01  4.9697E-05
  8.5000E-01  3.8008E-05
  9.0000E-01  2.9692E-05
  9.5000E-01  2.4527E-05
  1.0000E+00  1.9695E-05
  1.0500E+00  1.6840E-05
  1.1000E+00  1.4111E-05
  1.1500E+00  1.1779E-05
  1.2000E+00  9.9552E-06
  1.2500E+00  8.6729E-06
  1.3000E+00  7.6366E-06
  1.3500E+00  6.6413E-06
  1.4000E+00  5.3657E-06
  1.4500E+00  4.8082E-06
  1.5000E+00  4.2948E-06
  1.5500E+00  3.7933E-06
  1.6000E+00  3.3190E-06
  1.6500E+00  2.9984E-06
  1.7000E+00  2.7515E-06
  1.7500E+00  2.5080E-06
  1.8000E+00  2.1834E-06
  1.8500E+00  1.9869E-06
  1.9000E+00  1.8095E-06
  1.9500E+00  1.6460E-06
  2.0000E+00  1.5298E-06
  2.0500E+00  1.3173E-06
  2.1000E+00  1.2368E-06
  2.1500E+00  1.1456E-06
  2.2000E+00  1.0314E-06
  2.2500E+00  9.5366E-07
  2.3000E+00  8.8133E-07
  2.3500E+00  8.0879E-07
  2.4000E+00  7.6024E-07
  2.4500E+00  6.8113E-07
  2.5000E+00  6.2360E-07
  2.5500E+00  5.9562E-07
  2.6000E+00  5.4556E-07
  2.6500E+00  5.1743E-07
  2.7000E+00  4.6873E-07
  2.7500E+00  4.4409E-07
  2.8000E+00  4.2751E-07
  2.8500E+00  3.7999E-07
  2.9000E+00  3.6988E-07
  2.9500E+00  3.3548E-07
  3.0000E+00  3.1549E-07
  3.0500E+00  3.0089E-07
  3.1000E+00  2.7509E-07
  3.1500E+00  2.7324E-07


# kxind = 5, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  5.3456E-02
  5.0000E-02  6.2899E-04
  1.0000E-01  9.0980E-04
  1.5000E-01  1.1702E-03
  2.0000E-01  6.3368E-04
  2.5000E-01  7.0607E-04
  3.0000E-01  4.8915E-04
  3.5000E-01  4.0004E-04
  4.0000E-01  2.7725E-04
  4.5000E-01  2.0366E-04
  5.0000E-01  1.8321E-04
  5.5000E-01  1.5713E-04
  6.0000E-01  1.3767E-04
  6.5000E-01  9.8352E-05
  7.0000E-01  6.9067E-05
  7.5000E-01  5.2860E-05
  8.0000E-01  4.6045E-05
  8.5000E-01  3.5945E-05
  9.0000E-01  2.9258E-05
  9.5000E-01  2.3537E-05
  1.0000E+00  2.1506E-05
  1.0500E+00  1.7604E-05
  1.1000E+00  1.3583E-05
  1.1500E+00  1.1892E-05
  1.2000E+00  9.7522E-06
  1.2500E+00  8.4252E-06
  1.3000E+00  7.3893E-06
  1.3500E+00  6.2377E-06
  1.4000E+00  5.7943E-06
  1.4500E+00  5.0434E-06
  1.5000E+00  4.1719E-06
  1.5500E+00  3.9421E-06
  1.6000E+00  3.5125E-06
  1.6500E+00  3.0682E-06
  1.7000E+00  2.7145E-06
  1.7500E+00  2.3567E-06
  1.8000E+00  2.1490E-06
  1.8500E+00  2.0317E-06
  1.9000E+00  1.7037E-06
  1.9500E+00  1.6538E-06
  2.0000E+00  1.4239E-06
  2.0500E+00  1.3793E-06
  2.1000E+00  1.2820E-06
  2.1500E+00  1.1103E-06
  2.2000E+00  1.0439E-06
  2.2500E+00  9.3149E-07
  2.3000E+00  9.0686E-07
  2.3500E+00  8.1808E-07
  2.4000E+00  7.6668E-07
  2.4500E+00  6.7169E-07
  2.5000E+00  6.1443E-07
  2.5500E+00  6.1094E-07
  2.6000E+00  5.5808E-07
  2.6500E+00  4.9051E-07
  2.7000E+00  4.6667E-07
  2.7500E+00  4.5670E-07
  2.8000E+00  4.0472E-07
  2.8500E+00  3.8356E-07
  2.9000E+00  3.6346E-07
  2.9500E+00  3.3017E-07
  3.0000E+00  3.2264E-07
  3.0500E+00  3.1339E-07
  3.1000E+00  2.8379E-07
  3.1500E+00  2.6756E-07


# kxind = 6, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  8.9946E-02
  5.0000E-02  7.4176E-04
  1.0000E-01  7.0798E-04
  1.5000E-01  8.3163E-04
  2.0000E-01  6.2821E-04
  2.5000E-01  6.4121E-04
  3.0000E-01  4.5919E-04
  3.5000E-01  3.5502E-04
  4.0000E-01  2.8445E-04
  4.5000E-01  2.2511E-04
  5.0000E-01  1.7823E-04
  5.5000E-01  1.5410E-04
  6.0000E-01  1.3827E-04
  6.5000E-01  9.8042E-05
  7.0000E-01  7.2531E-05
  7.5000E-01  5.4365E-05
  8.0000E-01  4.5393E-05
  8.5000E-01  3.5332E-05
  9.0000E-01  2.8580E-05
  9.5000E-01  2.4160E-05
  1.0000E+00  1.9511E-05
  1.0500E+00  1.6346E-05
  1.1000E+00  1.3211E-05
  1.1500E+00  1.1178E-05
  1.2000E+00  9.9804E-06
  1.2500E+00  8.2108E-06
  1.3000E+00  7.0939E-06
  1.3500E+00  6.5179E-06
  1.4000E+00  5.5241E-06
  1.4500E+00  4.8702E-06
  1.5000E+00  4.3032E-06
  1.5500E+00  3.7709E-06
  1.6000E+00  3.3900E-06
  1.6500E+00  3.0797E-06
  1.7000E+00  2.6666E-06
  1.7500E+00  2.4868E-06
  1.8000E+00  2.2609E-06
  1.8500E+00  1.9233E-06
  1.9000E+00  1.8474E-06
  1.9500E+00  1.5992E-06
  2.0000E+00  1.4670E-06
  2.0500E+00  1.3578E-06
  2.1000E+00  1.2034E-06
  2.1500E+00  1.1110E-06
  2.2000E+00  1.0541E-06
  2.2500E+00  9.1898E-07
  2.3000E+00  8.6050E-07
  2.3500E+00  7.9592E-07
  2.4000E+00  7.1279E-07
  2.4500E+00  6.9599E-07
  2.5000E+00  6.1939E-07
  2.5500E+00  5.5789E-07
  2.6000E+00  5.4665E-07
  2.6500E+00  4.9314E-07
  2.7000E+00  4.7473E-07
  2.7500E+00  4.3630E-07
  2.8000E+00  4.0688E-07
  2.8500E+00  3.7364E-07
  2.9000E+00  3.5129E-07
  2.9500E+00  3.4348E-07
  3.0000E+00  3.2784E-07
  3.0500E+00  3.0126E-07
  3.1000E+00  2.8573E-07
  3.1500E+00  2.6457E-07


# kxind = 7, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.4106E-02
  5.0000E-02  4.6044E-04
  1.0000E-01  1.0658E-03
  1.5000E-01  8.8053E-04
  2.0000E-01  7.6660E-04
  2.5000E-01  8.4604E-04
  3.0000E-01  5.1039E-04
  3.5000E-01  4.0200E-04
  4.0000E-01  3.0391E-04
  4.5000E-01  2.0605E-04
  5.0000E-01  1.7508E-04
  5.5000E-01  1.3905E-04
  6.0000E-01  1.1195E-04
  6.5000E-01  9.0160E-05
  7.0000E-01  6.5153E-05
  7.5000E-01  5.2818E-05
  8.0000E-01  4.1967E-05
  8.5000E-01  3.5284E-05
  9.0000E-01  2.8035E-05
  9.5000E-01  2.2664E-05
  1.0000E+00  1.9302E-05
  1.0500E+00  1.6080E-05
  1.1000E+00  1.3959E-05
  1.1500E+00  1.1720E-05
  1.2000E+00  9.9200E-06
  1.2500E+00  8.5598E-06
  1.3000E+00  7.0164E-06
  1.3500E+00  6.2749E-06
  1.4000E+00  5.5553E-06
  1.4500E+00  4.8825E-06
  1.5000E+00  4.2493E-06
  1.5500E+00  3.7100E-06
  1.6000E+00  3.3386E-06
  1.6500E+00  2.9772E-06
  1.7000E+00  2.7209E-06
  1.7500E+00  2.4801E-06
  1.8000E+00  2.1676E-06
  1.8500E+00  1.9036E-06
  1.9000E+00  1.8129E-06
  1.9500E+00  1.6682E-06
  2.0000E+00  1.4983E-06
  2.0500E+00  1.3290E-06
  2.1000E+00  1.2673E-06
  2.1500E+00  1.1844E-06
  2.2000E+00  1.0333E-06
  2.2500E+00  9.1417E-07
  2.3000E+00  8.7028E-07
  2.3500E+00  8.3160E-07
  2.4000E+00  7.2117E-07
  2.4500E+00  6.7554E-07
  2.5000E+00  6.0555E-07
  2.5500E+00  5.8411E-07
  2.6000E+00  5.5807E-07
  2.6500E+00  5.1869E-07
  2.7000E+00  4.7536E-07
  2.7500E+00  4.4228E-07
  2.8000E+00  4.1485E-07
  2.8500E+00  3.8397E-07
  2.9000E+00  3.5213E-07
  2.9500E+00  3.2967E-07
  3.0000E+00  3.2177E-07
  3.0500E+00  2.9335E-07
  3.1000E+00  2.8356E-07
  3.1500E+00  2.6216E-07


# kxind = 8, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.8386E-01
  5.0000E-02  6.4879E-04
  1.0000E-01  1.0613E-03
  1.5000E-01  8.4542E-04
  2.0000E-01  7.3995E-04
  2.5000E-01  6.5918E-04
  3.0000E-01  4.7145E-04
  3.5000E-01  3.4493E-04
  4.0000E-01  2.6795E-04
  4.5000E-01  2.0678E-04
  5.0000E-01  1.6096E-04
  5.5000E-01  1.4207E-04
  6.0000E-01  1.1037E-04
  6.5000E-01  9.7049E-05
  7.0000E-01  6.9506E-05
  7.5000E-01  5.6220E-05
  8.0000E-01  4.2428E-05
  8.5000E-01  3.5483E-05
  9.0000E-01  2.9899E-05
  9.5000E-01  2.4345E-05
  1.0000E+00  2.0835E-05
  1.0500E+00  1.6788E-05
  1.1000E+00  1.4434E-05
  1.1500E+00  1.1789E-05
  1.2000E+00  9.7277E-06
  1.2500E+00  8.7161E-06
  1.3000E+00  7.4209E-06
  1.3500E+00  6.2873E-06
  1.4000E+00  5.4922E-06
  1.4500E+00  4.8222E-06
  1.5000E+00  4.2579E-06
  1.5500E+00  3.7624E-06
  1.6000E+00  3.4145E-06
  1.6500E+00  2.9457E-06
  1.7000E+00  2.7552E-06
  1.7500E+00  2.4162E-06
  1.8000E+00  2.1695E-06
  1.8500E+00  1.9811E-06
  1.9000E+00  1.7922E-06
  1.9500E+00  1.6273E-06
  2.0000E+00  1.4639E-06
  2.0500E+00  1.3602E-06
  2.1000E+00  1.2190E-06
  2.1500E+00  1.1400E-06
  2.2000E+00  1.0217E-06
  2.2500E+00  9.4003E-07
  2.3000E+00  8.6816E-07
  2.3500E+00  7.8765E-07
  2.4000E+00  7.3451E-07
  2.4500E+00  6.9905E-07
  2.5000E+00  6.0258E-07
  2.5500E+00  5.8322E-07
  2.6000E+00  5.3713E-07
  2.6500E+00  4.9663E-07
  2.7000E+00  4.7376E-07
  2.7500E+00  4.4480E-07
  2.8000E+00  4.0689E-07
  2.8500E+00  3.7546E-07
  2.9000E+00  3.5357E-07
  2.9500E+00  3.3022E-07
  3.0000E+00  3.2760E-07
  3.0500E+00  2.9197E-07
  3.1000E+00  2.7441E-07
  3.1500E+00  2.7342E-07


# kxind = 9, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
