# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:38:38 2019
# diag: zonal, run(s): act, time window: 0-1708.4394(316 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt1/
# normalization: L_ref=5.508m
#
# avg. values:
# shearing rate: 0.12453839
#  shear. ra
  1.3841E-09  5.9822E-06  1.5469E-05  1.9469E-04  3.3992E-03  1.0604E-02  1.7538E-02  2.7325E-02  3.4414E-02  3.7999E-02  4.5175E-02  5.0420E-02  4.7172E-02  5.3910E-02  7.0131E-02  9.3733E-02  1.1230E-01  1.2841E-01  1.4206E-01  1.5537E-01  1.7662E-01  1.9097E-01  2.0301E-01  2.1179E-01  2.2656E-01  2.1940E-01  2.0671E-01  1.9365E-01  1.8481E-01  1.7574E-01  1.7046E-01  1.6296E-01  1.5624E-01  1.5528E-01  1.5062E-01  1.4287E-01  1.3716E-01  1.3220E-01  1.3178E-01  1.2768E-01  1.2337E-01  1.3012E-01  1.3967E-01  1.4015E-01  1.3019E-01  1.2597E-01  1.2710E-01  1.2886E-01  1.2467E-01  1.2729E-01  1.3111E-01  1.2691E-01  1.2318E-01  1.1924E-01  1.1891E-01  1.2227E-01  1.2140E-01  1.1640E-01  1.1310E-01  1.1688E-01  1.1828E-01  1.1777E-01  1.2084E-01  1.1866E-01  1.1939E-01  1.1722E-01  1.1546E-01  1.1788E-01  1.2079E-01  1.1764E-01  1.1459E-01  1.1544E-01  1.1831E-01  1.2071E-01  1.2685E-01  1.3068E-01  1.2958E-01  1.2588E-01  1.2530E-01  1.2577E-01  1.2129E-01  1.1914E-01  1.1841E-01  1.1649E-01  1.1673E-01  1.2206E-01  1.2146E-01  1.1979E-01  1.1742E-01  1.1842E-01  1.1996E-01  1.2128E-01  1.2086E-01  1.2875E-01  1.3947E-01  1.4053E-01  1.3889E-01  1.3436E-01  1.3512E-01  1.3595E-01  1.3612E-01  1.3781E-01  1.3791E-01  1.3530E-01  1.2803E-01  1.2553E-01  1.2156E-01  1.1952E-01  1.2458E-01  1.2304E-01  1.2159E-01  1.2313E-01  1.2595E-01  1.2352E-01  1.1998E-01  1.2197E-01  1.2584E-01  1.3174E-01  1.3253E-01  1.3529E-01  1.3497E-01  1.3169E-01  1.3082E-01  1.3012E-01  1.2921E-01  1.2937E-01  1.3152E-01  1.2900E-01  1.2759E-01  1.2474E-01  1.2669E-01  1.2974E-01  1.3229E-01  1.3154E-01  1.2882E-01  1.2375E-01  1.1981E-01  1.1642E-01  1.1824E-01  1.1133E-01  1.1252E-01  1.1990E-01  1.2457E-01  1.2491E-01  1.2377E-01  1.2154E-01  1.1712E-01  1.1515E-01  1.1607E-01  1.1826E-01  1.1929E-01  1.2338E-01  1.2401E-01  1.2092E-01  1.2142E-01  1.2252E-01  1.2479E-01  1.2127E-01  1.2127E-01  1.2497E-01  1.2893E-01  1.2967E-01  1.3200E-01  1.3968E-01  1.3962E-01  1.3993E-01  1.3512E-01  1.3023E-01  1.3476E-01  1.3644E-01  1.3275E-01  1.3001E-01  1.2693E-01  1.2521E-01  1.2819E-01  1.3100E-01  1.3068E-01  1.3310E-01  1.3369E-01  1.3261E-01  1.2539E-01  1.2426E-01  1.2594E-01  1.2958E-01  1.2725E-01  1.2637E-01  1.2424E-01  1.2811E-01  1.2618E-01  1.2166E-01  1.2030E-01  1.2478E-01  1.2998E-01  1.3085E-01  1.3228E-01  1.3542E-01  1.3341E-01  1.2949E-01  1.2330E-01  1.1881E-01  1.1627E-01  1.1720E-01  1.1593E-01  1.1562E-01  1.1685E-01  1.2029E-01  1.2004E-01  1.1762E-01  1.2201E-01  1.2483E-01  1.2683E-01  1.3317E-01  1.3721E-01  1.3841E-01  1.3765E-01  1.3924E-01  1.4236E-01  1.4973E-01  1.4923E-01  1.4276E-01  1.3165E-01  1.2549E-01  1.2278E-01  1.2813E-01  1.3364E-01  1.3128E-01  1.2594E-01  1.2405E-01  1.2202E-01  1.2362E-01  1.2641E-01  1.2803E-01  1.2860E-01  1.2915E-01  1.3236E-01  1.3628E-01  1.4064E-01  1.3838E-01  1.3219E-01  1.2653E-01  1.2675E-01  1.2963E-01  1.2940E-01  1.2743E-01  1.2494E-01  1.2347E-01  1.2398E-01  1.2513E-01  1.2505E-01  1.2354E-01  1.2460E-01  1.2925E-01  1.3067E-01  1.3451E-01  1.3457E-01  1.3105E-01  1.2875E-01  1.2852E-01  1.2945E-01  1.2613E-01  1.2492E-01  1.2611E-01  1.2454E-01  1.2031E-01  1.1657E-01  1.2003E-01  1.2324E-01  1.2245E-01  1.2404E-01  1.3043E-01  1.3394E-01  1.3483E-01  1.3866E-01  1.3807E-01  1.3426E-01  1.3016E-01  1.3112E-01  1.3168E-01  1.3220E-01  1.3106E-01  1.3311E-01  1.3244E-01  1.3060E-01  1.3074E-01  1.2675E-01  1.2873E-01  1.3173E-01  1.2989E-01  1.3045E-01  1.3152E-01  1.2958E-01  1.2788E-01  1.2552E-01  1.2463E-01  1.2052E-01  1.1990E-01  1.2117E-01  1.2579E-01  1.3294E-01  1.3643E-01  1.3774E-01  1.3427E-01  1.2678E-01  1.2377E-01  1.2318E-01  1.2528E-01  1.2292E-01  1.2422E-01  1.2637E-01  1.2464E-01  1.2397E-01  1.2516E-01  1.2317E-01  1.1854E-01  1.1268E-01  1.1607E-01


# averaged over time
#  kx         shear. rat
  8.1078E-03  2.9094E-05
  1.6216E-02  1.0314E-04
  2.4323E-02  1.7032E-04
  3.2431E-02  5.8222E-04
  4.0539E-02  3.1613E-04
  4.8647E-02  6.3031E-04
  5.6755E-02  5.5941E-04
  6.4862E-02  1.6279E-03
  7.2970E-02  9.1389E-04
  8.1078E-02  1.7471E-03
  8.9186E-02  1.4591E-03
  9.7293E-02  4.6221E-03
  1.0540E-01  1.4030E-03
  1.1351E-01  2.3729E-03
  1.2162E-01  2.2569E-03
  1.2972E-01  3.1773E-03
  1.3783E-01  2.9493E-03
  1.4594E-01  2.3026E-03
  1.5405E-01  3.8960E-03
  1.6216E-01  2.9235E-03
  1.7026E-01  3.8601E-03
  1.7837E-01  3.8051E-03
  1.8648E-01  3.6461E-03
  1.9459E-01  2.8844E-03
  2.0269E-01  4.2113E-03
  2.1080E-01  4.6619E-03
  2.1891E-01  4.4040E-03
  2.2702E-01  5.7102E-03
  2.3513E-01  4.1980E-03
  2.4323E-01  4.2621E-03
  2.5134E-01  3.6463E-03
  2.5945E-01  5.2567E-03
  2.6756E-01  4.4755E-03
  2.7566E-01  5.0316E-03
  2.8377E-01  3.7879E-03
  2.9188E-01  4.0267E-03
  2.9999E-01  4.6742E-03
  3.0810E-01  5.2746E-03
  3.1620E-01  4.5807E-03
  3.2431E-01  4.9700E-03
  3.3242E-01  5.3590E-03
  3.4053E-01  5.4033E-03
  3.4863E-01  4.6982E-03
  3.5674E-01  4.8190E-03
  3.6485E-01  6.5071E-03
  3.7296E-01  5.7072E-03
  3.8107E-01  5.3552E-03
  3.8917E-01  5.2258E-03
  3.9728E-01  6.2254E-03
  4.0539E-01  4.5934E-03
  4.1350E-01  5.4114E-03
  4.2160E-01  5.7497E-03
  4.2971E-01  5.8804E-03
  4.3782E-01  5.8941E-03
  4.4593E-01  5.2777E-03
  4.5404E-01  5.6362E-03
  4.6214E-01  6.0637E-03
  4.7025E-01  5.6857E-03
  4.7836E-01  5.2007E-03
  4.8647E-01  5.9379E-03
  4.9457E-01  6.8654E-03
  5.0268E-01  6.0894E-03
  5.1079E-01  6.4310E-03
  5.1890E-01  5.3496E-03
  5.2701E-01  5.7159E-03
  5.3511E-01  5.7018E-03
  5.4322E-01  6.4154E-03
  5.5133E-01  5.8187E-03
  5.5944E-01  5.6302E-03
  5.6755E-01  5.7025E-03
  5.7565E-01  5.6499E-03
  5.8376E-01  6.1819E-03
  5.9187E-01  6.1466E-03
  5.9998E-01  6.3736E-03
  6.0808E-01  6.2777E-03
  6.1619E-01  6.1553E-03
  6.2430E-01  6.3647E-03
  6.3241E-01  5.7128E-03
  6.4052E-01  6.5639E-03
  6.4862E-01  6.1875E-03
  6.5673E-01  5.7143E-03
  6.6484E-01  5.9087E-03
  6.7295E-01  6.1417E-03
  6.8105E-01  6.4340E-03
  6.8916E-01  6.7662E-03
  6.9727E-01  6.3557E-03
  7.0538E-01  6.3764E-03
  7.1349E-01  6.4208E-03
  7.2159E-01  6.7419E-03
  7.2970E-01  6.9940E-03
  7.3781E-01  6.4139E-03
  7.4592E-01  6.8615E-03
  7.5402E-01  5.9687E-03
  7.6213E-01  7.4942E-03
  7.7024E-01  5.9917E-03
  7.7835E-01  7.4792E-03
  7.8646E-01  6.8198E-03
  7.9456E-01  6.1216E-03
  8.0267E-01  6.3261E-03
  8.1078E-01  6.3511E-03
  8.1889E-01  6.4909E-03
  8.2699E-01  6.4894E-03
  8.3510E-01  6.6432E-03
  8.4321E-01  5.7630E-03
  8.5132E-01  6.8232E-03
  8.5943E-01  6.7212E-03
  8.6753E-01  7.1186E-03
  8.7564E-01  6.6047E-03
  8.8375E-01  7.3497E-03
  8.9186E-01  7.0353E-03
  8.9996E-01  6.6012E-03
  9.0807E-01  7.1449E-03
  9.1618E-01  6.3960E-03
  9.2429E-01  6.7775E-03
  9.3240E-01  6.5579E-03
  9.4050E-01  7.0391E-03
  9.4861E-01  6.4118E-03
  9.5672E-01  7.1955E-03
  9.6483E-01  6.4523E-03
  9.7293E-01  7.2606E-03
  9.8104E-01  6.4787E-03
  9.8915E-01  6.3990E-03
  9.9726E-01  7.1803E-03
  1.0054E+00  7.0527E-03
  1.0135E+00  6.9126E-03
  1.0216E+00  6.0755E-03
  1.0297E+00  6.5439E-03
  1.0378E+00  6.2331E-03
  1.0459E+00  6.4977E-03
  1.0540E+00  6.1802E-03
  1.0621E+00  6.3036E-03
  1.0702E+00  6.5901E-03
  1.0783E+00  6.1226E-03
  1.0864E+00  6.7969E-03
  1.0946E+00  6.9642E-03
  1.1027E+00  6.2623E-03
  1.1108E+00  7.0335E-03
  1.1189E+00  7.4175E-03
  1.1270E+00  6.6808E-03
  1.1351E+00  5.6601E-03
  1.1432E+00  5.6992E-03
  1.1513E+00  6.4902E-03
  1.1594E+00  6.5073E-03
  1.1675E+00  6.2629E-03
  1.1756E+00  6.1292E-03
  1.1837E+00  6.2192E-03
  1.1918E+00  6.5180E-03
  1.2000E+00  5.9369E-03
  1.2081E+00  6.1722E-03
  1.2162E+00  6.1156E-03
  1.2243E+00  6.4851E-03
  1.2324E+00  5.6398E-03
  1.2405E+00  6.2130E-03
  1.2486E+00  5.2257E-03
  1.2567E+00  6.0511E-03
  1.2648E+00  5.9432E-03
  1.2729E+00  6.3604E-03
  1.2810E+00  5.7520E-03
  1.2891E+00  5.9794E-03
  1.2972E+00  5.2693E-03
  1.3054E+00  5.4103E-03
  1.3135E+00  6.2179E-03
  1.3216E+00  5.8049E-03
  1.3297E+00  6.3300E-03
  1.3378E+00  5.5599E-03
  1.3459E+00  6.1146E-03
  1.3540E+00  6.1597E-03
  1.3621E+00  6.1243E-03
  1.3702E+00  5.6669E-03
  1.3783E+00  5.5655E-03
  1.3864E+00  5.3417E-03
  1.3945E+00  5.9632E-03
  1.4026E+00  5.6426E-03
  1.4108E+00  4.9488E-03
  1.4189E+00  5.5014E-03
  1.4270E+00  5.6438E-03
  1.4351E+00  5.1635E-03
  1.4432E+00  5.1126E-03
  1.4513E+00  5.7284E-03
  1.4594E+00  5.8775E-03
  1.4675E+00  5.7086E-03
  1.4756E+00  5.1233E-03
  1.4837E+00  5.5636E-03
  1.4918E+00  5.1708E-03
  1.4999E+00  5.1111E-03
  1.5080E+00  5.2817E-03
  1.5162E+00  5.1919E-03
  1.5243E+00  5.2281E-03
  1.5324E+00  5.2766E-03
  1.5405E+00  5.9926E-03
  1.5486E+00  5.1382E-03
