# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:38:38 2019
# diag: zprofile, run(s): act, time window: 0-1708.4394(316 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt1/
# normalization: L_ref=5.508m
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.3688E+00  2.3688E+00
 -3.0925E+00  0.0000E+00  2.3676E+00  2.3676E+00
 -3.0434E+00  0.0000E+00  2.3703E+00  2.3703E+00
 -2.9943E+00  0.0000E+00  2.3650E+00  2.3650E+00
 -2.9452E+00  0.0000E+00  2.3603E+00  2.3603E+00
 -2.8962E+00  0.0000E+00  2.3498E+00  2.3498E+00
 -2.8471E+00  0.0000E+00  2.3389E+00  2.3389E+00
 -2.7980E+00  0.0000E+00  2.3375E+00  2.3375E+00
 -2.7489E+00  0.0000E+00  2.3336E+00  2.3336E+00
 -2.6998E+00  0.0000E+00  2.3347E+00  2.3347E+00
 -2.6507E+00  0.0000E+00  2.3312E+00  2.3312E+00
 -2.6016E+00  0.0000E+00  2.3313E+00  2.3313E+00
 -2.5525E+00  0.0000E+00  2.3349E+00  2.3349E+00
 -2.5035E+00  0.0000E+00  2.3394E+00  2.3394E+00
 -2.4544E+00  0.0000E+00  2.3487E+00  2.3487E+00
 -2.4053E+00  0.0000E+00  2.3528E+00  2.3528E+00
 -2.3562E+00  0.0000E+00  2.3584E+00  2.3584E+00
 -2.3071E+00  0.0000E+00  2.3592E+00  2.3592E+00
 -2.2580E+00  0.0000E+00  2.3613E+00  2.3613E+00
 -2.2089E+00  0.0000E+00  2.3623E+00  2.3623E+00
 -2.1598E+00  0.0000E+00  2.3647E+00  2.3647E+00
 -2.1108E+00  0.0000E+00  2.3670E+00  2.3670E+00
 -2.0617E+00  0.0000E+00  2.3703E+00  2.3703E+00
 -2.0126E+00  0.0000E+00  2.3748E+00  2.3748E+00
 -1.9635E+00  0.0000E+00  2.3787E+00  2.3787E+00
 -1.9144E+00  0.0000E+00  2.3836E+00  2.3836E+00
 -1.8653E+00  0.0000E+00  2.3877E+00  2.3877E+00
 -1.8162E+00  0.0000E+00  2.3877E+00  2.3877E+00
 -1.7671E+00  0.0000E+00  2.3811E+00  2.3811E+00
 -1.7181E+00  0.0000E+00  2.3832E+00  2.3832E+00
 -1.6690E+00  0.0000E+00  2.3814E+00  2.3814E+00
 -1.6199E+00  0.0000E+00  2.3817E+00  2.3817E+00
 -1.5708E+00  0.0000E+00  2.3851E+00  2.3851E+00
 -1.5217E+00  0.0000E+00  2.3825E+00  2.3825E+00
 -1.4726E+00  0.0000E+00  2.3802E+00  2.3802E+00
 -1.4235E+00  0.0000E+00  2.3723E+00  2.3723E+00
 -1.3744E+00  0.0000E+00  2.3707E+00  2.3707E+00
 -1.3254E+00  0.0000E+00  2.3669E+00  2.3669E+00
 -1.2763E+00  0.0000E+00  2.3708E+00  2.3708E+00
 -1.2272E+00  0.0000E+00  2.3747E+00  2.3747E+00
 -1.1781E+00  0.0000E+00  2.3798E+00  2.3798E+00
 -1.1290E+00  0.0000E+00  2.3884E+00  2.3884E+00
