# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:53:26 2019
# diag: zonal, run(s): act, time window: 0-902.10218(169 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt2/
# normalization: L_T,ions
#
# avg. values:
# shearing rate: 0.15119976
#  shear. ra
  6.9206E-10  6.6814E-06  2.1680E-05  5.8238E-05  2.5143E-04  1.3729E-03  7.7495E-03  1.8260E-02  2.5647E-02  3.0809E-02  3.6249E-02  4.4031E-02  4.6121E-02  4.9029E-02  5.4427E-02  6.0554E-02  6.4152E-02  6.8860E-02  7.0644E-02  7.9177E-02  8.5930E-02  8.8511E-02  9.0909E-02  9.4475E-02  1.0077E-01  1.0701E-01  1.1359E-01  1.1953E-01  1.2585E-01  1.3107E-01  1.3470E-01  1.3798E-01  1.4168E-01  1.4732E-01  1.4695E-01  1.4568E-01  1.4952E-01  1.5317E-01  1.5484E-01  1.5405E-01  1.5688E-01  1.5896E-01  1.6285E-01  1.6727E-01  1.6624E-01  1.5985E-01  1.5732E-01  1.5425E-01  1.5978E-01  1.6664E-01  1.6768E-01  1.6658E-01  1.6350E-01  1.5790E-01  1.5030E-01  1.4827E-01  1.4766E-01  1.5198E-01  1.5397E-01  1.5673E-01  1.6013E-01  1.5791E-01  1.5598E-01  1.5555E-01  1.5280E-01  1.5057E-01  1.4665E-01  1.4406E-01  1.4205E-01  1.4025E-01  1.4193E-01  1.4542E-01  1.5280E-01  1.5190E-01  1.4969E-01  1.4942E-01  1.5094E-01  1.5638E-01  1.5685E-01  1.5676E-01  1.5831E-01  1.6324E-01  1.6638E-01  1.7067E-01  1.6879E-01  1.6646E-01  1.5782E-01  1.5942E-01  1.6850E-01  1.7710E-01  1.7323E-01  1.6513E-01  1.6898E-01  1.6415E-01  1.6217E-01  1.6314E-01  1.6164E-01  1.6299E-01  1.6293E-01  1.6404E-01  1.6936E-01  1.6955E-01  1.7604E-01  1.7706E-01  1.6878E-01  1.6770E-01  1.7493E-01  1.7957E-01  1.7610E-01  1.6804E-01  1.6378E-01  1.6263E-01  1.6676E-01  1.7192E-01  1.7606E-01  1.7893E-01  1.8067E-01  1.8440E-01  1.7927E-01  1.7395E-01  1.6751E-01  1.6209E-01  1.7086E-01  1.8074E-01  1.8803E-01  1.7651E-01  1.6743E-01  1.6423E-01  1.6963E-01  1.7574E-01  1.7191E-01  1.7316E-01  1.7679E-01  1.7291E-01  1.6970E-01  1.7936E-01  1.8972E-01  1.8151E-01  1.7822E-01  1.7670E-01  1.7298E-01  1.7177E-01  1.7427E-01  1.7367E-01  1.7192E-01  1.7378E-01  1.7593E-01  1.6385E-01  1.5537E-01  1.5108E-01  1.6414E-01  1.7337E-01  1.7599E-01  1.7381E-01  1.7221E-01  1.7211E-01  1.6842E-01  1.7043E-01  1.7538E-01  1.7692E-01  1.7505E-01  1.6592E-01  1.6285E-01  1.6252E-01  1.6230E-01  1.6870E-01  1.7497E-01  1.7517E-01  1.8018E-01


# averaged over time
#  kx         shear. rat
  8.1078E-03  3.4513E-05
  1.6216E-02  1.5165E-04
  2.4323E-02  7.7327E-05
  3.2431E-02  3.6719E-04
  4.0539E-02  2.4759E-04
  4.8647E-02  3.9681E-04
  5.6755E-02  8.9025E-04
  6.4862E-02  5.2714E-04
  7.2970E-02  1.0705E-03
  8.1078E-02  7.3174E-04
  8.9186E-02  1.2528E-03
  9.7293E-02  1.8956E-03
  1.0540E-01  1.9527E-03
  1.1351E-01  2.1051E-03
  1.2162E-01  2.1019E-03
  1.2972E-01  1.8554E-03
  1.3783E-01  2.5070E-03
  1.4594E-01  4.7315E-03
  1.5405E-01  3.6174E-03
  1.6216E-01  4.8071E-03
  1.7026E-01  4.7316E-03
  1.7837E-01  5.1798E-03
  1.8648E-01  4.1718E-03
  1.9459E-01  3.0071E-03
  2.0269E-01  3.8120E-03
  2.1080E-01  3.4733E-03
  2.1891E-01  2.6737E-03
  2.2702E-01  3.9601E-03
  2.3513E-01  3.0194E-03
  2.4323E-01  2.8741E-03
  2.5134E-01  3.8268E-03
  2.5945E-01  3.7034E-03
  2.6756E-01  2.6582E-03
  2.7566E-01  3.3223E-03
  2.8377E-01  3.4557E-03
  2.9188E-01  3.5144E-03
  2.9999E-01  4.1322E-03
  3.0810E-01  3.4292E-03
  3.1620E-01  4.8681E-03
  3.2431E-01  4.5786E-03
  3.3242E-01  3.8542E-03
  3.4053E-01  4.3518E-03
  3.4863E-01  3.9894E-03
  3.5674E-01  4.4556E-03
  3.6485E-01  4.2602E-03
  3.7296E-01  4.6444E-03
  3.8107E-01  4.1856E-03
  3.8917E-01  4.7504E-03
  3.9728E-01  4.1202E-03
  4.0539E-01  5.3594E-03
  4.1350E-01  4.9749E-03
  4.2160E-01  5.3308E-03
  4.2971E-01  6.4382E-03
  4.3782E-01  5.5863E-03
  4.4593E-01  5.2854E-03
  4.5404E-01  4.8743E-03
  4.6214E-01  4.8930E-03
  4.7025E-01  5.4157E-03
  4.7836E-01  5.6542E-03
  4.8647E-01  7.1772E-03
  4.9457E-01  6.4780E-03
  5.0268E-01  7.0398E-03
  5.1079E-01  6.3870E-03
  5.1890E-01  7.3035E-03
  5.2701E-01  6.3968E-03
  5.3511E-01  6.9937E-03
  5.4322E-01  7.2672E-03
  5.5133E-01  5.9907E-03
  5.5944E-01  6.4205E-03
  5.6755E-01  8.8505E-03
  5.7565E-01  6.8137E-03
  5.8376E-01  7.6691E-03
  5.9187E-01  6.9558E-03
  5.9998E-01  7.1879E-03
  6.0808E-01  7.8762E-03
  6.1619E-01  5.8993E-03
  6.2430E-01  7.2314E-03
  6.3241E-01  7.4995E-03
  6.4052E-01  6.9802E-03
  6.4862E-01  7.4438E-03
  6.5673E-01  7.1883E-03
  6.6484E-01  7.1371E-03
  6.7295E-01  8.1439E-03
  6.8105E-01  8.9654E-03
  6.8916E-01  7.1581E-03
  6.9727E-01  7.8123E-03
  7.0538E-01  8.9175E-03
  7.1349E-01  8.4384E-03
  7.2159E-01  7.4870E-03
  7.2970E-01  6.8666E-03
