# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 11:54:54 2019
# diag: nrgsummary, run(s): act, time window: 0-1709.2536(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt3/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00 -1.1011E-21 -1.9732E-21 -6.3507E-23
  1.8912E+00  1.3953E-19  2.7500E-02 -9.6361E-08
  3.7824E+00  2.0753E-19  5.5862E-02 -5.8363E-07
  5.5707E+00 -6.1883E-20  8.3932E-02 -1.7409E-06
  7.2974E+00  1.7108E-19  1.1224E-01 -4.8899E-06
  8.9308E+00  2.6446E-19  1.4011E-01 -1.1666E-05
  1.0512E+01  2.7323E-19  1.6824E-01 -2.3058E-05
  1.2025E+01 -6.8377E-19  1.9660E-01 -3.8678E-05
  1.3482E+01  2.0441E-18  2.2587E-01 -5.7723E-05
  1.4916E+01  1.2812E-18  2.5724E-01 -7.9740E-05
  1.6270E+01  3.2901E-19  2.9001E-01 -1.0315E-04
  1.7569E+01 -1.2611E-18  3.2509E-01 -1.2788E-04
  1.8828E+01 -2.3278E-19  3.6326E-01 -1.5401E-04
  2.0048E+01  1.1076E-20  4.0489E-01 -1.8143E-04
  2.1233E+01  2.4513E-18  4.5052E-01 -2.1016E-04
  2.2362E+01  1.6810E-18  4.9932E-01 -2.3930E-04
  2.3454E+01  1.1730E-18  5.5224E-01 -2.6903E-04
  2.4513E+01 -2.4663E-18  6.0946E-01 -2.9899E-04
  2.5533E+01  9.1008E-19  6.7071E-01 -3.2850E-04
  2.6516E+01  7.1396E-18  7.3598E-01 -3.5706E-04
  2.7473E+01 -4.2633E-18  8.0587E-01 -3.8437E-04
  2.8399E+01  5.1423E-18  8.7994E-01 -4.0969E-04
  2.9282E+01  1.2652E-18  9.5700E-01 -4.3218E-04
  3.0151E+01  4.1323E-18  1.0394E+00 -4.5196E-04
  3.0989E+01  1.2259E-18  1.1252E+00 -4.6802E-04
  3.1785E+01 -9.1574E-18  1.2129E+00 -4.7974E-04
  3.2580E+01  7.5007E-18  1.3069E+00 -4.8714E-04
  3.3340E+01 -1.7332E-18  1.4029E+00 -4.8928E-04
  3.4067E+01  3.0107E-18  1.5007E+00 -4.8588E-04
  3.4783E+01  3.1752E-18  1.6027E+00 -4.7637E-04
  3.5476E+01  3.4541E-18  1.7072E+00 -4.6033E-04
  3.6152E+01  4.5441E-18  1.8144E+00 -4.3723E-04
  3.6796E+01  3.8199E-18  1.9218E+00 -4.0741E-04
  3.7419E+01  1.8772E-17  2.0307E+00 -3.7036E-04
  3.8029E+01 -1.7170E-17  2.1418E+00 -3.2549E-04
  3.8633E+01 -7.0096E-18  2.2563E+00 -2.7194E-04
  3.9212E+01  6.9054E-18  2.3704E+00 -2.1144E-04
  3.9761E+01 -1.5199E-17  2.4823E+00 -1.4539E-04
  4.0297E+01 -7.4540E-18  2.5956E+00 -7.1423E-05
  4.0816E+01  4.2896E-18  2.7083E+00  1.2822E-05
  4.1322E+01 -7.6549E-18  2.8213E+00  1.2390E-04
  4.1796E+01 -5.8133E-20  2.9300E+00  3.1570E-04
  4.2201E+01 -6.1061E-19  3.0247E+00  6.7290E-04
  4.2542E+01  3.5212E-18  3.1059E+00  1.1943E-03
  4.2853E+01 -1.9021E-17  3.1807E+00  1.7699E-03
  4.3163E+01  3.0920E-17  3.2563E+00  2.3340E-03
  4.3473E+01  2.5014E-17  3.3329E+00  2.8111E-03
  4.3756E+01 -9.8563E-18  3.4034E+00  3.1060E-03
  4.4026E+01 -5.2766E-17  3.4716E+00  3.2562E-03
  4.4286E+01 -3.0052E-17  3.5378E+00  3.3259E-03
  4.4545E+01 -1.6540E-17  3.6046E+00  3.3047E-03
  4.4805E+01 -9.6717E-18  3.6723E+00  3.2806E-03
  4.5065E+01 -5.2538E-18  3.7404E+00  3.1993E-03
  4.5325E+01  1.4687E-17  3.8089E+00  3.0164E-03
  4.5583E+01 -8.2410E-18  3.8771E+00  2.9882E-03
  4.5829E+01  1.9916E-17  3.9421E+00  3.3434E-03
  4.6075E+01 -3.0623E-17  4.0070E+00  3.5709E-03
  4.6321E+01 -7.5989E-18  4.0721E+00  3.9562E-03
  4.6567E+01  7.6417E-18  4.1368E+00  4.5954E-03
  4.6805E+01 -5.8726E-18  4.1981E+00  5.2544E-03
  4.7038E+01 -2.3350E-17  4.2577E+00  5.9778E-03
  4.7266E+01  7.0950E-18  4.3159E+00  6.2717E-03
  4.7487E+01  3.1893E-17  4.3714E+00  6.4956E-03
  4.7707E+01  4.5294E-17  4.4258E+00  6.9819E-03
  4.7914E+01 -5.2203E-18  4.4766E+00  8.3884E-03
  4.8112E+01  3.0669E-17  4.5237E+00  9.8796E-03
  4.8310E+01 -5.8669E-18  4.5696E+00  1.1259E-02
  4.8507E+01 -6.4390E-18  4.6148E+00  1.3254E-02
  4.8694E+01  2.2387E-17  4.6564E+00  1.5026E-02
  4.8871E+01 -3.2296E-17  4.6944E+00  1.6673E-02
  4.9047E+01  6.3964E-18  4.7321E+00  1.8063E-02
  4.9224E+01  3.0311E-17  4.7681E+00  1.9947E-02
  4.9400E+01 -2.0389E-17  4.8024E+00  2.1769E-02
  4.9577E+01  1.1253E-17  4.8356E+00  2.4730E-02
  4.9753E+01  2.8967E-17  4.8670E+00  2.8190E-02
  4.9921E+01 -3.2430E-19  4.8938E+00  3.0483E-02
  5.0087E+01  1.5300E-17  4.9189E+00  3.1728E-02
  5.0254E+01  3.2743E-17  4.9416E+00  3.3010E-02
  5.0420E+01  7.8324E-18  4.9601E+00  3.5018E-02
  5.0578E+01  2.2341E-17  4.9753E+00  3.6813E-02
  5.0736E+01  3.6887E-18  4.9904E+00  3.7074E-02
  5.0894E+01 -1.9081E-18  5.0022E+00  3.7883E-02
  5.1051E+01 -6.6912E-18  5.0086E+00  3.9193E-02
  5.1209E+01  3.4614E-17  5.0102E+00  3.9459E-02
  5.1367E+01  1.8300E-17  5.0091E+00  3.9901E-02
  5.1525E+01 -1.0735E-17  5.0057E+00  4.0627E-02
  5.1683E+01 -1.3968E-18  5.0006E+00  4.1072E-02
  5.1841E+01 -2.8629E-17  4.9934E+00  4.3517E-02
  5.1998E+01  2.8460E-17  4.9843E+00  4.4673E-02
  5.2151E+01  3.3019E-17  4.9713E+00  4.5951E-02
  5.2298E+01  3.4250E-17  4.9586E+00  4.5844E-02
  5.2439E+01  2.0691E-17  4.9444E+00  4.5923E-02
  5.2580E+01 -6.7043E-19  4.9274E+00  4.6561E-02
  5.2722E+01 -1.8584E-17  4.9078E+00  4.6179E-02
  5.2861E+01 -2.1263E-17  4.8860E+00  4.6129E-02
  5.2995E+01  3.6051E-18  4.8676E+00  4.7237E-02
  5.3129E+01 -1.2317E-17  4.8461E+00  4.6599E-02
  5.3263E+01  3.0033E-17  4.8199E+00  4.6224E-02
  5.3397E+01 -2.8690E-17  4.7867E+00  4.7148E-02
  5.3531E+01 -9.2112E-18  4.7512E+00  4.6806E-02
  5.3666E+01 -1.0101E-17  4.7137E+00  4.6073E-02
  5.3800E+01 -4.0897E-18  4.6773E+00  4.3749E-02
  5.3934E+01 -5.8103E-18  4.6369E+00  4.0023E-02
  5.4068E+01 -5.9936E-18  4.5934E+00  3.6892E-02
  5.4202E+01  1.2549E-17  4.5474E+00  3.4591E-02
  5.4336E+01  1.5738E-17  4.4996E+00  3.2703E-02
  5.4470E+01  1.8123E-17  4.4456E+00  3.2733E-02
  5.4604E+01  5.4213E-17  4.3892E+00  3.1100E-02
  5.4738E+01  3.0212E-17  4.3372E+00  2.9336E-02
  5.4872E+01  3.9849E-17  4.2838E+00  2.8749E-02
  5.5006E+01  3.1959E-17  4.2222E+00  2.7259E-02
  5.5135E+01 -1.1924E-17  4.1607E+00  2.4442E-02
  5.5262E+01  2.4246E-17  4.0999E+00  2.0587E-02
  5.5389E+01  3.8577E-18  4.0436E+00  1.7169E-02
  5.5515E+01 -4.2009E-18  3.9874E+00  1.5956E-02
  5.5642E+01 -1.8712E-17  3.9303E+00  1.4958E-02
  5.5769E+01  1.7813E-17  3.8759E+00  1.3729E-02
  5.5896E+01 -4.9887E-18  3.8228E+00  1.2912E-02
  5.6022E+01 -2.3313E-17  3.7691E+00  1.2874E-02
  5.6149E+01  2.0631E-17  3.7163E+00  1.1388E-02
  5.6276E+01  2.9688E-17  3.6601E+00  1.0697E-02
  5.6402E+01 -1.7539E-17  3.6044E+00  7.9868E-03
  5.6529E+01  3.3439E-17  3.5517E+00  6.3520E-03
  5.6656E+01 -9.9462E-18  3.4950E+00  7.1733E-03
  5.6782E+01  1.8607E-17  3.4369E+00  6.8869E-03
  5.6909E+01  1.0491E-17  3.3821E+00  4.2772E-03
  5.7036E+01 -4.2021E-17  3.3288E+00  1.0664E-03
  5.7162E+01 -1.1790E-17  3.2753E+00  3.9684E-05
  5.7289E+01  1.5194E-17  3.2249E+00 -1.8294E-03
  5.7416E+01 -1.2089E-17  3.1789E+00 -4.6151E-03
  5.7542E+01 -8.9096E-18  3.1321E+00 -6.4719E-03
  5.7669E+01  8.0361E-18  3.0856E+00 -5.8130E-03
  5.7796E+01  2.2601E-18  3.0429E+00 -5.4510E-03
  5.7922E+01 -5.3048E-19  3.0021E+00 -5.0844E-03
  5.8049E+01  2.9630E-17  2.9639E+00 -3.9208E-03
  5.8176E+01  3.9134E-18  2.9256E+00 -2.5676E-03
  5.8303E+01  1.5823E-17  2.8886E+00 -2.8128E-03
  5.8429E+01  1.0611E-17  2.8518E+00 -5.0559E-03
  5.8556E+01  1.2726E-17  2.8169E+00 -5.9573E-03
  5.8683E+01  1.9923E-17  2.7836E+00 -4.7252E-03
  5.8809E+01 -2.3238E-18  2.7494E+00 -5.0334E-03
  5.8936E+01  5.4280E-18  2.7184E+00 -7.3602E-03
  5.9063E+01 -1.7510E-19  2.6930E+00 -8.4392E-03
  5.9189E+01  9.5192E-18  2.6639E+00 -7.3163E-03
  5.9316E+01  1.7673E-17  2.6339E+00 -6.2982E-03
