# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:02:26 2019
# diag: spectra, run(s): act, time window: 0-1704.0453(320 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt3/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  8.1532E-04
  1.0000E-01  9.8320E-04
  1.5000E-01  8.5361E-04
  2.0000E-01  9.2572E-04
  2.5000E-01  9.3895E-04
  3.0000E-01  1.1941E-03
  3.5000E-01  1.2016E-03
  4.0000E-01  1.2863E-03
  4.5000E-01  1.4398E-03
  5.0000E-01  1.4402E-03
  5.5000E-01  1.5666E-03
  6.0000E-01  1.6987E-03
  6.5000E-01  1.6541E-03
  7.0000E-01  1.6663E-03
  7.5000E-01  1.3748E-03
  8.0000E-01  1.0375E-03
  8.5000E-01  7.3388E-04
  9.0000E-01  5.1151E-04
  9.5000E-01  3.6146E-04
  1.0000E+00  2.4696E-04
  1.0500E+00  1.7168E-04
  1.1000E+00  1.1233E-04
  1.1500E+00  7.9761E-05
  1.2000E+00  5.6869E-05
  1.2500E+00  4.3961E-05
  1.3000E+00  3.5083E-05
  1.3500E+00  2.8720E-05
  1.4000E+00  2.5710E-05
  1.4500E+00  2.2939E-05
  1.5000E+00  2.0288E-05
  1.5500E+00  1.7953E-05
  1.6000E+00  1.5700E-05
  1.6500E+00  1.4052E-05
  1.7000E+00  1.2716E-05
  1.7500E+00  1.1980E-05
  1.8000E+00  1.0525E-05
  1.8500E+00  9.5648E-06
  1.9000E+00  8.9271E-06
  1.9500E+00  7.7526E-06
  2.0000E+00  7.3889E-06
  2.0500E+00  6.8088E-06
  2.1000E+00  6.3311E-06
  2.1500E+00  5.8046E-06
  2.2000E+00  5.3615E-06
  2.2500E+00  4.8721E-06
  2.3000E+00  4.4304E-06
  2.3500E+00  3.9738E-06
  2.4000E+00  3.5823E-06
  2.4500E+00  3.3458E-06
  2.5000E+00  3.2492E-06
  2.5500E+00  2.8778E-06
  2.6000E+00  2.6511E-06
  2.6500E+00  2.5390E-06
  2.7000E+00  2.4287E-06
  2.7500E+00  2.1849E-06
  2.8000E+00  2.0347E-06
  2.8500E+00  1.9397E-06
  2.9000E+00  1.8378E-06
  2.9500E+00  1.7248E-06
  3.0000E+00  1.6647E-06
  3.0500E+00  1.5230E-06
  3.1000E+00  1.4904E-06
  3.1500E+00  1.4971E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.9139E-01
  5.0000E-02  2.3415E-03
  1.0000E-01  1.7061E-03
  1.5000E-01  1.5612E-03
  2.0000E-01  1.4375E-03
  2.5000E-01  1.3215E-03
  3.0000E-01  1.2640E-03
  3.5000E-01  1.1791E-03
  4.0000E-01  1.3566E-03
  4.5000E-01  1.0757E-03
  5.0000E-01  9.5902E-04
  5.5000E-01  1.1568E-03
  6.0000E-01  1.1984E-03
  6.5000E-01  1.1970E-03
  7.0000E-01  1.2031E-03
  7.5000E-01  1.0225E-03
  8.0000E-01  7.8048E-04
  8.5000E-01  5.6107E-04
  9.0000E-01  4.0958E-04
  9.5000E-01  2.9840E-04
  1.0000E+00  2.1194E-04
  1.0500E+00  1.5216E-04
  1.1000E+00  1.0921E-04
  1.1500E+00  7.9538E-05
  1.2000E+00  6.0270E-05
  1.2500E+00  4.8581E-05
  1.3000E+00  3.9962E-05
  1.3500E+00  3.4372E-05
  1.4000E+00  2.8848E-05
  1.4500E+00  2.5683E-05
  1.5000E+00  2.2970E-05
  1.5500E+00  1.9484E-05
  1.6000E+00  1.7576E-05
  1.6500E+00  1.5466E-05
  1.7000E+00  1.3788E-05
  1.7500E+00  1.2356E-05
  1.8000E+00  1.1324E-05
  1.8500E+00  9.8978E-06
  1.9000E+00  9.2252E-06
  1.9500E+00  8.2410E-06
  2.0000E+00  7.6989E-06
  2.0500E+00  7.2585E-06
  2.1000E+00  6.5952E-06
  2.1500E+00  6.0560E-06
  2.2000E+00  5.6885E-06
  2.2500E+00  5.2500E-06
  2.3000E+00  4.5327E-06
  2.3500E+00  4.1117E-06
  2.4000E+00  3.8266E-06
  2.4500E+00  3.3846E-06
  2.5000E+00  3.2347E-06
  2.5500E+00  2.9648E-06
  2.6000E+00  2.7945E-06
  2.6500E+00  2.5395E-06
  2.7000E+00  2.4566E-06
  2.7500E+00  2.2989E-06
  2.8000E+00  2.0774E-06
  2.8500E+00  1.9663E-06
  2.9000E+00  1.7959E-06
  2.9500E+00  1.7652E-06
  3.0000E+00  1.6472E-06
  3.0500E+00  1.5784E-06
  3.1000E+00  1.5002E-06
  3.1500E+00  1.4954E-06


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.6601E-01
  5.0000E-02  1.4224E-03
  1.0000E-01  1.2202E-03
  1.5000E-01  1.2476E-03
  2.0000E-01  1.1496E-03
  2.5000E-01  1.1483E-03
  3.0000E-01  1.3296E-03
  3.5000E-01  1.1547E-03
  4.0000E-01  1.0717E-03
  4.5000E-01  9.3091E-04
  5.0000E-01  8.4251E-04
  5.5000E-01  7.9895E-04
  6.0000E-01  6.0351E-04
  6.5000E-01  5.7109E-04
  7.0000E-01  5.2635E-04
  7.5000E-01  4.3878E-04
  8.0000E-01  3.1619E-04
  8.5000E-01  2.5517E-04
  9.0000E-01  2.0643E-04
  9.5000E-01  1.7186E-04
  1.0000E+00  1.3439E-04
  1.0500E+00  1.0614E-04
  1.1000E+00  8.6858E-05
  1.1500E+00  7.3021E-05
  1.2000E+00  6.0691E-05
  1.2500E+00  4.9596E-05
  1.3000E+00  4.1311E-05
  1.3500E+00  3.5632E-05
  1.4000E+00  2.9485E-05
  1.4500E+00  2.5685E-05
  1.5000E+00  2.3188E-05
  1.5500E+00  2.0470E-05
  1.6000E+00  1.7049E-05
  1.6500E+00  1.6024E-05
  1.7000E+00  1.3426E-05
  1.7500E+00  1.2299E-05
  1.8000E+00  1.0547E-05
  1.8500E+00  9.5860E-06
  1.9000E+00  8.9872E-06
  1.9500E+00  8.3345E-06
  2.0000E+00  7.5123E-06
  2.0500E+00  6.9139E-06
  2.1000E+00  6.3909E-06
  2.1500E+00  5.9809E-06
  2.2000E+00  5.5223E-06
  2.2500E+00  4.9828E-06
  2.3000E+00  4.4910E-06
  2.3500E+00  4.2226E-06
  2.4000E+00  3.8258E-06
  2.4500E+00  3.4677E-06
  2.5000E+00  3.1899E-06
  2.5500E+00  3.0836E-06
  2.6000E+00  2.7806E-06
  2.6500E+00  2.6152E-06
  2.7000E+00  2.4299E-06
  2.7500E+00  2.2379E-06
  2.8000E+00  2.1425E-06
  2.8500E+00  1.9944E-06
  2.9000E+00  1.8277E-06
  2.9500E+00  1.7841E-06
  3.0000E+00  1.6116E-06
  3.0500E+00  1.5780E-06
  3.1000E+00  1.5337E-06
  3.1500E+00  1.4886E-06


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.3600E-01
  5.0000E-02  1.6296E-03
  1.0000E-01  1.0337E-03
  1.5000E-01  8.9105E-04
  2.0000E-01  8.5666E-04
  2.5000E-01  8.5202E-04
  3.0000E-01  8.6845E-04
  3.5000E-01  9.5579E-04
  4.0000E-01  8.8098E-04
  4.5000E-01  9.9190E-04
  5.0000E-01  8.2169E-04
  5.5000E-01  7.5504E-04
  6.0000E-01  5.6253E-04
  6.5000E-01  4.4383E-04
  7.0000E-01  3.6967E-04
  7.5000E-01  2.8232E-04
  8.0000E-01  2.1502E-04
  8.5000E-01  1.5974E-04
  9.0000E-01  1.3514E-04
  9.5000E-01  1.0889E-04
  1.0000E+00  9.5441E-05
  1.0500E+00  7.5430E-05
  1.1000E+00  6.7223E-05
  1.1500E+00  5.7096E-05
  1.2000E+00  4.8610E-05
  1.2500E+00  4.3735E-05
  1.3000E+00  3.6261E-05
  1.3500E+00  3.2015E-05
  1.4000E+00  2.8554E-05
  1.4500E+00  2.5139E-05
  1.5000E+00  2.1554E-05
  1.5500E+00  1.8469E-05
  1.6000E+00  1.6359E-05
  1.6500E+00  1.4517E-05
  1.7000E+00  1.3157E-05
  1.7500E+00  1.1456E-05
  1.8000E+00  1.0875E-05
  1.8500E+00  9.9718E-06
  1.9000E+00  8.5787E-06
  1.9500E+00  8.0427E-06
  2.0000E+00  7.2032E-06
  2.0500E+00  6.3693E-06
  2.1000E+00  6.1213E-06
  2.1500E+00  5.7560E-06
  2.2000E+00  5.3617E-06
  2.2500E+00  4.8947E-06
  2.3000E+00  4.4265E-06
  2.3500E+00  4.0406E-06
  2.4000E+00  3.8935E-06
  2.4500E+00  3.4527E-06
  2.5000E+00  3.1531E-06
  2.5500E+00  2.9759E-06
  2.6000E+00  2.7775E-06
  2.6500E+00  2.6335E-06
  2.7000E+00  2.3716E-06
  2.7500E+00  2.2788E-06
  2.8000E+00  2.0625E-06
  2.8500E+00  1.9849E-06
  2.9000E+00  1.8495E-06
  2.9500E+00  1.7431E-06
  3.0000E+00  1.6154E-06
  3.0500E+00  1.5680E-06
  3.1000E+00  1.4792E-06
  3.1500E+00  1.5224E-06


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.1111E-01
  5.0000E-02  1.1069E-03
  1.0000E-01  9.1257E-04
  1.5000E-01  9.4861E-04
  2.0000E-01  8.8589E-04
  2.5000E-01  8.0698E-04
  3.0000E-01  8.0674E-04
  3.5000E-01  9.1255E-04
  4.0000E-01  8.3357E-04
  4.5000E-01  8.4191E-04
  5.0000E-01  6.9900E-04
  5.5000E-01  6.4615E-04
  6.0000E-01  4.3305E-04
  6.5000E-01  4.4032E-04
  7.0000E-01  3.2632E-04
  7.5000E-01  2.8138E-04
  8.0000E-01  2.0257E-04
  8.5000E-01  1.5128E-04
  9.0000E-01  1.1558E-04
  9.5000E-01  9.7582E-05
  1.0000E+00  8.1273E-05
  1.0500E+00  6.4432E-05
  1.1000E+00  5.8714E-05
  1.1500E+00  4.8661E-05
  1.2000E+00  4.1965E-05
  1.2500E+00  3.5944E-05
  1.3000E+00  3.1722E-05
  1.3500E+00  2.7474E-05
  1.4000E+00  2.4775E-05
  1.4500E+00  2.2562E-05
  1.5000E+00  1.9066E-05
  1.5500E+00  1.7436E-05
  1.6000E+00  1.5428E-05
  1.6500E+00  1.4002E-05
  1.7000E+00  1.2131E-05
  1.7500E+00  1.1436E-05
  1.8000E+00  1.0205E-05
  1.8500E+00  9.2778E-06
  1.9000E+00  8.5317E-06
  1.9500E+00  7.7098E-06
  2.0000E+00  6.9886E-06
  2.0500E+00  6.3195E-06
  2.1000E+00  5.9354E-06
  2.1500E+00  5.5108E-06
  2.2000E+00  5.1034E-06
  2.2500E+00  4.6233E-06
  2.3000E+00  4.2983E-06
  2.3500E+00  3.9119E-06
  2.4000E+00  3.6302E-06
  2.4500E+00  3.4970E-06
  2.5000E+00  3.1988E-06
  2.5500E+00  2.9508E-06
  2.6000E+00  2.7940E-06
  2.6500E+00  2.6237E-06
  2.7000E+00  2.3508E-06
  2.7500E+00  2.2684E-06
  2.8000E+00  2.0517E-06
  2.8500E+00  1.9358E-06
  2.9000E+00  1.8144E-06
  2.9500E+00  1.7678E-06
  3.0000E+00  1.6245E-06
  3.0500E+00  1.5802E-06
  3.1000E+00  1.4836E-06
  3.1500E+00  1.4956E-06


# kxind = 5, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.0835E-01
  5.0000E-02  1.5462E-03
  1.0000E-01  1.0261E-03
  1.5000E-01  8.8109E-04
  2.0000E-01  7.3224E-04
  2.5000E-01  6.8157E-04
  3.0000E-01  7.1377E-04
  3.5000E-01  8.1788E-04
  4.0000E-01  8.4451E-04
  4.5000E-01  8.4403E-04
  5.0000E-01  7.5632E-04
  5.5000E-01  7.1007E-04
  6.0000E-01  4.7304E-04
  6.5000E-01  3.5859E-04
  7.0000E-01  2.4718E-04
  7.5000E-01  2.2597E-04
  8.0000E-01  1.6135E-04
  8.5000E-01  1.3301E-04
  9.0000E-01  1.0554E-04
  9.5000E-01  8.8464E-05
  1.0000E+00  6.9485E-05
  1.0500E+00  5.9017E-05
  1.1000E+00  5.2408E-05
  1.1500E+00  4.3892E-05
  1.2000E+00  4.0500E-05
  1.2500E+00  3.4603E-05
  1.3000E+00  3.0784E-05
  1.3500E+00  2.6694E-05
  1.4000E+00  2.3000E-05
  1.4500E+00  2.0070E-05
  1.5000E+00  1.8192E-05
  1.5500E+00  1.6271E-05
  1.6000E+00  1.4595E-05
  1.6500E+00  1.3849E-05
  1.7000E+00  1.2285E-05
  1.7500E+00  1.1004E-05
  1.8000E+00  1.0113E-05
  1.8500E+00  9.2534E-06
