# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:02:26 2019
# diag: zonal, run(s): act, time window: 0-1704.0453(320 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt3/
# normalization: L_T,ions
#
# avg. values:
# shearing rate: 0.17289123
#  shear. ra
  4.6137E-10  7.7291E-06  3.1352E-05  1.1285E-04  4.3063E-04  2.5963E-03  7.2597E-03  1.8197E-02  3.2815E-02  3.4097E-02  3.8453E-02  4.3940E-02  4.9481E-02  4.8025E-02  4.9250E-02  5.5703E-02  5.2155E-02  5.1378E-02  5.1891E-02  5.1662E-02  5.1631E-02  5.2898E-02  5.8198E-02  5.8889E-02  6.1629E-02  6.3054E-02  6.3850E-02  6.3238E-02  6.5530E-02  6.9781E-02  7.5340E-02  7.8097E-02  8.0287E-02  8.5256E-02  9.1421E-02  9.5658E-02  9.7657E-02  1.0118E-01  1.0540E-01  1.0409E-01  1.0024E-01  1.0027E-01  1.0383E-01  1.0733E-01  1.0949E-01  1.0900E-01  1.1093E-01  1.1395E-01  1.1666E-01  1.2086E-01  1.2658E-01  1.3287E-01  1.3657E-01  1.3938E-01  1.4083E-01  1.4746E-01  1.5437E-01  1.5447E-01  1.5444E-01  1.5779E-01  1.5681E-01  1.5216E-01  1.4895E-01  1.4506E-01  1.4329E-01  1.4340E-01  1.4569E-01  1.4906E-01  1.5316E-01  1.5931E-01  1.6424E-01  1.6512E-01  1.6175E-01  1.6280E-01  1.6382E-01  1.6220E-01  1.6540E-01  1.6434E-01  1.5709E-01  1.5793E-01  1.6127E-01  1.6263E-01  1.5838E-01  1.6127E-01  1.6696E-01  1.7451E-01  1.7440E-01  1.6860E-01  1.6491E-01  1.5981E-01  1.6015E-01  1.6849E-01  1.7340E-01  1.7820E-01  1.7864E-01  1.8136E-01  1.7873E-01  1.6973E-01  1.6616E-01  1.6129E-01  1.6366E-01  1.7870E-01  1.8466E-01  1.8934E-01  1.9009E-01  1.8853E-01  1.8270E-01  1.8165E-01  1.8302E-01  1.8948E-01  1.9780E-01  2.0139E-01  2.0351E-01  2.0847E-01  2.0506E-01  1.9818E-01  1.9159E-01  1.9103E-01  1.8699E-01  1.7689E-01  1.6812E-01  1.7558E-01  1.8053E-01  1.8493E-01  1.8282E-01  1.8677E-01  1.8995E-01  1.9145E-01  1.8489E-01  1.7311E-01  1.7112E-01  1.8023E-01  1.8593E-01  1.7974E-01  1.7884E-01  1.8275E-01  1.7819E-01  1.7764E-01  1.8186E-01  1.8749E-01  1.9344E-01  1.9435E-01  1.9617E-01  1.9889E-01  2.0180E-01  1.9646E-01  1.9478E-01  1.9679E-01  1.9935E-01  2.0332E-01  2.0189E-01  1.9227E-01  1.9414E-01  1.9692E-01  1.9410E-01  1.9720E-01  1.9782E-01  1.9995E-01  1.9736E-01  2.0178E-01  2.0264E-01  1.9399E-01  1.9015E-01  1.8719E-01  1.8891E-01  1.9435E-01  2.0027E-01  1.9574E-01  1.8831E-01  1.8272E-01  1.8095E-01  1.7883E-01  1.8113E-01  1.8242E-01  1.9382E-01  1.9951E-01  1.9908E-01  1.9439E-01  1.8629E-01  1.8393E-01  1.9215E-01  1.9661E-01  1.9383E-01  1.8542E-01  1.7819E-01  1.7241E-01  1.7227E-01  1.7378E-01  1.7942E-01  1.9351E-01  1.9944E-01  1.8806E-01  1.8313E-01  1.8874E-01  1.9312E-01  1.8790E-01  1.8612E-01  1.8812E-01  1.9009E-01  1.8883E-01  1.8959E-01  1.9702E-01  1.9954E-01  1.9352E-01  1.9030E-01  1.9865E-01  2.0811E-01  2.1016E-01  2.0297E-01  1.9970E-01  2.0133E-01  2.0013E-01  2.0276E-01  2.0825E-01  2.0103E-01  1.9186E-01  1.8573E-01  1.7718E-01  1.8117E-01  1.8727E-01  1.8719E-01  1.8628E-01  1.8697E-01  1.7971E-01  1.7457E-01  1.7700E-01  1.8309E-01  1.8203E-01  1.8469E-01  1.8687E-01  1.8334E-01  1.8056E-01  1.8332E-01  1.8831E-01  1.9854E-01  1.9817E-01  1.9340E-01  1.8830E-01  1.7939E-01  1.8190E-01  1.8793E-01  1.8728E-01  1.8499E-01  1.8638E-01  1.8030E-01  1.7021E-01  1.6394E-01  1.6910E-01  1.8271E-01  1.9398E-01  1.8869E-01  1.7977E-01  1.8736E-01  2.0246E-01  2.0733E-01  2.0926E-01  2.0629E-01  1.9899E-01  1.9165E-01  1.8494E-01  1.8378E-01  1.8099E-01  1.8703E-01  1.8325E-01  1.7687E-01  1.8060E-01  1.8832E-01  1.9917E-01  1.9926E-01  1.8607E-01  1.7348E-01  1.7798E-01  1.8367E-01  1.9184E-01  1.9457E-01  1.8779E-01  1.8443E-01  1.8463E-01  1.8634E-01  1.8578E-01  1.8227E-01  1.7843E-01  1.8349E-01  1.9349E-01  1.9077E-01  1.9002E-01  1.8688E-01  1.8342E-01  1.6919E-01  1.6201E-01  1.7298E-01  1.8591E-01  1.9254E-01  1.9735E-01  1.9807E-01  1.9471E-01  1.8726E-01  1.9057E-01  2.0014E-01  2.0490E-01  2.0891E-01  2.0801E-01  2.1030E-01  2.1316E-01  2.0682E-01  2.0726E-01  2.0970E-01  2.0992E-01  2.1166E-01  2.0982E-01  2.0601E-01  1.9939E-01  1.9959E-01  2.0501E-01  2.1048E-01  2.1274E-01  2.0723E-01  2.0211E-01  2.0453E-01  2.0608E-01


# averaged over time
#  kx         shear. rat
  8.1078E-03  2.7413E-05
  1.6216E-02  1.1841E-04
  2.4323E-02  3.1159E-04
  3.2431E-02  4.3541E-04
  4.0539E-02  5.0174E-04
  4.8647E-02  5.1502E-04
  5.6755E-02  4.7915E-04
  6.4862E-02  6.5169E-04
  7.2970E-02  1.3376E-03
  8.1078E-02  1.0741E-03
  8.9186E-02  1.1588E-03
  9.7293E-02  1.1127E-03
  1.0540E-01  1.9455E-03
  1.1351E-01  1.9208E-03
  1.2162E-01  1.7957E-03
  1.2972E-01  2.1877E-03
  1.3783E-01  2.0488E-03
  1.4594E-01  2.1161E-03
  1.5405E-01  2.0263E-03
  1.6216E-01  2.2240E-03
  1.7026E-01  3.4916E-03
  1.7837E-01  2.8057E-03
  1.8648E-01  2.7003E-03
  1.9459E-01  3.5641E-03
  2.0269E-01  3.0606E-03
  2.1080E-01  3.7475E-03
  2.1891E-01  2.7460E-03
  2.2702E-01  2.7909E-03
  2.3513E-01  3.1975E-03
  2.4323E-01  3.5388E-03
  2.5134E-01  2.5158E-03
  2.5945E-01  3.0475E-03
  2.6756E-01  2.9930E-03
  2.7566E-01  3.4386E-03
  2.8377E-01  3.1593E-03
  2.9188E-01  3.7427E-03
  2.9999E-01  3.3520E-03
  3.0810E-01  3.5652E-03
  3.1620E-01  3.8177E-03
  3.2431E-01  3.7172E-03
  3.3242E-01  4.3716E-03
  3.4053E-01  4.4485E-03
  3.4863E-01  4.2065E-03
  3.5674E-01  4.5309E-03
  3.6485E-01  4.0970E-03
  3.7296E-01  4.6049E-03
  3.8107E-01  5.4179E-03
  3.8917E-01  4.6850E-03
  3.9728E-01  4.9830E-03
  4.0539E-01  5.4287E-03
  4.1350E-01  5.0692E-03
  4.2160E-01  5.1894E-03
  4.2971E-01  5.4266E-03
  4.3782E-01  5.9956E-03
  4.4593E-01  4.7356E-03
  4.5404E-01  5.5542E-03
  4.6214E-01  6.2159E-03
  4.7025E-01  6.4195E-03
  4.7836E-01  5.8206E-03
  4.8647E-01  7.5185E-03
  4.9457E-01  6.4900E-03
  5.0268E-01  7.1528E-03
  5.1079E-01  7.2468E-03
  5.1890E-01  7.0476E-03
  5.2701E-01  6.1516E-03
  5.3511E-01  8.3372E-03
  5.4322E-01  7.6237E-03
  5.5133E-01  6.6719E-03
  5.5944E-01  6.9418E-03
  5.6755E-01  8.1473E-03
  5.7565E-01  8.1436E-03
  5.8376E-01  8.0481E-03
  5.9187E-01  7.5594E-03
  5.9998E-01  8.1976E-03
  6.0808E-01  9.9182E-03
  6.1619E-01  7.8012E-03
  6.2430E-01  8.9821E-03
  6.3241E-01  8.7423E-03
  6.4052E-01  8.8215E-03
  6.4862E-01  8.1715E-03
  6.5673E-01  8.3897E-03
  6.6484E-01  9.4365E-03
  6.7295E-01  9.6650E-03
  6.8105E-01  8.6313E-03
  6.8916E-01  8.9345E-03
  6.9727E-01  9.3897E-03
  7.0538E-01  9.7154E-03
  7.1349E-01  9.1170E-03
  7.2159E-01  8.9753E-03
  7.2970E-01  9.6674E-03
  7.3781E-01  9.0482E-03
  7.4592E-01  9.0139E-03
  7.5402E-01  9.4255E-03
  7.6213E-01  1.0400E-02
  7.7024E-01  9.0480E-03
  7.7835E-01  1.0110E-02
  7.8646E-01  1.1340E-02
  7.9456E-01  1.1994E-02
  8.0267E-01  9.3449E-03
  8.1078E-01  1.0420E-02
  8.1889E-01  1.0515E-02
  8.2699E-01  9.6730E-03
  8.3510E-01  9.6785E-03
  8.4321E-01  8.9332E-03
  8.5132E-01  8.9011E-03
  8.5943E-01  9.6917E-03
  8.6753E-01  1.0928E-02
  8.7564E-01  9.9658E-03
  8.8375E-01  1.1274E-02
  8.9186E-01  1.0073E-02
  8.9996E-01  1.0687E-02
  9.0807E-01  1.0927E-02
  9.1618E-01  1.0616E-02
  9.2429E-01  1.0496E-02
  9.3240E-01  1.0456E-02
  9.4050E-01  9.9405E-03
  9.4861E-01  1.2063E-02
  9.5672E-01  1.0922E-02
  9.6483E-01  9.5828E-03
  9.7293E-01  1.0281E-02
  9.8104E-01  1.0464E-02
  9.8915E-01  1.2187E-02
  9.9726E-01  1.0234E-02
  1.0054E+00  9.6076E-03
  1.0135E+00  1.0287E-02
  1.0216E+00  1.1221E-02
  1.0297E+00  1.0433E-02
  1.0378E+00  1.0106E-02
  1.0459E+00  1.1035E-02
  1.0540E+00  9.6799E-03
  1.0621E+00  9.1267E-03
  1.0702E+00  1.0241E-02
  1.0783E+00  1.0441E-02
  1.0864E+00  1.0217E-02
  1.0946E+00  1.0448E-02
  1.1027E+00  1.0951E-02
  1.1108E+00  9.9244E-03
  1.1189E+00  1.0544E-02
  1.1270E+00  9.4262E-03
  1.1351E+00  9.3500E-03
  1.1432E+00  9.6436E-03
  1.1513E+00  9.9560E-03
  1.1594E+00  1.0597E-02
  1.1675E+00  9.7042E-03
  1.1756E+00  9.0967E-03
  1.1837E+00  1.0089E-02
  1.1918E+00  1.0070E-02
  1.2000E+00  8.7725E-03
  1.2081E+00  9.9202E-03
  1.2162E+00  1.0157E-02
  1.2243E+00  9.2360E-03
  1.2324E+00  1.0101E-02
  1.2405E+00  1.0618E-02
  1.2486E+00  9.7020E-03
  1.2567E+00  9.6671E-03
  1.2648E+00  9.2053E-03
  1.2729E+00  8.6050E-03
  1.2810E+00  9.4370E-03
  1.2891E+00  7.8140E-03
  1.2972E+00  8.9429E-03
  1.3054E+00  9.3028E-03
