# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:02:27 2019
# diag: zprofile, run(s): act, time window: 0-1704.0453(320 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds025/ITGa_NL/omt3/
# normalization: L_T,ions
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.1456E+00  2.1456E+00
 -3.0925E+00  0.0000E+00  2.1346E+00  2.1346E+00
 -3.0434E+00  0.0000E+00  2.1440E+00  2.1440E+00
 -2.9943E+00  0.0000E+00  2.1417E+00  2.1417E+00
 -2.9452E+00  0.0000E+00  2.1456E+00  2.1456E+00
 -2.8962E+00  0.0000E+00  2.1415E+00  2.1415E+00
 -2.8471E+00  0.0000E+00  2.1379E+00  2.1379E+00
 -2.7980E+00  0.0000E+00  2.1367E+00  2.1367E+00
 -2.7489E+00  0.0000E+00  2.1339E+00  2.1339E+00
 -2.6998E+00  0.0000E+00  2.1355E+00  2.1355E+00
 -2.6507E+00  0.0000E+00  2.1389E+00  2.1389E+00
 -2.6016E+00  0.0000E+00  2.1446E+00  2.1446E+00
 -2.5525E+00  0.0000E+00  2.1510E+00  2.1510E+00
 -2.5035E+00  0.0000E+00  2.1543E+00  2.1543E+00
 -2.4544E+00  0.0000E+00  2.1599E+00  2.1599E+00
 -2.4053E+00  0.0000E+00  2.1605E+00  2.1605E+00
 -2.3562E+00  0.0000E+00  2.1630E+00  2.1630E+00
 -2.3071E+00  0.0000E+00  2.1630E+00  2.1630E+00
 -2.2580E+00  0.0000E+00  2.1664E+00  2.1664E+00
 -2.2089E+00  0.0000E+00  2.1702E+00  2.1702E+00
 -2.1598E+00  0.0000E+00  2.1766E+00  2.1766E+00
 -2.1108E+00  0.0000E+00  2.1824E+00  2.1824E+00
 -2.0617E+00  0.0000E+00  2.1897E+00  2.1897E+00
 -2.0126E+00  0.0000E+00  2.1984E+00  2.1984E+00
 -1.9635E+00  0.0000E+00  2.2050E+00  2.2050E+00
 -1.9144E+00  0.0000E+00  2.2131E+00  2.2131E+00
 -1.8653E+00  0.0000E+00  2.2199E+00  2.2199E+00
 -1.8162E+00  0.0000E+00  2.2246E+00  2.2246E+00
 -1.7671E+00  0.0000E+00  2.2307E+00  2.2307E+00
 -1.7181E+00  0.0000E+00  2.2471E+00  2.2471E+00
 -1.6690E+00  0.0000E+00  2.2567E+00  2.2567E+00
 -1.6199E+00  0.0000E+00  2.2691E+00  2.2691E+00
 -1.5708E+00  0.0000E+00  2.2817E+00  2.2817E+00
 -1.5217E+00  0.0000E+00  2.2949E+00  2.2949E+00
 -1.4726E+00  0.0000E+00  2.3170E+00  2.3170E+00
 -1.4235E+00  0.0000E+00  2.3382E+00  2.3382E+00
 -1.3744E+00  0.0000E+00  2.3653E+00  2.3653E+00
 -1.3254E+00  0.0000E+00  2.3883E+00  2.3883E+00
 -1.2763E+00  0.0000E+00  2.4132E+00  2.4132E+00
 -1.2272E+00  0.0000E+00  2.4355E+00  2.4355E+00
 -1.1781E+00  0.0000E+00  2.4551E+00  2.4551E+00
 -1.1290E+00  0.0000E+00  2.4739E+00  2.4739E+00
 -1.0799E+00  0.0000E+00  2.4876E+00  2.4876E+00
 -1.0308E+00  0.0000E+00  2.4981E+00  2.4981E+00
 -9.8175E-01  0.0000E+00  2.5015E+00  2.5015E+00
 -9.3266E-01  0.0000E+00  2.5088E+00  2.5088E+00
 -8.8357E-01  0.0000E+00  2.5047E+00  2.5047E+00
 -8.3449E-01  0.0000E+00  2.5049E+00  2.5049E+00
 -7.8540E-01  0.0000E+00  2.5020E+00  2.5020E+00
 -7.3631E-01  0.0000E+00  2.5033E+00  2.5033E+00
 -6.8722E-01  0.0000E+00  2.5207E+00  2.5207E+00
 -6.3814E-01  0.0000E+00  2.5536E+00  2.5536E+00
 -5.8905E-01  0.0000E+00  2.5934E+00  2.5934E+00
 -5.3996E-01  0.0000E+00  2.6440E+00  2.6440E+00
 -4.9087E-01  0.0000E+00  2.6900E+00  2.6900E+00
 -4.4179E-01  0.0000E+00  2.7335E+00  2.7335E+00
 -3.9270E-01  0.0000E+00  2.7982E+00  2.7982E+00
 -3.4361E-01  0.0000E+00  2.8487E+00  2.8487E+00
 -2.9452E-01  0.0000E+00  2.9181E+00  2.9181E+00
 -2.4544E-01  0.0000E+00  2.9638E+00  2.9638E+00
 -1.9635E-01  0.0000E+00  3.0273E+00  3.0273E+00
 -1.4726E-01  0.0000E+00  3.0596E+00  3.0596E+00
 -9.8175E-02  0.0000E+00  3.1063E+00  3.1063E+00
 -4.9087E-02  0.0000E+00  3.1196E+00  3.1196E+00
  0.0000E+00  0.0000E+00  3.1408E+00  3.1408E+00
  4.9087E-02  0.0000E+00  3.1188E+00  3.1188E+00
  9.8175E-02  0.0000E+00  3.1068E+00  3.1068E+00
