# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 15:30:17 2018
# diag: spectra, run(s): act, time window: 0-451.05109(169 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs025/ITGa/scanomn0omt2/
# normalization: L_ref=5.508m
#
# kxind = 0, z avg.
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  3.7460E-03
  1.0000E-01  3.6520E-03
  1.5000E-01  3.5828E-03
  2.0000E-01  3.2984E-03
  2.5000E-01  3.6903E-03
  3.0000E-01  4.4090E-03
  3.5000E-01  5.6916E-03
  4.0000E-01  7.0159E-03
  4.5000E-01  8.3359E-03
  5.0000E-01  9.5094E-03
  5.5000E-01  1.1340E-02
  6.0000E-01  1.1992E-02
  6.5000E-01  1.1970E-02
  7.0000E-01  1.1495E-02
  7.5000E-01  1.0203E-02
  8.0000E-01  8.3177E-03
  8.5000E-01  5.7290E-03
  9.0000E-01  3.6137E-03
  9.5000E-01  2.1853E-03
  1.0000E+00  1.2915E-03
  1.0500E+00  7.5527E-04
  1.1000E+00  4.7016E-04
  1.1500E+00  2.9331E-04
  1.2000E+00  1.9608E-04
  1.2500E+00  1.3294E-04
  1.3000E+00  1.0666E-04
  1.3500E+00  8.6740E-05
  1.4000E+00  7.1395E-05
  1.4500E+00  6.3484E-05
  1.5000E+00  5.0449E-05
  1.5500E+00  4.7751E-05
  1.6000E+00  4.3096E-05
  1.6500E+00  3.6334E-05
  1.7000E+00  3.3461E-05
  1.7500E+00  2.9792E-05
  1.8000E+00  2.6489E-05
  1.8500E+00  2.5554E-05
  1.9000E+00  2.1098E-05
  1.9500E+00  1.9410E-05
  2.0000E+00  1.8444E-05
  2.0500E+00  1.6236E-05
  2.1000E+00  1.5781E-05
  2.1500E+00  1.3560E-05
  2.2000E+00  1.2406E-05
  2.2500E+00  1.1235E-05
  2.3000E+00  1.0324E-05
  2.3500E+00  9.8836E-06
  2.4000E+00  8.5947E-06
  2.4500E+00  7.7093E-06
  2.5000E+00  7.2574E-06
  2.5500E+00  6.8946E-06
  2.6000E+00  6.5109E-06
  2.6500E+00  5.8192E-06
  2.7000E+00  5.2838E-06
  2.7500E+00  4.9839E-06
  2.8000E+00  4.8593E-06
  2.8500E+00  4.3968E-06
  2.9000E+00  4.0782E-06
  2.9500E+00  3.7862E-06
  3.0000E+00  3.6352E-06
  3.0500E+00  3.5091E-06
  3.1000E+00  3.4339E-06
  3.1500E+00  3.4674E-06


# kxind = 1, z avg.
#  ky         phi       
  0.0000E+00  1.1968E+00
  5.0000E-02  9.0870E-03
  1.0000E-01  6.3988E-03
  1.5000E-01  6.1444E-03
  2.0000E-01  5.7435E-03
  2.5000E-01  5.2713E-03
  3.0000E-01  4.9412E-03
  3.5000E-01  4.7090E-03
  4.0000E-01  5.2258E-03
  4.5000E-01  5.5199E-03
  5.0000E-01  5.9294E-03
  5.5000E-01  6.9945E-03
  6.0000E-01  7.5728E-03
  6.5000E-01  7.9370E-03
  7.0000E-01  7.4721E-03
  7.5000E-01  7.0630E-03
  8.0000E-01  5.9219E-03
  8.5000E-01  4.3742E-03
  9.0000E-01  3.0319E-03
  9.5000E-01  2.0568E-03
  1.0000E+00  1.3435E-03
  1.0500E+00  8.5319E-04
  1.1000E+00  5.6482E-04
  1.1500E+00  3.7309E-04
  1.2000E+00  2.6081E-04
  1.2500E+00  1.8297E-04
  1.3000E+00  1.4514E-04
  1.3500E+00  1.0894E-04
  1.4000E+00  9.4553E-05
  1.4500E+00  8.1055E-05
  1.5000E+00  6.1748E-05
  1.5500E+00  5.4304E-05
  1.6000E+00  4.5903E-05
  1.6500E+00  3.7450E-05
  1.7000E+00  3.3985E-05
  1.7500E+00  3.1550E-05
  1.8000E+00  2.5534E-05
  1.8500E+00  2.5338E-05
  1.9000E+00  2.2159E-05
  1.9500E+00  2.1245E-05
  2.0000E+00  1.9967E-05
  2.0500E+00  1.7506E-05
  2.1000E+00  1.5547E-05
  2.1500E+00  1.4468E-05
  2.2000E+00  1.3553E-05
  2.2500E+00  1.1848E-05
  2.3000E+00  1.0955E-05
  2.3500E+00  9.1284E-06
  2.4000E+00  8.6185E-06
  2.4500E+00  8.1521E-06
  2.5000E+00  7.5343E-06
  2.5500E+00  6.9776E-06
  2.6000E+00  6.3634E-06
  2.6500E+00  5.8866E-06
  2.7000E+00  5.8609E-06
  2.7500E+00  5.1041E-06
  2.8000E+00  4.9885E-06
  2.8500E+00  4.3737E-06
  2.9000E+00  4.2920E-06
  2.9500E+00  3.9577E-06
  3.0000E+00  3.6004E-06
  3.0500E+00  3.5438E-06
  3.1000E+00  3.4870E-06
  3.1500E+00  3.6222E-06


# kxind = 2, z avg.
#  ky         phi       
  0.0000E+00  1.4600E+00
  5.0000E-02  4.3615E-03
  1.0000E-01  5.2466E-03
  1.5000E-01  4.7352E-03
  2.0000E-01  4.1517E-03
  2.5000E-01  3.7084E-03
  3.0000E-01  3.8259E-03
  3.5000E-01  3.5227E-03
