# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 15:30:18 2018
# diag: zonal, run(s): act, time window: 0-451.05109(169 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs025/ITGa/scanomn0omt2/
# normalization: L_ref=5.508m
#
# avg. values:
# shearing rate: 0.30239952
#  shear. ra
  1.3841E-09  1.3363E-05  4.3360E-05  1.1648E-04  5.0285E-04  2.7458E-03  1.5499E-02  3.6520E-02  5.1294E-02  6.1618E-02  7.2498E-02  8.8061E-02  9.2242E-02  9.8058E-02  1.0885E-01  1.2111E-01  1.2830E-01  1.3772E-01  1.4129E-01  1.5835E-01  1.7186E-01  1.7702E-01  1.8182E-01  1.8895E-01  2.0154E-01  2.1403E-01  2.2718E-01  2.3905E-01  2.5170E-01  2.6213E-01  2.6941E-01  2.7597E-01  2.8336E-01  2.9465E-01  2.9391E-01  2.9136E-01  2.9905E-01  3.0634E-01  3.0968E-01  3.0810E-01  3.1377E-01  3.1792E-01  3.2570E-01  3.3453E-01  3.3247E-01  3.1970E-01  3.1464E-01  3.0851E-01  3.1956E-01  3.3328E-01  3.3537E-01  3.3315E-01  3.2701E-01  3.1579E-01  3.0060E-01  2.9654E-01  2.9531E-01  3.0395E-01  3.0795E-01  3.1345E-01  3.2026E-01  3.1583E-01  3.1197E-01  3.1109E-01  3.0559E-01  3.0114E-01  2.9329E-01  2.8813E-01  2.8410E-01  2.8051E-01  2.8386E-01  2.9084E-01  3.0560E-01  3.0380E-01  2.9939E-01  2.9883E-01  3.0187E-01  3.1275E-01  3.1371E-01  3.1352E-01  3.1662E-01  3.2648E-01  3.3275E-01  3.4134E-01  3.3759E-01  3.3292E-01  3.1565E-01  3.1884E-01  3.3701E-01  3.5421E-01  3.4647E-01  3.3026E-01  3.3795E-01  3.2830E-01  3.2435E-01  3.2628E-01  3.2328E-01  3.2599E-01  3.2586E-01  3.2809E-01  3.3871E-01  3.3910E-01  3.5207E-01  3.5411E-01  3.3757E-01  3.3539E-01  3.4985E-01  3.5915E-01  3.5220E-01  3.3608E-01  3.2756E-01  3.2526E-01  3.3352E-01  3.4384E-01  3.5212E-01  3.5786E-01  3.6133E-01  3.6881E-01  3.5853E-01  3.4790E-01  3.3502E-01  3.2417E-01  3.4172E-01  3.6149E-01  3.7606E-01  3.5302E-01  3.3485E-01  3.2846E-01  3.3925E-01  3.5147E-01  3.4382E-01  3.4631E-01  3.5357E-01  3.4581E-01  3.3940E-01  3.5872E-01  3.7944E-01  3.6303E-01  3.5643E-01  3.5339E-01  3.4597E-01  3.4355E-01  3.4854E-01  3.4734E-01  3.4384E-01  3.4756E-01  3.5185E-01  3.2771E-01  3.1075E-01  3.0216E-01  3.2827E-01  3.4674E-01  3.5199E-01  3.4763E-01  3.4441E-01  3.4423E-01  3.3684E-01  3.4086E-01  3.5077E-01  3.5383E-01  3.5010E-01  3.3185E-01  3.2570E-01  3.2505E-01  3.2459E-01  3.3741E-01  3.4994E-01  3.5034E-01  3.6035E-01


# averaged over time
#  kx         shear. rat
  8.1078E-03  6.9025E-05
  1.6216E-02  3.0330E-04
  2.4323E-02  1.5465E-04
  3.2431E-02  7.3439E-04
  4.0539E-02  4.9518E-04
  4.8647E-02  7.9362E-04
  5.6755E-02  1.7805E-03
  6.4862E-02  1.0543E-03
  7.2970E-02  2.1409E-03
  8.1078E-02  1.4635E-03
  8.9186E-02  2.5056E-03
  9.7293E-02  3.7912E-03
  1.0540E-01  3.9054E-03
  1.1351E-01  4.2102E-03
  1.2162E-01  4.2038E-03
  1.2972E-01  3.7108E-03
  1.3783E-01  5.0140E-03
  1.4594E-01  9.4631E-03
  1.5405E-01  7.2348E-03
  1.6216E-01  9.6141E-03
  1.7026E-01  9.4632E-03
  1.7837E-01  1.0360E-02
  1.8648E-01  8.3437E-03
  1.9459E-01  6.0142E-03
  2.0269E-01  7.6240E-03
  2.1080E-01  6.9466E-03
  2.1891E-01  5.3475E-03
  2.2702E-01  7.9203E-03
  2.3513E-01  6.0388E-03
  2.4323E-01  5.7482E-03
  2.5134E-01  7.6537E-03
  2.5945E-01  7.4067E-03
  2.6756E-01  5.3163E-03
  2.7566E-01  6.6445E-03
  2.8377E-01  6.9113E-03
  2.9188E-01  7.0288E-03
  2.9999E-01  8.2643E-03
  3.0810E-01  6.8584E-03
  3.1620E-01  9.7362E-03
  3.2431E-01  9.1571E-03
  3.3242E-01  7.7083E-03
  3.4053E-01  8.7036E-03
  3.4863E-01  7.9788E-03
  3.5674E-01  8.9111E-03
  3.6485E-01  8.5203E-03
  3.7296E-01  9.2889E-03
  3.8107E-01  8.3712E-03
  3.8917E-01  9.5007E-03
  3.9728E-01  8.2403E-03
  4.0539E-01  1.0719E-02
  4.1350E-01  9.9498E-03
  4.2160E-01  1.0662E-02
  4.2971E-01  1.2876E-02
  4.3782E-01  1.1173E-02
  4.4593E-01  1.0571E-02
  4.5404E-01  9.7487E-03
  4.6214E-01  9.7860E-03
  4.7025E-01  1.0831E-02
  4.7836E-01  1.1308E-02
  4.8647E-01  1.4354E-02
  4.9457E-01  1.2956E-02
  5.0268E-01  1.4080E-02
  5.1079E-01  1.2774E-02
  5.1890E-01  1.4607E-02
  5.2701E-01  1.2794E-02
  5.3511E-01  1.3987E-02
  5.4322E-01  1.4534E-02
  5.5133E-01  1.1981E-02
  5.5944E-01  1.2841E-02
  5.6755E-01  1.7701E-02
  5.7565E-01  1.3627E-02
  5.8376E-01  1.5338E-02
  5.9187E-01  1.3912E-02
  5.9998E-01  1.4376E-02
  6.0808E-01  1.5752E-02
  6.1619E-01  1.1799E-02
  6.2430E-01  1.4463E-02
  6.3241E-01  1.4999E-02
  6.4052E-01  1.3960E-02
  6.4862E-01  1.4888E-02
  6.5673E-01  1.4377E-02
  6.6484E-01  1.4274E-02
  6.7295E-01  1.6288E-02
  6.8105E-01  1.7931E-02
  6.8916E-01  1.4316E-02
  6.9727E-01  1.5625E-02
  7.0538E-01  1.7835E-02
  7.1349E-01  1.6877E-02
  7.2159E-01  1.4974E-02
  7.2970E-01  1.3733E-02
