# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 15:39:09 2018
# diag: zonal, run(s): act, time window: 0-568.01509(320 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs025/ITGa/scanomn0omt3/
# normalization: L_ref=5.508m
#
# avg. values:
# shearing rate: 0.5186737
#  shear. ra
  1.3841E-09  2.3187E-05  9.4055E-05  3.3854E-04  1.2919E-03  7.7888E-03  2.1779E-02  5.4591E-02  9.8444E-02  1.0229E-01  1.1536E-01  1.3182E-01  1.4844E-01  1.4408E-01  1.4775E-01  1.6711E-01  1.5646E-01  1.5413E-01  1.5567E-01  1.5499E-01  1.5489E-01  1.5869E-01  1.7459E-01  1.7667E-01  1.8489E-01  1.8916E-01  1.9155E-01  1.8971E-01  1.9659E-01  2.0934E-01  2.2602E-01  2.3429E-01  2.4086E-01  2.5577E-01  2.7426E-01  2.8698E-01  2.9297E-01  3.0354E-01  3.1621E-01  3.1226E-01  3.0073E-01  3.0081E-01  3.1150E-01  3.2198E-01  3.2847E-01  3.2701E-01  3.3280E-01  3.4184E-01  3.4997E-01  3.6258E-01  3.7975E-01  3.9860E-01  4.0970E-01  4.1815E-01  4.2249E-01  4.4239E-01  4.6312E-01  4.6340E-01  4.6332E-01  4.7338E-01  4.7044E-01  4.5648E-01  4.4685E-01  4.3517E-01  4.2986E-01  4.3020E-01  4.3707E-01  4.4717E-01  4.5947E-01  4.7794E-01  4.9272E-01  4.9535E-01  4.8526E-01  4.8841E-01  4.9145E-01  4.8659E-01  4.9619E-01  4.9302E-01  4.7127E-01  4.7379E-01  4.8381E-01  4.8788E-01  4.7513E-01  4.8381E-01  5.0089E-01  5.2354E-01  5.2319E-01  5.0581E-01  4.9474E-01  4.7943E-01  4.8046E-01  5.0546E-01  5.2020E-01  5.3459E-01  5.3592E-01  5.4408E-01  5.3619E-01  5.0919E-01  4.9847E-01  4.8388E-01  4.9099E-01  5.3609E-01  5.5397E-01  5.6802E-01  5.7027E-01  5.6560E-01  5.4811E-01  5.4494E-01  5.4907E-01  5.6845E-01  5.9340E-01  6.0418E-01  6.1053E-01  6.2542E-01  6.1518E-01  5.9454E-01  5.7476E-01  5.7309E-01  5.6097E-01  5.3066E-01  5.0435E-01  5.2674E-01  5.4160E-01  5.5480E-01  5.4845E-01  5.6030E-01  5.6986E-01  5.7435E-01  5.5466E-01  5.1934E-01  5.1336E-01  5.4068E-01  5.5779E-01  5.3922E-01  5.3652E-01  5.4826E-01  5.3456E-01  5.3291E-01  5.4558E-01  5.6246E-01  5.8032E-01  5.8305E-01  5.8851E-01  5.9666E-01  6.0541E-01  5.8938E-01  5.8434E-01  5.9037E-01  5.9805E-01  6.0997E-01  6.0567E-01  5.7682E-01  5.8243E-01  5.9076E-01  5.8231E-01  5.9159E-01  5.9347E-01  5.9986E-01  5.9207E-01  6.0535E-01  6.0792E-01  5.8196E-01  5.7046E-01  5.6156E-01  5.6672E-01  5.8305E-01  6.0081E-01  5.8722E-01  5.6494E-01  5.4816E-01  5.4286E-01  5.3650E-01  5.4338E-01  5.4725E-01  5.8146E-01  5.9852E-01  5.9725E-01  5.8317E-01  5.5888E-01  5.5178E-01  5.7645E-01  5.8982E-01  5.8148E-01  5.5627E-01  5.3458E-01  5.1724E-01  5.1680E-01  5.2134E-01  5.3825E-01  5.8052E-01  5.9832E-01  5.6418E-01  5.4940E-01  5.6623E-01  5.7935E-01  5.6370E-01  5.5836E-01  5.6436E-01  5.7028E-01  5.6650E-01  5.6878E-01  5.9105E-01  5.9862E-01  5.8056E-01  5.7089E-01  5.9595E-01  6.2432E-01  6.3049E-01  6.0890E-01  5.9911E-01  6.0400E-01  6.0038E-01  6.0828E-01  6.2476E-01  6.0309E-01  5.7558E-01  5.5720E-01  5.3153E-01  5.4350E-01  5.6181E-01  5.6156E-01  5.5884E-01  5.6090E-01  5.3912E-01  5.2371E-01  5.3100E-01  5.4926E-01  5.4609E-01  5.5406E-01  5.6060E-01  5.5001E-01  5.4169E-01  5.4997E-01  5.6493E-01  5.9561E-01  5.9451E-01  5.8021E-01  5.6489E-01  5.3817E-01  5.4571E-01  5.6380E-01  5.6185E-01  5.5498E-01  5.5913E-01  5.4090E-01  5.1064E-01  4.9183E-01  5.0731E-01  5.4814E-01  5.8193E-01  5.6608E-01  5.3930E-01  5.6208E-01  6.0738E-01  6.2198E-01  6.2779E-01  6.1888E-01  5.9696E-01  5.7495E-01  5.5483E-01  5.5133E-01  5.4297E-01  5.6109E-01  5.4976E-01  5.3061E-01  5.4181E-01  5.6497E-01  5.9751E-01  5.9779E-01  5.5820E-01  5.2044E-01  5.3393E-01  5.5101E-01  5.7551E-01  5.8372E-01  5.6336E-01  5.5328E-01  5.5389E-01  5.5903E-01  5.5735E-01  5.4682E-01  5.3529E-01  5.5047E-01  5.8048E-01  5.7232E-01  5.7005E-01  5.6064E-01  5.5026E-01  5.0757E-01  4.8602E-01  5.1893E-01  5.5772E-01  5.7761E-01  5.9205E-01  5.9421E-01  5.8414E-01  5.6177E-01  5.7171E-01  6.0043E-01  6.1471E-01  6.2674E-01  6.2402E-01  6.3091E-01  6.3949E-01  6.2047E-01  6.2177E-01  6.2911E-01  6.2975E-01  6.3499E-01  6.2945E-01  6.1802E-01  5.9818E-01  5.9878E-01  6.1502E-01  6.3143E-01  6.3821E-01  6.2168E-01  6.0633E-01  6.1358E-01  6.1825E-01


# averaged over time
#  kx         shear. rat
  8.1078E-03  8.2238E-05
  1.6216E-02  3.5523E-04
  2.4323E-02  9.3477E-04
  3.2431E-02  1.3062E-03
  4.0539E-02  1.5052E-03
  4.8647E-02  1.5451E-03
  5.6755E-02  1.4374E-03
  6.4862E-02  1.9551E-03
  7.2970E-02  4.0127E-03
  8.1078E-02  3.2223E-03
  8.9186E-02  3.4763E-03
  9.7293E-02  3.3380E-03
  1.0540E-01  5.8364E-03
  1.1351E-01  5.7624E-03
  1.2162E-01  5.3872E-03
  1.2972E-01  6.5631E-03
  1.3783E-01  6.1464E-03
  1.4594E-01  6.3482E-03
  1.5405E-01  6.0789E-03
  1.6216E-01  6.6719E-03
  1.7026E-01  1.0475E-02
  1.7837E-01  8.4172E-03
  1.8648E-01  8.1010E-03
  1.9459E-01  1.0692E-02
  2.0269E-01  9.1819E-03
  2.1080E-01  1.1243E-02
  2.1891E-01  8.2380E-03
  2.2702E-01  8.3728E-03
  2.3513E-01  9.5925E-03
  2.4323E-01  1.0616E-02
  2.5134E-01  7.5474E-03
  2.5945E-01  9.1424E-03
  2.6756E-01  8.9791E-03
  2.7566E-01  1.0316E-02
  2.8377E-01  9.4780E-03
  2.9188E-01  1.1228E-02
  2.9999E-01  1.0056E-02
  3.0810E-01  1.0696E-02
  3.1620E-01  1.1453E-02
  3.2431E-01  1.1152E-02
  3.3242E-01  1.3115E-02
  3.4053E-01  1.3345E-02
  3.4863E-01  1.2619E-02
  3.5674E-01  1.3593E-02
  3.6485E-01  1.2291E-02
  3.7296E-01  1.3815E-02
  3.8107E-01  1.6254E-02
  3.8917E-01  1.4055E-02
  3.9728E-01  1.4949E-02
  4.0539E-01  1.6286E-02
  4.1350E-01  1.5208E-02
  4.2160E-01  1.5568E-02
  4.2971E-01  1.6280E-02
  4.3782E-01  1.7987E-02
  4.4593E-01  1.4207E-02
  4.5404E-01  1.6663E-02
  4.6214E-01  1.8648E-02
  4.7025E-01  1.9258E-02
  4.7836E-01  1.7462E-02
  4.8647E-01  2.2556E-02
  4.9457E-01  1.9470E-02
  5.0268E-01  2.1458E-02
  5.1079E-01  2.1740E-02
  5.1890E-01  2.1143E-02
  5.2701E-01  1.8455E-02
  5.3511E-01  2.5012E-02
  5.4322E-01  2.2871E-02
  5.5133E-01  2.0016E-02
  5.5944E-01  2.0826E-02
  5.6755E-01  2.4442E-02
  5.7565E-01  2.4431E-02
  5.8376E-01  2.4144E-02
  5.9187E-01  2.2678E-02
  5.9998E-01  2.4593E-02
  6.0808E-01  2.9755E-02
  6.1619E-01  2.3404E-02
  6.2430E-01  2.6946E-02
  6.3241E-01  2.6227E-02
  6.4052E-01  2.6465E-02
  6.4862E-01  2.4514E-02
  6.5673E-01  2.5169E-02
  6.6484E-01  2.8310E-02
  6.7295E-01  2.8995E-02
  6.8105E-01  2.5894E-02
  6.8916E-01  2.6803E-02
  6.9727E-01  2.8169E-02
  7.0538E-01  2.9146E-02
  7.1349E-01  2.7351E-02
  7.2159E-01  2.6926E-02
  7.2970E-01  2.9002E-02
  7.3781E-01  2.7145E-02
  7.4592E-01  2.7042E-02
  7.5402E-01  2.8276E-02
  7.6213E-01  3.1200E-02
  7.7024E-01  2.7144E-02
  7.7835E-01  3.0330E-02
  7.8646E-01  3.4021E-02
  7.9456E-01  3.5983E-02
  8.0267E-01  2.8035E-02
  8.1078E-01  3.1259E-02
  8.1889E-01  3.1545E-02
  8.2699E-01  2.9019E-02
  8.3510E-01  2.9036E-02
  8.4321E-01  2.6800E-02
  8.5132E-01  2.6703E-02
  8.5943E-01  2.9075E-02
  8.6753E-01  3.2785E-02
  8.7564E-01  2.9897E-02
  8.8375E-01  3.3821E-02
  8.9186E-01  3.0220E-02
  8.9996E-01  3.2060E-02
  9.0807E-01  3.2782E-02
  9.1618E-01  3.1847E-02
  9.2429E-01  3.1488E-02
  9.3240E-01  3.1367E-02
  9.4050E-01  2.9822E-02
  9.4861E-01  3.6188E-02
  9.5672E-01  3.2765E-02
  9.6483E-01  2.8748E-02
  9.7293E-01  3.0843E-02
  9.8104E-01  3.1392E-02
  9.8915E-01  3.6561E-02
  9.9726E-01  3.0701E-02
  1.0054E+00  2.8823E-02
  1.0135E+00  3.0860E-02
  1.0216E+00  3.3664E-02
  1.0297E+00  3.1300E-02
  1.0378E+00  3.0318E-02
  1.0459E+00  3.3106E-02
  1.0540E+00  2.9040E-02
  1.0621E+00  2.7380E-02
  1.0702E+00  3.0724E-02
  1.0783E+00  3.1323E-02
  1.0864E+00  3.0652E-02
  1.0946E+00  3.1343E-02
  1.1027E+00  3.2852E-02
  1.1108E+00  2.9773E-02
  1.1189E+00  3.1632E-02
  1.1270E+00  2.8279E-02
  1.1351E+00  2.8050E-02
  1.1432E+00  2.8931E-02
  1.1513E+00  2.9868E-02
  1.1594E+00  3.1792E-02
  1.1675E+00  2.9113E-02
  1.1756E+00  2.7290E-02
  1.1837E+00  3.0267E-02
  1.1918E+00  3.0211E-02
  1.2000E+00  2.6318E-02
  1.2081E+00  2.9761E-02
  1.2162E+00  3.0470E-02
  1.2243E+00  2.7708E-02
  1.2324E+00  3.0302E-02
  1.2405E+00  3.1855E-02
  1.2486E+00  2.9106E-02
  1.2567E+00  2.9001E-02
  1.2648E+00  2.7616E-02
  1.2729E+00  2.5815E-02
  1.2810E+00  2.8311E-02
  1.2891E+00  2.3442E-02
  1.2972E+00  2.6829E-02
  1.3054E+00  2.7908E-02
