# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 15:39:09 2018
# diag: zprofile, run(s): act, time window: 0-568.01509(320 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs025/ITGa/scanomn0omt3/
# normalization: L_ref=5.508m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  1.2827E-03
 -3.0925E+00  1.1211E-03
 -3.0434E+00  1.0811E-03
 -2.9943E+00  1.0319E-03
 -2.9452E+00  9.7572E-04
 -2.8962E+00  9.4196E-04
 -2.8471E+00  8.4487E-04
 -2.7980E+00  8.6198E-04
 -2.7489E+00  8.2933E-04
 -2.6998E+00  7.7770E-04
 -2.6507E+00  7.3579E-04
 -2.6016E+00  6.8037E-04
 -2.5525E+00  6.0820E-04
 -2.5035E+00  6.0245E-04
 -2.4544E+00  5.7650E-04
 -2.4053E+00  4.9177E-04
 -2.3562E+00  4.8457E-04
 -2.3071E+00  4.4313E-04
 -2.2580E+00  4.5675E-04
 -2.2089E+00  4.8193E-04
 -2.1598E+00  5.3525E-04
 -2.1108E+00  5.7449E-04
 -2.0617E+00  7.0208E-04
 -2.0126E+00  7.9690E-04
 -1.9635E+00  1.0914E-03
 -1.9144E+00  1.4579E-03
 -1.8653E+00  1.9190E-03
 -1.8162E+00  2.4168E-03
 -1.7671E+00  2.7155E-03
 -1.7181E+00  2.5380E-03
 -1.6690E+00  1.9930E-03
 -1.6199E+00  1.4821E-03
 -1.5708E+00  1.1326E-03
 -1.5217E+00  9.9214E-04
 -1.4726E+00  8.8969E-04
 -1.4235E+00  8.2071E-04
 -1.3744E+00  7.7505E-04
 -1.3254E+00  6.7201E-04
 -1.2763E+00  5.9931E-04
 -1.2272E+00  5.5352E-04
 -1.1781E+00  4.9552E-04
 -1.1290E+00  5.0326E-04
 -1.0799E+00  4.8790E-04
 -1.0308E+00  4.9540E-04
 -9.8175E-01  4.6156E-04
 -9.3266E-01  4.7772E-04
 -8.8357E-01  4.7660E-04
 -8.3449E-01  4.8593E-04
 -7.8540E-01  5.4729E-04
 -7.3631E-01  6.0067E-04
 -6.8722E-01  6.6804E-04
 -6.3814E-01  8.1332E-04
 -5.8905E-01  9.9495E-04
 -5.3996E-01  1.2794E-03
 -4.9087E-01  1.7509E-03
 -4.4179E-01  2.4907E-03
 -3.9270E-01  3.0838E-03
 -3.4361E-01  4.1269E-03
 -2.9452E-01  5.4846E-03
 -2.4544E-01  6.7831E-03
 -1.9635E-01  7.8166E-03
 -1.4726E-01  9.2935E-03
 -9.8175E-02  1.0121E-02
 -4.9087E-02  1.1385E-02
  0.0000E+00  1.0899E-02
  4.9087E-02  1.1169E-02
  9.8175E-02  1.0482E-02
  1.4726E-01  9.3111E-03
  1.9635E-01  7.3708E-03
  2.4544E-01  6.3754E-03
  2.9452E-01  5.4394E-03
  3.4361E-01  3.9657E-03
  3.9270E-01  3.1854E-03
  4.4179E-01  2.4257E-03
  4.9087E-01  1.7998E-03
  5.3996E-01  1.3163E-03
  5.8905E-01  1.0285E-03
  6.3814E-01  8.5409E-04
  6.8722E-01  6.6554E-04
  7.3631E-01  6.0038E-04
  7.8540E-01  5.2401E-04
  8.3449E-01  4.5801E-04
  8.8357E-01  4.7334E-04
  9.3266E-01  4.4449E-04
  9.8175E-01  4.3236E-04
  1.0308E+00  4.4260E-04
  1.0799E+00  4.5927E-04
  1.1290E+00  4.9572E-04
  1.1781E+00  5.1454E-04
  1.2272E+00  5.4031E-04
  1.2763E+00  6.3434E-04
  1.3254E+00  6.6222E-04
  1.3744E+00  7.6991E-04
  1.4235E+00  8.4645E-04
  1.4726E+00  9.6701E-04
  1.5217E+00  9.9289E-04
  1.5708E+00  1.2497E-03
  1.6199E+00  1.4241E-03
  1.6690E+00  1.8064E-03
  1.7181E+00  2.2890E-03
  1.7671E+00  2.6911E-03
  1.8162E+00  2.3789E-03
  1.8653E+00  1.9651E-03
  1.9144E+00  1.4792E-03
  1.9635E+00  1.0969E-03
  2.0126E+00  8.4748E-04
  2.0617E+00  6.7983E-04
  2.1108E+00  5.6653E-04
  2.1598E+00  4.9516E-04
  2.2089E+00  4.6938E-04
  2.2580E+00  4.5568E-04
  2.3071E+00  4.6965E-04
  2.3562E+00  5.0434E-04
  2.4053E+00  4.8819E-04
  2.4544E+00  5.4812E-04
  2.5035E+00  6.2954E-04
  2.5525E+00  6.3820E-04
  2.6016E+00  6.6434E-04
  2.6507E+00  7.6304E-04
  2.6998E+00  7.7688E-04
  2.7489E+00  8.1713E-04
  2.7980E+00  7.9974E-04
  2.8471E+00  8.1854E-04
  2.8962E+00  9.0839E-04
  2.9452E+00  9.6021E-04
  2.9943E+00  9.3850E-04
  3.0434E+00  1.0704E-03
  3.0925E+00  1.1791E-03
