# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:12:58 2019
# diag: fluxspectra, run(s): act, time window: 0-1521.8506(322 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds036/ITGa_NL/omt1/
# normalization: L_T,ions=5.508m
#
# Q*dVdx =   1.9562E+01 MW
# G*dVdx =   8.5187E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  6.2399E-13  1.8802E-02
  1.4382E-02 -9.0837E-14  2.8477E-02
  2.8765E-02  1.3269E-15  2.2549E-02
  4.3147E-02 -7.8776E-14  2.1404E-02
  5.7529E-02  5.2755E-13  1.9488E-02
  7.1911E-02 -2.2579E-14  1.8092E-02
  8.6294E-02 -1.9274E-14  1.8943E-02
  1.0068E-01 -1.4922E-13  1.7270E-02
  1.1506E-01  8.1401E-14  1.6799E-02
  1.2944E-01 -2.0394E-13  1.5712E-02
  1.4382E-01  2.7226E-13  1.4975E-02
  1.5821E-01 -2.9206E-14  1.5945E-02
  1.7259E-01 -1.2986E-15  1.4244E-02
  1.8697E-01 -5.7070E-14  1.4272E-02
  2.0135E-01 -2.5534E-13  1.3363E-02
  2.1573E-01  7.3332E-14  1.2248E-02
  2.3012E-01 -3.4021E-13  1.1674E-02
  2.4450E-01 -1.0821E-13  1.1139E-02
  2.5888E-01 -2.0096E-13  1.0514E-02
  2.7326E-01  9.6006E-15  1.0399E-02
  2.8765E-01  2.5470E-14  9.2404E-03
  3.0203E-01 -1.2672E-13  8.1202E-03
  3.1641E-01  8.9887E-14  7.7465E-03
  3.3079E-01  1.5492E-13  7.4908E-03
  3.4517E-01  8.5056E-14  6.4450E-03
  3.5956E-01 -2.1621E-14  6.1426E-03
  3.7394E-01  6.8946E-14  5.9151E-03
  3.8832E-01  1.3780E-14  5.3252E-03
  4.0270E-01  1.2465E-13  5.0341E-03
  4.1709E-01  1.2293E-14  4.3299E-03
  4.3147E-01 -4.4280E-15  3.9421E-03
  4.4585E-01 -6.3039E-14  3.8827E-03
  4.6023E-01 -9.2952E-15  3.4548E-03
  4.7462E-01  1.4136E-13  3.2803E-03
  4.8900E-01  4.8916E-14  3.0531E-03
  5.0338E-01  1.2080E-13  2.7480E-03
  5.1776E-01 -1.8565E-13  2.5799E-03
  5.3214E-01 -9.5311E-15  2.3897E-03
  5.4653E-01 -2.1184E-14  2.2993E-03
  5.6091E-01 -8.4503E-14  2.1145E-03
  5.7529E-01  9.7289E-14  1.8949E-03
  5.8967E-01  7.1472E-14  1.7645E-03
  6.0406E-01 -4.1063E-14  1.6583E-03
  6.1844E-01  7.8256E-14  1.5052E-03
  6.3282E-01 -9.5164E-14  1.4099E-03
  6.4720E-01 -9.0149E-14  1.3387E-03
  6.6158E-01  7.5887E-14  1.2641E-03
  6.7597E-01 -9.6856E-15  1.1882E-03
  6.9035E-01  2.2435E-14  1.0791E-03
  7.0473E-01 -2.5673E-14  1.0279E-03
  7.1911E-01  6.1224E-15  9.6137E-04
  7.3350E-01 -6.3106E-14  8.8740E-04
  7.4788E-01 -5.6194E-14  8.4550E-04
