# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:13:01 2019
# diag: spectra, run(s): act, time window: 0-1521.8506(322 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds036/ITGa_NL/omt1/
# normalization: L_T,ions=5.508m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.0788E-03
  1.0000E-01  1.1700E-03
  1.5000E-01  1.3368E-03
  2.0000E-01  1.5656E-03
  2.5000E-01  1.5323E-03
  3.0000E-01  1.3709E-03
  3.5000E-01  1.2907E-03
  4.0000E-01  1.1097E-03
  4.5000E-01  9.7339E-04
  5.0000E-01  1.0134E-03
  5.5000E-01  8.7008E-04
  6.0000E-01  6.3608E-04
  6.5000E-01  4.6571E-04
  7.0000E-01  2.8431E-04
  7.5000E-01  1.9440E-04
  8.0000E-01  1.5234E-04
  8.5000E-01  1.1032E-04
  9.0000E-01  8.1078E-05
  9.5000E-01  5.9186E-05
  1.0000E+00  4.3279E-05
  1.0500E+00  3.4440E-05
  1.1000E+00  2.6364E-05
  1.1500E+00  1.9918E-05
  1.2000E+00  1.5999E-05
  1.2500E+00  1.4131E-05
  1.3000E+00  1.0920E-05
  1.3500E+00  9.2642E-06
  1.4000E+00  7.8622E-06
  1.4500E+00  6.6706E-06
  1.5000E+00  5.6558E-06
  1.5500E+00  4.9066E-06
  1.6000E+00  4.4285E-06
  1.6500E+00  3.7064E-06
  1.7000E+00  3.1209E-06
  1.7500E+00  3.0188E-06
  1.8000E+00  2.3620E-06
  1.8500E+00  2.1979E-06
  1.9000E+00  1.9567E-06
  1.9500E+00  1.7318E-06
  2.0000E+00  1.6323E-06
  2.0500E+00  1.4698E-06
  2.1000E+00  1.3265E-06
  2.1500E+00  1.1864E-06
  2.2000E+00  1.0762E-06
  2.2500E+00  9.7071E-07
  2.3000E+00  8.3138E-07
  2.3500E+00  7.6915E-07
  2.4000E+00  6.8821E-07
  2.4500E+00  6.6796E-07
  2.5000E+00  6.1475E-07
  2.5500E+00  5.7134E-07
  2.6000E+00  5.2409E-07
  2.6500E+00  4.6284E-07
  2.7000E+00  4.2495E-07
  2.7500E+00  3.7845E-07
  2.8000E+00  3.6494E-07
  2.8500E+00  3.3771E-07
  2.9000E+00  3.0950E-07
  2.9500E+00  2.9747E-07
  3.0000E+00  2.7511E-07
  3.0500E+00  2.4542E-07
  3.1000E+00  2.4895E-07
  3.1500E+00  2.2412E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.6708E-01
  5.0000E-02  1.1928E-03
  1.0000E-01  1.0564E-03
  1.5000E-01  1.5684E-03
  2.0000E-01  1.3260E-03
  2.5000E-01  1.4668E-03
  3.0000E-01  1.1832E-03
  3.5000E-01  1.0448E-03
  4.0000E-01  8.5993E-04
  4.5000E-01  8.1425E-04
  5.0000E-01  7.6967E-04
  5.5000E-01  6.5827E-04
  6.0000E-01  4.9274E-04
  6.5000E-01  3.6190E-04
  7.0000E-01  2.6600E-04
  7.5000E-01  1.8590E-04
  8.0000E-01  1.4480E-04
  8.5000E-01  1.1103E-04
  9.0000E-01  8.1195E-05
  9.5000E-01  5.7927E-05
  1.0000E+00  4.4591E-05
  1.0500E+00  3.4547E-05
  1.1000E+00  2.4394E-05
  1.1500E+00  2.0984E-05
  1.2000E+00  1.7224E-05
  1.2500E+00  1.2954E-05
  1.3000E+00  1.1270E-05
  1.3500E+00  8.8845E-06
  1.4000E+00  8.0552E-06
  1.4500E+00  6.6546E-06
  1.5000E+00  5.6270E-06
  1.5500E+00  4.8895E-06
  1.6000E+00  4.1686E-06
  1.6500E+00  3.6646E-06
  1.7000E+00  3.4726E-06
  1.7500E+00  2.6895E-06
  1.8000E+00  2.4698E-06
  1.8500E+00  2.2564E-06
  1.9000E+00  1.9088E-06
  1.9500E+00  1.7393E-06
  2.0000E+00  1.5696E-06
  2.0500E+00  1.4233E-06
  2.1000E+00  1.3117E-06
  2.1500E+00  1.0976E-06
  2.2000E+00  1.0850E-06
  2.2500E+00  9.7923E-07
  2.3000E+00  8.4714E-07
  2.3500E+00  7.9648E-07
  2.4000E+00  7.1876E-07
  2.4500E+00  6.5015E-07
  2.5000E+00  6.1518E-07
  2.5500E+00  5.4694E-07
  2.6000E+00  5.3624E-07
  2.6500E+00  4.6577E-07
  2.7000E+00  4.2894E-07
  2.7500E+00  3.9196E-07
  2.8000E+00  3.5704E-07
  2.8500E+00  3.3701E-07
  2.9000E+00  3.1036E-07
  2.9500E+00  2.9134E-07
  3.0000E+00  2.7048E-07
  3.0500E+00  2.5337E-07
  3.1000E+00  2.3622E-07
  3.1500E+00  2.2283E-07


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.4053E-01
  5.0000E-02  7.0344E-04
  1.0000E-01  7.9249E-04
  1.5000E-01  1.2407E-03
  2.0000E-01  1.5545E-03
  2.5000E-01  1.1861E-03
  3.0000E-01  8.8987E-04
  3.5000E-01  6.4472E-04
  4.0000E-01  6.0183E-04
  4.5000E-01  4.3736E-04
  5.0000E-01  4.0998E-04
  5.5000E-01  3.6423E-04
  6.0000E-01  3.1511E-04
  6.5000E-01  2.3339E-04
  7.0000E-01  1.6554E-04
  7.5000E-01  1.2210E-04
  8.0000E-01  9.5518E-05
  8.5000E-01  7.2655E-05
  9.0000E-01  5.6923E-05
  9.5000E-01  4.2679E-05
  1.0000E+00  3.2606E-05
  1.0500E+00  2.6535E-05
  1.1000E+00  2.1951E-05
  1.1500E+00  1.7734E-05
  1.2000E+00  1.4499E-05
  1.2500E+00  1.2583E-05
  1.3000E+00  1.0328E-05
  1.3500E+00  8.4812E-06
  1.4000E+00  7.8609E-06
  1.4500E+00  6.7461E-06
  1.5000E+00  5.4403E-06
  1.5500E+00  4.8287E-06
  1.6000E+00  4.2824E-06
  1.6500E+00  3.5969E-06
  1.7000E+00  3.2489E-06
  1.7500E+00  2.9221E-06
  1.8000E+00  2.5598E-06
  1.8500E+00  2.2235E-06
  1.9000E+00  1.9347E-06
  1.9500E+00  1.8507E-06
  2.0000E+00  1.6291E-06
  2.0500E+00  1.5026E-06
  2.1000E+00  1.2845E-06
  2.1500E+00  1.1285E-06
  2.2000E+00  1.1062E-06
  2.2500E+00  9.4508E-07
  2.3000E+00  8.5455E-07
  2.3500E+00  7.7358E-07
  2.4000E+00  7.0527E-07
  2.4500E+00  6.6351E-07
  2.5000E+00  5.9295E-07
  2.5500E+00  5.5077E-07
  2.6000E+00  5.2677E-07
  2.6500E+00  4.5242E-07
  2.7000E+00  4.2912E-07
  2.7500E+00  3.9782E-07
  2.8000E+00  3.5386E-07
  2.8500E+00  3.3741E-07
  2.9000E+00  3.0500E-07
  2.9500E+00  2.9913E-07
  3.0000E+00  2.6534E-07
  3.0500E+00  2.6042E-07
  3.1000E+00  2.3776E-07
  3.1500E+00  2.3038E-07


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  9.2096E-02
  5.0000E-02  9.4521E-04
  1.0000E-01  1.2334E-03
  1.5000E-01  1.4856E-03
  2.0000E-01  1.2399E-03
  2.5000E-01  1.3455E-03
  3.0000E-01  7.1126E-04
  3.5000E-01  6.5752E-04
  4.0000E-01  4.8034E-04
  4.5000E-01  4.0406E-04
  5.0000E-01  3.6014E-04
  5.5000E-01  2.8617E-04
  6.0000E-01  2.3948E-04
  6.5000E-01  1.6410E-04
  7.0000E-01  1.2592E-04
  7.5000E-01  1.0091E-04
  8.0000E-01  8.5161E-05
  8.5000E-01  5.8335E-05
  9.0000E-01  4.7070E-05
  9.5000E-01  3.4532E-05
  1.0000E+00  3.0250E-05
  1.0500E+00  2.5816E-05
  1.1000E+00  1.9778E-05
  1.1500E+00  1.7801E-05
  1.2000E+00  1.3576E-05
  1.2500E+00  1.1705E-05
  1.3000E+00  9.7770E-06
  1.3500E+00  8.1802E-06
  1.4000E+00  7.0221E-06
  1.4500E+00  6.2877E-06
  1.5000E+00  5.5859E-06
  1.5500E+00  4.6593E-06
  1.6000E+00  3.9172E-06
  1.6500E+00  3.7955E-06
  1.7000E+00  3.2074E-06
  1.7500E+00  2.9892E-06
  1.8000E+00  2.4849E-06
  1.8500E+00  2.2702E-06
  1.9000E+00  2.1462E-06
  1.9500E+00  1.6548E-06
  2.0000E+00  1.6258E-06
  2.0500E+00  1.4254E-06
  2.1000E+00  1.2414E-06
  2.1500E+00  1.1423E-06
  2.2000E+00  1.0540E-06
  2.2500E+00  9.5773E-07
  2.3000E+00  8.9005E-07
  2.3500E+00  7.5259E-07
  2.4000E+00  7.0215E-07
  2.4500E+00  6.3171E-07
  2.5000E+00  5.8862E-07
  2.5500E+00  5.4399E-07
  2.6000E+00  5.1271E-07
  2.6500E+00  4.3813E-07
  2.7000E+00  4.2570E-07
  2.7500E+00  3.9014E-07
  2.8000E+00  3.5518E-07
  2.8500E+00  3.3945E-07
  2.9000E+00  3.0886E-07
  2.9500E+00  3.0724E-07
  3.0000E+00  2.6594E-07
  3.0500E+00  2.6049E-07
  3.1000E+00  2.4628E-07
  3.1500E+00  2.2438E-07


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.1576E-01
  5.0000E-02  6.8745E-04
  1.0000E-01  1.0532E-03
  1.5000E-01  1.1879E-03
  2.0000E-01  1.4104E-03
  2.5000E-01  1.3642E-03
  3.0000E-01  8.9733E-04
  3.5000E-01  5.5113E-04
  4.0000E-01  4.4037E-04
  4.5000E-01  3.4818E-04
  5.0000E-01  3.2437E-04
  5.5000E-01  2.6373E-04
  6.0000E-01  2.0089E-04
  6.5000E-01  1.3413E-04
  7.0000E-01  1.2610E-04
  7.5000E-01  8.5056E-05
  8.0000E-01  7.1204E-05
  8.5000E-01  5.3199E-05
  9.0000E-01  4.2722E-05
  9.5000E-01  4.1004E-05
  1.0000E+00  3.1400E-05
