# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 13:19:25 2019
# diag: spectra, run(s): act, time window: 0-1500(189 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds036/ITGa_NL/omt2/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.1357E-03
  1.0000E-01  2.3507E-03
  1.5000E-01  1.8316E-03
  2.0000E-01  2.0787E-03
  2.5000E-01  2.1333E-03
  3.0000E-01  2.0973E-03
  3.5000E-01  2.5704E-03
  4.0000E-01  2.6137E-03
  4.5000E-01  2.6420E-03
  5.0000E-01  2.9899E-03
  5.5000E-01  2.7360E-03
  6.0000E-01  2.4141E-03
  6.5000E-01  2.4106E-03
  7.0000E-01  2.0692E-03
  7.5000E-01  1.5428E-03
  8.0000E-01  1.1383E-03
  8.5000E-01  8.1885E-04
  9.0000E-01  5.3794E-04
  9.5000E-01  3.7146E-04
  1.0000E+00  2.6542E-04
  1.0500E+00  2.1671E-04
  1.1000E+00  1.7007E-04
  1.1500E+00  1.4281E-04
  1.2000E+00  1.1975E-04
  1.2500E+00  1.0493E-04
  1.3000E+00  9.2874E-05
  1.3500E+00  8.2299E-05
  1.4000E+00  7.3109E-05
  1.4500E+00  6.4417E-05
  1.5000E+00  5.9826E-05
  1.5500E+00  5.4804E-05
  1.6000E+00  4.9829E-05
  1.6500E+00  4.4569E-05
  1.7000E+00  4.3360E-05
  1.7500E+00  3.9305E-05
  1.8000E+00  3.4616E-05
  1.8500E+00  3.4213E-05
  1.9000E+00  3.0036E-05
  1.9500E+00  2.8871E-05
  2.0000E+00  2.6347E-05
  2.0500E+00  2.4533E-05
  2.1000E+00  2.3919E-05
  2.1500E+00  2.1883E-05
  2.2000E+00  2.0189E-05
  2.2500E+00  1.9195E-05
  2.3000E+00  1.8383E-05
  2.3500E+00  1.7247E-05
  2.4000E+00  1.6533E-05
  2.4500E+00  1.5641E-05
  2.5000E+00  1.4948E-05
  2.5500E+00  1.4347E-05
  2.6000E+00  1.2917E-05
  2.6500E+00  1.2252E-05
  2.7000E+00  1.1056E-05
  2.7500E+00  1.0961E-05
  2.8000E+00  1.0572E-05
  2.8500E+00  1.0211E-05
  2.9000E+00  9.2124E-06
  2.9500E+00  9.3573E-06
  3.0000E+00  8.5882E-06
  3.0500E+00  8.1995E-06
  3.1000E+00  7.6538E-06
  3.1500E+00  7.3309E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.2347E-01
  5.0000E-02  3.9437E-03
  1.0000E-01  3.1352E-03
