# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jan  7 12:16:34 2019
# diag: fluxspectra, run(s): act, time window: 0-1284.5728(323 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds036/ITGa_NL/omt3/
# normalization: L_T,ions
#
# Q*dVdx =   4.9102E+01 MW
# G*dVdx =  -1.6090E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  2.0595E-13  6.1105E-02
  1.4382E-02 -4.0300E-13  9.6912E-02
  2.8765E-02  3.6507E-14  7.8079E-02
  4.3147E-02  2.9000E-13  6.9461E-02
  5.7529E-02  8.4848E-13  6.8629E-02
  7.1911E-02 -4.9265E-13  5.6813E-02
  8.6294E-02  5.2535E-13  5.5424E-02
  1.0068E-01 -1.1645E-12  4.9847E-02
  1.1506E-01 -1.3601E-12  4.6500E-02
  1.2944E-01 -1.0262E-12  4.2047E-02
  1.4382E-01  5.0188E-13  3.7530E-02
  1.5821E-01  1.2178E-12  3.4245E-02
  1.7259E-01 -1.3123E-13  3.1001E-02
  1.8697E-01 -3.4106E-13  2.8492E-02
  2.0135E-01 -4.2853E-14  2.6077E-02
  2.1573E-01  1.0031E-13  2.2865E-02
  2.3012E-01  2.2514E-15  2.0076E-02
  2.4450E-01 -2.0301E-13  1.8497E-02
  2.5888E-01 -3.4022E-14  1.7245E-02
  2.7326E-01  5.6403E-13  1.5807E-02
  2.8765E-01 -1.4048E-13  1.4251E-02
  3.0203E-01  2.3097E-13  1.3398E-02
  3.1641E-01  5.3118E-13  1.2230E-02
  3.3079E-01  1.5682E-13  1.1330E-02
  3.4517E-01 -7.3820E-14  1.0752E-02
  3.5956E-01  1.1792E-14  9.9653E-03
  3.7394E-01  2.2831E-14  9.5106E-03
  3.8832E-01  1.3177E-14  8.8207E-03
  4.0270E-01 -7.6868E-14  8.4496E-03
  4.1709E-01 -2.4009E-13  8.1455E-03
  4.3147E-01 -2.3637E-13  7.5722E-03
  4.4585E-01 -4.1094E-14  7.0746E-03
  4.6023E-01 -8.5019E-14  6.6529E-03
  4.7462E-01 -7.8893E-14  6.4431E-03
  4.8900E-01  4.6973E-14  5.8847E-03
  5.0338E-01  4.6805E-13  5.6886E-03
  5.1776E-01  7.0091E-14  5.4527E-03
  5.3214E-01 -9.8563E-14  5.1525E-03
  5.4653E-01  4.9793E-14  4.9980E-03
  5.6091E-01  1.8620E-14  4.6460E-03
  5.7529E-01  1.5013E-13  4.6005E-03
  5.8967E-01 -2.5892E-13  4.2971E-03
  6.0406E-01 -3.1359E-14  4.0801E-03
  6.1844E-01 -1.2931E-13  3.8110E-03
  6.3282E-01  2.4195E-14  3.5485E-03
  6.4720E-01 -4.6631E-14  3.3987E-03
  6.6158E-01  2.0033E-14  3.2803E-03
  6.7597E-01 -4.6575E-14  3.0519E-03
  6.9035E-01 -8.1105E-14  2.8732E-03
  7.0473E-01  4.4550E-14  2.8118E-03
  7.1911E-01 -7.8099E-15  2.6697E-03
  7.3350E-01 -1.0980E-13  2.4980E-03
  7.4788E-01  4.1744E-15  2.4089E-03
  7.6226E-01 -3.9635E-14  2.3141E-03
  7.7664E-01 -9.9900E-14  2.1301E-03
  7.9103E-01 -1.2578E-14  2.0706E-03
  8.0541E-01  3.9816E-14  1.9303E-03
  8.1979E-01 -1.3871E-14  1.8507E-03
  8.3417E-01 -5.2299E-14  1.7715E-03
  8.4855E-01 -2.4850E-13  1.6400E-03
  8.6294E-01 -5.3463E-14  1.6180E-03
  8.7732E-01  1.3826E-14  1.5132E-03
  8.9170E-01 -6.2033E-14  1.4390E-03
  9.0608E-01 -1.3545E-14  1.3602E-03
  9.2047E-01  9.9199E-14  1.2659E-03
  9.3485E-01  3.4857E-14  1.2160E-03
  9.4923E-01 -1.0547E-14  1.1824E-03
  9.6361E-01  6.9735E-14  1.0802E-03
  9.7799E-01 -1.1946E-13  1.0598E-03
  9.9238E-01 -6.7205E-14  1.0124E-03
  1.0068E+00  4.9053E-14  9.6274E-04
  1.0211E+00  5.4974E-14  9.2430E-04
  1.0355E+00  1.3716E-13  8.9061E-04
  1.0499E+00  5.6957E-14  8.4206E-04
  1.0643E+00  3.9983E-14  8.0320E-04
  1.0787E+00  7.4175E-14  7.6836E-04
  1.0931E+00  3.8404E-14  7.5398E-04
  1.1074E+00  5.3509E-14  7.0400E-04
  1.1218E+00  5.7718E-14  6.7909E-04
  1.1362E+00 -6.9209E-14  6.5756E-04
  1.1506E+00 -2.2773E-14  6.2423E-04
  1.1650E+00  1.5708E-14  5.9625E-04
  1.1793E+00 -3.6521E-14  5.7508E-04
  1.1937E+00 -2.1094E-14  5.5100E-04
  1.2081E+00  1.7316E-14  5.3214E-04
  1.2225E+00 -3.0882E-14  5.1837E-04
  1.2369E+00  3.1122E-14  5.0456E-04
  1.2513E+00 -1.0802E-14  4.7291E-04
  1.2656E+00 -2.4330E-14  4.6379E-04
  1.2800E+00  4.8765E-14  4.4201E-04
  1.2944E+00  9.3702E-15  4.2692E-04
  1.3088E+00 -4.4237E-14  4.0654E-04
  1.3232E+00 -9.9112E-15  3.9480E-04
  1.3376E+00 -2.4952E-14  3.8969E-04
  1.3519E+00  2.5628E-14  3.7583E-04
  1.3663E+00 -1.5042E-14  3.5935E-04
  1.3807E+00  3.1104E-14  3.4971E-04
  1.3951E+00  5.3945E-14  3.3908E-04
