# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jul 11 16:47:12 2018
# diag: fluxspectra, run(s): act, time window: 0-7279.348(1727 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xstcs036/ITGa/scanomn0omt1/
# normalization: L_ref=5.508m
#
# Q*dVdx =   2.5202E+02 MW
# G*dVdx =  -4.0597E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -3.0953E-15  1.4397E-01
  1.4382E-02  3.9926E-12  2.7073E-01
  2.8765E-02  9.1391E-14  2.5876E-01
  4.3147E-02  4.4474E-13  2.5107E-01
  5.7529E-02 -7.3614E-13  2.4349E-01
  7.1911E-02 -2.4322E-12  2.3055E-01
  8.6294E-02 -3.5280E-13  2.2278E-01
  1.0068E-01  2.4399E-13  2.0850E-01
  1.1506E-01  2.3914E-12  2.0021E-01
  1.2944E-01  5.6164E-13  1.8836E-01
  1.4382E-01  8.1547E-13  1.7807E-01
  1.5821E-01  5.0913E-14  1.6825E-01
  1.7259E-01  9.0383E-13  1.5892E-01
  1.8697E-01 -1.2035E-12  1.4900E-01
  2.0135E-01 -3.8331E-13  1.4215E-01
  2.1573E-01 -1.6042E-12  1.3461E-01
  2.3012E-01  2.0451E-12  1.2734E-01
  2.4450E-01 -2.2973E-13  1.2167E-01
  2.5888E-01 -6.8464E-13  1.1619E-01
  2.7326E-01  3.9530E-13  1.1168E-01
  2.8765E-01 -2.4068E-13  1.0574E-01
  3.0203E-01  7.6629E-13  1.0233E-01
  3.1641E-01 -7.6822E-13  9.8378E-02
  3.3079E-01 -8.2215E-13  9.4441E-02
  3.4517E-01  9.2592E-14  9.1156E-02
  3.5956E-01 -1.5736E-12  8.8996E-02
  3.7394E-01 -3.8306E-13  8.5384E-02
  3.8832E-01 -4.0891E-13  8.3783E-02
  4.0270E-01 -1.2019E-14  8.0701E-02
  4.1709E-01 -9.9549E-13  7.8638E-02
  4.3147E-01 -2.8987E-13  7.6674E-02
  4.4585E-01  6.7411E-13  7.3978E-02
  4.6023E-01 -1.7569E-12  7.2493E-02
  4.7462E-01 -1.5266E-12  6.9451E-02
  4.8900E-01 -1.0797E-12  6.7223E-02
  5.0338E-01  3.8057E-13  6.5665E-02
  5.1776E-01 -1.2027E-13  6.4443E-02
  5.3214E-01  6.7888E-13  6.2064E-02
  5.4653E-01  2.9443E-14  6.0642E-02
  5.6091E-01  7.1799E-13  5.8654E-02
  5.7529E-01 -1.4177E-13  5.7033E-02
  5.8967E-01  6.5753E-13  5.5492E-02
  6.0406E-01  1.1486E-13  5.3491E-02
  6.1844E-01  6.6770E-13  5.1788E-02
  6.3282E-01  2.3788E-13  5.0698E-02
  6.4720E-01  3.9848E-13  4.8889E-02
  6.6158E-01 -6.2717E-13  4.7117E-02
  6.7597E-01 -1.1556E-13  4.6059E-02
  6.9035E-01 -2.8236E-13  4.4359E-02
  7.0473E-01 -3.2438E-14  4.3280E-02
  7.1911E-01 -1.0892E-13  2.1266E-02


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02 -1.6524E-13  2.7408E-02
  1.0000E-01 -8.0569E-13  1.0113E-01
  1.5000E-01 -5.5914E-13  1.9366E-01
  2.0000E-01 -9.0702E-13  2.8629E-01
  2.5000E-01 -7.4740E-13  3.8473E-01
  3.0000E-01 -1.8919E-12  4.5672E-01
  3.5000E-01 -1.0085E-12  5.0477E-01
  4.0000E-01 -1.6790E-13  4.9665E-01
  4.5000E-01  2.8561E-12  4.5696E-01
  5.0000E-01  3.3597E-12  4.2390E-01
  5.5000E-01  3.9302E-14  3.5909E-01
  6.0000E-01  1.3258E-12  3.0433E-01
  6.5000E-01 -1.6325E-12  2.5078E-01
