# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
 -1.3032E+02 -1.1961E-19  2.8749E-01  1.5417E-01
 -1.2964E+02  2.4001E-20  2.9717E-01  1.5936E-01
 -1.2896E+02  6.1094E-20  2.9895E-01  1.6032E-01
 -1.2828E+02 -6.9885E-20  2.9578E-01  1.5862E-01
 -1.2760E+02  2.0351E-19  2.8878E-01  1.5486E-01
 -1.2692E+02 -3.6347E-20  2.7849E-01  1.4935E-01
 -1.2624E+02 -8.8571E-20  2.6508E-01  1.4216E-01
 -1.2557E+02  2.0451E-20  2.5140E-01  1.3482E-01
 -1.2489E+02  1.7149E-19  2.4092E-01  1.2920E-01
 -1.2421E+02  2.2937E-19  2.3583E-01  1.2647E-01
 -1.2353E+02  2.7123E-19  2.3723E-01  1.2722E-01
 -1.2285E+02  9.9716E-20  2.4586E-01  1.3185E-01
 -1.2217E+02  1.7140E-19  2.6001E-01  1.3943E-01
 -1.2149E+02 -8.8802E-20  2.7633E-01  1.4819E-01
 -1.2081E+02  2.3143E-19  2.9135E-01  1.5624E-01
 -1.2014E+02  3.7650E-19  3.0194E-01  1.6192E-01
 -1.1946E+02  3.6874E-19  3.0632E-01  1.6427E-01
 -1.1878E+02  3.8855E-19  3.0661E-01  1.6442E-01
 -1.1810E+02  2.0196E-19  3.0628E-01  1.6425E-01
 -1.1742E+02  1.9543E-19  3.0818E-01  1.6527E-01
 -1.1674E+02 -6.2895E-21  3.1227E-01  1.6746E-01
 -1.1606E+02  3.9822E-19  3.1623E-01  1.6959E-01
 -1.1538E+02 -7.9321E-20  3.1841E-01  1.7076E-01
 -1.1471E+02 -5.6206E-20  3.1683E-01  1.6990E-01
 -1.1403E+02 -9.5506E-20  3.1248E-01  1.6757E-01
 -1.1335E+02 -1.9760E-20  3.0903E-01  1.6572E-01
 -1.1267E+02 -3.9832E-19  3.0948E-01  1.6596E-01
 -1.1199E+02 -1.1524E-19  3.1360E-01  1.6817E-01
 -1.1131E+02 -9.9296E-20  3.1959E-01  1.7138E-01
 -1.1063E+02 -1.6141E-19  3.2508E-01  1.7433E-01
 -1.0995E+02 -1.9704E-19  3.2708E-01  1.7540E-01
