# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:38:02 2018
# diag: fluxspectra, run(s): act, time window: 0-2221.6578(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.2026E-02 MW
# G*dVdx =   1.9965E-13 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -2.4136E-14  1.7393E-03
  2.4107E-02  2.9167E-14  2.5285E-03
  4.8215E-02  9.6713E-15  1.8419E-03
  7.2322E-02 -9.3717E-15  1.4131E-03
  9.6430E-02  4.2148E-14  1.2299E-03
  1.2054E-01 -9.5370E-15  1.1911E-03
  1.4464E-01  1.4858E-14  1.1922E-03
  1.6875E-01  1.8029E-14  1.0262E-03
  1.9286E-01 -1.2216E-14  1.0049E-03
  2.1697E-01  1.4056E-14  8.8054E-04
  2.4107E-01  6.3721E-15  8.8881E-04
  2.6518E-01 -1.2443E-14  7.9152E-04
  2.8929E-01  1.0256E-14  7.6827E-04
  3.1340E-01 -5.5863E-15  6.7546E-04
  3.3750E-01 -4.4409E-15  6.4603E-04
  3.6161E-01  2.2223E-14  5.5605E-04
  3.8572E-01  5.3887E-15  5.2563E-04
  4.0983E-01 -2.8740E-16  4.3598E-04
  4.3393E-01 -1.0299E-14  3.9234E-04
  4.5804E-01  3.8236E-14  3.1011E-04
  4.8215E-01  1.1509E-15  2.9664E-04
  5.0626E-01  2.4071E-14  2.6504E-04
  5.3036E-01 -4.3649E-15  2.2323E-04
  5.5447E-01 -1.6331E-14  1.8438E-04
  5.7858E-01 -5.2968E-15  1.7122E-04
  6.0269E-01 -6.7767E-15  1.3950E-04
  6.2679E-01 -6.1058E-15  1.2061E-04
  6.5090E-01  6.5046E-15  1.0513E-04
  6.7501E-01  3.4711E-15  9.2754E-05
  6.9911E-01 -1.3550E-17  8.4188E-05
  7.2322E-01  5.9773E-15  7.7413E-05
  7.4733E-01  2.1161E-15  6.1777E-05
  7.7144E-01  4.8931E-15  5.5906E-05
  7.9554E-01  4.5342E-15  4.8521E-05
  8.1965E-01 -4.5545E-15  4.3896E-05
  8.4376E-01 -5.1599E-16  3.9625E-05
  8.6787E-01  1.1315E-16  3.5223E-05
  8.9197E-01  2.3210E-15  2.9188E-05
  9.1608E-01  2.2210E-15  2.9503E-05
  9.4019E-01  3.7072E-15  2.4825E-05
  9.6430E-01  2.8000E-15  2.3345E-05
  9.8840E-01  3.4880E-16  2.0766E-05
  1.0125E+00 -3.7628E-15  1.9145E-05
  1.0366E+00 -4.5761E-15  1.6545E-05
  1.0607E+00  9.9865E-16  1.4812E-05
  1.0848E+00  4.5945E-16  1.2765E-05
  1.1089E+00  9.2973E-16  1.2920E-05
  1.1330E+00  7.5791E-16  1.1132E-05
  1.1572E+00  1.0543E-15  9.9130E-06
  1.1813E+00  1.3227E-15  9.0449E-06
  1.2054E+00 -1.1845E-15  8.2379E-06
  1.2295E+00 -1.3005E-15  7.5575E-06
  1.2536E+00 -3.4606E-16  7.1677E-06
  1.2777E+00 -1.7740E-15  6.2174E-06
  1.3018E+00 -5.5842E-16  5.6736E-06
  1.3259E+00 -7.0428E-16  5.7639E-06
  1.3500E+00  9.3295E-16  4.9200E-06
  1.3741E+00 -6.3661E-16  4.5076E-06
  1.3982E+00 -1.6312E-16  4.3519E-06
  1.4223E+00  5.0880E-18  3.7399E-06
  1.4464E+00  3.1084E-16  3.5414E-06
  1.4706E+00 -6.3373E-16  3.4355E-06
  1.4947E+00 -1.8211E-16  3.1925E-06
  1.5188E+00 -4.3943E-16  2.7898E-06
  1.5429E+00  1.9587E-16  2.5620E-06
  1.5670E+00  2.7693E-16  2.3908E-06
  1.5911E+00 -8.3038E-16  2.3092E-06
  1.6152E+00 -2.5616E-16  2.0662E-06
  1.6393E+00 -2.5612E-16  1.9266E-06
  1.6634E+00 -2.4267E-16  1.6940E-06
  1.6875E+00 -4.8620E-17  1.7403E-06
  1.7116E+00 -3.5015E-16  1.4961E-06
  1.7357E+00  4.2250E-16  1.4538E-06
  1.7598E+00 -2.2829E-16  1.3372E-06
